# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	astB//slt//allC//rutB//
CueR-Cu+	fbaA//araB//nrdD//glnA//
CuerR-Au	dapD//caiB//prs//pgaC//
CusR-Pasp	ubiC//recF//metB//
CynR-Cyanate	sdaA//ilvG_2//uxaA//
CysB-N-acetyl-L-serine	nadC//dsdA//malY//ulaF//paaF//yfdE//pnp//bcsA//nanK//melA//astC//dapB//rutC//paaF//tam//glpK//
CysB-O-acetyl-L-serine	guaA//entF//yfdE//fadD//kbl//gatD//rbsD//alaA//nanM//fbaA//xylA//hypB//prpB//lyxK//dmsA//murQ//glpX//
DcuR-Phosphorylated	argA//chbF//mhpA//fumC//
DnaA-ATP	acnA//paaE//cueO//gcvP//glpX//trpD//
DpiA-Pasp	nrfD//moaA//psd//bioC//tauD//
DsdC-D-serine	gcvH//tdcB//
EvgA-Phosphorylated	uxaC//rbsD//nrdA//entE//argG//
FNR-Fe_reduced	nrfD//trpA//carA//dapD//phnI//paaA//patZ//cheR//tdh//glgA//xylA//purL//garL//cysG//ulaD//tdcE//gcd//argF//pheS//recF//lldD//nrfA//prpB//lpd//alaA//mdh//sgbE//nagB//amn//acnB//phnO//puuA//melA//fadA//bglB//hyaA//aceF//ilvD//hycB//glpQ//trpD//uxaC//astE//atoB//ubiA//cysG//rbsD//gcvH//ldtC//glcF//ansB//feaB//gpmA//bcsZ//eda//hycB//dmsA//hyaC//recF//citE//sdaA//upp//edd//glcF//phoA//argG//cysC//mltC//cynS//trpA//cysN//ilvG_2//ilvC//gcvT//galE//aceA//dmsB//napA//gcd//ilvB//purH//rnpB//nadC//hycG//glpX//treC//abgB//purD//ahpC//gutQ//garK//glpA//phoA//kbaZ//malQ//lysU//nrdA//entB//trpE//bioA//eda//gcvT//bioF//gpsA//frdD//fucI//fabZ//rbsK//argD//nrfA//argA//pta//fucO//citD//nrdE//uxaC//galM//lpxD//uxaB//idnD//bioF//srlD//yfeW//hyaC//polA//nrdB//ahpC//
FhlA-Formate	astA//torC//talA//glpA//moeA//paaA//paaB//
FucR-L-fuculose-1-phosphate	polA//ynfG//garL//aroA//carB//malZ//
Fur-Fe2+	kbaZ//chbF//nrdF//paaF//ssuD//ilvD//dmsC//waaH//yfbR//pgaB//ugpQ//rbsK//nrfD//cynS//ampD//purK//ilvG_1//feaB//aceE//ynfH//atoB//allE//cheR//folE//edd//atoD//gpmA//glpK//argE//dadA//atoD//mhpB//xylA//sgbE//narH//mhpA//argE//ynfH//gadB//aroG//ansB//tdcD//nrfD//paaB//argA//nrdA//pgaC//dapB//glgB//ynfF//nrdE//mhpF//caiA//ilvH//lpxB//gatZ//ogt//citF//uxaA//glpB//mtlD//nanK//purF//ugpQ//feaB//ispE//ispE//folA//glpC//
Fur-Mn2+	purA//cheR//sodA//umpH//ansB//sdhC//gabD//bioB//deoD//abgB//ilvA//ogt//ynfE//gcd//phnM//deoD//gcvP//pgaC//bacA//ybjG//fucU//yiaK//chbF//metA//nrfD//umpH//mutL//purK//phnM//sgbH//fucA//allC//narH//cysD//alkA//bioD//malY//araD//uidA//sdhB//argH//argA//fau//tehB//bioC//glgX//nanK//fadE//fucU//fucI//edd//glgP//entE//deoB//ldtC//fau//metH//nrfA//hyaA//caiA//hycB//pnp//ynfE//gatZ//kbl//alkA//dadA//aspA//ynfG//
GlcC-Acetate	cysG//glpQ//moeA//
GlcC-Glycolate	fucI//sucB//betA//
GlrR-Pasp56	
IclR-pyruvate	malQ//allE//nrdF//
IdnR-5-ketogluconate	rutB//atoB//paaI//argH//xdhC//phnG//
IdnR-Idonate	bglB//gnd//cynT//entD//allD//speB//
IlvY-2-acetolactate	glpQ//
IlvY-Alfa-acetohydroxybutirate	acnB//
IscR-2Fe	fbaA//pta//phnG//ftnA//thrS//argC//dmsA//
LldR-L-lactate	preT//malP//
Lrp-Leucine	purK//gcvP//napB//tadA//carB//galT//nanM//glpQ//lacZ//allD//ulaE//fumB//dmsB//ilvN//fdhF//slt//sucA//lacZ//glnA//mhpC//fau//garK//udp//uvrA//truB//moeA//bioD//pnp//ilvG_1//puuA//pflB//astB//fes//yfeW//dadA//cysH//alkB//nanK//ahpF//
LsrR	preA//bcsZ//ascB//entB//betA//
MalT-ADP-Maltotriose	hyaA//cysK//kbaZ//nanM//miaA//cysC//
MalT-Maltotriose-ATP	lpxD//metE//lldD//trpC//dapD//trpC//
MelR-Melibiose	gatZ//glgB//
MetJ-S-adenosylmethionine	alaS//mdh//ilvG_2//ilvG_2//pflB//kbl//xylB//pgaB//argF//deoB//
MetR-L-homocysteine	aspA//sdhC//serA//bioD//
MhpR-3-DHPP	guaA//ulaF//rhaA//paaA//epd//citE//
MhpR-3HPP	argC//glgC//aldA//nrfD//yfdE//glpX//
MntR-Cd2+	hycF//hypB//
ModE-MoO42-	galM//ppiA//xylA//xdhB//glgP//glpC//atoB//cheR//katG//pyrC//hcp//allE//ilvB//bioD//
NarL-Phosphorylated	chbF//ldtB//entH//dgcZ//aroH//nagA//ilvD//fucA//cysJ//aroH//glgP//narH//cysI//rnpB//lhgO//nrdA//sdaA//rdoA//ynfH//gcvH//ung//fumB//nrfC//sdhD//murQ//sgbU//nrfD//nanM//bioB//paaG//ssuE//citF//lhgO//trpC//napG//garL//ilvE//trmD//
NarP-Phosphorylated	nanM//aspA//rutD//mhpE//alaS//rhaD//cynT//glpX//astE//sdhB//dadA//
NhaR-Na+	fucK//galM//ogt//nanK//paaH//
NikR-Cd2+	dusB//
NikR-Co2+	cdd//
NikR-Cu2+	hycF//
NikR-Ni2+	gltA//
NikR-Zn2+	chbG//
NrdR-ATP	cysD//edd//puuE//pgaC//
NrdR-Zn2+	ada//metH//ada//paaE//
NrdR-dATP	rbsK//prpC//xylA//upp//
NsrR-2Fe	ppiA//moeB//gcvP//sucB//trmD//ilvE//ada//nagA//mpl//gdhA//uxaC//ilvD//pgaB//cysI//nrfD//ilvI//fdhF//fumA//fadJ//guaB//ilvE//bioC//prpD//paaZ//frdB//avtA//acnA//glpX//caiA//rhaB//
PhoB-Phosphorylated	fadE//argA//glcB//malP//glpA//galK//glcE//ulaF//cysK//astA//argC//guaB//purN//aspA//hemL//dkgB//metB//nanA//paaH//nagB//
PhoP-Phosphorylated	prs//hycB//sucB//sgbH//chbG//idnK//idnO//sucB//fdhF//gcvT//entF//hycC//alkB//tdcE//cysD//mutY//ldtC//murQ//nrfC//prpB//rhaD//argC//fumA//srlD//astD//nrfD//argD//moeB//lldD//purH//speB//gatY//purK//glpA//hypF//
PrpR-2-methylcitrate	cysM//xdhA//fucU//manA//
PurR-Guanine	bcsZ//gdhA//aldB//gnd//malP//cheR//serC//moaE//xapA//bglB//hyaC//glcB//fes//moaE//argC//malP//sufS//yeaE//pncB//serC//argG//cadA//aroL//ackA//argA//garL//phnH//
PurR-Hypoxanthine	phnH//cueO//fucI//bioA//phnG//uxaC//pyrD//sdhD//folA//pflB//araD//thrS//malQ//purB//rbsK//ulaF//bcsZ//mhpE//nrdE//ilvH//phnM//tehB//puuE//atoA//fucO//melA//gadB//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	phnI//phnG//glpX//uxuB//
RstA-Phosphorylated	fabZ//pnp//entF//
SoxR-2Fe_oxydized	tktB//amn//
TorR-Phosphorylated	ilvD//katG//pta//
TrpR-Tryptophan	atoA//patZ//hyaA//rhaD//hycE//paaC//dnaE//paaG//caiA//
TyrR-L-tryptophan	paaI//paaI//purC//moeB//uxaB//gcvP//napA//katE//astA//
TyrR-Phenylalanine	prpC//appA//aroF//araA//nrdB//lpxB//mpl//tktB//sgbU//
TyrR-Tyrosine	pck//kbaZ//xdhA//aldA//purN//tdcD//ilvM//hemA//cheB//
UhpA-Phosphorylated	argG//
XapR-xanthosine	dnaE//glpX//
XylR-Xylose	fadJ//napH//glcE//
ZntR-Cd2+	hycC//
ZntR-Hg	dadX//
ZntR-Zn2+	treC//
ZraR-Phosphorylated	
Zur-Zn2+	betB//
