# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	upp//fumC//aceA//fes//
EvgA-Phosphorylated	paaC//pgaC//xylB//tdcB//mhpA//
FNR-Fe_reduced	metK//nrdB//nrdF//dsdA//galT//rnpB//nrdE//cheR//hyaA//cdd//sdhC//atoB//prpD//alkA//bioB//aspA//mltC//metF//folA//paaF//udp//rdoA//lpxA//yfdE//dmsB//hyaB//astA//araD//aceA//nrfC//purN//pheS//nrfD//lpxB//ubiX//gpsA//hycF//avtA//tsaE//phoA//ugpQ//galK//glpC//nanE//uxaB//lpd//speB//dmsC//allC//dgcZ//ynfE//tsaE//argI//folE//kbaZ//argH//mhpC//prpE//patZ//phnJ//bioA//hemL//argH//fadD//glgX//dmsA//pncB//malY//bglB//sodA//fdhF//entA//rdoA//paaZ//acs//citG//aceF//lsrF//alkB//cysM//ilvH//yiaK//ispE//icd//tdcB//pgaB//ssuE//galE//entA//epd//cysC//purC//chbG//metL//puuE//caiD//srlD//thrS//tyrA//moaD//lpd//glyA//astD//tauD//aceB//entB//gcd//uidA//ampD//fadB//mhpE//recF//purA//trpD//paaE//nrdB//phnP//pheT//metB//nagB//bglB//ynfE//dapB//citG//lsrG//xdhA//uxuB//
FhlA-Formate	glgB//aldA//lacZ//fumB//lsrK//ansB//lpxA//
FucR-L-fuculose-1-phosphate	idnD//tam//astD//purN//ndh//frdB//
Fur-Fe2+	pgaD//malY//metB//hmp//torA//citD//fadI//frc//entA//dmsC//ynfE//glcB//caiA//hycD//fadA//uxaB//lysU//ssuD//cysD//phnM//napA//fadE//fdhF//bcsA//tadA//pdeF//fadA//ilvN//lacZ//mutY//udp//argG//hycF//cdd//malS//katE//zwf//dadX//glpC//ilvI//glyA//cysC//preA//glpC//lysU//hycB//fabZ//garR//ilvD//bioF//phnJ//entC//mhpC//dapB//pnp//rhaB//ubiC//galE//tdcE//gabD//metC//cpdB//ilvB//sucC//bioB//bacA//trpC//rutD//dusB//
Fur-Mn2+	zwf//cadA//cyoE//aceE//paaG//rutC//phnI//moeB//phnM//mutY//metB//sdhD//ynfF//metC//aroF//bcsB//idnK//bcsZ//gabT//lysA//tdcG//trmD//paaB//aroG//nadC//phnP//lsrK//mhpE//argF//argE//tsaE//narI//galK//lpxD//oxc//alkB//cysG//purF//entC//glyA//napB//ilvI//pgaC//guaA//gltA//ilvC//gabT//melA//pgpC//pyrD//katE//gltB//truB//avtA//araA//atoD//malZ//entB//pgaB//ynfH//puuB//tdcE//ansB//upp//argI//pdeF//metC//phnL//yjeF//
GlcC-Acetate	carA//gnd//napB//
GlcC-Glycolate	narG//lsrG//fucO//
GlrR-Pasp56	
IclR-pyruvate	cysC//preT//fumA//
IdnR-5-ketogluconate	sodA//yjeF//uxuB//ansB//metE//glcB//
IdnR-Idonate	pck//sdaA//citF//metK//metF//bioF//
IlvY-2-acetolactate	guaA//
IlvY-Alfa-acetohydroxybutirate	atoB//
IscR-2Fe	thrS//frdD//ascB//ilvH//nadC//sdhC//dmsA//
LldR-L-lactate	napB//udp//
Lrp-Leucine	ahpF//ubiC//ogt//lpxA//aceF//narI//cysH//allE//argI//tdcG//prmC//yjeF//alaA//ilvG_2//lhgO//gpsA//gpmA//alaS//lsrF//fucK//trpB//ubiC//nrfB//tktB//hycF//pgk//trpC//aceF//mhpD//rhaA//astB//folA//lacA//tdh//nrdA//yjeF//astC//mhpE//tnaA//
LsrR	slt//cysK//rutE//lpxD//lysC//
MalT-ADP-Maltotriose	guaB//fadJ//glpC//ulaE//hpt//uxaC//
MalT-Maltotriose-ATP	pagP//hypF//ssuD//pncB//prpE//codA//
MelR-Melibiose	mutL//glpC//
MetJ-S-adenosylmethionine	paaG//nanK//gpsA//aceA//moeA//serA//cysC//entF//tdh//fadI//
MetR-L-homocysteine	mhpB//paaC//sdaA//aroG//
MhpR-3-DHPP	cysI//nadC//torA//gatZ//hycE//purM//
MhpR-3HPP	galT//bacA//folA//chbG//nrfB//ampD//
MntR-Cd2+	agp//aspC//
ModE-MoO42-	rhaD//pheS//napA//sdaA//appA//phnG//tehB//ilvI//aceB//upp//gcd//hypF//ubiC//purN//
NarL-Phosphorylated	alkB//gcvP//aldA//lpxA//nrdE//edd//xapA//paaH//uxuB//metH//prmC//preT//paaJ//purM//phnI//ampD//aroH//malS//mutY//trpC//fucK//ahpF//puuB//cyaA//nrdE//frdD//napH//entE//astB//nrdB//araA//nadC//ascB//bioF//frdB//purC//ldtB//prpE//
NarP-Phosphorylated	ilvG_1//fadD//bioC//purE//paaF//ispE//paaA//murQ//ssuD//citG//glpE//
NhaR-Na+	idnD//fadH//prpD//hycC//ppiA//
NikR-Cd2+	phoA//
NikR-Co2+	tdcE//
NikR-Cu2+	narH//
NikR-Ni2+	tdcB//
NikR-Zn2+	phnM//
NrdR-ATP	deoB//trpB//chbF//fadA//
NrdR-Zn2+	umpH//entA//nanM//idnD//
NrdR-dATP	mtlD//idnD//idnO//psd//
NsrR-2Fe	mhpF//yqjH//sodA//thrS//phnL//nanM//dmsA//upp//nrdF//cynT//araD//lpxD//aroL//lldD//dmsC//adhE//rhaB//paaA//argI//glcD//prmC//atoB//srlD//ftnA//hpt//gatY//glpB//lsrG//paaI//avtA//
PhoB-Phosphorylated	glcF//caiB//ugpQ//ansB//malS//cysI//gdhA//nirD//moeB//mhpD//xylA//xylB//bcsA//xylB//polA//idnK//bioF//napA//gnd//ldtB//
PhoP-Phosphorylated	aroG//acs//argG//fucK//ynfE//aceB//paaG//citX//nagA//allC//argH//ynfF//polA//bioD//sufS//argE//paaJ//metK//bcsA//mdh//gabD//frdA//ilvI//nanA//frdB//amn//mtlD//lysU//nanA//phnI//rutB//lysC//glpX//lacZ//mltC//
PrpR-2-methylcitrate	yfbR//ppiA//trmD//avtA//
PurR-Guanine	napA//bcsA//entD//preA//pyrC//garR//garR//slt//edd//ubiC//upp//ilvG_2//trpB//uvrA//glcE//hyaB//sodB//mhpC//ackA//gcvP//xdhA//glcB//speA//napB//chbG//puuD//cynS//
PurR-Hypoxanthine	dmsB//sgbH//fadA//psd//fadE//fabZ//metA//phnM//feaB//entD//araD//dusB//ulaF//aceF//aroG//aspA//uidA//rnpB//metE//dmsA//ilvI//entC//thrS//uxaB//ilvA//uxaB//nanM//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	entB//gapA//glcD//aceA//
RstA-Phosphorylated	nagB//xapA//uxuB//
SoxR-2Fe_oxydized	pta//malY//
TorR-Phosphorylated	ssuD//phnG//sucC//
TrpR-Tryptophan	codA//citE//moaA//frdA//cysJ//metH//gnd//nagB//uxaB//
TyrR-L-tryptophan	edd//prpB//bcsB//dkgB//galK//fucK//sodB//rhaD//alaA//
TyrR-Phenylalanine	phnH//ascB//dusB//carB//adhE//glgP//astD//allE//aroA//
TyrR-Tyrosine	ssuD//cynS//gcvH//ftnA//paaI//phnI//atoA//hflX//truB//
UhpA-Phosphorylated	hyaA//
XapR-xanthosine	sdhC//ldtC//
XylR-Xylose	oxc//hemL//frc//
ZntR-Cd2+	bcsA//
ZntR-Hg	nrfC//
ZntR-Zn2+	ilvG_1//
ZraR-Phosphorylated	
Zur-Zn2+	prpB//
