# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	fau//pgpC//torA//cheR//
FNR-Fe_reduced	xdhA//lysA//hyaC//umpH//ybjG//bioB//bioB//nrdF//phnH//rbsK//glcE//glnA//rnpB//guaA//ansB//pgaC//agp//murQ//fadJ//atoB//moeA//nanK//garR//phnH//galK//hemL//glpX//lsrF//gabD//glgB//tnaA//lysA//gapA//ascB//fes//gcvH//kbl//fucA//nadC//glnA//purM//tdcD//hypF//atoB//fdhF//hflX//lyxK//gpsA//tnaA//yeaE//ahpF//pgaB//cysK//rutA//mhpE//upp//dadX//abgB//cysI//hyaC//rbsD//pgaC//dmsA//ilvG_2//ogt//sgbU//glpK//fabZ//cysG//umpH//idnK//nadC//rutA//kbaZ//lpxA//dkgB//moaA//atoB//ahpC//argH//paaB//phnH//cysD//trpA//sucC//entA//ilvG_2//edd//rutA//metA//metA//glgA//dmsB//glpC//ubiC//lpxB//glpD//betB//paaG//katG//sdhC//frdB//tyrA//nrdA//dmsB//napG//alkB//phnM//sodB//purL//xapA//dgcZ//pgpC//paaC//dgcZ//xylA//nrdB//glpX//sdaA//mhpD//ubiX//yqjH//ilvA//hycE//pnp//acnA//bioF//
FhlA-Formate	ung//lpxB//dapD//glcB//sdhD//cpdB//fadD//
FucR-L-fuculose-1-phosphate	gcvT//argB//ahpF//entB//malY//ubiA//
Fur-Fe2+	phnP//tyrA//narH//glpD//rbsK//fadJ//acnA//garK//purB//speC//tktB//fadD//trpB//citX//argG//dgcZ//lacA//tdcB//ulaF//metB//pheS//napC//galK//guaB//ldtC//fucU//pgaD//fbaA//lsrF//aceE//rhaB//gatZ//araB//phoA//mpl//gcvP//citE//cysH//frdB//paaK//napC//ynfH//glnA//frdB//aroF//ulaD//fadJ//cynS//deoC//glpX//cysJ//frdC//rbsD//malQ//nadC//lacA//citX//entH//galM//ahpF//deoA//deoB//rbsD//tdcG//citF//ulaF//purC//pgk//ahpF//
Fur-Mn2+	citC//metA//aroA//mhpF//moaD//puuE//gcd//manA//gatD//phnG//ulaE//aldB//ahpC//lpxD//glyA//bcsZ//rbsD//pgaD//caiA//fau//trpB//kbl//entA//phnP//ubiC//fadH//cpdB//manA//yjeF//pgpC//frdA//mutY//acnB//torA//paaC//metL//umpH//glgB//nanK//sgbE//sgbU//galK//caiD//ugpQ//puuD//lsrG//ulaD//aldA//lyxK//ilvN//paaZ//nrdB//sdaA//mhpF//cynT//paaK//tam//dmsA//speA//nagA//fes//bioA//aldA//ssuD//hmp//dapB//hyaA//glpC//argF//
GlcC-Acetate	carB//napH//ahpC//
GlcC-Glycolate	aroH//oxc//aldA//
GlrR-Pasp56	
IclR-pyruvate	fabZ//iscS//acs//
IdnR-5-ketogluconate	chbG//purF//argB//bcsB//moaD//nrdF//
IdnR-Idonate	speC//sdhD//pheT//ugpQ//aceB//gadB//
IlvY-2-acetolactate	citX//
IlvY-Alfa-acetohydroxybutirate	glcF//
IscR-2Fe	aroH//rutE//metH//gnd//nrdE//aspC//fucA//
LldR-L-lactate	icd//psd//
Lrp-Leucine	paaC//fbaA//tdcD//malS//glcD//phnL//nanK//fbaA//ppiA//carA//acnA//malZ//dmsB//ilvG_2//fucO//argB//edd//kbaZ//glpA//rhaB//cdd//napG//narI//galE//ahpC//malS//glyA//fadE//argH//edd//allC//fucA//xdhA//gutQ//ugpQ//alkA//araB//lsrK//ascB//
LsrR	amn//yfeW//dkgB//phnN//puuB//
MalT-ADP-Maltotriose	ackA//sdhC//bioD//glpA//glpK//metH//
MalT-Maltotriose-ATP	paaZ//garR//yfdE//cysH//purA//pgaB//
MelR-Melibiose	ulaF//upp//
MetJ-S-adenosylmethionine	uxaB//aroG//napA//fumB//recF//dsdA//xylB//argF//hmp//aroA//
MetR-L-homocysteine	frc//xapA//dadX//ilvM//
MhpR-3-DHPP	umpH//allC//alkA//pgaB//lpxD//yfdE//
MhpR-3HPP	avtA//entH//hypB//araA//xylB//glpA//
MntR-Cd2+	rhaA//rutC//
ModE-MoO42-	aceE//sdhB//dapB//phnO//cysC//lpxB//prpE//mhpE//paaF//glpC//nagA//ugpQ//fumB//iscS//
NarL-Phosphorylated	yfbR//ispE//yfeW//bioD//fucO//bcsB//astD//sucD//mltC//waaH//paaK//waaH//citC//fucK//sucC//upp//prs//lacA//torC//ugpQ//frdB//tehB//bioA//ilvM//uxaB//serC//agp//citG//mhpB//citE//ndh//moaA//cheB//ilvG_1//acnA//lacZ//uxaC//aroG//
NarP-Phosphorylated	deoD//napC//deoD//phoA//folE//astE//hycE//argE//deoB//tdcE//ampD//
NhaR-Na+	melA//pgaC//prmC//argA//aroF//
NikR-Cd2+	gcvT//
NikR-Co2+	gltD//
NikR-Cu2+	deoB//
NikR-Ni2+	pck//
NikR-Zn2+	tdh//
NrdR-ATP	pgaD//ilvI//purM//hflX//
NrdR-Zn2+	rhaB//abgA//hmp//agp//
NrdR-dATP	fumB//gabD//yjeF//purK//
NsrR-2Fe	nrdA//nrfA//dusB//yqjH//hmp//dapD//lpxB//argI//waaH//aceF//yiaK//atoD//codA//galM//fabZ//fadJ//glcF//lysU//oxc//udp//nanE//lysU//sucD//ndh//nanA//yeaE//ahpC//bcsA//glpE//malP//
PhoB-Phosphorylated	hycF//speA//avtA//rbsK//uxaC//trpD//cysJ//ubiG//metA//ynfH//purE//pck//carA//hypF//purN//malS//hycF//truB//tsaE//pgaD//
PhoP-Phosphorylated	ilvD//paaI//argG//acnA//nanK//prpC//ilvA//entB//argH//tehB//purE//idnD//speA//glcF//speC//trpE//bcsZ//folE//puuA//waaH//dadA//argG//ogt//astB//purB//malS//purL//fadA//lpxB//glpB//phnG//slt//purL//paaZ//cysG//
PrpR-2-methylcitrate	mhpE//waaH//acs//hycB//
PurR-Guanine	purM//dadA//tnaA//hflX//glpK//entH//ilvA//glcD//phnN//cpdB//atoD//galK//cheB//purE//sdhA//glcE//gatZ//ynfH//lpxA//glpA//avtA//guaB//cysN//ubiC//amn//astA//tsaE//
PurR-Hypoxanthine	ugpQ//gapA//abgA//ascB//tehB//avtA//glpE//entH//ubiG//treC//udp//alkA//nrfA//lsrK//pheS//fadI//folE//katE//sodB//galT//pagP//napH//sdaA//gltD//prpC//phnI//galE//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	tauD//ynfH//feaB//pheS//
RstA-Phosphorylated	ilvA//hmp//murQ//
SoxR-2Fe_oxydized	cpdB//rutD//
TorR-Phosphorylated	ulaD//mhpB//gcvP//
TrpR-Tryptophan	garL//abgA//malQ//ilvE//rdoA//ldtC//gpmA//frdB//caiD//
TyrR-L-tryptophan	gpsA//aceE//mhpB//ulaE//acnB//sodB//yfdE//ogt//gcvP//
TyrR-Phenylalanine	ilvA//moaE//frdC//narG//fadD//dadX//gabD//abgA//psd//
TyrR-Tyrosine	phoA//deoD//ung//nrfD//oxc//ilvH//ynfH//idnO//moeA//
UhpA-Phosphorylated	caiA//
XapR-xanthosine	ogt//rhaB//
XylR-Xylose	frc//aroL//phnO//
ZntR-Cd2+	pdeF//
ZntR-Hg	metC//
ZntR-Zn2+	yjeF//
ZraR-Phosphorylated	
Zur-Zn2+	prs//
