# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	glpK//purM//fucU//dapB//
FNR-Fe_reduced	rutE//deoA//mhpA//pyrC//atoA//metL//moaD//ybjG//puuB//mhpF//gabT//nagB//aceF//garL//deoA//ugpQ//malY//manA//dapB//cpdB//cheB//ynfF//miaA//hycC//rhaA//ulaE//cysC//araB//trpB//uxaC//hyaA//yjeF//nagB//manA//yeaE//pagP//aspA//entF//tyrB//ispE//aldB//rutE//tehB//glpA//thrS//pgk//rutD//lacA//alkA//purB//dusB//frdA//cynS//katG//ynfF//aroA//betA//argC//malY//caiC//purB//ppiA//preA//xdhA//hypB//nrdF//uvrA//astA//glpE//ilvG_1//sucD//katE//gcvH//acnB//torA//fadH//fadD//moeB//serA//fadH//metK//kbaZ//pagP//kbl//rutC//allE//truB//narG//pnp//deoA//garR//aroA//glnA//dadA//cysH//pgk//prpD//sodA//gpmA//dgcZ//aroF//ackA//speB//atoD//cysD//galM//fumA//katG//glcB//aspA//kbl//ndh//dusB//aspC//glpA//argH//argH//pgpC//dsdA//tdcG//lpxA//ybjG//prs//frdC//argC//idnO//xylA//
FhlA-Formate	uxaC//bcsZ//phnO//entB//hycG//xapA//icd//
FucR-L-fuculose-1-phosphate	gdhA//hycG//speA//malP//ilvA//cysN//
Fur-Fe2+	puuB//fadA//fadJ//rutA//caiD//dadX//paaG//hycD//pyrC//ogt//tdh//aroG//trpC//argG//gnd//truB//tadA//pgpC//nagA//cpdB//aroG//paaK//citE//treC//glpX//fucU//rhaA//speC//hycE//tyrA//gltD//pyrD//gatY//fbaA//speB//manA//allC//xdhB//rhaA//rutE//aldA//dadX//paaC//malZ//ubiG//gapA//aroA//purN//alkB//psd//sucA//entE//glpK//pgaD//phnI//citG//citE//cyaA//metB//glpC//hypB//allC//ahpF//puuD//alkB//purK//pgaB//sucC//glcF//
Fur-Mn2+	alkA//glpC//fabZ//ssuD//bacA//entA//avtA//aceA//tnaA//atoD//hyaA//hyaB//gltB//nrfC//citC//rutD//amn//pgpC//nanM//tdcE//aceE//malQ//glyA//rutD//fumB//dmsA//gatZ//rutE//ansB//trpD//paaI//serC//fbaA//ulaD//frdB//galT//ulaE//katE//prpB//glcE//astB//ftnA//feaB//purC//tehB//hypF//phnN//bcsB//aroA//hpt//nrdD//dnaE//prpC//hycD//xylB//acnB//tehB//uxaB//idnD//fucA//epd//entE//argG//cynS//prmC//tnaA//garL//acs//argI//
GlcC-Acetate	aroF//ascB//hycD//
GlcC-Glycolate	hypF//phnG//betB//
GlrR-Pasp56	
IclR-pyruvate	phoA//sodA//cysK//
IdnR-5-ketogluconate	ulaD//ulaF//metB//paaE//paaZ//aceB//
IdnR-Idonate	ppiA//bioF//moaA//nrdB//tdcG//nrfB//
IlvY-2-acetolactate	lsrF//
IlvY-Alfa-acetohydroxybutirate	codA//
IscR-2Fe	cpdB//allC//nadC//cyaA//aroA//astC//pheT//
LldR-L-lactate	nirB//melA//
Lrp-Leucine	pgaB//entD//aroF//sgbU//ulaF//hypB//paaJ//ynfF//aroA//gcvT//lpxD//mhpF//pheS//xylB//acnB//zwf//lpxA//pdeF//hycG//nrfC//metE//argF//pflB//argH//pyrD//napB//xdhA//glnA//udp//galM//codA//nrdF//abgA//glpA//aspC//paaC//galT//moeA//gdhA//
LsrR	aldB//cysI//glcF//ilvC//mpl//
MalT-ADP-Maltotriose	xylA//narG//metK//dapD//mhpB//fucA//
MalT-Maltotriose-ATP	alaA//ispE//cheR//upp//edd//narI//
MelR-Melibiose	zwf//rhaD//
MetJ-S-adenosylmethionine	hycB//hyaC//entE//argF//edd//nanE//phnJ//purF//codA//hycC//
MetR-L-homocysteine	aroL//napG//ubiA//paaH//
MhpR-3-DHPP	betA//zwf//malY//hyaA//mhpC//sodB//
MhpR-3HPP	nrdF//paaI//galK//fadH//treC//speC//
MntR-Cd2+	bioA//speB//
ModE-MoO42-	torA//hycB//ilvN//hcp//uxaC//astB//citF//atoA//tnaA//nagA//pncB//rutD//fucU//nrdE//
NarL-Phosphorylated	tktB//aceF//udp//gcd//nrdA//fadB//waaH//napC//atoA//nrfD//acnA//fadH//tdcB//argE//astE//fadE//gcvP//cdd//xdhB//torA//bioB//gntK//mutL//rbsK//nanA//bcsB//hycE//cheR//pheT//glpA//uvrA//ahpC//lacA//glpC//rhaB//atoB//ynfE//frdD//
NarP-Phosphorylated	allC//rhaA//sodA//argD//epd//fadE//dadX//bioB//galT//speB//cheR//
NhaR-Na+	frdB//sodB//paaA//appA//fau//
NikR-Cd2+	upp//
NikR-Co2+	purE//
NikR-Cu2+	hycD//
NikR-Ni2+	polA//
NikR-Zn2+	cysN//
NrdR-ATP	gpsA//deoA//aceB//ftnA//
NrdR-Zn2+	nanE//hmp//mhpF//fau//
NrdR-dATP	cpdB//ilvH//mutL//ilvM//
NsrR-2Fe	moaA//glgX//tktB//paaH//idnO//napB//ampD//purH//glpQ//nanA//glpQ//iscS//phnM//pgaC//torC//citE//hmp//sodA//aroA//metH//ynfH//araB//purB//glpX//aceB//glpK//nanK//yeaE//pagP//tsaE//
PhoB-Phosphorylated	ynfF//malZ//phnM//ilvG_2//malZ//udp//lyxK//ogt//sucA//frdA//narH//tauD//dmsA//phnG//fdhF//ftnA//speC//moeA//puuD//mutL//
PhoP-Phosphorylated	moeB//lpxB//lhgO//narH//rbsK//nrfD//uxuB//xdhC//melA//moaE//ilvN//metC//paaG//sdhC//lpxA//purD//glnA//ada//prmC//cynT//aceA//metL//srlD//uxaA//garK//trpA//nrfA//ynfH//phoA//galK//gntK//napC//ilvA//paaH//narI//
PrpR-2-methylcitrate	eda//phnO//glpD//ubiC//
PurR-Guanine	fabZ//phnP//glcF//gatY//alkB//katG//katE//lysU//gnd//appA//prpD//gltD//bioA//pta//ilvG_2//paaE//frdC//fabZ//glyA//paaZ//aroA//xdhB//rdoA//recF//yfeW//nanA//malS//
PurR-Hypoxanthine	hycF//cyoE//cysJ//fucU//paaI//ada//ilvM//lpxB//glpA//speC//tyrB//carB//argE//glpD//dgcZ//glgX//fadA//edd//glpB//galE//gltD//xapA//gadB//codA//ilvB//ilvD//aroA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	sgbU//lyxK//pgaB//oxc//
RstA-Phosphorylated	nrdD//ldtC//lacA//
SoxR-2Fe_oxydized	fadE//tdh//
TorR-Phosphorylated	paaH//napH//araA//
TrpR-Tryptophan	nrfC//phnH//rutD//pck//srlD//aroG//phnL//folA//ascB//
TyrR-L-tryptophan	sgbH//bioF//tsaE//hcp//lsrF//torC//ilvH//zwf//fbaA//
TyrR-Phenylalanine	fdhF//moaA//polA//astC//pgk//paaC//entA//hyaC//ubiA//
TyrR-Tyrosine	fadH//umpH//malQ//astB//cysK//fbaA//cyoE//mpl//phnG//
UhpA-Phosphorylated	yfdE//
XapR-xanthosine	appA//frdA//
XylR-Xylose	fadJ//hcp//phnG//
ZntR-Cd2+	alaS//
ZntR-Hg	idnD//
ZntR-Zn2+	psd//
ZraR-Phosphorylated	
Zur-Zn2+	aspC//
