# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	prpE//fumC//fucO//narI//
ChbR-Monoacetylchitobiose-6P	dsdA//rbsK//argG//
CpxR-Phosphorylated	cysM//fdhF//aspC//aldB//cysD//puuC//ada//metB//argC//glpX//metC//waaH//kbaZ//ung//ybjG//galK//rdoA//alaS//narG//katG//frc//galT//
CreB-Phosphorylated	cyaA//paaH//hypB//
CueR-Ag	narG//aroH//uxuA//miaA//
CueR-Cu+	phnI//gutQ//lacA//cysI//
CuerR-Au	dadA//napB//purC//narH//
CusR-Pasp	napH//sucD//aroL//
CynR-Cyanate	dadA//malZ//ampD//
CysB-N-acetyl-L-serine	pdeF//gntK//iscS//caiD//idnO//ilvH//sucC//dmsC//katE//chbG//waaH//cysN//nirB//sdaA//dapD//lpd//
CysB-O-acetyl-L-serine	nirB//rutA//napH//ilvC//glgA//frdB//glgP//rutB//bglB//ugpQ//gdhA//gltD//glpC//ogt//glpC//alkA//sdaA//
DcuR-Phosphorylated	rutC//glpD//pyrD//astD//
DnaA-ATP	glpK//nanM//hycD//dmsC//fumB//deoC//
DpiA-Pasp	zwf//gatY//mpl//ynfH//paaF//
DsdC-D-serine	rhaB//nanA//
EvgA-Phosphorylated	glpB//gabD//cysD//xylB//argI//
FNR-Fe_reduced	preT//nanA//cysD//hyaA//polA//uvrA//carA//gpsA//sgbE//nrfA//garK//fumA//hycB//pta//hycE//galK//prpC//katE//pagP//cheB//epd//aroA//purN//purB//nirB//edd//alkB//sdhB//bacA//prpC//nrdB//pheS//astC//uxaB//mtlD//rhaD//moaE//lysC//allC//gcvP//udp//napC//phnO//moaA//udp//malP//metC//ilvG_1//phnJ//argE//cdd//fes//appA//ubiA//ybjG//idnO//aldB//narI//cysN//idnD//glcD//patZ//argI//nrdA//astE//ynfF//yfdE//gpsA//chbF//pflB//lysC//alkB//paaZ//pgaC//garK//ansB//xdhA//fadJ//puuC//tsaE//pck//fumA//amn//argE//lacA//glgX//paaF//agp//recF//prpE//ogt//ynfE//allE//fucI//bioF//pgaB//astB//tdcE//araB//tdh//malQ//purD//icd//yiaK//glgC//deoC//tnaA//serC//mhpA//ppiA//ilvG_2//mutY//pck//gcvH//lpxA//lpxD//fau//moaD//tam//nrfB//phnG//dadA//glcE//acnB//umpH//purF//hycC//
FhlA-Formate	aldB//citC//dapD//feaB//deoA//fes//pgaD//
FucR-L-fuculose-1-phosphate	xdhB//metL//glgC//folE//yjeF//nanE//
Fur-Fe2+	uidA//speA//paaJ//ogt//lysA//ppiA//atoB//chbF//entD//pflB//frdD//pgaD//uxaC//napG//yfeW//citD//argF//xdhC//galE//purL//hycB//umpH//kbaZ//rutB//xylB//glgX//mutY//fumB//rbsD//umpH//guaB//sodB//alaS//moeB//yfbR//yjeF//gabD//mpl//aceF//idnO//ilvI//pheT//recF//prpC//pgaC//rutD//moaA//deoC//malY//frdC//fes//purN//fumA//lysC//mutL//paaF//hyaB//rutB//sucC//moaE//phnP//preT//glcF//caiD//nrfB//tktB//deoB//nanE//dkgB//
Fur-Mn2+	nanK//hypB//polA//serA//mhpA//nrdB//dadX//aceB//oxc//entH//metE//purA//uxaB//gpmA//purL//araB//glgB//nanE//mhpC//fucI//tauD//paaB//aroG//purE//avtA//srlD//purK//argD//rutB//entD//sucB//uxuA//mutY//ubiC//astB//lsrG//ilvM//glgC//frdB//ahpC//citG//acnB//patZ//nagB//puuA//hmp//rbsK//ada//hycF//paaE//moaD//fucO//moeA//cdd//avtA//astA//glcB//torA//sdaA//ilvM//purD//mltC//idnK//ilvM//entB//cysI//katE//galK//aroL//
GlcC-Acetate	purA//speC//napH//
GlcC-Glycolate	argH//napG//gltB//
GlrR-Pasp56	
IclR-pyruvate	nrfA//atoA//sdhB//
IdnR-5-ketogluconate	metK//lacA//rhaB//hycE//icd//ilvM//
IdnR-Idonate	deoD//aceA//prpC//yjeF//rutA//phnI//
IlvY-2-acetolactate	ugpQ//
IlvY-Alfa-acetohydroxybutirate	aroG//
IscR-2Fe	cueO//lldD//ahpC//moeA//astB//fadH//gapA//
LldR-L-lactate	adhE//paaH//
Lrp-Leucine	ulaF//prpC//abgB//pheS//acnA//citD//argD//entF//paaA//zwf//cheB//xylA//fadH//nagA//prpD//icd//cysC//metL//agp//umpH//aceF//alkB//trpE//mhpE//cheB//deoC//malS//bcsA//bcsB//paaB//katG//citE//guaA//aspA//uvrA//yjeF//fadH//ldtC//astD//
LsrR	phnL//napA//udp//treC//caiC//
MalT-ADP-Maltotriose	kbaZ//glpA//cysN//pncB//fadH//pheT//
MalT-Maltotriose-ATP	carB//tauD//hcp//pncB//araD//frc//
MelR-Melibiose	aldA//ldtC//
MetJ-S-adenosylmethionine	aroF//glcB//edd//ubiX//trpD//dnaE//moaE//speB//tyrA//xapA//
MetR-L-homocysteine	allD//trpD//purF//glpB//
MhpR-3-DHPP	idnK//tyrB//astB//fes//cysC//allE//
MhpR-3HPP	cpdB//guaA//nirB//patZ//trpE//ubiA//
MntR-Cd2+	fabZ//fucI//
ModE-MoO42-	pta//prpD//pta//glpX//aroF//manA//dsdA//nanM//prpC//sdhA//icd//atoD//lpxD//glpK//
NarL-Phosphorylated	ascB//metE//lysU//galK//waaH//dapB//idnO//glgX//ubiG//rhaD//glgP//xdhC//tehB//citG//argI//purB//garK//betA//gpmA//yfbR//mdh//pgaB//alkA//phnN//murQ//purA//atoA//araA//dmsA//thrS//glyA//mdh//galE//acnA//deoD//idnK//manA//serA//
NarP-Phosphorylated	glpK//prpC//allE//tdcE//trpB//ybjG//pflB//citD//allD//glgC//paaK//
NhaR-Na+	dadX//adhE//argG//malS//gdhA//
NikR-Cd2+	phnM//
NikR-Co2+	folA//
NikR-Cu2+	malS//
NikR-Ni2+	paaI//
NikR-Zn2+	katE//
NrdR-ATP	ugpQ//dmsA//glcF//deoA//
NrdR-Zn2+	fumC//gcvH//ilvE//hycF//
NrdR-dATP	ybjG//xapA//purB//hyaA//
NsrR-2Fe	caiC//araA//glnA//hypF//glgX//zwf//bacA//aspA//bioF//paaZ//astA//waaH//pgk//cysK//manA//prs//ilvD//glpD//phnP//allE//lacZ//nagB//yfeW//galT//katE//bcsB//serC//narH//fabZ//ldtC//
PhoB-Phosphorylated	alkA//talA//frdC//tdcD//ogt//gltB//glpE//kbaZ//paaC//upp//nrfB//hcp//ilvE//nagA//trpA//gatY//fadA//fumB//gatD//dmsB//
PhoP-Phosphorylated	astC//betB//uxaC//idnD//bioD//alaS//argA//mltC//fbaA//mhpC//puuC//torA//malS//xdhA//xylB//metE//sgbE//glpA//prpD//argG//bioC//ilvN//glnA//astB//ftnA//glpA//ssuE//tnaA//moeB//nrdE//fucI//aroA//malQ//tsaE//sdhD//
PrpR-2-methylcitrate	glgC//speC//uxaC//aspA//
PurR-Guanine	tdcG//phnO//aldA//pgaB//alkB//rhaB//purL//nrdD//mhpE//hycF//ubiG//mdh//yiaK//ansB//gpsA//pgaC//pheS//lacZ//fadD//gcvP//metF//garL//gatZ//eda//allE//atoB//melA//
PurR-Hypoxanthine	trpE//tktB//citC//fadD//allD//aroH//deoD//glcE//argC//ulaE//gcd//cysC//metB//mhpC//srlD//moaD//udp//agp//phnJ//gntK//lyxK//tauD//sdhD//prmC//nrfC//prpE//paaF//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	lpxA//citE//puuA//hmp//
RstA-Phosphorylated	sdhC//melA//metC//
SoxR-2Fe_oxydized	ilvG_1//tauD//
TorR-Phosphorylated	pagP//gcvH//sucA//
TrpR-Tryptophan	hycD//uvrA//paaB//lsrG//serA//gltD//aldB//cysI//gnd//
TyrR-L-tryptophan	deoA//aldB//rdoA//uvrA//uxaA//preT//idnK//chbF//moaD//
TyrR-Phenylalanine	hmp//bglB//gcd//trpA//lldD//argA//rhaB//ada//sufS//
TyrR-Tyrosine	cysK//aroL//frc//malQ//abgB//metF//nrdA//melA//moaA//
UhpA-Phosphorylated	narG//
XapR-xanthosine	paaE//appA//
XylR-Xylose	fadI//acs//preA//
ZntR-Cd2+	lpxA//
ZntR-Hg	cynT//
ZntR-Zn2+	nrdF//
ZraR-Phosphorylated	
Zur-Zn2+	pflB//
