# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	fadI//entA//ppiA//melA//
ChbR-Monoacetylchitobiose-6P	purF//yjeF//entH//
CpxR-Phosphorylated	bcsB//lacA//edd//hypB//rutA//prs//deoD//fadH//glcD//purE//ulaF//moaE//dapB//pgaC//rutD//cysJ//aroG//ilvH//pyrD//malP//fumC//yfeW//
CreB-Phosphorylated	pncB//garR//aroG//
CueR-Ag	nirB//nanE//manA//ilvN//
CueR-Cu+	nadC//tktB//bioA//gdhA//
CuerR-Au	edd//mhpF//preA//yeaE//
CusR-Pasp	trmD//tdh//rhaD//
CynR-Cyanate	aroA//phnH//yfdE//
CysB-N-acetyl-L-serine	fumC//pgk//nirB//moaA//cysN//ansB//torC//entF//hflX//allD//idnO//argI//ampD//araB//gltA//gatD//
CysB-O-acetyl-L-serine	malY//trpA//napA//aldA//purF//ilvB//pgaB//xapA//trpE//mhpE//yeaE//pck//glpC//mltC//argH//sucB//frdA//
DcuR-Phosphorylated	icd//ascB//glpE//citX//
DnaA-ATP	cysJ//glcD//puuC//betA//gadB//ahpF//
DpiA-Pasp	lyxK//pheT//glgX//ackA//glcF//
DsdC-D-serine	mutY//lhgO//
EvgA-Phosphorylated	mutL//gcvH//araD//tsaE//fadD//
FNR-Fe_reduced	prmC//astE//allD//ubiA//nrfB//alaA//cynT//abgA//nagA//avtA//paaC//hyaA//ascB//paaK//ftnA//slt//mltC//moaE//ahpC//malZ//ilvD//hyaC//serA//glgP//gapA//caiA//gltD//rhaD//tdcG//argB//araB//gcvT//uxuB//aceB//narI//nanM//lsrF//fadI//katE//yiaK//ubiG//gutQ//aceF//miaA//ulaF//nadC//fdhF//ilvC//kbaZ//garR//uidA//narG//rutE//aroL//serC//napG//speB//dadX//metK//cysM//pgaB//deoC//fadB//fucK//aspC//cysI//entD//fadJ//sdhB//aroL//cpdB//purH//paaB//sdhA//yeaE//acnB//ubiG//ugpQ//mhpF//xylB//pyrD//yfeW//moeA//lpxA//cysG//pdeF//xdhB//deoD//ulaE//puuD//ynfE//ldtC//cpdB//nagA//speB//ynfG//icd//dapB//malZ//phnO//xdhB//garK//metK//argI//pyrD//glpE//ansB//ansB//gntK//puuD//feaB//uxuA//ulaF//argI//gatY//frc//lpxD//lysU//nagA//tktB//allE//nrfB//allD//thrS//sgbH//pgaD//rbsD//
FhlA-Formate	agp//cyoE//purF//sufS//lacZ//purH//allC//
FucR-L-fuculose-1-phosphate	glgP//gnd//garL//allC//phnJ//avtA//
Fur-Fe2+	codA//argI//paaC//betA//mhpC//rbsD//yiaK//ilvM//tdcG//mltC//glpA//entE//tyrB//mpl//upp//hemL//narH//dgcZ//dapD//abgA//gabT//dgcZ//trpB//garK//lysU//fdhF//phnG//aroF//nanA//eda//fucK//mhpD//mutL//cysH//malY//narH//hyaA//glnA//acnA//mutY//fucI//astB//bcsZ//sdhB//yfeW//pgaB//glcE//eda//dadX//nrfB//pdeF//ynfG//metE//aceB//nrfC//alkA//gltA//eda//astD//trpD//cueO//alkB//pgaD//yfbR//dmsA//glgC//glcD//glpK//ampD//
Fur-Mn2+	ilvB//mhpF//appA//puuC//dmsA//trpE//sufS//hycE//paaC//udp//fbaA//sgbH//ssuE//gpsA//allC//purA//aceF//tam//betA//citC//ulaF//zwf//deoD//galM//citX//agp//glgB//trpC//udp//yfdE//glcF//paaK//tdh//uxaA//lysU//rbsK//hemA//phnG//aroL//moeB//fadD//ansB//edd//atoB//uvrA//bioA//entD//citE//sdhD//ldtB//pgaD//sucD//ppiA//aceE//ndh//lsrG//fdhF//chbG//fadD//dmsC//puuC//alkB//cysN//gpsA//carA//pgaB//dnaE//pagP//cysH//
GlcC-Acetate	purM//nagB//glnA//
GlcC-Glycolate	nrdE//phnG//pnp//
GlrR-Pasp56	
IclR-pyruvate	cysD//ppiA//bcsZ//
IdnR-5-ketogluconate	ilvE//ynfG//astC//uxuA//tdcE//gltD//
IdnR-Idonate	metH//deoD//trpC//metB//narG//astB//
IlvY-2-acetolactate	hflX//
IlvY-Alfa-acetohydroxybutirate	dapB//
IscR-2Fe	fadH//dgcZ//gltA//napA//glpQ//argB//glgX//
LldR-L-lactate	paaC//fucK//
Lrp-Leucine	paaE//allC//purN//astD//aceB//araA//gcvH//rhaA//argC//prs//glcD//bcsZ//pgaD//mhpF//mhpB//argI//codA//hycB//hyaB//bioD//xdhA//nrfA//aroG//argD//entD//yjeF//ilvM//lhgO//paaF//narH//pgpC//frdD//ybjG//mhpF//sdhD//tadA//tyrB//melA//hycD//
LsrR	lldD//folA//sgbH//gutQ//yqjH//
MalT-ADP-Maltotriose	torC//dapD//galT//rutB//folA//appA//
MalT-Maltotriose-ATP	phnP//trpB//phnG//betA//lldD//puuD//
MelR-Melibiose	aceF//citX//
MetJ-S-adenosylmethionine	pgpC//lpxA//hpt//acs//udp//dadA//waaH//lacZ//ynfG//fbaA//
MetR-L-homocysteine	ldtC//rnpB//manA//nanM//
MhpR-3-DHPP	citF//glcD//fes//pta//entH//lhgO//
MhpR-3HPP	aldB//moeA//argB//acnB//gltD//gcd//
MntR-Cd2+	galK//rutC//
ModE-MoO42-	purC//hycE//alkB//abgB//manA//tehB//glgC//nrfB//dadX//icd//purN//pyrD//carB//preA//
NarL-Phosphorylated	tdcB//sgbU//melA//paaI//entD//gltB//nrdF//gpsA//chbF//hyaC//iscS//hyaC//sgbU//bcsB//umpH//lpd//yfdE//trpE//pta//gcvH//puuB//pheT//gabT//gcd//purE//nanE//cheB//mdh//tehB//upp//truB//hcp//paaZ//cynS//entB//fau//purE//caiB//
NarP-Phosphorylated	gltA//citE//tdcB//purH//tadA//citF//hcp//ubiG//hyaC//katE//bioF//
NhaR-Na+	lacA//nrfD//paaI//uxaC//ilvE//
NikR-Cd2+	sdhA//
NikR-Co2+	hyaA//
NikR-Cu2+	melA//
NikR-Ni2+	rutA//
NikR-Zn2+	betA//
NrdR-ATP	frdB//hycD//gltA//malP//
NrdR-Zn2+	xdhC//lpxD//glpB//carA//
NrdR-dATP	dmsC//lpxA//ilvA//folA//
NsrR-2Fe	glpQ//glpC//malZ//garL//mhpE//puuD//lpd//sgbE//glgP//phnJ//glgC//gltB//uxaC//metF//tsaE//ubiG//miaA//glcD//udp//fadE//aldB//ilvG_2//ispE//puuB//bioC//mdh//glpA//argB//fumB//gatD//
PhoB-Phosphorylated	dsdA//sucC//purB//xdhA//metK//acnB//fabZ//fucK//fadH//dsdA//moaD//pgaB//trmD//lldD//aldA//paaI//gntK//purC//tam//idnD//
PhoP-Phosphorylated	mhpE//cpdB//entH//tsaE//lysU//xylA//tsaE//astE//tnaA//mhpA//yfbR//lsrG//phnJ//hmp//glcE//bioF//hypF//dapD//ahpF//nrfA//malS//gcd//xdhC//citC//acnB//moaE//tadA//cysD//frdB//pck//truB//garK//phnO//cyoE//chbG//
PrpR-2-methylcitrate	rutC//astA//chbG//nagB//
PurR-Guanine	ynfH//argE//citF//caiC//atoD//ilvG_2//agp//gcd//speC//argE//chbF//glcE//moaA//gpmA//phoA//garR//psd//lyxK//idnK//tnaA//lacZ//ndh//katE//cysC//psd//entE//gabT//
PurR-Hypoxanthine	ilvB//caiD//bcsA//garR//paaE//astC//ahpC//prpD//aspA//glcB//puuB//zwf//atoD//cadA//ppiA//atoB//ubiA//xdhA//rutB//codA//yfbR//argI//ilvE//avtA//codA//gpsA//idnO//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	preT//hycG//trpD//aldA//
RstA-Phosphorylated	nanA//uxaA//aldB//
SoxR-2Fe_oxydized	purA//gabT//
TorR-Phosphorylated	xylA//ilvM//hpt//
TrpR-Tryptophan	udp//serC//codA//uidA//ahpF//atoA//psd//gatD//hcp//
TyrR-L-tryptophan	betA//hemA//entC//glgX//paaZ//araD//ynfE//ubiG//argD//
TyrR-Phenylalanine	tyrB//ung//speA//cysK//hypF//ndh//fucU//ackA//puuC//
TyrR-Tyrosine	sodB//ahpF//hycG//puuE//rutE//alaA//mhpA//lpxB//ubiC//
UhpA-Phosphorylated	pflB//
XapR-xanthosine	glpQ//fucO//
XylR-Xylose	waaH//nanM//astB//
ZntR-Cd2+	glyA//
ZntR-Hg	codA//
ZntR-Zn2+	purN//
ZraR-Phosphorylated	
Zur-Zn2+	purE//
