# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	preA//astC//glyA//mhpF//
ChbR-Monoacetylchitobiose-6P	icd//rhaD//ldtC//
CpxR-Phosphorylated	ynfH//ldtC//nrdE//rbsK//prpC//polA//avtA//speA//dusB//deoA//patZ//deoB//nagA//ilvM//puuD//galK//argG//dgcZ//avtA//nrdA//nanE//mhpE//
CreB-Phosphorylated	pheT//ndh//nanM//
CueR-Ag	puuE//pyrC//sucB//garK//
CueR-Cu+	nrdB//hyaB//purA//araD//
CuerR-Au	moeB//phnL//ispE//bioB//
CusR-Pasp	fadH//alaA//argC//
CynR-Cyanate	hyaA//abgB//pgaB//
CysB-N-acetyl-L-serine	cynS//cheR//gpsA//rbsK//fadI//fbaA//sodA//frdA//hycG//mhpB//ilvH//phnJ//miaA//abgA//gnd//phnM//
CysB-O-acetyl-L-serine	fucI//lsrK//napA//moeA//ulaF//nrfC//ndh//purL//puuE//polA//entA//sucC//purM//aldA//malP//speB//lysU//
DcuR-Phosphorylated	aldA//dsdA//nrfA//paaK//
DnaA-ATP	sucD//entH//glgC//trpD//ahpF//katG//
DpiA-Pasp	lpxA//ftnA//dmsB//argA//udp//
DsdC-D-serine	ada//chbG//
EvgA-Phosphorylated	moaA//galT//moeB//rutA//gntK//
FNR-Fe_reduced	trpE//ahpC//tsaE//ilvN//cynT//ppiA//phnH//tktB//xdhA//pgaC//abgA//iscS//galT//gcvT//purN//gabD//allD//alaS//paaH//tktB//prpC//slt//ahpF//paaF//tdcE//ilvG_1//gcd//dmsB//gcd//gnd//astA//hycF//dmsA//cynS//iscS//rdoA//pgk//ndh//alaA//atoB//argE//gabT//cysC//napG//prpC//paaA//rutE//fumB//tsaE//bioB//bioB//phnI//ilvB//phnG//entF//fucK//phnJ//mltC//ldtB//moaA//rutC//folA//atoB//treC//nrfB//cysJ//abgB//paaE//glcF//dsdA//metE//gltB//bglB//caiA//trpD//glcB//fumC//argD//cynT//speA//glgA//talA//argA//astA//narH//araB//ansB//astA//uxuB//gcd//astC//puuE//citX//nanK//aroG//dapB//araA//moaE//nrdD//icd//malS//paaI//entE//aceF//glpX//rbsD//nanA//mhpB//purB//cysG//ynfF//ulaE//guaB//mhpA//prpC//torA//dapB//cysM//aldB//garR//ilvE//moeA//bioC//nrdF//lysA//uxuB//katG//
FhlA-Formate	fadH//tdcD//phnN//lsrF//dadX//dmsC//fumC//
FucR-L-fuculose-1-phosphate	sdhC//pgaB//napG//nrdA//fadE//tam//
Fur-Fe2+	rutA//ascB//purN//puuD//pyrC//lhgO//nrfC//phnL//araB//hycD//metL//amn//trpD//ascB//puuB//betA//lacZ//argF//ynfG//bcsZ//phnH//rutC//tktB//glcB//metL//torC//lldD//glcD//pgk//dadA//iscS//psd//sgbU//pgk//gatZ//pnp//fucO//serA//dmsB//rhaD//purF//astB//rutA//yjeF//purD//hmp//fadJ//cysJ//araD//ubiX//aldB//psd//hycE//metE//mutY//bacA//purC//guaA//glcD//glcB//aceB//tam//purD//moaE//purF//fdhF//pnp//ilvD//ogt//
Fur-Mn2+	dusB//fadB//gpmA//ftnA//lpd//nrfA//chbG//paaZ//murQ//purE//bacA//hyaC//xylA//melA//puuE//rdoA//prpC//gcvT//lacA//entF//cynT//guaB//uxuB//napC//trpA//nadC//oxc//atoB//mtlD//hycD//hycB//caiB//dusB//argG//cysJ//lldD//ilvD//cysK//fucU//srlD//moaD//dmsA//lsrG//bioC//moaE//mhpE//phnG//prpE//frdC//alaS//napA//udp//gltD//argH//hycF//glyA//nadC//allD//ampD//paaA//fadH//glcD//ackA//ugpQ//yfbR//atoD//glpQ//bioA//hemL//
GlcC-Acetate	prpC//rhaB//ada//
GlcC-Glycolate	nrdF//manA//yqjH//
GlrR-Pasp56	
IclR-pyruvate	astB//gapA//tdcD//
IdnR-5-ketogluconate	fadE//speA//purC//gatZ//lpd//entE//
IdnR-Idonate	cheB//puuC//metE//malZ//citF//argB//
IlvY-2-acetolactate	purF//
IlvY-Alfa-acetohydroxybutirate	nanM//
IscR-2Fe	serA//prpB//argD//rhaD//truB//psd//miaA//
LldR-L-lactate	ulaD//ampD//
Lrp-Leucine	carB//rbsD//metC//ackA//malS//bioD//napH//nirD//ssuD//fdhF//glpK//nanK//galT//glcB//fdhF//icd//rhaA//xdhA//waaH//gnd//puuB//uxaC//speC//paaG//cyoE//epd//aroG//mhpD//phoA//cysJ//fadB//speB//bioF//dmsA//aroF//katE//cpdB//yqjH//bioB//
LsrR	gapA//astC//rhaA//hycC//aspC//
MalT-ADP-Maltotriose	cysJ//miaA//dsdA//nirD//rbsK//argG//
MalT-Maltotriose-ATP	entD//rhaA//frdD//gatY//rdoA//deoB//
MelR-Melibiose	treC//citE//
MetJ-S-adenosylmethionine	hyaC//yjeF//adhE//metF//ilvN//zwf//ynfF//pgk//idnD//gabT//
MetR-L-homocysteine	ahpC//nrfB//ubiA//citC//
MhpR-3-DHPP	gcvH//cysK//purK//murQ//cysM//adhE//
MhpR-3HPP	nanK//narI//bacA//thrS//paaJ//fadI//
MntR-Cd2+	sdhC//pheS//
ModE-MoO42-	rhaB//hemL//bioA//bglB//gatZ//lpxA//alkB//citE//fucU//deoA//edd//sodA//gatD//allC//
NarL-Phosphorylated	purB//xdhB//uxuA//lpxD//gnd//sgbU//malZ//fadJ//bioA//entH//gapA//nrdF//sdhA//rutD//rutA//pgaC//hpt//glgB//ilvN//purC//ung//cpdB//atoD//folA//trpE//yeaE//glgA//cynT//rutA//glpB//caiC//phnP//lysA//aroH//phnJ//amn//napA//folA//
NarP-Phosphorylated	gcvP//ubiC//mhpD//gutQ//glpA//fucU//glcF//caiB//thrS//purM//dadA//
NhaR-Na+	metE//ulaE//pdeF//araB//ilvN//
NikR-Cd2+	uxaB//
NikR-Co2+	napA//
NikR-Cu2+	hycB//
NikR-Ni2+	cpdB//
NikR-Zn2+	cheR//
NrdR-ATP	gntK//hycG//argI//sucC//
NrdR-Zn2+	rbsD//betA//cyoE//lpxB//
NrdR-dATP	yfeW//fucK//lyxK//hflX//
NsrR-2Fe	aceE//ilvG_2//caiB//icd//trpB//hflX//purB//araA//atoD//frdD//paaE//tadA//hycD//sucC//nanK//phnI//phnN//phnM//metA//moaA//gntK//puuC//ulaE//guaB//amn//bacA//slt//ubiA//lsrK//nanA//
PhoB-Phosphorylated	tdcD//ilvD//trmD//glpX//ssuD//tauD//sucC//zwf//nrfD//argI//fbaA//hmp//tktB//katE//gpsA//ada//glpC//moeB//idnO//srlD//
PhoP-Phosphorylated	ynfH//hcp//bcsB//yfeW//gutQ//dgcZ//tktB//hypF//mpl//frdB//feaB//rutD//ynfG//sdhA//hyaB//galK//upp//garK//fau//purD//argG//glpQ//nanA//nrfA//paaZ//betB//lacZ//phnG//aroA//preA//napB//caiD//aroL//sdaA//ugpQ//
PrpR-2-methylcitrate	avtA//dmsC//glgX//aroL//
PurR-Guanine	hcp//ubiC//fucA//glgX//uxuB//srlD//sucD//tnaA//lpxA//trpE//atoB//phnO//ascB//rutB//nagA//gntK//metE//acnA//ilvM//uxuA//caiB//alaA//prs//entA//ubiC//glpA//ubiA//
PurR-Hypoxanthine	ung//abgB//phnH//uidA//pheT//garK//aroH//nrfD//fadD//aldA//glpB//rutB//tyrA//gdhA//atoB//phnO//entB//dadX//alkB//uxaA//mhpB//bcsB//uxaA//bacA//atoA//nanE//nrfC//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	dmsA//gapA//prmC//glpC//
RstA-Phosphorylated	ubiG//lpd//argC//
SoxR-2Fe_oxydized	argB//citF//
TorR-Phosphorylated	hmp//glnA//cysI//
TrpR-Tryptophan	uxaA//hycG//treC//lldD//sucD//purN//cysM//garL//frdB//
TyrR-L-tryptophan	nirB//garL//sodA//aroH//idnD//mhpC//hemA//atoD//torA//
TyrR-Phenylalanine	speB//alaA//metC//hycG//pnp//ampD//talA//napH//ilvE//
TyrR-Tyrosine	hycE//dnaE//nagA//melA//polA//cadA//icd//speB//araB//
UhpA-Phosphorylated	entH//
XapR-xanthosine	gltB//glgB//
XylR-Xylose	caiC//purK//napC//
ZntR-Cd2+	trpC//
ZntR-Hg	miaA//
ZntR-Zn2+	ilvA//
ZraR-Phosphorylated	
Zur-Zn2+	bioD//
