# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	glpX//trpE//preT//hycC//
ChbR-Monoacetylchitobiose-6P	cueO//acnB//cadA//
CpxR-Phosphorylated	aroG//slt//cpdB//cysJ//aspC//manA//aroG//epd//mpl//nrdE//gadB//pncB//edd//argG//atoA//hycD//ulaE//hyaA//acnA//yjeF//purB//adhE//
CreB-Phosphorylated	purF//rdoA//pdeF//
CueR-Ag	argH//sdhD//ubiX//bioF//
CueR-Cu+	tdcB//fadB//cysC//edd//
CuerR-Au	argF//mhpE//recF//acnA//
CusR-Pasp	yiaK//pheT//napA//
CynR-Cyanate	gntK//lpxD//ilvN//
CysB-N-acetyl-L-serine	gpsA//sgbU//deoA//gcvH//ilvH//tyrA//astE//acnA//hflX//puuE//fbaA//lyxK//upp//yfeW//pta//malQ//
CysB-O-acetyl-L-serine	phnL//lysA//pck//mltC//nrdA//argF//dmsC//dsdA//glpB//fes//carB//paaZ//rbsD//tam//malQ//tyrA//glpQ//
DcuR-Phosphorylated	adhE//gutQ//frdA//purH//
DnaA-ATP	sucB//xdhC//mhpE//tdcB//sodA//cyoE//
DpiA-Pasp	nirB//phnN//bioC//hpt//nrdD//
DsdC-D-serine	lyxK//rhaD//
EvgA-Phosphorylated	trmD//ssuE//glpQ//lysC//lysA//
FNR-Fe_reduced	tehB//guaA//murQ//metB//ssuD//bioB//fadD//atoD//cysM//fdhF//rutB//mhpD//yeaE//purN//nrfC//dmsB//rutE//narI//phnM//argA//hycG//allD//torC//hyaB//hyaC//cysG//acnB//tdcB//cysD//hycE//metA//pnp//rutE//rutA//acs//puuB//phnG//deoC//paaJ//waaH//xylA//dadA//kbl//napA//fucO//mltC//citF//rutD//nanE//aceE//uxaC//hyaB//deoD//hflX//aldB//aldA//hyaB//fdhF//trpB//gabD//mhpA//ldtB//cysJ//frdC//cysK//moaA//ynfH//folA//hycE//ahpC//ilvE//fadI//frc//metF//prpB//trpE//prs//mhpB//mhpF//cysK//gpmA//tam//icd//citE//cadA//hypB//aldA//pncB//trpB//paaI//astE//mpl//metB//ubiC//cysD//ilvD//malQ//dgcZ//tdcE//dmsC//prpE//aroA//trpA//psd//gabT//napB//gabT//aceE//lacZ//caiD//purB//ung//nrdD//sucD//folA//entH//xapA//caiD//pgpC//hemA//hmp//glcB//gabD//lpxA//paaZ//galE//araA//
FhlA-Formate	fadI//phnI//nrdA//yjeF//caiB//prpC//bioF//
FucR-L-fuculose-1-phosphate	deoB//paaB//entE//kbl//sdhC//paaJ//
Fur-Fe2+	miaA//metK//gltA//astB//trpC//yeaE//gapA//atoD//lpxB//rutE//dapD//xylA//fumA//ahpC//ulaE//dmsB//entH//fes//ulaF//chbG//waaH//rbsK//torA//appA//fucU//lhgO//prs//idnD//alkB//tdcB//paaH//trpB//puuB//fadH//frc//galT//glpC//metH//prmC//puuB//hemL//paaI//paaA//nrdE//pgaC//ilvE//treC//xapA//gpmA//hmp//metB//nanK//ynfH//hyaC//uxuA//mutL//puuC//hycF//phoA//xylB//guaA//deoC//yiaK//paaG//uxuB//paaB//argC//kbl//prpD//
Fur-Mn2+	ppiA//aroH//galK//allC//pta//aroA//malQ//ubiG//aroF//glgA//ilvA//rdoA//glpK//nrdD//rutA//glpE//oxc//allD//lsrK//slt//ilvC//metK//truB//astD//pgaB//mhpC//dapB//cysI//ubiA//ung//sucA//serC//allD//tdcE//slt//nrfB//bioC//metF//glpQ//ynfE//lpd//alaS//ldtC//metK//glcB//entA//psd//serC//ubiC//purA//fumB//hpt//deoA//purL//yfbR//dusB//citE//polA//nadC//moeA//citD//hflX//ascB//dnaE//ndh//argF//lyxK//metB//ilvB//
GlcC-Acetate	tdcE//ldtB//trpD//
GlcC-Glycolate	serC//ynfH//glcE//
GlrR-Pasp56	
IclR-pyruvate	metA//sodB//fumA//
IdnR-5-ketogluconate	xdhC//gdhA//astD//melA//frc//nrfA//
IdnR-Idonate	deoC//hycD//entB//gpsA//torC//malQ//
IlvY-2-acetolactate	fucK//
IlvY-Alfa-acetohydroxybutirate	oxc//
IscR-2Fe	phoA//moaD//miaA//paaE//frdD//epd//murQ//
LldR-L-lactate	pgaC//entD//
Lrp-Leucine	icd//purL//trpE//purL//lpxB//murQ//garR//mdh//pgk//tktB//fucO//galK//uxaA//phnM//aroG//yiaK//rdoA//pagP//hmp//moaA//purL//puuC//fumA//phnJ//malZ//rhaB//cheB//nrfB//acnA//katE//glpQ//uxaC//argE//hycG//tyrB//iscS//melA//fucK//rhaA//
LsrR	nrdA//gltD//nanA//ulaD//sgbU//
MalT-ADP-Maltotriose	trpE//nrfD//aldA//katE//avtA//purM//
MalT-Maltotriose-ATP	ahpC//entE//gpsA//nrfC//ppiA//caiD//
MelR-Melibiose	astB//pheS//
MetJ-S-adenosylmethionine	pyrD//mhpF//speA//gltB//mhpE//glgB//treC//aldB//deoA//murQ//
MetR-L-homocysteine	lpd//preA//citC//gpmA//
MhpR-3-DHPP	entH//fadD//mutL//lpd//ilvN//dmsC//
MhpR-3HPP	bioD//entE//cynS//napA//lysC//chbF//
MntR-Cd2+	hpt//purN//
ModE-MoO42-	glnA//purA//rutA//narI//dmsB//eda//argB//murQ//trmD//sucB//fucI//frdC//acnB//aceB//
NarL-Phosphorylated	ilvG_2//nirB//ftnA//fumC//narG//torC//ung//dadA//fucI//hypB//araD//moaE//lpd//cadA//preA//pdeF//ftnA//purH//tdcD//katG//deoA//bcsB//caiB//mhpD//alaS//ackA//dapD//lacA//fadD//waaH//xdhC//ilvM//hflX//trpB//hycB//paaB//dadA//puuC//
NarP-Phosphorylated	hflX//torA//epd//paaE//hemL//speB//phnJ//caiC//ugpQ//nrfA//astC//
NhaR-Na+	sucC//glpX//srlD//aspC//cysI//
NikR-Cd2+	paaH//
NikR-Co2+	fucU//
NikR-Cu2+	pgaC//
NikR-Ni2+	ilvN//
NikR-Zn2+	sdhB//
NrdR-ATP	hycG//lysA//hemA//citX//
NrdR-Zn2+	argC//allE//gutQ//cadA//
NrdR-dATP	citF//prpE//avtA//gabT//
NsrR-2Fe	araA//aspC//speB//nrfC//gnd//abgA//purN//argH//yfbR//galT//preT//phnH//garK//ugpQ//gadB//atoA//glpK//xapA//galM//dusB//moeA//nadC//bioD//ilvN//purC//uxuA//galM//aceE//murQ//prs//
PhoB-Phosphorylated	phnJ//gatZ//frdD//yqjH//tdcG//yfdE//lpxB//pck//fes//dapD//garK//astD//phnP//xapA//chbF//yfbR//caiD//yjeF//ackA//yfeW//
PhoP-Phosphorylated	cueO//glpD//carA//argE//purK//pdeF//ilvA//katG//gabD//aroG//mpl//metL//lldD//icd//frdA//sdhC//acnA//lhgO//alkB//xapA//fadA//mhpF//nrfB//yfdE//uvrA//ilvN//ilvB//frdD//puuD//tauD//tdcE//lacZ//gcvP//alaA//glcD//
PrpR-2-methylcitrate	fumA//glpX//fucU//astD//
PurR-Guanine	rutB//phnI//nrfA//cheB//argH//puuB//dadA//nirB//entF//zwf//gatZ//argG//upp//idnK//nanM//xdhB//astD//glcE//paaK//ilvB//hmp//prpB//fadB//pgaD//uxaA//paaF//bglB//
PurR-Hypoxanthine	xdhB//aceA//speA//metE//fadH//sgbU//yeaE//idnK//moaA//preT//sucA//yeaE//uxaA//ndh//lysU//cysK//purN//ynfH//cysI//patZ//chbF//umpH//metE//avtA//cysH//ynfE//ssuD//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	citX//puuB//nirB//ilvG_1//
RstA-Phosphorylated	ahpC//bcsZ//cyoE//
SoxR-2Fe_oxydized	fucO//nanM//
TorR-Phosphorylated	serA//cdd//nrdD//
TrpR-Tryptophan	xapA//dapB//gabD//hycC//speC//pheS//gltA//astB//citX//
TyrR-L-tryptophan	oxc//nadC//frdD//caiB//glpX//phnO//codA//gnd//gcvT//
TyrR-Phenylalanine	tdcD//bioB//feaB//cysG//betA//lacA//fadI//aroA//mtlD//
TyrR-Tyrosine	malY//ilvA//puuB//sodA//entH//oxc//ynfH//umpH//idnD//
UhpA-Phosphorylated	paaB//
XapR-xanthosine	sufS//talA//
XylR-Xylose	cysI//pck//lpxA//
ZntR-Cd2+	zwf//
ZntR-Hg	purA//
ZntR-Zn2+	ilvN//
ZraR-Phosphorylated	
Zur-Zn2+	entH//
