# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	nanK//slt//argG//astE//
CpxR-Phosphorylated	oxc//paaJ//gcvP//dadX//tam//lacZ//ubiX//lyxK//idnK//deoD//malZ//trmD//purE//treC//phnO//paaB//ansB//gcvH//napC//metE//purE//metL//
CreB-Phosphorylated	purD//malP//puuB//
CueR-Ag	malZ//bioF//gatY//mutY//
CueR-Cu+	bcsA//tdh//bioA//phnO//
CuerR-Au	miaA//xdhC//argG//lsrK//
CusR-Pasp	pheS//prpB//amn//
CynR-Cyanate	rbsK//cyaA//cysK//
CysB-N-acetyl-L-serine	allC//bioF//rutE//speC//rhaA//cysK//ilvG_2//mutL//gatZ//purL//ada//appA//trpD//purK//nanA//pgaC//
CysB-O-acetyl-L-serine	pheS//yiaK//uxaC//carA//fadD//paaJ//glpB//astE//aroA//cysN//sdhA//fucU//idnO//galT//nagA//fucK//glpC//
DcuR-Phosphorylated	purK//ampD//paaG//sucB//
DnaA-ATP	polA//frdC//ubiG//astA//epd//phnL//
DpiA-Pasp	ahpF//nadC//serC//icd//phnM//
DsdC-D-serine	aroF//prpB//
EvgA-Phosphorylated	aldA//puuD//nrdF//atoB//gnd//
FNR-Fe_reduced	hyaA//chbF//thrS//fumB//talA//puuE//ynfG//xdhB//hycE//nanA//fadJ//nanM//tyrB//glgX//rnpB//uxaC//pheT//nrdD//bcsZ//icd//pheS//cynT//gabD//glpE//lacZ//nanM//gdhA//glpX//mhpD//lpxA//alkA//srlD//uxaA//ahpF//prpC//narI//xdhA//ybjG//gnd//tdcD//nrfC//phoA//fabZ//aroF//yjeF//metA//phnH//dkgB//agp//glgA//iscS//purM//slt//abgB//paaI//gutQ//deoA//ahpC//nrfD//hpt//napA//pgaC//chbF//dapD//trpC//napH//tadA//fumB//citG//atoA//mutL//purB//glpA//puuE//purK//puuC//gatY//ilvI//gatY//caiB//nirB//frdC//napG//eda//trmD//ogt//gadB//cdd//tauD//feaB//hycC//dkgB//nirB//pta//lacA//dgcZ//gntK//speB//pncB//ybjG//paaE//appA//argD//rutC//garR//tdcG//ldtB//fabZ//hycD//mhpC//rutC//allC//purK//trpA//yfeW//rdoA//argA//ilvN//rhaD//phnN//aroH//acnA//umpH//paaH//aroH//xdhA//mutL//
FhlA-Formate	metF//nrfB//ynfE//glpQ//yjeF//srlD//puuC//
FucR-L-fuculose-1-phosphate	dadA//prpE//hyaC//speB//gadB//fucU//
Fur-Fe2+	pnp//alkA//phnO//pta//gadB//phnI//pgk//yjeF//agp//cysN//lpxB//ilvG_1//glgX//mhpA//betA//glyA//metL//entF//galK//ilvD//deoC//alaA//ilvI//tsaE//prs//phnO//hycG//deoD//phnH//dusB//ubiG//nrdD//ilvD//citD//aroL//phnN//purC//psd//acs//atoA//fadB//aceF//ilvN//hycE//paaF//rutA//paaH//pheS//ndh//galT//citF//xylB//tnaA//caiB//gabD//ldtB//nrdE//cysJ//nrfC//hypF//ugpQ//glpD//purM//metF//cynS//rnpB//deoA//oxc//uxaB//
Fur-Mn2+	mhpE//hypF//rnpB//hpt//thrS//fdhF//mhpB//nrdA//fadE//prpD//nrdD//phnH//patZ//sodB//acs//glgB//rbsD//fadA//gabT//ldtB//pyrD//tdcE//entA//narG//ubiA//hyaA//ldtC//caiD//tyrB//hcp//lacZ//gabD//slt//fdhF//lhgO//alaA//betB//dgcZ//ilvC//ppiA//psd//gatZ//fes//gdhA//nanA//umpH//edd//upp//talA//aspA//frdD//ilvN//xylB//lsrG//pflB//iscS//citF//purC//pflB//paaB//puuE//ansB//nirB//puuC//metK//lpxD//ilvD//cheR//ybjG//
GlcC-Acetate	udp//purA//pheS//
GlcC-Glycolate	rutC//ilvI//fucO//
GlrR-Pasp56	
IclR-pyruvate	napB//folA//rdoA//
IdnR-5-ketogluconate	moeB//lysC//fadI//speA//aroF//appA//
IdnR-Idonate	codA//betB//galE//agp//zwf//aspC//
IlvY-2-acetolactate	lpxA//
IlvY-Alfa-acetohydroxybutirate	napB//
IscR-2Fe	moaD//araD//hflX//torC//argI//speA//glcF//
LldR-L-lactate	xdhA//rutE//
Lrp-Leucine	fabZ//trpB//gcvP//argC//melA//glpX//glcB//glcB//garR//sdhA//sodA//ubiX//xylB//bcsB//polA//yiaK//moaA//dapD//entE//cadA//lpd//deoC//ulaE//atoD//sdhA//dkgB//paaB//eda//pheT//ubiX//nrfB//araB//hycD//ulaD//gcd//mpl//dadA//hemL//glnA//
LsrR	moaA//sdhD//gadB//dadX//ynfE//
MalT-ADP-Maltotriose	ubiG//tnaA//paaJ//hpt//sucC//slt//
MalT-Maltotriose-ATP	glgA//trmD//ilvD//sdhB//lsrF//paaH//
MelR-Melibiose	bioF//purD//
MetJ-S-adenosylmethionine	mhpA//frdD//dadX//allC//acnA//gadB//purK//katG//caiA//ubiC//
MetR-L-homocysteine	eda//torA//ilvE//kbaZ//
MhpR-3-DHPP	ldtB//gcvH//guaA//cynS//argI//glgA//
MhpR-3HPP	sucA//hycC//cysI//glpQ//astD//rhaD//
MntR-Cd2+	cyaA//idnO//
ModE-MoO42-	gatZ//purL//mhpC//frdD//nagA//alaS//uxuA//ssuE//atoD//ppiA//lysC//entH//ilvH//garR//
NarL-Phosphorylated	bioB//xdhA//rutD//tauD//purC//ogt//ansB//eda//tnaA//ulaD//paaE//tauD//gcvP//uxaB//frdD//trpB//cysN//nrdA//torC//ulaE//argA//aceE//glgA//gatY//acs//malZ//araA//paaG//prs//icd//polA//dapB//cysH//miaA//talA//caiA//tyrB//pflB//
NarP-Phosphorylated	ilvB//acnA//torC//murQ//purC//citD//lpxA//oxc//fumB//gutQ//torC//
NhaR-Na+	ynfH//zwf//alkA//uvrA//paaF//
NikR-Cd2+	nirB//
NikR-Co2+	aroL//
NikR-Cu2+	nanK//
NikR-Ni2+	ppiA//
NikR-Zn2+	lysA//
NrdR-ATP	idnO//sdaA//yeaE//galK//
NrdR-Zn2+	uxuA//sgbE//malY//idnD//
NrdR-dATP	atoD//rutB//kbl//frdD//
NsrR-2Fe	cysD//entD//ynfG//murQ//purF//garR//katG//frdC//trpB//ppiA//trpD//gcvP//paaI//rhaB//garL//trpD//frc//sdhA//nrdA//phnO//nrdA//icd//rutC//nanK//alkA//malY//lsrG//lysC//glgX//nrfD//
PhoB-Phosphorylated	tyrB//nrdD//moaD//glcD//sgbE//rutB//ubiG//gatZ//patZ//aroA//udp//garL//citC//garK//ilvG_1//tauD//serC//amn//cysJ//glgP//
PhoP-Phosphorylated	idnK//tnaA//codA//hypB//deoB//rutA//hflX//gabD//napG//narG//tehB//citF//fadD//ung//dgcZ//phoA//allD//alkA//caiC//moeB//gatZ//gltA//rbsD//cpdB//lysA//glpX//frdB//rutB//dmsA//eda//nrdF//carA//bacA//cysI//prpB//
PrpR-2-methylcitrate	rutA//paaC//nanA//ynfG//
PurR-Guanine	dadX//argI//caiC//lpxA//sgbH//pheS//trmD//malY//tehB//aceB//prpB//srlD//ubiC//pflB//gcvP//ada//pgaD//truB//phnJ//aldA//eda//idnK//cysJ//gcvH//phnI//speB//glpA//
PurR-Hypoxanthine	napC//nrfD//fes//lysA//ilvA//rutC//hypB//lldD//eda//cysG//sodB//idnD//phnO//bioB//lpxB//glpB//glpX//nrfD//lsrK//phnP//serC//frdC//araA//ilvG_2//trpD//mhpE//cheR//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	glpB//mhpA//cyoE//purB//
RstA-Phosphorylated	lacA//gatD//torC//
SoxR-2Fe_oxydized	edd//paaH//
TorR-Phosphorylated	cpdB//argE//xdhB//
TrpR-Tryptophan	prpC//phnN//pheS//malY//fadB//cynS//purC//srlD//aspA//
TyrR-L-tryptophan	fadJ//citF//lysU//icd//gatD//mtlD//speC//nanK//astD//
TyrR-Phenylalanine	mtlD//astE//mhpF//nanM//mhpF//astA//lysU//umpH//mhpC//
TyrR-Tyrosine	astB//sdhB//idnO//sgbU//idnO//phnJ//narI//ilvE//talA//
UhpA-Phosphorylated	fadJ//
XapR-xanthosine	dgcZ//yjeF//
XylR-Xylose	umpH//nanK//xdhB//
ZntR-Cd2+	araB//
ZntR-Hg	aspC//
ZntR-Zn2+	aroL//
ZraR-Phosphorylated	
Zur-Zn2+	tadA//
