# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	purH//gapA//glpK//metC//
IlvY-2-acetolactate	chbF//
IlvY-Alfa-acetohydroxybutirate	nrdF//
IscR-2Fe	phnM//gcd//abgB//ulaE//aspC//uxuA//uxuB//
LldR-L-lactate	frc//cueO//
Lrp-Leucine	yfbR//alaA//gcd//tdcG//dmsA//galE//ldtB//narG//rnpB//ppiA//cysD//rbsK//hypF//gltA//ndh//ascB//ilvN//cdd//hcp//glyA//caiB//allD//bioC//tadA//nirD//rutB//entA//hmp//metK//trpE//astA//pck//fadE//idnK//torC//uxuA//slt//ansB//argB//
LsrR	nirD//mhpF//tnaA//mdh//torA//
MalT-ADP-Maltotriose	deoB//argH//fadJ//argC//ackA//ilvC//
MalT-Maltotriose-ATP	gapA//citE//dmsA//araB//pgaC//polA//
MelR-Melibiose	caiB//kbl//
MetJ-S-adenosylmethionine	glcE//atoB//lyxK//guaA//rbsK//glgC//nrdB//ssuE//atoB//lhgO//
MetR-L-homocysteine	dapD//napB//hemA//abgA//
MhpR-3-DHPP	ilvN//mtlD//hypB//metE//moeB//alaS//
MhpR-3HPP	pgpC//ispE//astB//paaG//moaE//ilvC//
MntR-Cd2+	aceE//prpB//
ModE-MoO42-	rutC//xapA//ilvD//paaE//garL//chbG//deoA//cadA//speB//caiB//agp//alaA//caiB//dapB//
NarL-Phosphorylated	talA//phnN//paaJ//slt//lpxB//puuD//tdcE//acnA//malQ//cysK//atoB//prpD//fadI//sodA//deoA//feaB//deoC//carB//rhaD//tdcB//pgaD//miaA//folE//metF//cysJ//mhpA//avtA//edd//folA//mpl//uidA//cysM//chbG//garL//ada//purB//feaB//hflX//
NarP-Phosphorylated	sdhA//purN//acnB//citX//narH//glpQ//yqjH//tdcD//citC//fucU//miaA//
NhaR-Na+	paaC//truB//nirB//glpE//gadB//
NikR-Cd2+	fadJ//
NikR-Co2+	prpC//
NikR-Cu2+	prpC//
NikR-Ni2+	gabT//
NikR-Zn2+	katG//
NrdR-ATP	ynfE//paaH//bioF//ilvM//
NrdR-Zn2+	dmsC//malY//uvrA//alkA//
NrdR-dATP	moaD//trpA//malP//fabZ//
NsrR-2Fe	ynfH//mhpA//trpB//pyrC//gltA//lpxB//abgA//uxuA//feaB//araD//dusB//betA//glyA//lsrF//yfbR//cysJ//paaC//ynfG//dapB//rutC//astE//frdC//gatZ//dapD//mhpD//acnB//rbsD//hycD//bglB//kbaZ//
PhoB-Phosphorylated	sdhB//tdcD//fucI//fucK//chbF//napA//mutY//xdhA//yjeF//phnN//ung//atoA//trpE//glcD//ilvD//glnA//phnP//serA//glgX//lacZ//
PhoP-Phosphorylated	cueO//dadA//treC//yfbR//astA//purE//bacA//aldB//alkA//gnd//malZ//ilvH//gatY//sdhB//phnO//torC//glpQ//ada//aroF//rutA//tadA//dsdA//fbaA//abgA//mtlD//bioB//uvrA//ascB//nrdA//pdeF//cysH//purL//uxaC//moaD//tauD//
PrpR-2-methylcitrate	murQ//mpl//sdhD//umpH//
PurR-Guanine	metA//ynfE//truB//mhpD//purC//purK//glyA//preA//entF//sgbU//fbaA//cysG//tnaA//icd//fadI//ahpF//phnJ//ybjG//entD//garR//ansB//ndh//acnA//sdhD//glcB//moeA//purA//
PurR-Hypoxanthine	agp//paaJ//fadH//metC//glcD//fucU//araA//uxaB//fau//hycG//dsdA//cynS//idnO//ybjG//ilvC//paaJ//aroL//tktB//metL//trpD//purE//yeaE//uxaB//nanA//atoB//acnB//metA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	cysG//gcvP//bioF//uxaB//
RstA-Phosphorylated	malQ//ynfH//sucD//
SoxR-2Fe_oxydized	xdhC//glcF//
TorR-Phosphorylated	astA//deoC//codA//
TrpR-Tryptophan	uxaC//lysA//frdB//sdhC//aspC//lacA//nrdB//rbsD//purL//
TyrR-L-tryptophan	glgA//gatD//narG//gutQ//idnO//cdd//gpmA//ynfH//astA//
TyrR-Phenylalanine	garK//garL//mdh//lacA//malZ//adhE//gdhA//tyrB//fumB//
TyrR-Tyrosine	hycG//aroL//alkA//aceB//ugpQ//purK//glcB//ilvG_1//glcB//
UhpA-Phosphorylated	fucI//
XapR-xanthosine	xapA//mhpF//
XylR-Xylose	citF//puuE//hycE//
ZntR-Cd2+	napB//
ZntR-Hg	ilvA//
ZntR-Zn2+	ubiG//
ZraR-Phosphorylated	
Zur-Zn2+	iscS//
