# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	lyxK//hyaC//chbG//ahpC//
ChbR-Monoacetylchitobiose-6P	bioB//treC//melA//
CpxR-Phosphorylated	guaA//frdC//allD//mtlD//ilvI//fadI//sucB//cysN//betB//prpB//nirB//dmsB//frdA//argC//mhpD//pck//preA//cysJ//lpd//yiaK//carB//glpB//
CreB-Phosphorylated	gpsA//caiA//bioD//
CueR-Ag	gltA//lpd//talA//argC//
CueR-Cu+	ubiA//phnM//manA//cysD//
CuerR-Au	lysA//glpX//malP//speA//
CusR-Pasp	fumA//lpxD//glpK//
CynR-Cyanate	hycG//sdhD//ldtC//
CysB-N-acetyl-L-serine	fes//ndh//ynfH//glcB//mhpA//yfbR//uxaA//bacA//rutD//metK//prmC//astE//deoD//gpmA//mhpC//alaA//
CysB-O-acetyl-L-serine	gntK//nadC//dusB//moaA//frc//tdcE//dmsC//fadB//xylA//mhpF//cyoE//glyA//cynS//sdhA//fabZ//guaA//deoD//
DcuR-Phosphorylated	eda//ugpQ//citX//ppiA//
DnaA-ATP	aldA//lysU//citG//malS//tdcE//sodB//
DpiA-Pasp	caiC//lpxB//entA//cysG//cdd//
DsdC-D-serine	deoA//dapD//
EvgA-Phosphorylated	phnH//fadI//rutD//cdd//alkA//
FNR-Fe_reduced	puuD//sucC//pgpC//tauD//argD//ispE//bcsA//slt//glcB//lysU//pagP//gpsA//tdcG//edd//ulaD//dmsA//bcsZ//bacA//cdd//fucK//aceE//phnN//cueO//aspC//sucA//pgk//idnK//mhpE//speA//metC//argH//cynS//ftnA//alaS//lhgO//astC//nrdE//sdhA//cysH//aroA//bioD//fucI//malP//nanA//glpB//sodA//cynS//sodB//ubiG//hycE//xdhC//napA//xapA//torA//adhE//astC//trpD//miaA//mhpC//hycB//hemA//nrdA//sdhB//argF//patZ//atoB//glgC//fucI//phnN//appA//napA//pheT//sucD//edd//manA//puuA//mhpE//guaA//gltD//sdhD//lhgO//pdeF//nanK//lpxA//aroF//aspA//codA//sucA//carB//ubiC//nanA//tdcG//lhgO//zwf//phnH//alaA//idnO//hpt//acnB//argH//cyaA//fadE//xapA//fucU//ynfG//feaB//guaB//pncB//dadA//ogt//hpt//pheT//yfeW//glpX//hycC//purC//ubiG//trpC//puuE//trpE//sucD//dmsA//nagA//trmD//tyrA//bcsZ//trpC//
FhlA-Formate	gltA//araA//argD//ahpF//glcE//speA//treC//
FucR-L-fuculose-1-phosphate	caiB//paaH//nrdE//pck//xylB//garR//
Fur-Fe2+	araA//hyaB//pagP//xapA//bioF//abgA//edd//pheS//yfdE//purL//argD//fucI//citG//ulaE//amn//speB//carA//cysK//trpA//malY//pflB//ilvB//paaH//gcvP//xdhB//serC//uxuA//mhpF//argI//abgA//citX//paaA//lsrG//cynT//argC//gabD//hmp//lhgO//katE//paaA//iscS//aceF//fucA//glcB//gabD//yqjH//tadA//udp//uxuB//lpxA//pagP//yfeW//gadB//bioD//purB//mutL//tam//eda//aroH//gcd//tauD//kbaZ//paaZ//ilvA//ssuD//metH//fucA//fes//glpK//
Fur-Mn2+	patZ//katG//acnA//dnaE//lysA//frdD//sodB//dusB//argI//lpxD//mdh//preT//gltD//caiA//rhaD//tdcE//fabZ//malS//nrfA//sgbE//guaA//pgpC//rdoA//gpmA//sgbU//deoC//acnA//glyA//moaA//pta//uxaB//deoB//rnpB//edd//tauD//citF//upp//hmp//frc//fabZ//appA//mhpC//gltB//entB//mhpB//sucD//napC//ahpF//citX//trpB//dmsC//polA//nrdE//metF//mdh//fumC//lsrF//cysJ//glpD//hycB//astC//bioA//bioC//ilvE//dsdA//ssuE//sdhC//mhpB//galT//
GlcC-Acetate	recF//aroL//entA//
GlcC-Glycolate	bacA//cyaA//pta//
GlrR-Pasp56	
IclR-pyruvate	pck//mtlD//aldA//
IdnR-5-ketogluconate	fadB//fes//entH//prpD//ilvN//edd//
IdnR-Idonate	serC//argI//speA//lhgO//prpD//sodA//
IlvY-2-acetolactate	fabZ//
IlvY-Alfa-acetohydroxybutirate	caiC//
IscR-2Fe	bioC//sgbU//betA//sdaA//gnd//yiaK//xylB//
LldR-L-lactate	purM//pnp//
Lrp-Leucine	cysD//guaA//phnI//puuC//xdhC//cysD//cysM//acs//pgaC//torC//tehB//malY//entE//glpC//mhpE//uxuB//prpD//phnN//glyA//gnd//prpD//nrfD//alkB//glgA//codA//fbaA//murQ//melA//tyrB//astC//gcvH//entD//chbF//paaB//dmsC//bioF//allC//sdhC//bcsA//
LsrR	tyrA//atoB//sgbU//pgaD//yjeF//
MalT-ADP-Maltotriose	hycF//ubiG//tdcB//citC//metE//oxc//
MalT-Maltotriose-ATP	astC//lsrK//lsrK//ftnA//uxuB//cysC//
MelR-Melibiose	chbF//dadX//
MetJ-S-adenosylmethionine	betB//astE//glpE//mdh//rdoA//xylB//psd//ulaF//uidA//lhgO//
MetR-L-homocysteine	fes//gltB//ahpF//ulaE//
MhpR-3-DHPP	ynfG//rutB//astD//cysH//paaA//yjeF//
MhpR-3HPP	bglB//pgk//metL//glnA//napC//ldtB//
MntR-Cd2+	guaA//citG//
ModE-MoO42-	yeaE//prpE//edd//phnG//malQ//xapA//melA//gatZ//purF//pck//puuD//trpC//ada//metL//
NarL-Phosphorylated	cynS//sgbE//yfdE//paaH//bglB//chbF//ogt//glpX//gpsA//ada//dmsC//fes//sucA//nadC//cysM//malZ//galE//citE//katE//yqjH//gltD//folA//melA//argF//bioD//bacA//sodB//hflX//pdeF//hypF//nanM//moeA//gcvT//hemA//glpK//rutD//alaA//polA//
NarP-Phosphorylated	ynfG//rhaA//chbG//yeaE//hyaC//galT//ilvG_1//citF//slt//ubiX//mltC//
NhaR-Na+	alaS//pgk//trpE//xdhC//cysJ//
NikR-Cd2+	purE//
NikR-Co2+	alaA//
NikR-Cu2+	iscS//
NikR-Ni2+	fadI//
NikR-Zn2+	purN//
NrdR-ATP	hemL//aroL//speA//lsrK//
NrdR-Zn2+	mhpF//yqjH//argH//sdhC//
NrdR-dATP	serC//pgpC//psd//narI//
NsrR-2Fe	hyaC//sdhB//ansB//miaA//phnL//napA//fau//ssuE//metE//serC//tyrA//fabZ//ilvA//fdhF//gntK//yfeW//ssuD//nrdB//cdd//talA//galM//nrdF//nanA//entB//nrfA//dnaE//dsdA//uxaC//entC//gcvP//
PhoB-Phosphorylated	dapD//pdeF//malQ//hycE//fumC//alkB//metB//tsaE//fadH//idnK//gpsA//glpC//napB//atoA//malP//lacZ//purH//purF//glgX//fucA//
PhoP-Phosphorylated	ldtC//argD//ynfG//rdoA//garR//xdhA//sdhB//aldB//ftnA//astA//ilvE//acs//codA//glpB//glnA//acs//purB//sucA//lpxD//paaA//uxuA//frc//glpQ//trpA//mdh//nrfD//mhpE//xylA//katG//paaG//glpX//uxaB//fau//rutA//avtA//
PrpR-2-methylcitrate	cueO//thrS//ubiC//tyrA//
PurR-Guanine	entA//metC//fucK//rutE//torC//carA//acs//sgbU//nrfC//pheS//alkA//xylA//pheS//lysU//fumA//citF//puuC//astD//pheS//sufS//ackA//psd//malY//hyaA//hypB//fau//fadH//
PurR-Hypoxanthine	astE//truB//speB//paaE//nrdE//aceA//lldD//sdhD//hyaA//argD//ldtB//purK//cysN//hyaC//trpA//napH//rutE//abgA//uxaC//fadJ//phnG//gapA//purK//lysC//nrfB//aroH//folE//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	kbaZ//ampD//uxuA//caiC//
RstA-Phosphorylated	dsdA//ldtC//purM//
SoxR-2Fe_oxydized	atoB//argF//
TorR-Phosphorylated	malQ//argA//tauD//
TrpR-Tryptophan	malZ//argB//ilvM//alaS//dmsA//yfdE//gdhA//hpt//prpC//
TyrR-L-tryptophan	tdcB//prpB//cynT//moaD//sgbH//aceF//argA//betA//galE//
TyrR-Phenylalanine	puuB//fadJ//fucI//uxaB//hypB//glgB//folE//hypB//metB//
TyrR-Tyrosine	prpE//napA//lysU//gcvT//phnI//galM//carB//nrdB//purA//
UhpA-Phosphorylated	nrfA//
XapR-xanthosine	pyrD//bcsB//
XylR-Xylose	ilvB//yfdE//mhpA//
ZntR-Cd2+	sdhB//
ZntR-Hg	dadX//
ZntR-Zn2+	napH//
ZraR-Phosphorylated	
Zur-Zn2+	entH//
