# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	nrdA//bcsA//araD//entC//
ChbR-Monoacetylchitobiose-6P	trpD//amn//bacA//
CpxR-Phosphorylated	lsrK//glpK//pdeF//lyxK//hypF//katE//gntK//phnO//bglB//citX//purH//epd//astE//folE//aceF//trpA//citD//purN//tam//tehB//srlD//fadD//
CreB-Phosphorylated	speB//aspA//dadX//
CueR-Ag	nirD//aceA//kbl//rnpB//
CueR-Cu+	xdhC//nanK//citD//gatZ//
CuerR-Au	cyoE//carA//aroH//mhpB//
CusR-Pasp	galE//dadA//pdeF//
CynR-Cyanate	folA//malS//hycG//
CysB-N-acetyl-L-serine	dadX//yiaK//cadA//argD//aldA//ynfF//pyrC//glyA//yfbR//hyaC//ulaF//amn//purK//torC//bioD//agp//
CysB-O-acetyl-L-serine	mhpD//sdhC//napC//hcp//galT//ulaF//entA//fumA//trpA//pagP//abgA//fucU//gpmA//rbsD//lldD//torA//mpl//
DcuR-Phosphorylated	entD//hycG//dadX//glgA//
DnaA-ATP	citC//paaI//uvrA//narI//fadI//moeB//
DpiA-Pasp	yqjH//phnO//ilvB//chbG//ahpF//
DsdC-D-serine	prs//idnO//
EvgA-Phosphorylated	prs//allE//dapB//paaZ//rdoA//
FNR-Fe_reduced	purE//mutL//astC//hpt//tdh//cueO//abgA//frc//pagP//cynT//rutA//yfbR//nrfB//cysJ//sucB//dsdA//phnN//carA//ung//edd//ybjG//yqjH//metL//phnG//argF//moeB//ung//chbF//dnaE//phnG//pgaD//cysC//metK//prpE//nrdA//phnL//kbl//tsaE//hemA//sucA//fucO//hyaA//galT//dapD//cysI//argC//alaA//ahpC//galM//glgP//epd//hycG//yfbR//galT//acnA//malS//ldtC//sodA//puuC//hypF//nrfD//lsrF//fumB//sgbU//citE//icd//pyrD//hcp//hpt//aroL//metE//entH//narG//pgaC//glgA//dnaE//gcvT//ung//hycE//ilvI//yqjH//galK//rutE//amn//torA//icd//glpE//xdhB//ulaF//ubiA//ascB//ahpF//entF//eda//trmD//gpmA//ahpF//garL//entC//tsaE//sucC//nanE//lpd//fumA//caiD//mhpE//atoB//mhpD//ung//sucA//ulaE//metL//lsrF//nrdA//argI//ansB//adhE//pdeF//idnD//astE//fumA//fabZ//ung//abgB//araA//pck//prpB//
FhlA-Formate	phnN//fadE//idnK//araD//argH//deoB//nadC//
FucR-L-fuculose-1-phosphate	entD//bioC//recF//paaE//frdC//purE//
Fur-Fe2+	fbaA//argI//icd//nadC//purL//umpH//argH//pta//purB//aceF//rutE//prs//pyrC//appA//prs//ackA//malZ//nrfA//frdB//aroG//bioB//nrdA//puuE//ilvB//cpdB//cdd//bioB//trpA//dapB//puuC//ftnA//aspC//nrdB//entD//patZ//glpC//deoD//yfdE//frdD//mltC//fucK//malZ//puuA//pgpC//entF//astB//nagA//astD//sgbE//lysC//citF//ilvH//edd//ilvM//preA//lsrG//fadD//iscS//idnK//pgaD//pheS//caiD//fabZ//fabZ//phoA//alkB//bioB//purF//codA//
Fur-Mn2+	paaH//hycF//alkA//hypF//lsrF//dsdA//tauD//lsrK//citF//argE//uxuA//sdhA//entH//argF//edd//gcvH//pagP//entF//araB//nagB//napB//uxuA//yjeF//glpX//chbF//chbG//argB//uxaA//fucU//nanK//ogt//gltA//citC//treC//trpD//lysU//hyaB//zwf//glpQ//ilvD//ampD//purM//argD//yfdE//pheS//aspC//ulaD//astA//hcp//argI//mhpC//bioC//frc//metK//prpE//allC//bcsB//ulaD//cadA//ilvM//uxuB//acnA//ada//appA//betB//galE//sucD//hyaA//melA//
GlcC-Acetate	garR//ulaE//lsrF//
GlcC-Glycolate	dadX//glpK//rutB//
GlrR-Pasp56	
IclR-pyruvate	cysJ//metA//rutB//
IdnR-5-ketogluconate	idnD//tktB//dgcZ//malP//eda//garK//
IdnR-Idonate	bioC//fucI//bioA//purK//glgB//hyaA//
IlvY-2-acetolactate	glgB//
IlvY-Alfa-acetohydroxybutirate	nagB//
IscR-2Fe	yfdE//entB//caiA//phoA//malZ//rdoA//hemL//
LldR-L-lactate	atoB//chbF//
Lrp-Leucine	dapB//glgB//fadE//mhpE//metF//agp//treC//tdcG//entD//lysC//ulaE//speC//tehB//aspC//gdhA//tdh//napC//purC//napB//serA//napG//gltA//ilvN//cdd//hemL//mpl//gatZ//gltB//aldA//uxaB//phnM//pgaB//speC//aspA//yfeW//yeaE//cueO//phnJ//rhaA//
LsrR	mtlD//paaB//lpxB//caiA//garR//
MalT-ADP-Maltotriose	tyrA//cysK//tktB//ilvM//ftnA//fucO//
MalT-Maltotriose-ATP	tdh//gpmA//ascB//fumB//carA//katE//
MelR-Melibiose	phnH//ilvG_2//
MetJ-S-adenosylmethionine	cynT//nrfD//pncB//cysJ//sdhA//aroH//puuD//ilvD//metK//mdh//
MetR-L-homocysteine	sgbU//entC//pdeF//caiB//
MhpR-3-DHPP	uxuA//frdB//bcsB//garK//fadE//moaA//
MhpR-3HPP	ackA//tnaA//fumA//chbF//glyA//ubiA//
MntR-Cd2+	trpA//ung//
ModE-MoO42-	rnpB//prmC//nrfD//glgC//hycB//glpD//pgaC//ilvM//frc//atoD//nanE//narG//acs//hyaB//
NarL-Phosphorylated	galE//cpdB//dmsB//trpD//garR//ilvG_2//gatD//gltD//paaI//fumA//srlD//cyaA//garL//glcD//avtA//ftnA//waaH//hycF//glpC//xdhC//fes//hycG//purE//sucC//ulaE//astC//atoA//phnJ//betA//rnpB//uvrA//mhpF//tam//alkA//gcd//entC//atoD//metH//
NarP-Phosphorylated	oxc//gpmA//hemA//serA//frdC//tsaE//dadA//recF//malP//ulaE//tyrB//
NhaR-Na+	pyrD//galT//nrfA//torC//napA//
NikR-Cd2+	entD//
NikR-Co2+	paaJ//
NikR-Cu2+	trpB//
NikR-Ni2+	purD//
NikR-Zn2+	sdhA//
NrdR-ATP	lysC//pagP//entC//pgaB//
NrdR-Zn2+	rutC//purD//uxaC//trpB//
NrdR-dATP	tdcB//rhaD//yeaE//gltD//
NsrR-2Fe	araB//aroH//gltB//lysA//bioC//ssuD//paaF//yfdE//gpmA//torC//glgX//paaF//glcF//ilvG_1//pgk//serA//rbsD//yqjH//citX//tdcG//prs//carB//araA//fucK//tehB//sucC//abgB//speB//yiaK//prpB//
PhoB-Phosphorylated	phnI//tyrA//argI//araB//puuB//xylA//hcp//pgaB//caiD//sdhA//waaH//kbaZ//cysK//idnO//pck//gnd//avtA//gpsA//ogt//talA//
PhoP-Phosphorylated	caiC//ubiG//paaK//paaG//ilvM//fucA//tauD//fucU//paaC//recF//folA//ilvN//sdhB//citX//preT//argH//alaS//lacZ//malQ//bcsA//sgbH//fumB//trmD//cueO//tdcE//alaS//folE//glgX//dgcZ//gpsA//prpE//aspC//prpD//glcD//sodB//
PrpR-2-methylcitrate	dapD//rdoA//glcB//hycB//
PurR-Guanine	frdB//ilvM//mpl//prpE//dusB//avtA//tehB//ilvG_2//sucC//aspC//mhpD//folE//purB//cdd//ssuE//folA//metE//gcvH//aceF//uxaC//purC//entH//alkB//citC//tsaE//betB//katG//
PurR-Hypoxanthine	phnN//purL//fumA//entH//treC//argA//alaA//dadX//gltB//citD//bacA//mhpA//srlD//astB//ubiX//psd//pflB//cyoE//rhaD//glcF//lpxD//fucI//acs//patZ//gatZ//glpK//mhpA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	moaA//nadC//ilvC//entB//
RstA-Phosphorylated	murQ//allC//cyoE//
SoxR-2Fe_oxydized	uxuA//fadI//
TorR-Phosphorylated	ada//guaA//ybjG//
TrpR-Tryptophan	nanA//fumA//aldA//rhaA//tdcE//tdh//fes//phnL//galM//
TyrR-L-tryptophan	xdhC//entC//malQ//nirD//citF//katE//lyxK//paaE//speA//
TyrR-Phenylalanine	metH//argG//argC//bcsB//codA//argI//paaF//fdhF//icd//
TyrR-Tyrosine	bioB//speB//aceA//glpK//paaZ//glpQ//ssuE//ssuE//gatZ//
UhpA-Phosphorylated	pyrD//
XapR-xanthosine	purH//puuC//
XylR-Xylose	garL//bcsZ//paaA//
ZntR-Cd2+	aceB//
ZntR-Hg	nrdA//
ZntR-Zn2+	nrfC//
ZraR-Phosphorylated	
Zur-Zn2+	malY//
