# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	ilvI//cdd//bglB//dgcZ//
Fur-Fe2+	ssuE//dkgB//hpt//alaA//puuC//lysC//agp//purN//puuD//ilvA//malZ//trpE//tktB//glcD//ilvE//torC//bglB//fbaA//pgk//hflX//caiC//betB//hemL//ascB//trmD//xdhC//ybjG//dadX//pheT//alkB//codA//gabD//preT//aroG//hyaA//aceE//astD//napA//gadB//citX//hyaB//tyrA//ynfF//prpD//nanA//glpQ//phnN//purN//frdC//napC//abgA//gutQ//iscS//metA//pyrD//hemL//folE//napG//caiC//bglB//rutA//phnP//argD//pgaC//fadH//melA//frc//nanK//srlD//
Fur-Mn2+	amn//rutA//ldtB//serC//paaJ//speC//argE//epd//purM//rbsD//fucU//dnaE//glpC//astC//paaK//gpsA//dkgB//hemL//glpA//gnd//serC//lsrF//ppiA//glcF//cyaA//astB//sgbE//moeA//torA//uxuA//gnd//rbsK//xdhB//paaH//lacA//mhpB//fadH//glcD//purN//rbsD//aceA//abgB//tadA//puuA//tdcE//tadA//rutA//alaS//lsrF//cysG//dapD//fadD//dusB//abgA//gabT//prpE//napH//cynT//lpxD//aldA//entA//paaG//pheT//fadA//hypB//ulaD//pnp//deoC//sodB//
GlcC-Acetate	metL//fbaA//malY//
GlcC-Glycolate	tdcB//murQ//psd//
GlrR-Pasp56	
IclR-pyruvate	narG//nirD//moaA//
IdnR-5-ketogluconate	cysM//idnD//idnK//lacZ//tsaE//aldB//
IdnR-Idonate	ulaE//torA//araA//avtA//cysN//speC//
IlvY-2-acetolactate	malS//
IlvY-Alfa-acetohydroxybutirate	rutE//
IscR-2Fe	tdcD//glpC//deoA//aroG//moeA//galK//rhaD//
LldR-L-lactate	yqjH//napB//
Lrp-Leucine	paaF//treC//phnH//aceE//fabZ//entC//frdB//mhpF//tadA//frdA//fdhF//purL//frdB//katE//gltB//avtA//bioA//allE//alkB//caiD//galT//ndh//araB//argG//napH//codA//guaA//tdcB//psd//aceB//gcvP//bacA//lpxB//fabZ//glgB//gnd//pgpC//torA//nanE//
LsrR	caiB//fadI//hmp//paaC//nrdF//
MalT-ADP-Maltotriose	malP//hcp//pflB//glpK//tktB//ilvG_2//
MalT-Maltotriose-ATP	srlD//moaA//phnM//hycC//nrfA//tyrA//
MelR-Melibiose	ilvE//nrdB//
MetJ-S-adenosylmethionine	phnH//bioC//metL//nrdF//rhaB//malS//napC//metE//mhpF//edd//
MetR-L-homocysteine	deoB//purC//ldtC//ampD//
MhpR-3-DHPP	xylA//paaJ//phnJ//garL//paaA//cheB//
MhpR-3HPP	aroF//metK//lsrF//ahpF//glpX//tdcB//
MntR-Cd2+	prpB//phnI//
ModE-MoO42-	gltD//ldtB//allC//purB//galT//lpxA//ilvG_2//hmp//bioD//fabZ//uxuB//metF//xdhA//rutC//
NarL-Phosphorylated	rdoA//sdhB//mhpC//aceE//ilvN//melA//tdcE//alaS//ndh//aroH//patZ//glgB//lpxB//dapB//pyrC//glcF//citC//metH//nagB//glpE//sucA//lacZ//guaB//entE//ulaF//hcp//ilvC//ilvA//dapD//gcvP//cysN//abgA//cheB//nanE//mhpE//mutY//dmsB//torC//
NarP-Phosphorylated	araD//trpC//gcvT//speC//sgbU//metF//rutC//atoD//sucA//sodB//gabD//
NhaR-Na+	trpB//pgpC//nanE//nrdA//narH//
NikR-Cd2+	garR//
NikR-Co2+	hflX//
NikR-Cu2+	ftnA//
NikR-Ni2+	ubiA//
NikR-Zn2+	ung//
NrdR-ATP	metC//torC//yfbR//lhgO//
NrdR-Zn2+	waaH//gcd//moaE//pnp//
NrdR-dATP	bacA//ilvG_1//mhpA//sodB//
NsrR-2Fe	frdD//astC//ilvA//fau//caiB//yfeW//paaI//malQ//hemA//pncB//tyrA//sufS//entH//trmD//entH//entF//galE//mdh//bcsB//tadA//lsrF//cynS//uvrA//bacA//bioB//purM//upp//xylA//glyA//bioD//
PhoB-Phosphorylated	hycC//fumC//cysC//lpd//nanM//puuE//gcd//frdC//pflB//ssuE//sgbH//sgbU//betB//nrfA//cysH//manA//gatD//betA//psd//sgbE//
PhoP-Phosphorylated	puuA//dapD//garR//paaI//ilvD//allD//cpdB//cysC//nrdF//sgbH//glcF//gatY//idnD//cueO//cysH//avtA//ldtB//pgk//uxuA//fabZ//xapA//lldD//paaJ//pta//fadB//gntK//speB//yeaE//fau//ilvI//ugpQ//glcF//pgaD//fadB//cysN//
PrpR-2-methylcitrate	hypF//betA//dnaE//lacA//
PurR-Guanine	slt//dmsC//argI//gntK//ndh//sgbH//lhgO//dusB//frdB//lpxB//paaC//ldtB//paaZ//glpK//bioD//narH//purN//acs//argF//ilvB//fucI//lpxB//glpA//argC//frdC//carA//prpC//
PurR-Hypoxanthine	cdd//hyaB//tauD//mhpC//sdaA//mdh//lyxK//speC//paaA//tdcG//ampD//glcF//tktB//glgX//paaK//purH//betA//ubiX//melA//betA//nanM//fucK//nrfC//glpD//pgaC//citC//moaA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	ampD//ilvC//guaB//metF//
RstA-Phosphorylated	ampD//nrfA//tnaA//
SoxR-2Fe_oxydized	truB//cysD//
TorR-Phosphorylated	purC//narG//psd//
TrpR-Tryptophan	tdcE//fucU//citC//rutD//sodB//hycB//rbsK//pgaC//phnJ//
TyrR-L-tryptophan	mltC//gcd//uxaA//aldA//fucA//pta//pyrC//frc//fucU//
TyrR-Phenylalanine	frdA//glpC//moeB//paaA//metE//icd//melA//ilvB//carB//
TyrR-Tyrosine	ackA//deoA//nagB//glcD//tsaE//caiD//recF//torC//metL//
UhpA-Phosphorylated	ilvD//
XapR-xanthosine	pyrC//nrdF//
XylR-Xylose	fadD//dnaE//araD//
ZntR-Cd2+	fadJ//
ZntR-Hg	mhpE//
ZntR-Zn2+	puuA//
ZraR-Phosphorylated	
Zur-Zn2+	rutD//
