# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	argC//nanM//uxuB//gabD//
DnaA-ATP	amn//uxaA//nirD//metH//lpxD//hycE//
DpiA-Pasp	tdh//purC//bioC//frc//tnaA//
DsdC-D-serine	mhpD//glpX//
EvgA-Phosphorylated	guaB//araA//fumB//sufS//cynT//
FNR-Fe_reduced	fadB//ubiG//hyaA//puuE//udp//glpE//malY//torC//fdhF//ubiC//argB//tdcB//hycE//uxaB//ilvI//cynT//truB//kbl//bcsZ//codA//rhaD//citF//katG//mhpB//argH//acnA//frdC//purE//ogt//pgaC//tktB//pagP//dapD//hemA//nanE//nrfC//fau//puuA//yjeF//caiA//yfbR//garL//alkA//paaJ//pgpC//cysK//aroA//mhpD//tdcE//eda//cyaA//prpD//ispE//bcsZ//lpxA//nagB//puuB//pck//mtlD//entD//sdaA//lhgO//ppiA//ackA//gltA//pheT//aroF//oxc//appA//srlD//rnpB//ubiC//katG//caiC//uvrA//hcp//uxuB//puuD//fabZ//nrfA//udp//hemA//phoA//metA//glnA//fadJ//manA//gatD//tam//glgB//prpD//dapD//puuB//sufS//dkgB//tnaA//tnaA//bioB//ldtC//bglB//nanM//glyA//ldtB//nadC//cynT//phnN//entB//gcvP//gltB//nrfA//ansB//cysM//ahpF//patZ//manA//serA//abgB//folE//nagB//puuD//cysD//metH//bglB//zwf//argC//mhpC//ilvG_1//
FhlA-Formate	citD//nrfD//trpC//ilvI//ssuE//puuB//nrdA//
FucR-L-fuculose-1-phosphate	puuE//bioB//glpQ//dkgB//mutY//puuC//
Fur-Fe2+	alaS//carB//bioC//fadJ//frdD//pta//ilvG_1//amn//ahpC//patZ//glpX//ackA//sufS//bioF//lpxD//chbG//nrdA//cysD//glpE//epd//gpsA//nrfC//lsrG//ilvM//hyaC//argE//dusB//alaA//aldB//fadJ//araA//glpE//paaI//feaB//phnJ//ynfG//astA//alkB//glcE//cyoE//ynfH//ubiA//prs//katE//ldtB//mltC//ssuD//bioB//mhpD//phnG//metL//phnP//pyrD//pgaD//gatZ//folE//cueO//idnO//cysN//ldtC//nrdF//ubiG//ogt//metC//ilvD//atoA//frdC//gutQ//ahpC//
Fur-Mn2+	tdcG//xdhC//sucC//napC//ada//sucD//pgaD//zwf//purB//tam//umpH//ubiC//mltC//truB//hypB//bioA//purB//thrS//ascB//tdcD//glyA//abgB//nrdF//sgbH//nirB//rutA//cysM//speC//frdA//nagA//nanA//lpxB//fucI//malZ//bioA//mutY//pgaC//rutB//prpB//pgpC//torA//lsrK//paaF//mdh//gcvH//hemL//katG//phnP//rnpB//sucB//nrdE//fbaA//avtA//citF//hycB//metC//serA//astB//mutY//melA//codA//lysC//bcsB//phnM//metC//betA//chbG//tsaE//rnpB//
GlcC-Acetate	cysG//abgB//galM//
GlcC-Glycolate	gpmA//phnO//gcvT//
GlrR-Pasp56	
IclR-pyruvate	cadA//glpC//ubiA//
IdnR-5-ketogluconate	lysA//cyoE//bglB//xdhC//allD//cysJ//
IdnR-Idonate	glcB//yfdE//recF//aldA//fadJ//preT//
IlvY-2-acetolactate	prmC//
IlvY-Alfa-acetohydroxybutirate	lpxB//
IscR-2Fe	glpD//trpD//frdB//hmp//malS//atoD//nirD//
LldR-L-lactate	sucC//hyaC//
Lrp-Leucine	ilvM//murQ//ilvC//prpB//codA//deoA//citX//pheS//hpt//psd//dapB//metB//hycD//hemA//guaA//uxaA//cysJ//rutE//nrdB//glcD//avtA//argA//puuC//xdhB//ampD//narH//kbaZ//agp//dadA//yqjH//agp//rutA//idnO//avtA//miaA//hyaC//mpl//gabD//alaA//
LsrR	napB//aldA//gabT//rutA//dkgB//
MalT-ADP-Maltotriose	guaA//atoD//napB//puuE//fadA//purN//
MalT-Maltotriose-ATP	entC//hyaC//phnP//truB//fucA//fadI//
MelR-Melibiose	aspA//uidA//
MetJ-S-adenosylmethionine	tnaA//gltA//glpD//sucC//speA//dadA//rbsK//avtA//frdD//epd//
MetR-L-homocysteine	glpA//ynfF//gabD//nanK//
MhpR-3-DHPP	fucU//hycC//patZ//abgA//xylB//gapA//
MhpR-3HPP	gltD//ldtB//sdhA//nrfC//rhaA//rnpB//
MntR-Cd2+	ulaD//pyrC//
ModE-MoO42-	psd//gatY//sufS//ackA//glyA//moaE//glyA//glcB//fadA//malP//cysD//ndh//murQ//fbaA//
NarL-Phosphorylated	glyA//araA//phnN//cysM//fes//gadB//phnL//rutD//tdh//deoB//sucD//slt//mutL//galM//moeA//cysC//chbF//fucI//frc//pgk//malY//aspC//ppiA//trpA//pgk//ilvG_1//cheR//cheB//xdhC//ynfF//xdhA//uidA//entA//xdhC//mhpD//mutY//hpt//argE//
NarP-Phosphorylated	xdhA//xylA//yiaK//sdaA//acs//fadD//fadI//nrdA//sgbU//ldtC//pheT//
NhaR-Na+	citD//fucI//narI//atoD//hflX//
NikR-Cd2+	citX//
NikR-Co2+	cadA//
NikR-Cu2+	mutY//
NikR-Ni2+	tadA//
NikR-Zn2+	paaI//
NrdR-ATP	mdh//metB//aceF//sgbE//
NrdR-Zn2+	purA//frdD//yjeF//gntK//
NrdR-dATP	nrdF//galT//pheS//tktB//
NsrR-2Fe	moeB//guaB//entF//mpl//mhpB//aceE//tehB//nrdA//dusB//uvrA//upp//aceA//uxuB//puuB//mhpF//entA//serC//uxaB//murQ//nanK//cysD//purM//aroG//gpsA//codA//rbsK//entC//ynfE//puuD//ilvM//
PhoB-Phosphorylated	hycB//patZ//umpH//gcd//edd//puuB//sgbE//rutD//allD//deoC//fumB//gatY//pgaB//gnd//astD//ldtB//trpE//lysC//ssuE//uxuA//
PhoP-Phosphorylated	citE//avtA//tdh//guaB//ulaE//hemA//cysM//glnA//glcB//mhpE//ung//gpsA//phnH//gcvT//xylB//nagB//ilvC//astC//uxaA//glgB//rutB//yjeF//fucI//agp//pncB//allE//entA//rnpB//ubiG//acnB//tadA//moeA//sgbU//lldD//bioC//
PrpR-2-methylcitrate	gltD//entB//uxaC//dadX//
PurR-Guanine	phnM//fbaA//mtlD//ampD//katG//pgpC//uxaC//araA//rutB//pdeF//rutC//prpC//moaE//purM//purM//nrdA//prpC//narH//phnP//moeB//nrdF//frdD//bioB//lyxK//alaA//astE//gcvP//
PurR-Hypoxanthine	yfeW//glpX//ilvC//fbaA//nagA//gabD//dkgB//pyrD//nrdB//dmsA//nrfB//deoC//speC//metB//rutC//gpmA//tdh//fadJ//ssuE//xdhC//allE//napA//hcp//rutA//cysJ//lysC//cpdB//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	fes//citF//eda//deoA//
RstA-Phosphorylated	pyrD//glgA//lsrG//
SoxR-2Fe_oxydized	dgcZ//ybjG//
TorR-Phosphorylated	gcvP//yqjH//sgbU//
TrpR-Tryptophan	umpH//uxaC//prpC//aspA//moaD//lldD//serC//umpH//entA//
TyrR-L-tryptophan	prpB//entC//truB//allD//tdcB//galE//puuD//nrdD//nrfD//
TyrR-Phenylalanine	xapA//rdoA//slt//chbG//paaH//deoC//ldtB//thrS//gnd//
TyrR-Tyrosine	rutC//rutD//entF//agp//fadB//alaS//cyaA//ubiA//hemL//
UhpA-Phosphorylated	fadD//
XapR-xanthosine	paaA//citE//
XylR-Xylose	pgaB//fau//puuB//
ZntR-Cd2+	dadX//
ZntR-Hg	napA//
ZntR-Zn2+	lsrK//
ZraR-Phosphorylated	
Zur-Zn2+	ulaF//
