# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	aldA//ansB//mhpE//fucK//
Fur-Mn2+	lpxD//preA//pgaB//fucI//fucK//trpA//argD//gntK//katE//fucK//nanK//rutD//prpD//betA//sgbU//avtA//hycF//fucA//trpE//lsrG//mhpB//hemA//lpxA//tdcD//fucI//napG//mpl//metE//sucA//fumA//sgbH//citE//ansB//trpE//gpmA//trpA//astA//gpmA//citF//glyA//sdhA//betA//ilvH//fumA//bioA//tdh//gatZ//citG//araA//astE//nrdB//nrfC//yfeW//gcvP//astC//galT//amn//prpC//guaB//malS//aroL//yqjH//glpE//narG//prpB//gcvH//rutC//rdoA//fadJ//
GlcC-Acetate	pagP//nirD//folA//
GlcC-Glycolate	ahpC//carB//frdB//
GlrR-Pasp56	
IclR-pyruvate	narH//glgP//prpC//
IdnR-5-ketogluconate	amn//hypB//sdhB//icd//pgk//sgbU//
IdnR-Idonate	metF//fadD//caiD//tehB//deoA//trpE//
IlvY-2-acetolactate	napC//
IlvY-Alfa-acetohydroxybutirate	gatY//
IscR-2Fe	araA//glcE//rbsD//ubiC//cynS//sucD//dkgB//
LldR-L-lactate	metC//hypB//
Lrp-Leucine	tam//metL//deoC//glpB//metH//uidA//ackA//rutD//ada//bcsA//glpE//garK//ilvG_2//hyaB//glcB//polA//kbl//ilvD//aceE//puuD//cheR//citF//lsrF//astE//dadX//gcvT//fadB//astB//yfdE//sodA//torA//paaZ//preA//preT//paaI//gntK//phnN//betB//sdhD//
LsrR	malP//dmsB//hyaC//gpmA//dmsB//
MalT-ADP-Maltotriose	gabT//fadE//ulaF//dadA//pgpC//acnB//
MalT-Maltotriose-ATP	deoB//truB//fau//aspC//lsrG//hcp//
MelR-Melibiose	fau//nadC//
MetJ-S-adenosylmethionine	fes//astD//pnp//fumC//nanK//sucD//mhpF//prmC//pck//frc//
MetR-L-homocysteine	betA//umpH//aroG//citG//
MhpR-3-DHPP	trpE//sdhA//gcd//kbaZ//lpxB//glcE//
MhpR-3HPP	frc//dkgB//pgk//aldA//trmD//glgP//
MntR-Cd2+	gcd//pck//
ModE-MoO42-	cheR//bcsZ//gpsA//mtlD//malP//paaI//fumB//guaB//cpdB//aspA//nrfB//bioA//dmsC//recF//
NarL-Phosphorylated	citC//deoC//thrS//dgcZ//mtlD//dapB//mtlD//gltA//icd//sgbU//sodA//dmsC//mhpC//abgB//ldtB//citC//paaE//citF//cysG//betB//cysK//entD//fumC//citG//gapA//serA//lpxD//adhE//puuB//puuB//nanM//prpE//pta//cysG//paaK//metB//cdd//napG//
NarP-Phosphorylated	miaA//xapA//yfdE//melA//speC//purD//cheR//fadH//cadA//trpC//pheT//
NhaR-Na+	puuC//aceE//glpX//glpQ//nrdD//
NikR-Cd2+	mutL//
NikR-Co2+	betB//
NikR-Cu2+	paaI//
NikR-Ni2+	nrdA//
NikR-Zn2+	prpB//
NrdR-ATP	fadJ//murQ//deoD//betB//
NrdR-Zn2+	preA//hflX//purA//ilvB//
NrdR-dATP	araB//ulaE//purE//nirB//
NsrR-2Fe	sucD//nanA//nrdF//metH//betA//allC//aroH//pta//lacZ//ackA//fucI//hycE//gcd//metC//murQ//cysI//prpD//entB//malZ//ilvB//nrdB//pyrD//tam//paaB//astA//ilvM//dadA//sdhA//ubiC//acnA//
PhoB-Phosphorylated	paaC//glpE//glnA//gcvP//prpC//abgA//argE//argB//purD//serC//mhpB//patZ//lsrF//ahpF//rhaB//tehB//dapD//pyrD//sgbH//phnH//
PhoP-Phosphorylated	atoD//mhpC//upp//aroF//purC//dadX//slt//uxaB//sdhA//glnA//argF//rhaA//xylB//aceB//chbF//purL//aroG//chbF//nagA//dmsB//dmsB//glgP//phnH//entB//guaA//glpK//yiaK//malS//rutD//xapA//xdhC//napA//tyrA//lpxB//narH//
PrpR-2-methylcitrate	nrfD//metE//entC//lsrG//
PurR-Guanine	glnA//puuC//ynfH//astC//napA//prpC//rhaA//gabT//ogt//trpD//malP//ssuE//fucK//dapB//idnO//argH//sgbH//katG//metL//alaA//acs//hemL//glcF//alkB//puuA//rhaA//folE//
PurR-Hypoxanthine	nrfA//bioC//aceF//lldD//ogt//gabT//hycB//metA//ldtC//manA//pdeF//purF//hyaC//glpB//serC//recF//phoA//aroH//puuB//ybjG//cysN//astB//abgA//bioA//dgcZ//ubiG//fadH//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	gltB//rhaD//pncB//nirD//
RstA-Phosphorylated	purH//glnA//rbsD//
SoxR-2Fe_oxydized	appA//folA//
TorR-Phosphorylated	bioF//entD//cysD//
TrpR-Tryptophan	pgk//paaE//fadE//rutD//ssuE//lysA//iscS//alkA//ogt//
TyrR-L-tryptophan	lpxD//idnO//pgaC//ahpC//nanK//uvrA//guaA//galE//rhaA//
TyrR-Phenylalanine	hyaB//manA//hemL//dapD//malY//sucA//thrS//pncB//uvrA//
TyrR-Tyrosine	glpD//purB//lysA//metB//katG//sucA//garK//alaA//metE//
UhpA-Phosphorylated	mpl//
XapR-xanthosine	cheR//ilvA//
XylR-Xylose	sucC//dadA//acs//
ZntR-Cd2+	narG//
ZntR-Hg	dadA//
ZntR-Zn2+	sdhB//
ZraR-Phosphorylated	
Zur-Zn2+	malP//
