# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	hycC//trpA//purD//araA//
DnaA-ATP	tadA//prpE//glpX//citG//aroF//glcE//
DpiA-Pasp	ilvG_1//mhpE//ftnA//speA//lsrG//
DsdC-D-serine	gabT//ascB//
EvgA-Phosphorylated	tadA//fabZ//eda//sodB//slt//
FNR-Fe_reduced	rutD//pck//paaB//nrdA//gpmA//mhpE//purD//rutE//agp//dnaE//lysU//guaA//patZ//abgA//napG//metL//pdeF//katG//gatZ//fadA//paaB//glnA//aceB//argB//bcsA//truB//fadD//hflX//dmsA//lyxK//hypB//puuD//bioD//argG//speA//sdhB//sucD//rutE//astE//uxuA//ilvC//gltD//sdhB//psd//trpA//napG//chbG//argA//ilvB//napH//ldtC//moeA//glgP//argA//prs//xdhB//hyaC//metK//gabD//sucA//purC//caiB//fucI//allE//paaG//fucI//purF//agp//lyxK//yfeW//ilvG_2//caiA//gntK//argE//sdhA//ilvC//trmD//paaH//nanA//lysA//hycE//manA//hycC//sdhC//sdaA//yqjH//gcvP//ilvH//purH//nrdB//purM//cysD//tktB//sufS//entA//yfbR//umpH//uxaC//lsrF//pyrD//sodB//argG//sucB//betA//folA//bioB//ilvB//katG//lsrK//caiD//napG//fumB//pheS//dgcZ//purE//lpxD//aceF//mdh//fes//metE//mhpA//pheT//katG//garK//napC//ulaF//prmC//
FhlA-Formate	glcD//hycF//dgcZ//phnP//ubiX//garR//paaC//
FucR-L-fuculose-1-phosphate	napA//cysN//gcvH//tauD//pgk//ynfH//
Fur-Fe2+	ulaD//alkB//dgcZ//sgbE//yfdE//caiA//purM//puuC//caiB//pgk//phnH//guaB//truB//allC//glpB//xylB//astA//folE//torA//cpdB//pflB//glpC//codA//uxaA//torA//cheB//uxuB//araD//patZ//glnA//chbG//hycG//metH//phnN//purM//dsdA//paaG//glcE//polA//phnL//narH//prmC//tyrA//entD//citE//caiD//bcsZ//argD//nanK//garL//purC//sucC//ilvC//sdaA//guaA//lhgO//ahpC//aroA//bcsZ//mhpE//acnB//murQ//prpD//entF//paaG//pyrD//abgA//pncB//hycB//
Fur-Mn2+	thrS//garR//metC//dusB//atoD//galK//truB//bcsZ//aceE//cysK//dadX//glpD//astA//idnO//lysU//araB//bglB//xdhA//allC//gdhA//metB//aceA//sufS//malQ//garL//pheT//eda//mtlD//ulaE//ubiA//sdhB//citC//atoB//xylB//frdD//cheB//lsrF//hflX//yfeW//sdhC//cpdB//bacA//hemL//lpxD//cysJ//entD//uxaA//deoB//kbl//ppiA//edd//bioC//malQ//hyaA//dkgB//glpX//citG//ndh//atoD//hycB//tktB//argA//uxaB//puuB//uxuA//pheT//astB//lsrF//ulaD//
GlcC-Acetate	lpxD//murQ//cynT//
GlcC-Glycolate	dadA//upp//cysI//
GlrR-Pasp56	
IclR-pyruvate	srlD//phnI//paaA//
IdnR-5-ketogluconate	ilvH//murQ//zwf//pgaB//mpl//talA//
IdnR-Idonate	pnp//gltB//aspC//frdD//fadB//purA//
IlvY-2-acetolactate	sodA//
IlvY-Alfa-acetohydroxybutirate	pgaB//
IscR-2Fe	moaE//pnp//uidA//agp//hycE//ulaF//bcsZ//
LldR-L-lactate	pgk//yqjH//
Lrp-Leucine	ndh//galM//nirD//ndh//cysK//upp//katE//patZ//ogt//tehB//citD//phnH//ilvM//ldtB//rdoA//nagB//mpl//moaE//moaA//tdcG//pyrC//tnaA//paaA//tdh//lsrG//allE//katG//pncB//miaA//murQ//ilvI//astE//codA//atoB//tktB//tdcB//mhpA//rutD//hycD//
LsrR	ilvE//purK//sodB//hyaA//nirB//
MalT-ADP-Maltotriose	paaC//avtA//gltD//folA//manA//citD//
MalT-Maltotriose-ATP	fdhF//garL//argE//chbG//nanE//gnd//
MelR-Melibiose	appA//lpxD//
MetJ-S-adenosylmethionine	fbaA//nadC//tdcE//ndh//ampD//galE//oxc//nrdE//puuB//mhpE//
MetR-L-homocysteine	moeA//ynfH//miaA//trmD//
MhpR-3-DHPP	argH//galM//ulaF//zwf//trpD//preT//
MhpR-3HPP	phnO//argB//argA//hycC//mtlD//phnN//
MntR-Cd2+	xapA//argB//
ModE-MoO42-	caiB//metF//hmp//atoB//aroH//speC//aroF//aceF//codA//uxaA//tehB//ilvB//hycD//pagP//
NarL-Phosphorylated	glgA//fdhF//alkA//phnJ//phnL//yfbR//sucA//acnA//paaK//cheR//hflX//fes//ilvM//nrdF//narH//nirD//ilvM//glpD//tehB//paaK//napG//malS//mpl//chbG//purM//napA//araB//pheS//paaH//fes//paaJ//ilvH//mtlD//pyrC//aspC//lpd//appA//allE//
NarP-Phosphorylated	betB//ubiA//prpD//mhpB//abgB//xdhB//yfdE//hemA//ilvA//frdA//cysH//
NhaR-Na+	bioA//deoB//nagB//xdhC//rutA//
NikR-Cd2+	rhaD//
NikR-Co2+	ahpC//
NikR-Cu2+	mltC//
NikR-Ni2+	cheR//
NikR-Zn2+	uxaC//
NrdR-ATP	rbsK//bioB//lldD//cheB//
NrdR-Zn2+	psd//nanA//pyrC//citC//
NrdR-dATP	rutC//acs//fadI//hyaA//
NsrR-2Fe	argB//deoA//metL//astB//lpd//tnaA//argA//pgaC//kbaZ//glcD//xdhB//hemA//glgC//puuA//paaK//nirB//glcD//cheR//oxc//ubiC//pnp//allD//patZ//aceB//betA//nirB//gatD//fadB//yfdE//glpQ//
PhoB-Phosphorylated	uxaB//citX//purH//fadH//fucA//purB//gabD//cheR//aroG//abgB//nirB//acs//ppiA//narI//ampD//glpX//dapB//yfdE//paaK//thrS//
PhoP-Phosphorylated	guaB//hycG//cdd//mhpB//malZ//araA//lpxD//uxuA//fadB//hemL//uxuB//fucO//citF//upp//mhpF//nagB//entC//astC//phnN//ulaE//ung//lpd//tyrB//cynT//deoD//frdB//nrdD//preT//pgpC//speC//pgpC//aroL//caiC//nagA//kbl//
PrpR-2-methylcitrate	aroF//chbF//tnaA//nanK//
PurR-Guanine	nanE//paaG//glgP//sgbH//purF//allD//folE//abgB//paaJ//pyrC//ynfH//paaB//fucA//fumC//kbl//hpt//upp//mhpD//agp//upp//gntK//purM//hemL//speB//nrdD//purH//citX//
PurR-Hypoxanthine	cysN//udp//dsdA//treC//dadX//trpB//gnd//aceA//preA//metF//aceB//glcB//yfbR//trmD//tyrA//uxaC//cysC//dmsB//trpE//talA//ynfF//aceE//ansB//frdC//paaB//cyoE//xdhA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	gadB//glcE//sucA//nirB//
RstA-Phosphorylated	eda//paaA//rhaB//
SoxR-2Fe_oxydized	deoD//prs//
TorR-Phosphorylated	metB//ftnA//purB//
TrpR-Tryptophan	caiA//phnJ//cysD//hpt//ynfG//tsaE//citX//rbsD//prpC//
TyrR-L-tryptophan	mltC//cysN//hyaC//purA//entF//serC//aceE//treC//xdhB//
TyrR-Phenylalanine	lyxK//entA//purL//yfbR//mtlD//ynfF//dmsA//fabZ//paaA//
TyrR-Tyrosine	fadI//patZ//slt//hycD//sgbU//atoD//glpK//galT//guaB//
UhpA-Phosphorylated	manA//
XapR-xanthosine	rhaB//pyrD//
XylR-Xylose	yfdE//gabT//sodA//
ZntR-Cd2+	ogt//
ZntR-Hg	allC//
ZntR-Zn2+	ubiA//
ZraR-Phosphorylated	
Zur-Zn2+	fadD//
