# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	speA//uxuB//paaH//nrdF//
Lrp-Leucine	phnL//yiaK//melA//carB//atoB//xylA//puuC//caiC//mhpB//speC//citD//napH//argD//trpE//katG//ynfG//frc//glyA//cysK//sdhA//tam//bioB//pta//araB//katE//nrdB//katE//gntK//speA//nrfB//gcvT//fadH//paaF//nrdB//hypF//narI//glpB//purC//purE//
LsrR	sgbH//fadJ//nanE//aspC//ilvN//
MalT-ADP-Maltotriose	tdcD//rutD//sdhA//pgaB//caiA//metL//
MalT-Maltotriose-ATP	purA//trmD//sgbH//hemL//pyrD//fadD//
MelR-Melibiose	cueO//lyxK//
MetJ-S-adenosylmethionine	sucC//fumC//cysH//glpA//paaJ//purH//pagP//mdh//mhpC//argA//
MetR-L-homocysteine	uxaA//sucA//fucK//udp//
MhpR-3-DHPP	mhpA//cysD//udp//bioD//gabD//galE//
MhpR-3HPP	gcvH//pagP//rbsK//mtlD//glpD//tdcE//
MntR-Cd2+	gnd//glpQ//
ModE-MoO42-	paaJ//gpmA//adhE//abgA//sucD//pheT//phnP//frdD//gapA//gcvH//aldB//citD//ynfF//mhpD//
NarL-Phosphorylated	yfdE//frdC//lysA//ilvG_2//ilvE//astD//puuC//mpl//caiB//tadA//hycB//lysC//recF//glgX//citC//argB//argF//frdD//ssuD//napA//xapA//entA//udp//nanM//gltA//acnB//glgP//citG//pagP//entB//glcD//cadA//lyxK//hypB//lpxA//bacA//tdcE//caiC//
NarP-Phosphorylated	pgk//gntK//katG//dgcZ//fadD//glnA//malY//bglB//mhpF//ynfE//tktB//
NhaR-Na+	aspA//puuD//aspA//purK//rutC//
NikR-Cd2+	yfeW//
NikR-Co2+	trpD//
NikR-Cu2+	fadI//
NikR-Ni2+	tdcE//
NikR-Zn2+	narI//
NrdR-ATP	chbG//gatD//aceB//dapB//
NrdR-Zn2+	paaF//lsrG//malS//malZ//
NrdR-dATP	amn//hcp//garK//puuD//
NsrR-2Fe	ugpQ//malQ//cysC//dadA//aroH//gadB//narI//purC//astC//cynT//pgaB//zwf//purH//bioC//hycG//malP//phnP//glcE//alaS//fucI//garK//fau//uvrA//glpD//pheT//zwf//purM//aldB//ldtB//avtA//
PhoB-Phosphorylated	nrdB//lsrG//argD//ynfE//trpE//prpE//aroA//nanE//rdoA//moeB//phnH//purB//gapA//phnN//purE//lsrK//astD//tam//glgX//puuA//
PhoP-Phosphorylated	puuB//nrdB//mutY//serC//aceA//trpD//frdA//metA//nirD//metA//acs//mutY//abgB//lsrG//iscS//metH//sgbE//gatD//cysK//nanK//gcd//dapD//folA//napA//argH//atoA//trmD//codA//sdhC//metL//prpD//glcB//chbG//purD//hemA//
PrpR-2-methylcitrate	hycB//hyaA//gpmA//paaC//
PurR-Guanine	gcvT//ubiA//ilvH//moeA//purN//folE//xapA//gcvT//frdD//tdcD//speA//tdh//gcvH//deoA//fadI//narH//tdcD//pncB//galK//purA//nanA//tdcB//katG//nirD//moeB//metH//aroL//
PurR-Hypoxanthine	entE//pgaC//paaC//tsaE//aldA//lpxA//gpsA//cysH//malQ//nrfD//fadA//bioD//narG//nrdF//torC//paaJ//avtA//waaH//tdh//ubiX//slt//paaE//paaB//pnp//lpd//glnA//fes//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	paaG//carB//ung//torA//
RstA-Phosphorylated	uxuB//gatY//phnP//
SoxR-2Fe_oxydized	pgpC//treC//
TorR-Phosphorylated	entF//yfeW//gdhA//
TrpR-Tryptophan	trpB//pgaB//mutY//narI//treC//ldtB//purL//hycC//cdd//
TyrR-L-tryptophan	gpmA//moaE//mhpE//ascB//malY//phoA//pta//dnaE//aceA//
TyrR-Phenylalanine	dnaE//nirB//astA//ulaE//ilvI//glcD//gcd//galK//rutA//
TyrR-Tyrosine	fdhF//nadC//bioF//moeB//cpdB//murQ//napH//hmp//abgA//
UhpA-Phosphorylated	sgbU//
XapR-xanthosine	astE//tyrB//
XylR-Xylose	paaK//yfdE//speA//
ZntR-Cd2+	uxaA//
ZntR-Hg	fumB//
ZntR-Zn2+	puuA//
ZraR-Phosphorylated	
Zur-Zn2+	aroG//
