# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	napA//dadA//ilvN//bcsB//
ChbR-Monoacetylchitobiose-6P	ilvA//tyrB//rhaB//
CpxR-Phosphorylated	eda//citX//sdhD//rutE//purN//xylA//nrfB//sucB//astD//araA//frc//galK//prs//idnK//ampD//tdcD//alaA//ascB//uxuA//tauD//upp//miaA//
CreB-Phosphorylated	glpC//rutC//glcE//
CueR-Ag	ldtC//uxaC//xdhC//narG//
CueR-Cu+	tyrA//ilvB//glpD//aldA//
CuerR-Au	metC//aceE//moaE//astA//
CusR-Pasp	puuA//aroF//fucA//
CynR-Cyanate	sufS//aceA//pncB//
CysB-N-acetyl-L-serine	lacA//cheB//talA//appA//phnN//glpB//paaH//rdoA//aspC//glpE//acnA//rdoA//nrfC//nanA//paaH//fau//
CysB-O-acetyl-L-serine	purL//tadA//frdA//mutL//ung//tsaE//zwf//fucK//purF//psd//aceE//paaE//pyrD//ndh//pncB//speC//frdB//
DcuR-Phosphorylated	pyrC//rutD//gpmA//ahpC//
DnaA-ATP	argG//ilvC//pyrC//paaH//bacA//glgX//
DpiA-Pasp	ynfF//amn//cdd//fumB//paaG//
DsdC-D-serine	avtA//paaC//
EvgA-Phosphorylated	entB//dadX//lpd//pheT//hycF//
FNR-Fe_reduced	aldB//fadB//nrfC//amn//paaE//dnaE//alaA//phnJ//xdhB//folE//melA//deoB//yfbR//adhE//serC//psd//ulaF//adhE//cheB//hmp//purD//glgP//murQ//phnJ//astC//pyrC//phnG//cysH//sodA//preA//chbG//dkgB//purB//argF//entD//puuA//citF//cheR//ubiC//ynfF//entH//rdoA//xdhB//yjeF//malQ//ynfE//entE//purL//lysA//argC//trpA//tehB//katE//hycC//speB//guaA//sodA//allC//cheB//hpt//ackA//mpl//aceA//gadB//pncB//prpB//fbaA//ilvN//ada//frdD//thrS//trmD//cysK//patZ//mltC//betA//sucC//bcsZ//fau//folE//paaJ//ogt//paaH//xdhC//nrdD//puuD//betA//aceA//nagA//uxaA//guaA//astD//aroL//gpsA//icd//rdoA//metB//ackA//frc//sucA//sucB//prs//glgX//dmsA//codA//purL//aldA//icd//entF//acs//treC//fucO//acnA//ilvB//ahpF//pgaC//alaA//patZ//pgaD//metK//acnA//aceB//epd//ilvH//bioA//trpB//frdC//
FhlA-Formate	gltD//chbG//ilvG_2//zwf//fdhF//kbaZ//sgbE//
FucR-L-fuculose-1-phosphate	fumB//phnH//lpxD//purK//aroH//cysH//
Fur-Fe2+	betB//astD//uxaB//hycF//lsrG//nrdE//gltA//tdcG//trpD//malZ//allD//purA//chbF//glcB//lpxB//tsaE//purE//moaE//glcF//sucC//argA//argE//rdoA//trpC//prmC//caiA//murQ//metC//cysM//torC//ahpF//tam//sgbU//ogt//ubiG//metK//nanM//appA//entF//phnO//talA//gltA//codA//puuB//katG//lhgO//hycC//alkA//deoB//idnO//sgbH//purD//upp//mhpF//fbaA//hycG//ispE//deoD//phnH//fumC//aceF//trpE//rhaA//glpQ//iscS//napB//purH//alaA//eda//
Fur-Mn2+	sufS//garL//chbF//gatZ//nagA//tdcB//gcvH//xdhC//rutC//ulaF//udp//prmC//astE//fdhF//ynfH//preT//paaC//hpt//frc//paaB//sdhC//yfdE//atoA//sdaA//cysJ//malS//melA//garL//pgpC//fucO//pgaC//cysH//metC//ppiA//gutQ//gabD//dmsA//tdcG//uxaA//sucA//dapD//argB//ubiA//purK//glgB//metC//deoC//lsrF//adhE//hycD//dnaE//entD//bacA//nrfC//sdhA//rutE//cdd//speC//paaH//cysC//ppiA//bcsB//gapA//torA//purH//metL//glpX//araB//lpd//
GlcC-Acetate	bcsB//caiD//glpD//
GlcC-Glycolate	moaE//mltC//frdD//
GlrR-Pasp56	
IclR-pyruvate	araA//narI//tam//
IdnR-5-ketogluconate	pyrC//yfdE//aceA//hemA//dmsB//hemL//
IdnR-Idonate	acnB//citF//mhpC//paaE//dmsC//astB//
IlvY-2-acetolactate	amn//
IlvY-Alfa-acetohydroxybutirate	entE//
IscR-2Fe	murQ//yiaK//yfbR//uxuA//ahpF//ilvI//yqjH//
LldR-L-lactate	fumA//xdhA//
Lrp-Leucine	frdC//mhpE//dmsC//trpD//deoD//icd//frdD//glnA//sgbU//rhaA//ackA//astD//tsaE//cysM//rdoA//moaE//sgbH//guaA//ogt//agp//bcsA//xdhA//pgaB//fes//frc//truB//nrdD//caiC//mhpF//frdD//gatD//avtA//lacA//pck//galE//malY//phnP//gcd//glpX//
LsrR	cadA//ahpC//gnd//yiaK//astE//
MalT-ADP-Maltotriose	dsdA//lpxD//pdeF//malS//gatD//lpxA//
MalT-Maltotriose-ATP	iscS//rbsK//pgaC//pheT//kbaZ//upp//
MelR-Melibiose	folA//tauD//
MetJ-S-adenosylmethionine	pagP//argB//xdhB//rhaB//aroF//napC//frc//cyoE//eda//puuA//
MetR-L-homocysteine	carB//thrS//moaE//galT//
MhpR-3-DHPP	napC//treC//uidA//tsaE//fadB//gatD//
MhpR-3HPP	fucK//aroF//hypF//dapB//purM//malY//
MntR-Cd2+	trpC//tktB//
ModE-MoO42-	glgC//moeB//nanA//dkgB//ogt//gcvT//citG//aroG//hpt//nrfA//malS//torA//yjeF//ung//
NarL-Phosphorylated	ubiG//fumA//mpl//ldtB//nrdF//amn//betA//dapB//manA//prs//argB//lyxK//rutB//gabD//gatD//purE//sgbE//alaA//glyA//hyaA//uxaC//trpB//alkA//rhaB//citE//nrdB//ilvG_2//xdhB//ahpC//moaD//bioD//gntK//frdB//ilvA//nrfB//sdaA//lsrG//xdhB//
NarP-Phosphorylated	glcB//aspC//adhE//ndh//ung//entH//acnA//fucA//cysH//yjeF//entF//
NhaR-Na+	glcD//tehB//gltD//hycE//fes//
NikR-Cd2+	deoC//
NikR-Co2+	tdcD//
NikR-Cu2+	dsdA//
NikR-Ni2+	malP//
NikR-Zn2+	lysA//
NrdR-ATP	purF//uxaB//ilvC//nrdD//
NrdR-Zn2+	uxaB//paaG//paaE//sucD//
NrdR-dATP	torA//ubiA//cysI//fau//
NsrR-2Fe	ilvB//nanM//puuA//ubiA//folE//fbaA//paaI//ynfF//garR//fadJ//lysU//xdhB//hycE//cynS//uxaB//tyrA//fadE//glcF//frdA//glpA//caiB//pgpC//fabZ//mhpD//sucC//dnaE//lysU//fadB//garR//gabT//
PhoB-Phosphorylated	astC//ldtC//paaG//nrfD//recF//purD//uxuB//cadA//bcsA//fucK//deoA//gltD//guaB//galE//deoD//udp//moaD//yfbR//galM//yiaK//
PhoP-Phosphorylated	dgcZ//ssuE//xdhA//uxuB//glpB//phnH//garR//tsaE//dmsB//sgbU//recF//folA//speA//zwf//garR//moaA//tyrA//mutL//purN//sucD//gntK//astD//aceF//bioF//ldtB//argC//glyA//gpsA//fucK//slt//purF//galT//mhpA//glpD//entF//
PrpR-2-methylcitrate	icd//mhpB//fadJ//phoA//
PurR-Guanine	epd//trpD//frdC//deoD//codA//tauD//folE//trpB//rutD//phnH//purD//carB//phoA//yfeW//hemL//hypF//aceB//ldtC//patZ//uxaA//avtA//caiA//gdhA//pck//pnp//ubiA//trpE//
PurR-Hypoxanthine	gntK//cynS//avtA//nanA//prpD//sufS//glgP//purH//purA//phnP//feaB//astC//deoD//slt//aceF//serA//mhpA//puuE//pdeF//gcvH//mtlD//phnP//aroL//narI//alaA//ilvC//torC//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	napC//lyxK//entB//acnB//
RstA-Phosphorylated	ascB//ndh//nirD//
SoxR-2Fe_oxydized	katE//puuD//
TorR-Phosphorylated	fucK//nanA//fadA//
TrpR-Tryptophan	talA//cysM//fes//mtlD//waaH//aroL//argA//frdA//hycF//
TyrR-L-tryptophan	idnK//nrdF//yfdE//glpK//serA//caiD//fes//gltA//tyrB//
TyrR-Phenylalanine	alkB//uidA//glpB//gnd//serC//tyrB//gltD//cdd//xdhA//
TyrR-Tyrosine	glgX//mhpF//entD//uvrA//cysG//trpD//hycG//gabT//phnP//
UhpA-Phosphorylated	ldtC//
XapR-xanthosine	nrfA//tam//
XylR-Xylose	gutQ//ispE//argI//
ZntR-Cd2+	gcvH//
ZntR-Hg	dapD//
ZntR-Zn2+	glpQ//
ZraR-Phosphorylated	
Zur-Zn2+	purD//
