# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	tnaA//hmp//ilvD//glcD//
DpiA-Pasp	glgC//lyxK//bglB//tdh//aceB//
DsdC-D-serine	deoA//torA//
EvgA-Phosphorylated	ulaD//allC//gntK//katE//galE//
FNR-Fe_reduced	dgcZ//ldtC//ackA//entH//betB//murQ//yfbR//fadJ//aspA//uxuB//acnB//phnP//fadE//argF//epd//waaH//tdcG//appA//paaG//pyrC//caiA//lpd//mhpA//ung//galM//pyrD//caiB//phnP//xdhC//uxuB//fucK//speA//argD//alaS//argG//moaE//tdcB//metH//dapB//puuA//bioB//dadX//truB//moaD//ndh//kbaZ//appA//glpK//aroH//miaA//entE//pyrD//nirD//trpD//tadA//hypB//yeaE//ilvE//agp//speB//ilvM//metB//sodA//cysJ//nagB//moaA//hcp//gltD//purA//nagA//sgbE//paaE//metB//ubiG//cyoE//tadA//gapA//amn//galE//recF//sodB//citX//sdhD//galT//idnK//metC//gcvP//puuC//glpQ//chbF//rutE//eda//nanA//nrfC//yqjH//glcF//lsrK//hypF//atoD//sgbU//mhpB//pflB//uidA//pheS//dkgB//rnpB//idnO//murQ//astB//prpE//bioA//citG//nanM//allD//fadE//phnG//betA//nrfA//katG//cysC//deoC//ynfE//gatD//torC//sdhC//aceB//hycC//
FhlA-Formate	ynfH//allC//metB//mhpF//tdh//garL//guaA//
FucR-L-fuculose-1-phosphate	nadC//icd//deoD//garK//bcsB//cynS//
Fur-Fe2+	thrS//gpmA//ubiA//aceA//gpsA//rdoA//astD//mtlD//glcB//tdcE//edd//purK//lpxB//nrdB//acnB//napB//nirD//dusB//ubiC//frdC//caiA//tauD//caiB//psd//entD//fucU//alkB//hycE//mutL//aspA//pnp//ftnA//gnd//thrS//gntK//purH//deoA//gapA//purB//treC//puuC//prpB//dusB//aceE//glpX//mltC//uvrA//lpxD//yjeF//yeaE//puuE//puuB//fumB//glnA//deoC//cynS//fadE//gcvP//hyaA//rhaB//deoC//yfeW//hcp//metK//zwf//guaA//edd//purN//nanE//
Fur-Mn2+	rutE//folA//citD//lldD//astC//rutD//phnG//fadE//pgk//gnd//trpB//gnd//moaA//sgbH//nirD//ulaE//speC//argA//metK//frdA//aroG//gatZ//fucI//allE//serA//yfeW//ispE//citF//pgpC//glpB//moeB//katG//galM//prpE//trpB//idnO//metK//astB//speB//galK//purC//cdd//nanA//ilvH//araA//yiaK//edd//fumB//napC//argD//glpX//deoB//guaB//amn//glpB//argD//xdhB//torC//upp//nanM//epd//cadA//glnA//phnO//dusB//citD//caiC//glpE//paaB//
GlcC-Acetate	napB//napG//hypF//
GlcC-Glycolate	sucC//rutE//fumC//
GlrR-Pasp56	
IclR-pyruvate	cueO//fau//tyrA//
IdnR-5-ketogluconate	glnA//phnG//nrdF//malS//nagA//cysI//
IdnR-Idonate	gabD//oxc//alkA//nrdE//nrfA//paaA//
IlvY-2-acetolactate	serC//
IlvY-Alfa-acetohydroxybutirate	folA//
IscR-2Fe	abgA//idnO//metC//xdhC//tyrA//dadX//cysH//
LldR-L-lactate	sufS//garK//
Lrp-Leucine	fau//metH//serA//glyA//hypF//fucK//caiB//allE//rhaB//fadB//aceF//hyaC//araA//melA//avtA//sgbH//ynfG//rutC//treC//talA//speB//ilvC//xapA//gatY//abgA//puuC//avtA//phnM//entF//bioA//torC//tdh//metA//cheR//caiA//entD//araB//metB//paaC//
LsrR	dmsA//aroA//fucK//astB//folE//
MalT-ADP-Maltotriose	argH//trmD//cysC//rutB//gutQ//deoD//
MalT-Maltotriose-ATP	araA//ulaE//pncB//fdhF//trpE//mhpA//
MelR-Melibiose	ftnA//ilvI//
MetJ-S-adenosylmethionine	paaI//nrfA//lpxA//fucK//purC//uidA//xapA//phnM//sdhD//galM//
MetR-L-homocysteine	napH//cueO//cysM//alaA//
MhpR-3-DHPP	trpA//alaS//argE//yfbR//moeA//fau//
MhpR-3HPP	aroA//sucA//ilvI//galK//citE//astE//
MntR-Cd2+	glyA//metK//
ModE-MoO42-	pgk//hflX//uidA//cheR//acs//fucA//mtlD//tdcB//narG//allD//trmD//speA//trpE//tyrA//
NarL-Phosphorylated	ynfE//bioA//glcD//uidA//garK//ldtC//katE//rhaB//sucA//malP//nrdF//xylB//mhpA//glnA//rhaD//ynfE//malP//phnM//alaS//mutL//metK//gadB//avtA//fdhF//fumB//dmsA//gnd//ynfG//idnD//cysG//ogt//feaB//paaZ//miaA//sgbE//aspA//bcsB//argI//
NarP-Phosphorylated	bcsZ//entA//ilvM//amn//nrfD//purN//malQ//deoD//glpC//feaB//bcsA//
NhaR-Na+	bioF//uxaB//puuB//dgcZ//fucK//
NikR-Cd2+	frdD//
NikR-Co2+	glpB//
NikR-Cu2+	cysD//
NikR-Ni2+	xdhC//
NikR-Zn2+	idnO//
NrdR-ATP	bcsA//glpC//avtA//gabT//
NrdR-Zn2+	sdhB//gabD//mdh//uxaB//
NrdR-dATP	citC//trpC//cysG//cheR//
NsrR-2Fe	gadB//mdh//gdhA//ada//puuB//citX//napG//napA//kbaZ//umpH//lysA//preA//paaG//glcE//dmsC//aspA//serA//metL//cysG//mutY//prpE//ynfH//bioC//trmD//aceE//nirB//preA//glpQ//ada//hemA//
PhoB-Phosphorylated	nrdA//ubiA//edd//trpA//truB//sgbE//cysK//waaH//sgbE//tdcE//pheT//rdoA//puuC//tdcD//chbF//glpA//galT//alaS//cyaA//ada//
PhoP-Phosphorylated	fadD//phnL//aceA//mhpB//fbaA//gcvT//astC//hyaC//yfdE//astE//patZ//tyrB//citC//hpt//glyA//ulaD//speB//murQ//purC//galK//entE//garK//fadI//speA//prpC//eda//codA//thrS//manA//gatZ//pyrD//hycD//sdhA//carA//miaA//
PrpR-2-methylcitrate	narI//melA//aroA//phnG//
PurR-Guanine	araB//cysG//lsrF//bglB//paaE//fumC//manA//citX//aroA//phnH//ynfG//nadC//metB//glpC//fumC//lpxA//malP//tdh//hemA//manA//manA//ynfF//miaA//ilvI//paaK//fumA//thrS//
PurR-Hypoxanthine	xdhA//ilvA//preA//deoD//narH//purE//pck//purE//mdh//phnO//rdoA//sodB//ilvB//treC//fadI//entC//alaS//tsaE//treC//guaA//sucC//lhgO//acnA//ampD//hmp//tsaE//ssuD//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	alaS//gabD//moaE//tdcE//
RstA-Phosphorylated	gpmA//kbaZ//tadA//
SoxR-2Fe_oxydized	cysH//gatY//
TorR-Phosphorylated	moaE//bcsZ//alkA//
TrpR-Tryptophan	nagA//fadJ//metE//idnK//hycB//mhpC//cueO//folA//moeA//
TyrR-L-tryptophan	paaK//fabZ//trmD//dsdA//dmsC//miaA//caiB//galK//purL//
TyrR-Phenylalanine	cueO//pyrD//aceE//ubiG//pheT//phnP//ilvG_2//nirD//yfbR//
TyrR-Tyrosine	xdhB//glcB//cynT//moeA//ilvM//purA//fumB//dusB//dmsC//
UhpA-Phosphorylated	napA//
XapR-xanthosine	serA//lacA//
XylR-Xylose	hyaB//yfeW//gdhA//
ZntR-Cd2+	rbsD//
ZntR-Hg	uxuA//
ZntR-Zn2+	metA//
ZraR-Phosphorylated	
Zur-Zn2+	thrS//
