# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	frdB//ilvE//chbF//paaA//
CuerR-Au	malZ//frdC//hycD//cyoE//
CusR-Pasp	paaZ//aroA//fes//
CynR-Cyanate	gltB//cysD//pyrD//
CysB-N-acetyl-L-serine	dsdA//purK//entD//citC//lyxK//argA//gltB//prpD//gabD//lysC//chbG//lysU//ulaF//sodA//waaH//citF//
CysB-O-acetyl-L-serine	fdhF//hyaB//bioC//nrdD//aspA//rhaD//paaJ//rutB//gcvH//udp//caiD//phoA//nanE//fumA//entD//astC//serC//
DcuR-Phosphorylated	gntK//fadB//puuE//purM//
DnaA-ATP	sgbE//amn//napA//nanA//paaI//entB//
DpiA-Pasp	uxuB//prpB//moaE//puuE//aroA//
DsdC-D-serine	araA//caiB//
EvgA-Phosphorylated	bioA//ilvI//aroL//pgaD//gabT//
FNR-Fe_reduced	sodB//astA//pncB//pheT//astC//mhpD//bioD//lpd//kbl//argE//sufS//gabD//deoC//phnN//tyrA//paaB//sucC//tdcE//mtlD//betA//ung//mutL//glpB//citG//cysM//kbl//frc//paaG//cpdB//entH//paaJ//entD//ilvC//metB//phnL//bcsZ//ynfF//paaG//pgaC//epd//citD//malY//metK//ilvH//metL//nrdA//sucD//katG//pagP//lldD//narI//psd//sdhB//betA//xdhA//cpdB//yfbR//purL//entD//cysI//treC//deoA//ahpC//tdcE//citX//carA//nrfB//cysC//fucU//glcF//dsdA//sucD//tdcD//uxaC//moaA//guaA//phnL//ascB//hycD//srlD//phnI//ssuD//lysA//nrdB//frc//bacA//yeaE//glpC//sodB//ilvG_1//gcvH//ogt//hpt//fumB//mhpD//trpA//hycB//paaB//nirD//paaF//glnA//xdhA//glgA//hpt//citX//polA//chbG//glpE//dusB//truB//lpxD//metK//gpsA//ilvH//lsrK//katG//sdhA//idnD//gntK//metB//purF//glgC//cysK//polA//ugpQ//sodA//paaB//
FhlA-Formate	rhaB//ilvD//abgB//betB//puuD//fucU//ilvE//
FucR-L-fuculose-1-phosphate	fucA//gabT//bcsZ//guaA//entE//pflB//
Fur-Fe2+	puuA//glpQ//trmD//atoD//dsdA//napC//cysN//alaA//frdB//dmsB//ogt//xapA//cheR//phnO//alkB//glpX//entA//serA//ynfF//atoA//metA//adhE//trmD//bioF//nagA//malY//katG//sodA//folE//napA//purM//fau//serA//glpQ//argG//fes//aceA//fucI//pgaB//narG//pflB//sgbE//ubiX//dapB//lsrK//cdd//epd//metB//purD//ubiA//gcvT//treC//fbaA//sgbE//phnJ//paaI//nrdB//nrdB//malY//waaH//hmp//cysG//phnJ//glpX//purE//dmsA//argG//sodB//lhgO//
Fur-Mn2+	ssuE//pncB//waaH//galT//ftnA//hypF//metK//lpxA//fucI//pck//ilvD//cyoE//yfeW//yqjH//pgaB//narH//bcsA//gatD//ynfG//gabT//alaA//nrdF//fucO//xapA//argE//malZ//garK//hpt//prpC//tdh//gltD//glgB//napA//hycF//phnO//dmsC//uxuA//nanE//argI//trpD//purH//feaB//sodB//cysM//glgP//ilvG_1//metC//fau//serC//aceE//tauD//dmsA//amn//paaJ//garK//slt//pagP//citC//cysD//cysJ//allE//argE//glcD//malS//argH//paaJ//gabD//paaC//bglB//
GlcC-Acetate	rdoA//torC//dmsC//
GlcC-Glycolate	argC//yeaE//zwf//
GlrR-Pasp56	
IclR-pyruvate	rutD//entA//lysA//
IdnR-5-ketogluconate	entE//ahpF//fucA//dsdA//moaE//ynfE//
IdnR-Idonate	prpD//dkgB//cadA//slt//ilvG_2//ilvG_2//
IlvY-2-acetolactate	frc//
IlvY-Alfa-acetohydroxybutirate	psd//
IscR-2Fe	rdoA//serC//argI//fadB//napB//pck//aceF//
LldR-L-lactate	moaD//lacZ//
Lrp-Leucine	fadI//alaA//cysM//narG//puuB//astE//purF//moaD//gntK//ynfH//entE//caiC//phnO//glpX//mhpE//sufS//nagB//cynT//gdhA//preA//cyaA//yfbR//paaG//aroF//pgaC//gltB//sdhC//acs//paaA//psd//srlD//phnG//phnM//mdh//citF//purE//tdcE//ynfF//cyoE//
LsrR	carA//zwf//ubiG//astC//allD//
MalT-ADP-Maltotriose	entA//malS//citD//allC//aldB//gdhA//
MalT-Maltotriose-ATP	rutE//puuA//hyaB//argH//ugpQ//gatZ//
MelR-Melibiose	pta//paaG//
MetJ-S-adenosylmethionine	uxuB//upp//metA//paaG//fabZ//tyrA//lpxD//moaD//ackA//pgaB//
MetR-L-homocysteine	hyaA//argF//prmC//dkgB//
MhpR-3-DHPP	betB//sucA//pgk//cysN//preT//phnO//
MhpR-3HPP	malQ//fadE//patZ//guaA//guaB//melA//
MntR-Cd2+	phnP//ilvE//
ModE-MoO42-	mhpD//ynfF//cysG//sucD//prpE//argB//prmC//pgk//ynfF//mtlD//melA//bglB//mhpD//acnA//
NarL-Phosphorylated	glpK//ahpC//rhaB//nrdB//uxuB//hflX//purB//astE//fadH//ahpF//gabD//bcsB//ynfE//icd//fadD//lysA//cadA//dadA//caiC//nagB//alkA//dsdA//argD//ahpC//hcp//phnH//puuD//pgaC//fdhF//aroH//serC//hyaC//moaE//betA//lyxK//purM//fabZ//nrfC//
NarP-Phosphorylated	xdhA//rhaD//uvrA//deoA//aceE//frdB//tktB//speB//purC//phnL//idnD//
NhaR-Na+	galE//citF//frdB//ulaF//frc//
NikR-Cd2+	tktB//
NikR-Co2+	ssuD//
NikR-Cu2+	deoB//
NikR-Ni2+	prmC//
NikR-Zn2+	nrfD//
NrdR-ATP	fucO//fumC//miaA//guaB//
NrdR-Zn2+	paaK//napB//pgaB//ilvD//
NrdR-dATP	uxaB//cynS//cueO//aroH//
NsrR-2Fe	agp//lsrK//guaB//bioC//purF//ogt//nirD//preT//pyrC//puuC//appA//uxuA//uxaB//amn//hyaA//sodB//pncB//xapA//lsrF//pta//fucK//puuA//hypF//carB//narI//astD//mpl//rhaB//ubiA//hemL//
PhoB-Phosphorylated	paaC//astB//xdhC//metE//gatZ//chbF//purK//bioB//mutY//ilvM//rdoA//carA//rutD//tdh//moeA//carB//dsdA//gcd//pyrD//yqjH//
PhoP-Phosphorylated	paaI//deoA//nrfB//ybjG//bioB//citD//appA//eda//trpB//pyrD//fumB//folA//atoD//lsrK//ulaD//xdhA//cyaA//atoB//fucA//citF//feaB//gatD//fadE//cysH//mhpC//ilvM//glpC//glgB//fumC//ilvM//glpC//preA//chbF//paaA//trpA//
PrpR-2-methylcitrate	rhaB//aspC//sucC//murQ//
PurR-Guanine	mhpA//speA//lyxK//ldtB//paaH//nrdA//cpdB//hpt//frdA//lysC//mhpE//dadA//hycB//carA//alkA//tadA//frdC//bglB//mpl//alkB//narG//phnH//uxaC//phnI//ilvG_1//sdhA//pdeF//
PurR-Hypoxanthine	pgaD//cheR//trpC//thrS//aldB//metB//ubiC//glcB//glyA//prs//ulaD//ugpQ//icd//glpQ//oxc//ahpF//serA//dmsC//puuA//napA//rutB//astC//speC//hycD//paaZ//upp//rbsD//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	hycB//rhaB//ubiX//appA//
RstA-Phosphorylated	frdA//paaH//atoB//
SoxR-2Fe_oxydized	dnaE//trmD//
TorR-Phosphorylated	torA//bioA//malQ//
TrpR-Tryptophan	yqjH//sgbE//gatY//phnO//moeB//lpxD//argC//garR//trpC//
TyrR-L-tryptophan	deoC//citG//bcsZ//speB//cyaA//frdC//yqjH//bcsB//cysH//
TyrR-Phenylalanine	patZ//prmC//entB//gabT//xylA//speC//argG//nanK//glcD//
TyrR-Tyrosine	dusB//ynfG//manA//ulaD//nrfB//caiB//nanK//phnG//mhpA//
UhpA-Phosphorylated	entD//
XapR-xanthosine	mpl//folE//
XylR-Xylose	ybjG//glcF//mhpE//
ZntR-Cd2+	fumB//
ZntR-Hg	astA//
ZntR-Zn2+	metB//
ZraR-Phosphorylated	
Zur-Zn2+	argI//
