# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	cynS//phnP//ftnA//betA//
CysB-N-acetyl-L-serine	alkA//psd//fucO//miaA//ndh//tsaE//uxuB//phnM//prpD//acnB//prmC//metE//acnA//phnG//malS//yfbR//
CysB-O-acetyl-L-serine	acnB//hemL//pgk//lpxD//tktB//entE//puuA//epd//nrdE//gdhA//melA//chbF//argC//sucB//moeA//gadB//tdcG//
DcuR-Phosphorylated	glpE//katG//fadJ//speC//
DnaA-ATP	sufS//prpB//tadA//ilvM//nadC//moaA//
DpiA-Pasp	torA//puuB//folE//xylA//carA//
DsdC-D-serine	betA//garR//
EvgA-Phosphorylated	fumB//agp//cysH//ung//cheR//
FNR-Fe_reduced	puuE//bioA//malS//aldA//pgk//entH//astD//dnaE//tam//astC//ldtB//katG//atoD//glpK//ascB//deoD//lhgO//malY//chbF//lacA//moeB//nrfC//argD//trpB//puuC//bcsB//gcvH//katG//fucA//paaC//sdhC//ada//feaB//rnpB//tyrB//fadH//lpxB//glpB//entD//yfdE//tktB//frdB//garK//hyaB//purN//argA//cdd//ilvD//dapD//deoA//hycF//fes//entD//purA//aroA//paaK//ilvD//alaS//entH//bioB//cheR//oxc//dapD//sdhC//speC//polA//astE//ynfE//gabT//garK//nrfA//cysJ//sucC//nrfC//melA//lsrF//malS//entA//garR//sodB//cueO//aroL//lsrK//hycG//glpX//malZ//sgbU//zwf//miaA//glgB//acnB//miaA//sdhA//codA//katG//narH//nrdF//lhgO//mdh//narG//hycE//citD//glpB//mhpD//carB//hypB//fadD//aceB//cpdB//hycD//araA//lhgO//frdC//sodA//deoA//serA//gpsA//gltB//ndh//acs//cysK//paaZ//uxuB//sufS//lldD//uvrA//sucB//
FhlA-Formate	pheT//ubiC//prpB//malP//gcvT//betB//fes//
FucR-L-fuculose-1-phosphate	trpA//bcsZ//lpxA//ogt//glcF//tdcB//
Fur-Fe2+	yjeF//ada//alaS//nrdD//nrfA//pyrD//nirD//purK//nrdF//ispE//moeA//nanE//talA//bacA//idnO//icd//argE//fucU//astE//paaG//nrdE//glpB//sgbH//nadC//acs//cpdB//pgaC//bcsZ//frc//sucC//hmp//gabT//carB//metK//metF//tadA//sucC//uvrA//ilvB//gabD//preA//purM//astE//gabD//frc//rutD//cpdB//fau//pgk//acnA//alaA//aspA//sufS//dkgB//pgaB//entH//guaA//tyrB//frdA//galE//moaA//betB//ynfF//purN//carA//bglB//hycG//iscS//thrS//
Fur-Mn2+	nrdD//nirB//gapA//iscS//cysK//eda//astD//melA//paaK//nagA//nrdD//glpD//fucK//hflX//frc//cadA//napG//citF//aldB//rutC//gutQ//frdB//glgA//ilvC//talA//pflB//murQ//cadA//fucI//rhaD//cyoE//murQ//nrdA//moeB//uxuB//metC//narI//hyaA//rhaD//tdcE//talA//recF//ssuD//fadA//pnp//astD//atoB//puuB//cysI//ilvN//katG//feaB//trmD//hemA//citG//chbF//prs//fumB//nanM//cysC//nrdB//hypB//xapA//sucA//glpD//astB//cyaA//aroA//paaE//
GlcC-Acetate	tnaA//trpB//hycB//
GlcC-Glycolate	entD//dadA//ilvN//
GlrR-Pasp56	
IclR-pyruvate	narI//fadA//malY//
IdnR-5-ketogluconate	ampD//cheB//hflX//paaB//frdD//nrfD//
IdnR-Idonate	lyxK//moeA//deoC//atoB//trpA//prpE//
IlvY-2-acetolactate	entC//
IlvY-Alfa-acetohydroxybutirate	uidA//
IscR-2Fe	gabT//gdhA//alaS//xylB//paaC//fucK//rnpB//
LldR-L-lactate	argG//puuE//
Lrp-Leucine	cyaA//ilvG_1//cysH//murQ//ilvH//yfeW//torC//ynfE//uxaC//ahpC//tdcD//rhaA//citD//rhaB//aceF//bcsB//pnp//metB//entD//gntK//metE//entC//glgA//ilvA//glyA//sucA//treC//prs//hyaA//malP//purE//cysI//fadJ//dadA//fucO//gpmA//ilvE//moeA//napC//
LsrR	prmC//bioC//pdeF//metA//avtA//
MalT-ADP-Maltotriose	sodB//gnd//folA//aspC//gnd//purH//
MalT-Maltotriose-ATP	argE//speA//aceB//dadA//phnI//hycD//
MelR-Melibiose	galM//pgaB//
MetJ-S-adenosylmethionine	ilvE//ada//ada//metK//treC//acnB//bglB//mhpE//argI//uxaA//
MetR-L-homocysteine	tnaA//appA//idnD//hflX//
MhpR-3-DHPP	prpD//cysI//ilvD//citD//ung//sucC//
MhpR-3HPP	cysC//nanE//bioD//fumA//sgbH//ynfH//
MntR-Cd2+	tdcD//purD//
ModE-MoO42-	acs//metL//gatD//aroL//recF//phnP//entB//lpxD//metA//nrdA//paaF//hycG//sdaA//gutQ//
NarL-Phosphorylated	ampD//hycB//citE//tdcG//tehB//pgaD//fucU//frdA//caiC//lyxK//sodB//paaI//prs//dadA//uxuB//ubiA//garK//hycE//tyrB//kbaZ//fau//speB//napC//lyxK//gdhA//gpmA//acnB//puuD//glgX//patZ//cysC//nirD//nrdE//fucU//phnO//bioB//ssuD//pdeF//
NarP-Phosphorylated	metH//fbaA//hemA//idnD//pgaB//rnpB//fbaA//sucD//ftnA//bcsZ//ndh//
NhaR-Na+	phnN//cheR//gltA//fadI//ubiX//
NikR-Cd2+	phnH//
NikR-Co2+	preA//
NikR-Cu2+	gapA//
NikR-Ni2+	dmsB//
NikR-Zn2+	mhpC//
NrdR-ATP	purE//dapB//phnO//yiaK//
NrdR-Zn2+	glgA//fadD//ugpQ//aroH//
NrdR-dATP	hpt//hycB//fucA//mdh//
NsrR-2Fe	frdB//mhpC//nirD//gabT//argE//trpA//srlD//eda//acs//atoD//carB//pgaB//cdd//thrS//moeA//dapD//rhaA//yjeF//puuB//fdhF//idnD//tauD//pgaB//serA//metA//gnd//tadA//xdhC//alaS//bcsZ//
PhoB-Phosphorylated	gabD//sdhD//hmp//gcvT//sodA//yjeF//acs//dmsB//hycB//phnO//melA//malP//napA//mhpA//betA//alkB//glpK//folA//tauD//galK//
PhoP-Phosphorylated	argC//fadJ//citF//puuE//caiA//trpD//trmD//prmC//purN//fucO//abgA//lldD//mhpD//abgA//agp//pyrD//puuA//speC//moaA//fes//entH//puuC//thrS//uxaB//aceE//katG//nrfC//aceE//aroA//xylB//alkB//metK//umpH//pyrC//umpH//
PrpR-2-methylcitrate	ynfF//galM//nrdD//ulaD//
PurR-Guanine	paaH//mpl//lpd//cueO//phnI//cueO//ilvH//mhpF//nrfC//gltA//yeaE//hemL//gabD//metL//serA//speA//adhE//hmp//folE//puuE//dusB//citX//bioA//astA//dusB//cheR//murQ//
PurR-Hypoxanthine	gcvP//caiB//dapB//astE//uxuA//fadB//ahpC//pflB//nagA//truB//preT//bcsZ//caiA//gapA//fes//ilvH//gntK//phnH//ilvI//udp//purD//narG//purD//gcd//ilvC//edd//ldtC//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	garR//ilvE//gltD//ldtC//
RstA-Phosphorylated	nirD//tadA//mhpD//
SoxR-2Fe_oxydized	ilvM//pagP//
TorR-Phosphorylated	purK//fadE//ilvD//
TrpR-Tryptophan	slt//metA//cheR//tam//yjeF//metC//tam//ahpC//nrfC//
TyrR-L-tryptophan	caiD//gatY//eda//metL//pheS//citX//cysM//talA//tsaE//
TyrR-Phenylalanine	hyaB//astE//cysN//gadB//cysC//ubiG//hyaB//yjeF//tsaE//
TyrR-Tyrosine	astA//metB//napG//ulaD//iscS//ilvM//bcsB//phnL//fumA//
UhpA-Phosphorylated	lpd//
XapR-xanthosine	dapB//fucU//
XylR-Xylose	srlD//mhpF//mhpC//
ZntR-Cd2+	serA//
ZntR-Hg	nanA//
ZntR-Zn2+	chbF//
ZraR-Phosphorylated	
Zur-Zn2+	alkA//
