# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	bioC//glpK//glyA//ldtC//
ChbR-Monoacetylchitobiose-6P	metA//aroG//prpC//
CpxR-Phosphorylated	gltB//oxc//ulaE//hyaA//ogt//gntK//xylA//alkB//cyoE//gapA//avtA//sdhB//tsaE//nrfB//yjeF//alkB//mhpF//xylB//frc//glcE//serC//ilvI//
CreB-Phosphorylated	tktB//xylA//pyrC//
CueR-Ag	glpC//sucD//napG//hyaC//
CueR-Cu+	deoB//ldtC//frdB//pyrD//
CuerR-Au	mltC//fau//aroA//gapA//
CusR-Pasp	yeaE//puuD//tdcE//
CynR-Cyanate	mhpA//ulaF//dmsA//
CysB-N-acetyl-L-serine	yfeW//moaE//malZ//paaC//astE//purM//allE//glgP//frdA//sucD//puuC//acnA//uvrA//narG//malP//tyrA//
CysB-O-acetyl-L-serine	pgaD//nanE//purB//cdd//deoD//aceA//nadC//sufS//malP//paaI//gnd//ulaF//nanM//lpxB//glgX//ugpQ//cysK//
DcuR-Phosphorylated	glcD//argF//aroA//ulaE//
DnaA-ATP	dusB//argF//dadX//recF//ilvN//xdhC//
DpiA-Pasp	purA//pta//gpsA//carA//ilvM//
DsdC-D-serine	bioD//ynfH//
EvgA-Phosphorylated	murQ//dapD//gcvH//ulaE//sucB//
FNR-Fe_reduced	ilvM//metE//citG//gadB//citF//mhpE//prmC//gpmA//cyaA//rbsD//truB//serA//fbaA//galM//galT//gcvT//argH//phnG//fbaA//frdC//polA//truB//dnaE//lysC//speA//sodA//cysH//rnpB//chbF//bioA//bioD//gabT//paaB//xdhB//ssuD//xylA//citD//puuC//gpsA//sufS//tadA//folE//prs//malY//avtA//sdhC//glgC//fumB//aroG//napH//caiA//gdhA//polA//guaA//fucI//aceB//kbaZ//dapD//narH//nrfA//garR//ung//tnaA//paaC//mltC//sgbH//argG//bioB//napC//fadJ//gltB//tdcD//dapB//ssuD//prpD//fbaA//pheS//nagA//entE//paaG//hycE//moaE//nrfB//napH//torC//hcp//gpmA//gdhA//dapD//allC//prpB//sucC//yeaE//alkB//cysM//icd//astD//appA//deoC//abgA//tauD//lsrF//lpxB//prpD//nrfD//glcB//ahpC//sodA//lpxD//hycG//cysM//tadA//ispE//cysC//entD//aceE//purN//hypF//betA//galK//caiB//ulaD//atoB//cheB//glcE//acnB//guaB//
FhlA-Formate	entB//narH//cpdB//purN//tdcG//purB//phnJ//
FucR-L-fuculose-1-phosphate	rbsD//hemL//ynfE//malY//moaD//pncB//
Fur-Fe2+	rhaA//purE//dkgB//cueO//gabT//purA//ogt//glnA//ung//ilvH//glpE//puuA//napC//ahpF//serC//cysD//lacZ//frdA//argA//cysH//paaF//lpxA//thrS//caiD//prpE//tdh//araB//argD//waaH//rbsD//nanA//serC//guaB//tdh//nrdB//galT//ubiC//lysC//gutQ//epd//sdaA//galT//pnp//ndh//guaA//psd//paaE//ilvH//purD//ubiC//ilvM//ilvH//astC//argH//hycB//citD//acnA//garR//caiB//alaS//garL//slt//lpxD//bcsB//gatY//prpB//nrdE//ada//ilvM//
Fur-Mn2+	ulaE//glnA//cysJ//paaE//sgbH//guaB//trpB//mdh//purA//glnA//araA//gcvT//tam//xapA//fumA//pdeF//argG//lhgO//purC//allD//aroL//folA//fdhF//aroL//ubiA//rnpB//napC//betB//gltA//ilvA//phnP//cyoE//xapA//argI//hycF//ahpF//ssuD//ilvA//nadC//citC//cynS//agp//pgk//bacA//bioF//hycG//agp//hycC//paaC//purC//bioC//bglB//alaS//sdhC//aceF//ssuE//ahpC//argC//purK//gatZ//guaB//entD//entF//ilvI//dkgB//cysN//nrfD//bcsA//uxaC//
GlcC-Acetate	nanK//aldA//pagP//
GlcC-Glycolate	puuE//cysN//ynfH//
GlrR-Pasp56	
IclR-pyruvate	phnN//nrdF//ubiA//
IdnR-5-ketogluconate	glgP//ilvE//cyoE//abgB//cheB//rutB//
IdnR-Idonate	purK//yjeF//nirB//mhpE//mdh//fabZ//
IlvY-2-acetolactate	fbaA//
IlvY-Alfa-acetohydroxybutirate	gatZ//
IscR-2Fe	galM//metF//speC//hycC//mhpE//sdhA//malS//
LldR-L-lactate	deoC//thrS//
Lrp-Leucine	mhpD//garR//ogt//argB//serA//tdcD//galT//mutY//gcd//speB//rhaD//ung//fadH//paaI//ssuD//aceB//glpK//nrdA//prs//araB//malP//cysI//bcsB//metA//deoA//dadA//nadC//ada//fbaA//garR//araD//argB//purF//adhE//napG//deoB//ldtB//katG//metB//
LsrR	phnH//rhaB//pnp//sodB//astC//
MalT-ADP-Maltotriose	amn//gatZ//gatY//deoA//nrdF//rhaA//
MalT-Maltotriose-ATP	glgB//trpD//aroH//deoB//sucC//hycF//
MelR-Melibiose	prpB//fumA//
MetJ-S-adenosylmethionine	sucB//uxaA//feaB//paaB//rhaD//katE//cysG//ulaE//glgC//nagB//
MetR-L-homocysteine	xdhC//phnH//trmD//puuD//
MhpR-3-DHPP	ilvM//metE//acs//glgC//acnA//cueO//
MhpR-3HPP	rutC//murQ//paaI//aceE//ulaD//trmD//
MntR-Cd2+	sgbU//entC//
ModE-MoO42-	phnP//glgB//aldA//nrdB//entB//trpC//trpD//argF//malQ//carA//icd//paaK//melA//waaH//
NarL-Phosphorylated	gabT//aspA//purH//bglB//gcvH//mhpF//kbaZ//mhpC//paaA//ahpC//pdeF//katG//dapD//caiC//frdC//yjeF//gcd//malS//ung//metB//cyaA//gcvT//ftnA//galT//metK//ilvA//fucU//moaA//gpmA//gadB//nanM//gcd//cpdB//paaZ//astB//purC//lhgO//puuA//
NarP-Phosphorylated	hmp//mpl//malZ//cynS//glpA//bioA//mltC//ilvE//dmsA//pgaC//phnL//
NhaR-Na+	gatY//argD//uvrA//carB//betA//
NikR-Cd2+	paaB//
NikR-Co2+	bcsA//
NikR-Cu2+	tam//
NikR-Ni2+	abgB//
NikR-Zn2+	ynfG//
NrdR-ATP	glpD//fucI//sucC//appA//
NrdR-Zn2+	rutD//zwf//phoA//carB//
NrdR-dATP	miaA//lhgO//sgbH//cysM//
NsrR-2Fe	sodA//puuE//lysC//argB//deoD//trmD//cysD//bcsB//cheR//citF//metK//mdh//gdhA//pdeF//appA//lacA//citC//bcsZ//tyrB//gutQ//bcsB//fucI//glgP//alkA//gapA//acnB//dsdA//talA//ilvD//astE//
PhoB-Phosphorylated	lpxA//fadH//lpxB//truB//astC//trpE//bioD//xylA//acnB//pnp//pyrD//caiA//galT//gcd//phnG//dmsB//nanE//glgP//rhaD//fadB//
PhoP-Phosphorylated	prpE//carB//hyaC//lpd//cyaA//sgbU//paaB//dapD//purB//glcD//tsaE//ldtB//aceA//idnK//bcsZ//trpE//guaA//lsrF//dkgB//xylB//codA//glgC//trpE//acnB//trpE//paaA//gabD//abgB//yeaE//hyaC//prpD//pgpC//malP//sucB//carA//
PrpR-2-methylcitrate	udp//thrS//dadA//melA//
PurR-Guanine	moaD//cysG//truB//alaS//citX//rutB//cheR//purA//phnN//sufS//ubiG//astD//purF//paaZ//argE//ldtB//gabT//ssuE//paaE//nirD//frdC//lpxA//puuB//dmsC//nagB//waaH//argE//
PurR-Hypoxanthine	ilvH//allC//astA//uxuB//yqjH//deoB//lsrF//garL//torA//puuC//prs//nrdB//moeB//preT//hmp//sucD//purK//ulaF//icd//dmsA//paaI//pdeF//gpmA//srlD//glpC//astD//mhpF//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	preT//argE//entC//nrdE//
RstA-Phosphorylated	codA//bioC//phnO//
SoxR-2Fe_oxydized	eda//rnpB//
TorR-Phosphorylated	paaF//puuB//puuD//
TrpR-Tryptophan	ilvB//phnP//lsrK//sucA//preT//nadC//cysG//fdhF//ynfG//
TyrR-L-tryptophan	argA//serC//astC//carA//lacZ//aceE//glnA//ubiX//cysC//
TyrR-Phenylalanine	ogt//puuE//fabZ//cysK//metA//dmsA//malP//frc//lhgO//
TyrR-Tyrosine	araB//tauD//uxaA//paaJ//paaK//mpl//glcE//moaE//nrdF//
UhpA-Phosphorylated	nanA//
XapR-xanthosine	ubiG//purC//
XylR-Xylose	cyaA//cpdB//moaA//
ZntR-Cd2+	sgbU//
ZntR-Hg	garR//
ZntR-Zn2+	mhpC//
ZraR-Phosphorylated	
Zur-Zn2+	napB//
