# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	glpB//dmsB//tyrA//hyaB//
ChbR-Monoacetylchitobiose-6P	pta//nadC//waaH//
CpxR-Phosphorylated	udp//nagA//argE//cheR//ilvC//glcE//dadA//mhpF//pyrC//amn//moaD//ada//cdd//ubiX//rutC//cpdB//cyoE//araA//glpA//manA//astB//pnp//
CreB-Phosphorylated	phoA//aroA//guaA//
CueR-Ag	ppiA//paaH//bioF//feaB//
CueR-Cu+	lsrG//purH//hflX//fbaA//
CuerR-Au	puuA//caiB//citD//rhaD//
CusR-Pasp	ubiA//fucI//sdhD//
CynR-Cyanate	dadA//deoC//argH//
CysB-N-acetyl-L-serine	dmsA//prs//cueO//fucI//pncB//phnH//ilvN//yeaE//miaA//ilvA//mhpE//pta//entE//gutQ//cysH//dapB//
CysB-O-acetyl-L-serine	rbsK//fucK//argI//pgaB//uvrA//glpA//ada//pheT//dapB//glpD//thrS//moaE//garL//purM//astE//fucU//mhpB//
DcuR-Phosphorylated	metC//yqjH//xylB//nrfA//
DnaA-ATP	bioD//narH//pagP//citG//entB//iscS//
DpiA-Pasp	trpA//speB//astC//napC//trpE//
DsdC-D-serine	cysG//uidA//
EvgA-Phosphorylated	tdcB//rnpB//tktB//prpE//citF//
FNR-Fe_reduced	ahpF//ahpF//chbF//entB//cpdB//avtA//ybjG//manA//moeB//prpC//aceA//mhpE//nirD//puuE//ldtC//dmsB//purH//lysC//dmsA//pgpC//alkA//lysC//polA//metE//sucB//trmD//hypF//deoD//gatY//amn//mtlD//malP//tdcG//garK//phnG//sodB//trpC//frdB//paaI//appA//talA//amn//entF//ftnA//xdhA//xylB//hflX//trpB//speA//allD//glpQ//cyaA//mltC//tehB//prpE//preT//pgk//mltC//napC//gatZ//glgX//gutQ//ulaD//ilvA//rbsK//cynS//rutE//hemL//argG//moaA//ilvM//aroF//hyaC//lpxD//rbsK//ssuE//bcsA//ada//gutQ//napG//frc//moeA//polA//bioF//metH//gltB//slt//cysK//folA//ilvN//mutL//gcd//glpD//entE//frdC//gpsA//tsaE//bioB//glgP//murQ//tdcD//sucB//ynfE//miaA//fes//hemA//glgP//citG//yfeW//fdhF//ilvH//astE//pgaD//purN//feaB//tdcE//malQ//hycC//glyA//hycE//mutL//glgB//ubiX//chbF//prpE//fucI//cynT//
FhlA-Formate	nrdF//speC//fumA//uxaB//glgP//gatZ//ynfG//
FucR-L-fuculose-1-phosphate	puuD//ada//ynfE//aroL//bioD//fadD//
Fur-Fe2+	argC//moaA//lsrG//xdhB//caiB//ppiA//napG//truB//mutL//tdcD//cynT//gapA//cheB//citF//betB//hyaB//bglB//nrdB//sdaA//metA//sgbE//sodB//preA//purM//idnO//allC//yfbR//aroL//bioF//deoD//glcB//sucD//bioF//ubiC//ynfH//nagB//gltA//betB//fumC//ada//paaK//tdcE//glcF//dusB//cyaA//hemA//nrfA//glcB//glgB//paaE//pheS//cheR//alkB//ilvC//yjeF//sucD//dmsA//bioD//oxc//metE//nrfC//ahpF//cadA//hycE//frdA//fucU//citE//yeaE//ldtB//
Fur-Mn2+	galT//aroF//fumA//codA//paaK//astE//sgbU//ackA//rhaB//mutL//gcd//xapA//ubiX//sucC//deoD//hycG//tdcG//kbl//fadA//mhpC//phnN//aldB//napB//paaH//entE//folA//ascB//ppiA//dnaE//acs//sgbH//dapB//metA//ubiG//moaD//narI//bioF//cynT//pncB//sgbH//uxuA//rdoA//narG//pagP//xapA//cynT//fucU//aldA//tadA//abgA//aceF//glnA//avtA//feaB//tnaA//xdhA//sucB//dapB//abgB//hycE//caiD//ldtC//atoB//yqjH//lpxD//upp//puuA//malP//cysI//
GlcC-Acetate	sucC//mdh//gatD//
GlcC-Glycolate	fadA//ampD//fucA//
GlrR-Pasp56	
IclR-pyruvate	speB//gapA//paaC//
IdnR-5-ketogluconate	ada//dadX//entA//serA//ilvM//caiB//
IdnR-Idonate	nrfA//hflX//nrdD//ssuE//rhaA//galK//
IlvY-2-acetolactate	prpB//
IlvY-Alfa-acetohydroxybutirate	argC//
IscR-2Fe	avtA//sucC//metF//galE//purF//gcvT//hycF//
LldR-L-lactate	sdaA//iscS//
Lrp-Leucine	mhpD//gadB//glcD//rutA//lyxK//glcF//nanM//adhE//narI//oxc//sucB//nrfD//nirD//fadI//deoD//tyrB//cysG//ada//napC//alaA//fbaA//bioA//uxaC//phnG//dnaE//lpxB//garR//araD//phnP//hyaB//aspA//serA//tdcB//slt//lsrK//nrdF//glpE//cysG//nrdE//
LsrR	uxaB//talA//ilvC//aroH//prmC//
MalT-ADP-Maltotriose	trmD//moaA//ilvN//puuA//lacA//mutY//
MalT-Maltotriose-ATP	uxaB//lpxA//phnM//gltB//moaA//phnI//
MelR-Melibiose	nrfB//aldB//
MetJ-S-adenosylmethionine	astA//patZ//idnO//tam//hyaC//hyaB//bacA//citF//lldD//pgaC//
MetR-L-homocysteine	eda//sgbH//galM//rbsK//
MhpR-3-DHPP	kbaZ//mhpD//cyaA//serA//pck//xdhC//
MhpR-3HPP	lyxK//hycG//mutY//fadB//napA//gltA//
MntR-Cd2+	zwf//icd//
ModE-MoO42-	tdh//icd//pgaC//serC//mhpD//galK//rbsD//bioB//aroH//paaI//tnaA//gdhA//ldtC//xdhB//
NarL-Phosphorylated	tyrA//thrS//patZ//lhgO//lsrF//paaC//ung//rhaB//argB//edd//rutA//hycF//umpH//fbaA//lysC//alaS//aceE//metK//tdcE//araB//tdcG//hemA//tktB//hycG//ilvA//gutQ//aldA//fes//sodA//glcF//araD//deoD//trpB//mhpF//bacA//citX//galM//moaA//
NarP-Phosphorylated	rhaD//pyrC//ulaF//nrdE//fumB//phnL//torC//aroF//tauD//guaA//speA//
NhaR-Na+	mhpC//hypB//tdcE//tauD//purH//
NikR-Cd2+	dmsC//
NikR-Co2+	hycE//
NikR-Cu2+	tnaA//
NikR-Ni2+	bioB//
NikR-Zn2+	phnN//
NrdR-ATP	sdhB//prpD//fadH//cyoE//
NrdR-Zn2+	caiA//rbsD//sdaA//acnB//
NrdR-dATP	glpA//xapA//metA//lysC//
NsrR-2Fe	gcd//gcd//glgP//metA//xdhC//citX//kbaZ//bioB//rhaA//entD//paaF//epd//xylB//mhpA//dmsC//cueO//glgC//trpD//gcvT//mhpA//metE//pgk//yfbR//ahpC//paaG//fabZ//paaG//dadX//ilvI//pheS//
PhoB-Phosphorylated	caiC//alkB//lldD//citE//uxaC//metL//glpQ//sgbH//aroL//malZ//deoA//ugpQ//malY//xdhC//paaZ//nagB//torA//galM//ilvA//lacZ//
PhoP-Phosphorylated	pgpC//gcvH//ubiC//argA//fbaA//nanE//phnP//lsrK//sdhB//nadC//allC//purK//ynfF//rdoA//srlD//tnaA//astA//hycB//nirD//codA//nrfD//tdh//lsrF//xdhC//acs//hycE//pheT//trpC//pncB//phnP//gpmA//tktB//dmsA//thrS//fucK//
PrpR-2-methylcitrate	rutA//gutQ//aroH//mhpB//
PurR-Guanine	allD//frdB//rbsK//phnL//mhpB//mtlD//ilvN//nrdE//gcd//speC//cpdB//paaK//mhpA//polA//allE//fumC//lpd//entC//rbsK//narI//lsrG//cheR//glyA//glpQ//cysJ//purH//hypB//
PurR-Hypoxanthine	ascB//uxuA//dapD//dadX//cpdB//lsrG//lhgO//katG//argD//caiD//ugpQ//ahpF//prs//aceA//hemL//paaC//frc//mutY//hypF//hyaA//entA//metK//cysK//glpD//pgk//rhaB//prpC//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	cysM//sdhB//moeA//ilvB//
RstA-Phosphorylated	ung//speA//rdoA//
SoxR-2Fe_oxydized	garK//glcB//
TorR-Phosphorylated	citC//glcB//allE//
TrpR-Tryptophan	sdhA//epd//rutE//tdcD//hycD//ppiA//udp//sufS//astB//
TyrR-L-tryptophan	entD//paaZ//paaA//fumA//pyrD//ulaD//phnO//recF//entB//
TyrR-Phenylalanine	phnI//nagA//sodA//mdh//fucI//prpB//agp//gcd//glgC//
TyrR-Tyrosine	aceB//gltB//glcD//phnL//tyrB//cyaA//galK//preA//ilvA//
UhpA-Phosphorylated	phnN//
XapR-xanthosine	nanA//entF//
XylR-Xylose	ilvB//malY//ssuE//
ZntR-Cd2+	sdhD//
ZntR-Hg	hycB//
ZntR-Zn2+	fes//
ZraR-Phosphorylated	
Zur-Zn2+	glcD//
