# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	upp//frdC//moeB//eda//
ChbR-Monoacetylchitobiose-6P	mhpE//galE//gcd//
CpxR-Phosphorylated	nanM//preA//paaF//aspC//avtA//ubiA//ldtC//aceA//ubiX//gcvT//polA//gatY//tdh//frdA//entB//sucB//paaG//cysG//glgP//astB//paaI//prpD//
CreB-Phosphorylated	ssuE//pflB//mltC//
CueR-Ag	lsrF//ilvD//aldA//paaB//
CueR-Cu+	tadA//acnA//hyaC//gcd//
CuerR-Au	malZ//hypF//allE//atoB//
CusR-Pasp	pgaD//xdhC//pyrD//
CynR-Cyanate	purM//katG//cueO//
CysB-N-acetyl-L-serine	phnI//nrdA//purL//purD//ackA//garK//sucC//purN//yiaK//nanA//kbaZ//glpC//pck//malS//ilvG_1//prpB//
CysB-O-acetyl-L-serine	entH//malP//ldtC//ilvI//guaA//idnO//ynfH//argI//lysA//psd//ilvE//hypB//acnA//alaA//cueO//fadE//ndh//
DcuR-Phosphorylated	aceF//aroF//xdhB//malP//
DnaA-ATP	nagB//moaE//rbsD//rhaB//nanM//gatY//
DpiA-Pasp	sufS//moeA//ilvG_1//mhpD//fumC//
DsdC-D-serine	nanE//purE//
EvgA-Phosphorylated	uxuB//paaB//phnL//ahpF//caiC//
FNR-Fe_reduced	sdhD//treC//yeaE//paaJ//trpA//purL//napH//argI//phnI//nirB//bcsB//napG//ubiG//napA//frc//astB//prmC//sodA//dusB//dadX//caiD//pyrC//pck//avtA//cadA//nrdF//hemA//xdhA//cheB//udp//glnA//glpD//uxaC//ilvI//ampD//lyxK//gntK//rutD//napH//waaH//rbsK//galK//phnO//sufS//napH//trpD//ynfF//speB//ilvD//purD//malQ//tdcG//trpE//trpB//sucC//fadE//chbG//paaE//gatD//dnaE//gadB//citG//nadC//bglB//hcp//rhaA//rdoA//glgP//gcd//ispE//pyrC//phnI//citE//citX//zwf//ilvH//citE//glcE//upp//rbsK//hyaA//fadB//cdd//paaG//glcE//purL//paaH//ubiG//iscS//lsrG//purA//glcF//xdhA//paaA//puuD//speA//citE//aroL//thrS//gabT//atoA//pgaC//sodB//metL//rdoA//aroF//purN//uxuB//ssuD//sdhC//gltD//adhE//guaB//aspA//glgC//paaA//uxuA//ilvN//tktB//srlD//gnd//pagP//dmsC//atoD//epd//speC//napA//
FhlA-Formate	aceB//purM//ynfG//rbsK//frdA//codA//cynS//
FucR-L-fuculose-1-phosphate	hyaB//frdC//pgaB//argB//katE//puuE//
Fur-Fe2+	nrfB//uxaA//tdcD//glpX//ssuD//moaA//metB//dmsB//trpD//galE//gatZ//xdhA//mdh//gapA//gatD//frdB//glpQ//mhpB//allC//ilvB//lsrF//frdC//rhaA//narG//aceF//fucO//argA//mhpA//glpK//cynS//lhgO//frdA//slt//aroF//ilvC//cueO//puuE//manA//xylB//upp//rhaD//pgpC//yeaE//thrS//lsrG//moaD//ispE//yfbR//preA//sdaA//argI//bacA//bioC//fadA//purA//ascB//prs//rnpB//astC//bioB//pncB//xylB//nrdA//chbG//eda//cyoE//ulaF//ubiX//ssuD//
Fur-Mn2+	upp//torC//slt//citE//ilvN//garL//tdcD//bcsB//garL//citX//moeA//trpA//lysA//glpQ//trpC//paaZ//moaD//garL//purM//tdcB//trpE//tdcB//nrfB//argE//napG//entC//ybjG//ilvH//pta//upp//dmsB//glgA//prmC//prs//napH//mhpB//trpA//citF//cueO//araA//citF//lysA//ansB//glgA//tnaA//sodB//gltA//purC//glyA//yiaK//ugpQ//sdhA//hypB//pgaB//glcD//pdeF//aceB//katE//malZ//cysC//fadH//cysK//pyrC//galK//adhE//citF//mhpF//sucC//rutE//
GlcC-Acetate	slt//sucB//atoD//
GlcC-Glycolate	dgcZ//metE//sucB//
GlrR-Pasp56	
IclR-pyruvate	cysN//astD//moeB//
IdnR-5-ketogluconate	malZ//lacA//tktB//ilvN//purA//purH//
IdnR-Idonate	ssuD//lpxD//xapA//citC//citX//caiB//
IlvY-2-acetolactate	nrdE//
IlvY-Alfa-acetohydroxybutirate	torA//
IscR-2Fe	hflX//hmp//chbF//truB//paaH//trpA//atoD//
LldR-L-lactate	fumC//atoD//
Lrp-Leucine	bioD//hcp//ynfF//serC//truB//araB//fucO//bacA//lacA//idnK//mhpE//ubiA//pagP//narI//glyA//codA//alaS//tdcB//metK//ampD//fdhF//trpB//alaS//sucD//pta//phnH//sufS//phnP//rdoA//metK//ybjG//galT//hycD//hemA//sufS//moaA//ansB//ynfH//agp//
LsrR	fabZ//astA//nrdA//waaH//garL//
MalT-ADP-Maltotriose	fucO//zwf//napC//argB//ackA//ilvG_1//
MalT-Maltotriose-ATP	talA//ubiA//puuC//astD//gutQ//ynfE//
MelR-Melibiose	ldtB//hypF//
MetJ-S-adenosylmethionine	fucU//adhE//amn//lldD//citX//cysM//malZ//tehB//fadH//nirB//
MetR-L-homocysteine	puuC//upp//fadE//ulaE//
MhpR-3-DHPP	prpE//cysJ//alaS//gcvT//purF//guaA//
MhpR-3HPP	gltB//cysD//moeB//ynfG//tdcE//murQ//
MntR-Cd2+	pck//appA//
ModE-MoO42-	lhgO//cpdB//mhpD//nirB//tdcE//dmsA//aspC//pagP//ahpC//glpQ//ispE//patZ//lldD//xdhB//
NarL-Phosphorylated	ada//ispE//uxaB//yfbR//ynfG//prpC//aceB//frdA//xdhA//aspA//cadA//ilvG_2//fadD//nirB//phnH//glpX//paaI//gabD//hypF//xapA//purB//slt//umpH//lsrG//hypB//glpB//glgX//uvrA//dgcZ//galK//speC//trpB//tdcD//ampD//lyxK//dmsA//rutA//fadJ//
NarP-Phosphorylated	hycE//talA//mutL//deoB//purB//hemA//glcE//avtA//phnO//dusB//ung//
NhaR-Na+	narH//nrfD//guaB//ilvN//iscS//
NikR-Cd2+	tauD//
NikR-Co2+	waaH//
NikR-Cu2+	speA//
NikR-Ni2+	fucO//
NikR-Zn2+	glgB//
NrdR-ATP	katE//metK//ubiA//pyrD//
NrdR-Zn2+	hycF//metE//citC//fucK//
NrdR-dATP	abgB//caiD//argD//ppiA//
NsrR-2Fe	folA//paaH//glpA//preA//citC//paaG//frdA//ilvA//malS//melA//galM//speB//argB//puuB//rutD//paaE//ilvC//aspA//yfdE//gutQ//aceB//gadB//deoB//ogt//idnO//galT//pgaB//fucO//paaK//entB//
PhoB-Phosphorylated	ilvE//narG//ugpQ//mutL//tktB//fabZ//guaB//ndh//acnA//lpxA//idnO//fau//trpE//glpD//fadD//gpmA//metB//sucA//phnO//lsrG//
PhoP-Phosphorylated	mhpC//allE//nrdE//ampD//sucA//fucA//aldA//tadA//glpK//talA//ilvE//prpD//lacA//cysK//ahpC//glgX//metK//ynfG//lpxB//ilvH//pgk//metF//cyoE//waaH//glpK//torC//purN//hyaC//glpA//kbaZ//phnH//ynfG//dsdA//psd//amn//
PrpR-2-methylcitrate	cpdB//mhpA//gpsA//napA//
PurR-Guanine	preT//hypF//ftnA//caiD//caiD//fucI//astE//nrfB//cyoE//caiA//purB//puuE//gabT//glyA//trpD//mhpA//bioD//ldtC//gltB//cueO//rhaA//rhaB//slt//gltD//aroA//fadJ//paaH//
PurR-Hypoxanthine	ilvG_2//katG//ilvA//gntK//uxaB//frdA//betB//cpdB//prs//metA//gabT//ilvA//talA//citE//cysN//yfeW//purF//argA//allD//puuB//purM//argI//sgbH//sgbE//yfdE//pgaB//ahpC//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	allC//tam//glcD//aceA//
RstA-Phosphorylated	citE//phnJ//rnpB//
SoxR-2Fe_oxydized	tadA//yfbR//
TorR-Phosphorylated	rutD//truB//gcvH//
TrpR-Tryptophan	gdhA//uxuB//aroF//xdhC//ilvA//araB//atoB//betB//hycB//
TyrR-L-tryptophan	narH//aroF//glyA//avtA//pdeF//gdhA//yqjH//agp//phnN//
TyrR-Phenylalanine	galE//adhE//cynS//argD//frdD//purF//fadE//xylB//phnL//
TyrR-Tyrosine	rbsD//yjeF//nrdE//lsrG//bacA//glgB//caiD//pheT//rhaD//
UhpA-Phosphorylated	sdhB//
XapR-xanthosine	mtlD//entB//
XylR-Xylose	araD//puuC//hyaA//
ZntR-Cd2+	entA//
ZntR-Hg	guaA//
ZntR-Zn2+	ubiX//
ZraR-Phosphorylated	
Zur-Zn2+	phnH//
