# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	mpl//yjeF//tyrB//entB//
ChbR-Monoacetylchitobiose-6P	ogt//nanM//moaE//
CpxR-Phosphorylated	prmC//trpB//ispE//aldB//citX//fumA//astE//napB//ackA//ilvI//prpB//entE//uxaB//folE//glgB//pgk//hypB//fadI//gutQ//aroG//prmC//bcsB//
CreB-Phosphorylated	xylA//napA//astC//
CueR-Ag	truB//epd//dmsB//ilvG_1//
CueR-Cu+	fumC//glnA//truB//glgP//
CuerR-Au	rnpB//astE//rbsK//rdoA//
CusR-Pasp	lysC//fucU//cyoE//
CynR-Cyanate	fadA//idnD//alkB//
CysB-N-acetyl-L-serine	malS//lsrG//rnpB//uxaB//idnO//ynfH//fumA//slt//napA//gcvT//cysN//garR//gpmA//hycF//yqjH//rhaA//
CysB-O-acetyl-L-serine	astE//ssuD//ssuD//nrfC//astC//hypF//thrS//mhpE//ulaF//alaA//argI//dmsC//paaF//tdcD//gcd//bglB//mhpB//
DcuR-Phosphorylated	dapB//nrdB//waaH//glcE//
DnaA-ATP	dkgB//speA//hycC//ogt//prpC//ubiX//
DpiA-Pasp	iscS//chbF//gatY//nrfD//glpB//
DsdC-D-serine	deoB//mhpF//
EvgA-Phosphorylated	lacA//napB//trmD//umpH//codA//
FNR-Fe_reduced	fabZ//prpB//cadA//iscS//fumC//astB//phnL//argA//cysH//tsaE//gltA//hpt//phnL//gntK//napC//rutA//amn//ppiA//tdcG//yjeF//puuA//sodA//uxaB//napA//purN//glcE//caiC//napC//mhpA//gadB//mdh//thrS//abgA//fucK//fdhF//cheR//napG//aceF//paaJ//ackA//xdhB//hpt//avtA//tsaE//betB//entF//pta//tktB//hcp//acnA//metE//pheT//gdhA//acnB//cynS//ssuE//trpC//cynS//mtlD//rhaA//malS//ilvM//tadA//gpsA//ilvG_2//xdhB//mhpB//fumA//ilvC//ulaE//sdhC//iscS//trpA//lsrF//ung//pgaC//tdcG//allD//moaA//bioB//glcB//fucU//pagP//dgcZ//manA//phnP//aldA//fucA//yqjH//polA//purA//ssuE//glpX//tehB//yjeF//puuD//agp//xylA//trpB//deoA//umpH//uxaB//gltD//galK//dapB//purN//cysK//acnA//dmsA//nanE//phnO//dapB//bglB//purH//trpA//frc//miaA//carB//purC//nrfB//fadE//oxc//paaH//bglB//slt//fbaA//abgB//
FhlA-Formate	puuB//lysC//fucO//nrfD//fadH//trmD//purE//
FucR-L-fuculose-1-phosphate	ilvC//deoD//epd//pflB//fumC//ilvB//
Fur-Fe2+	tehB//speC//xylB//betB//phnG//ackA//treC//frdD//fadE//idnO//alkA//fucO//metB//fucI//napC//deoC//tktB//rutC//paaG//fbaA//uxaC//nrfC//trpE//lpxA//melA//ilvE//cpdB//gcvT//astD//gadB//purM//phnM//nrfC//paaA//sdhB//entC//cheR//cysM//mutY//gltA//sucC//paaZ//prpE//yfeW//hypF//ulaE//trpB//speB//bioF//nirD//idnO//rutD//rhaB//cpdB//yfbR//caiC//nrfC//dmsC//cyoE//alkA//argB//glgX//ubiX//glgP//glcB//hemL//bioF//dsdA//fadB//
Fur-Mn2+	sufS//gltD//puuB//dusB//aroL//aldA//dmsA//acnA//trpE//cysK//fau//aspA//citC//sdaA//purL//sdhC//katG//nadC//trpE//aroA//fadI//hmp//dnaE//sgbU//glpB//yiaK//aspA//phnP//gcvH//bioD//betB//xdhB//cysI//sdhB//fadB//mutL//purD//pheT//dapB//glgB//napH//argC//aroA//yjeF//melA//rutE//lsrK//glcE//hycG//nrfA//tdcD//fumC//cyoE//glnA//sgbE//aroG//purK//trpE//agp//xdhA//ilvI//glpB//melA//ubiX//speB//cysM//glpQ//glgX//puuA//
GlcC-Acetate	garL//bglB//yiaK//
GlcC-Glycolate	bcsA//gcd//hyaA//
GlrR-Pasp56	
IclR-pyruvate	pta//malZ//moeA//
IdnR-5-ketogluconate	narG//bioB//glnA//tsaE//frdA//purN//
IdnR-Idonate	murQ//prpE//allC//sodA//recF//tsaE//
IlvY-2-acetolactate	gabD//
IlvY-Alfa-acetohydroxybutirate	narG//
IscR-2Fe	fucA//mtlD//ilvN//yqjH//dmsB//uxuA//paaA//
LldR-L-lactate	hycB//dnaE//
Lrp-Leucine	hflX//citF//polA//gadB//amn//glgC//nanK//trpC//rutA//ynfH//mhpE//phoA//chbF//puuC//fes//feaB//gatY//mutY//guaB//serC//ubiC//entE//uxaA//aroA//ilvA//fadH//gabD//pgk//lpd//astC//trpA//glyA//pgpC//nrdB//glgB//uxaB//gpmA//ansB//purB//
LsrR	hycC//nirB//avtA//cysK//cyaA//
MalT-ADP-Maltotriose	gcvT//trpA//gltD//sucA//gabT//pta//
MalT-Maltotriose-ATP	ynfG//citG//hypB//nanA//betB//aldA//
MelR-Melibiose	gcvH//prpB//
MetJ-S-adenosylmethionine	tdcE//frdA//pgpC//upp//uxuA//fucU//pyrC//paaH//araA//gabT//
MetR-L-homocysteine	citF//pgaD//fadI//aspA//
MhpR-3-DHPP	argG//puuE//frdA//mhpC//gabD//lpxD//
MhpR-3HPP	tnaA//prpB//ilvC//xdhC//pgaC//fadH//
MntR-Cd2+	katE//caiD//
ModE-MoO42-	paaZ//glpX//glpD//yeaE//ssuD//gcd//metL//moaA//gcd//gdhA//pyrC//xylA//ulaF//cheB//
NarL-Phosphorylated	hycG//argG//purH//paaF//xylB//bcsB//araD//idnK//cpdB//ynfE//srlD//napG//ackA//phnJ//entF//sdhD//atoB//feaB//frdD//ahpC//gcd//narI//malZ//ilvM//prpE//katG//sucA//trmD//ahpC//lysA//adhE//lsrG//malZ//ada//citF//prpC//galE//glcF//
NarP-Phosphorylated	argB//fumC//pdeF//tadA//mhpB//pgk//entB//pta//ssuD//cysN//ubiA//
NhaR-Na+	carB//dusB//purB//glgP//gatY//
NikR-Cd2+	truB//
NikR-Co2+	ynfF//
NikR-Cu2+	tyrB//
NikR-Ni2+	argG//
NikR-Zn2+	cysH//
NrdR-ATP	sgbE//purL//pnp//lhgO//
NrdR-Zn2+	betB//abgB//entC//phnH//
NrdR-dATP	bioD//gatZ//cyaA//moeA//
NsrR-2Fe	iscS//cysJ//metF//nirB//chbG//serC//torC//lsrG//glcE//ftnA//pncB//icd//ybjG//mhpC//idnO//feaB//dmsA//hypF//edd//argI//lysU//dmsA//trpE//frdA//waaH//ldtB//xylB//fucO//frdB//sucB//
PhoB-Phosphorylated	paaI//citF//bioD//mhpF//napG//pyrD//atoB//gcd//ogt//araA//fadJ//glpE//gatZ//tdh//abgA//alkB//betA//purN//galE//murQ//
PhoP-Phosphorylated	puuE//ampD//xylB//eda//hpt//recF//hcp//nrfD//ynfG//cynS//rutD//fucK//yfdE//puuC//purE//paaA//mltC//mpl//epd//ansB//allC//glpD//yqjH//purK//aceB//allE//fumA//preA//kbl//sucD//serC//argF//sucD//eda//moeB//
PrpR-2-methylcitrate	ndh//fadD//trpD//dmsC//
PurR-Guanine	allC//sgbU//metF//cysH//lacZ//napC//dadX//ahpF//hyaA//glpA//tam//nanM//appA//mhpF//gabT//ulaF//slt//galK//ulaE//miaA//aceF//sgbE//trpC//frdD//trpB//garR//paaE//
PurR-Hypoxanthine	entE//nagA//allE//preA//mhpC//uvrA//hcp//narI//slt//glgP//glpA//cadA//hemA//rhaA//uxaA//ynfH//rnpB//napA//nirD//appA//xdhA//allE//cysG//metC//fumA//paaF//recF//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	speB//trpB//pta//paaA//
RstA-Phosphorylated	glgX//argG//eda//
SoxR-2Fe_oxydized	umpH//ftnA//
TorR-Phosphorylated	lpxD//cdd//gatY//
TrpR-Tryptophan	torC//ugpQ//dadX//psd//adhE//speB//betA//galE//ybjG//
TyrR-L-tryptophan	paaG//epd//deoB//icd//idnK//uxaB//prs//mhpC//rbsK//
TyrR-Phenylalanine	trpC//lpd//glcF//sdaA//citC//puuA//rdoA//trmD//chbF//
TyrR-Tyrosine	dapD//nrdA//ynfE//purA//ilvM//cysM//xdhC//glpE//purK//
UhpA-Phosphorylated	pyrC//
XapR-xanthosine	ahpF//rutB//
XylR-Xylose	paaI//puuA//fumA//
ZntR-Cd2+	aroH//
ZntR-Hg	purL//
ZntR-Zn2+	ynfG//
ZraR-Phosphorylated	
Zur-Zn2+	uxaB//
