# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	nanK//fucI//galK//malP//
Lrp-Leucine	ndh//fucK//bglB//gutQ//ubiG//ulaF//paaZ//yiaK//xapA//sucA//uxuB//paaK//malZ//ubiA//ynfF//gltD//ilvD//torA//rdoA//mhpE//ilvI//paaA//talA//metC//gatD//tehB//prpD//cysJ//idnO//paaZ//fadE//citF//ilvD//nrfB//narH//ilvN//phoA//pdeF//entC//
LsrR	nirB//sufS//malP//yqjH//phnN//
MalT-ADP-Maltotriose	hycG//hflX//icd//allE//galE//alaA//
MalT-Maltotriose-ATP	acs//frdC//phnG//purF//kbaZ//dkgB//
MelR-Melibiose	hmp//sdhC//
MetJ-S-adenosylmethionine	mdh//lhgO//ahpF//ugpQ//lysA//gltA//edd//cdd//polA//ubiC//
MetR-L-homocysteine	trmD//ynfG//moaD//lpxA//
MhpR-3-DHPP	chbF//frdD//ilvI//entE//astE//abgA//
MhpR-3HPP	dsdA//talA//atoB//paaK//fau//purA//
MntR-Cd2+	gpmA//sdaA//
ModE-MoO42-	sodA//ppiA//purC//purK//oxc//astE//pyrD//pheT//purK//napA//entF//napC//purF//glgC//
NarL-Phosphorylated	folA//tnaA//hycF//paaC//puuD//nrdD//caiA//hypF//bioD//murQ//nrfA//gltD//cpdB//entH//gcvH//fes//uxaB//hmp//rutE//speA//xapA//ampD//sufS//pagP//oxc//ispE//rnpB//deoC//nrfC//acnA//manA//xylA//carA//purE//alkB//sufS//mutY//sucA//
NarP-Phosphorylated	psd//purM//entB//phnN//ogt//metF//malQ//carA//pagP//ilvA//fumB//
NhaR-Na+	thrS//nrdA//glgA//idnO//xylA//
NikR-Cd2+	ascB//
NikR-Co2+	argA//
NikR-Cu2+	nanE//
NikR-Ni2+	argE//
NikR-Zn2+	narG//
NrdR-ATP	entD//hypB//kbl//entD//
NrdR-Zn2+	nagA//fadB//paaZ//glcB//
NrdR-dATP	cdd//xylA//argA//ilvE//
NsrR-2Fe	argI//hemL//fadE//ahpC//hmp//bcsB//lysC//slt//ascB//fumA//argH//nrfC//moeA//cyaA//tyrB//aceF//preT//bioA//sodA//treC//purF//argA//caiA//katG//alkB//glcD//hemA//gntK//aspA//glpD//
PhoB-Phosphorylated	agp//argF//kbl//dadX//purA//hyaB//phnP//pncB//ldtC//sucC//abgA//nrdA//fes//pgpC//aspA//gltB//gdhA//dmsB//mpl//purH//
PhoP-Phosphorylated	garR//ndh//puuE//ilvC//mhpC//cynS//ilvC//nanE//sufS//argF//pck//ilvC//ispE//ilvI//narG//pheS//malZ//aroF//fbaA//treC//bcsB//pgaB//caiA//tktB//katE//ilvD//torA//cueO//sdhB//entD//yjeF//glpQ//avtA//ulaE//gltB//
PrpR-2-methylcitrate	glpK//deoC//idnO//bioD//
PurR-Guanine	garL//tdcB//metC//nagB//astA//lsrG//moeA//pck//phnM//katG//garR//mhpD//gltD//tam//hycB//alkA//aroH//ftnA//gltB//pgaB//fabZ//pck//ynfG//nanA//metB//malS//atoA//
PurR-Hypoxanthine	glpB//tam//puuB//metL//glpA//nrdD//xdhB//sgbU//fabZ//metB//sucC//sodB//katE//paaZ//lsrF//rutE//argF//phnN//lysC//umpH//ahpF//galT//bcsZ//amn//frdB//glgA//rdoA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	ftnA//lsrG//paaF//sucD//
RstA-Phosphorylated	frdA//citE//phnI//
SoxR-2Fe_oxydized	purM//malP//
TorR-Phosphorylated	gcvT//paaF//tyrA//
TrpR-Tryptophan	caiC//feaB//pta//hycB//ilvN//mtlD//glpE//ulaE//yeaE//
TyrR-L-tryptophan	araB//trpE//trpD//ilvG_1//galM//hemL//fadB//ansB//ndh//
TyrR-Phenylalanine	icd//cheR//ilvD//appA//bioA//araA//lsrF//gadB//moaA//
TyrR-Tyrosine	mhpD//sdhA//glpQ//paaJ//glnA//aroA//napG//dnaE//tdcG//
UhpA-Phosphorylated	prmC//
XapR-xanthosine	hyaB//paaF//
XylR-Xylose	tdcD//mpl//pgaC//
ZntR-Cd2+	abgB//
ZntR-Hg	caiC//
ZntR-Zn2+	upp//
ZraR-Phosphorylated	
Zur-Zn2+	miaA//
