# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	adhE//ubiA//yiaK//epd//
ChbR-Monoacetylchitobiose-6P	ulaD//sodB//purK//
CpxR-Phosphorylated	xylB//paaG//deoC//nirB//tauD//malZ//aceE//rhaB//paaZ//nagB//uxaB//folA//fadB//hflX//entA//sufS//pck//pyrC//astB//nrdE//rutD//ybjG//
CreB-Phosphorylated	pagP//tdcB//glpE//
CueR-Ag	gapA//idnK//ulaD//folE//
CueR-Cu+	paaH//mhpC//puuD//ynfG//
CuerR-Au	gltA//allE//paaE//cysH//
CusR-Pasp	entF//yeaE//codA//
CynR-Cyanate	hycE//rnpB//trpD//
CysB-N-acetyl-L-serine	bioF//purK//argF//hycD//pyrD//purC//gatY//nrfA//narI//rnpB//atoB//bcsZ//tktB//cysG//fdhF//ybjG//
CysB-O-acetyl-L-serine	sucB//garK//bcsB//rnpB//hycD//truB//citX//ynfG//cysH//aldB//galK//phoA//acnB//rutE//hycB//mhpC//moaA//
DcuR-Phosphorylated	glgB//purE//tnaA//ulaD//
DnaA-ATP	dapD//dapD//rbsD//acnA//hemA//ubiX//
DpiA-Pasp	glcD//ldtC//recF//bacA//gcvP//
DsdC-D-serine	trpE//zwf//
EvgA-Phosphorylated	prpE//lsrK//cdd//metH//ynfF//
FNR-Fe_reduced	ndh//malZ//pta//cheB//speB//araD//sgbU//idnO//yiaK//pgpC//yfbR//nagA//pyrC//mhpE//ulaE//torA//fadD//lpxB//agp//purA//argB//ynfF//waaH//uxuB//ilvG_1//rnpB//glpD//trpD//paaZ//nrdE//uxaC//metE//gcvH//glgB//guaA//metL//cynT//cynS//cheB//hycE//bioF//betB//murQ//bioA//pgaD//talA//bioC//prpD//fbaA//sdaA//rhaB//paaJ//sgbH//purN//manA//speB//tdh//dadA//gltD//nadC//fadH//galT//rhaD//ybjG//zwf//astE//sgbU//serC//pyrD//nrfA//astA//sgbU//ilvE//sdhA//argI//dmsC//dgcZ//cdd//srlD//fumB//dkgB//sucD//prpB//araB//rnpB//tyrB//ilvC//agp//paaB//yeaE//fadI//entD//lysC//tktB//aceE//lsrF//prpD//hycD//narI//ynfF//sgbE//cynS//malY//phnI//ampD//citC//napG//phnH//gpmA//nanA//lpd//aceF//nrdB//tadA//pncB//lacA//ppiA//aldB//dapB//gabT//lyxK//citD//dadX//bioA//ilvE//mhpE//cysN//
FhlA-Formate	phoA//gdhA//mhpE//gatY//hycG//gnd//ubiX//
FucR-L-fuculose-1-phosphate	aspA//prpC//serA//fadI//udp//cheR//
Fur-Fe2+	lysU//cueO//pdeF//bioA//umpH//aceE//chbG//hemA//prpB//hypB//galK//aroL//cueO//gatY//paaF//galM//entE//puuD//fucA//tyrB//moaD//deoC//rbsD//pheS//yjeF//purM//atoA//phnI//tdcG//gabD//trpC//idnD//prpC//phnJ//udp//icd//tauD//astC//rdoA//citC//nrdD//ldtC//uvrA//gnd//xylA//metC//trpA//icd//galK//aroF//fumB//trpC//paaF//cpdB//pgaC//dadA//ahpF//rhaD//pnp//frdD//mutY//ascB//pck//sdhC//xylB//metB//malY//hycD//purC//
Fur-Mn2+	fadB//yiaK//ssuE//gutQ//rnpB//glpE//puuD//nrdD//sgbH//metB//caiD//guaA//trmD//mhpB//phnH//paaH//sdaA//aldB//astC//frdD//gatY//moeB//argE//mtlD//glgP//trpE//malQ//moaA//sucA//ilvB//aroH//metK//miaA//uxaB//mutY//metC//moaA//cysN//cyoE//umpH//ilvH//glpA//sodA//dmsB//deoC//narI//phnH//betB//frdD//lpd//glcD//phnO//purK//speC//atoB//paaK//uxaC//dadA//pflB//paaJ//bacA//glpK//ilvD//fadB//lysA//iscS//torA//glcB//yfbR//
GlcC-Acetate	mhpC//ldtC//ldtC//
GlcC-Glycolate	gatY//avtA//purE//
GlrR-Pasp56	
IclR-pyruvate	lpd//napC//malQ//
IdnR-5-ketogluconate	cysK//pnp//mhpC//glnA//ada//epd//
IdnR-Idonate	tdcD//ahpC//aroG//nrdB//dmsB//glpA//
IlvY-2-acetolactate	phnN//
IlvY-Alfa-acetohydroxybutirate	hyaA//
IscR-2Fe	hpt//cysC//nanK//tadA//ispE//mtlD//cynT//
LldR-L-lactate	dmsC//cheB//
Lrp-Leucine	argH//adhE//phnH//cyoE//cynT//gntK//phnI//xapA//hmp//galK//metK//cheB//metF//talA//glcF//cpdB//atoA//ndh//avtA//lacZ//sgbH//eda//cheR//pck//lpxB//appA//fucK//malQ//sodA//ynfF//glpD//hycG//hycC//ogt//yqjH//acnA//malZ//lysC//aspC//
LsrR	hycF//phoA//cysD//pgk//sucD//
MalT-ADP-Maltotriose	ssuE//pgaD//lysA//icd//cysM//ldtC//
MalT-Maltotriose-ATP	gdhA//napC//rhaB//gltD//hycB//fumC//
MelR-Melibiose	cadA//puuA//
MetJ-S-adenosylmethionine	gabT//fabZ//argE//purH//lacZ//ldtB//tam//rutD//nrfD//argA//
MetR-L-homocysteine	thrS//cueO//glpC//nrfA//
MhpR-3-DHPP	sdaA//uvrA//ldtB//garK//folA//adhE//
MhpR-3HPP	udp//agp//hmp//gntK//nanA//tadA//
MntR-Cd2+	bglB//malY//
ModE-MoO42-	dnaE//ansB//mhpB//trpE//entH//yjeF//paaF//bcsB//dadA//ampD//ascB//atoA//torC//mpl//
NarL-Phosphorylated	sucB//pheS//ung//gltB//trpA//ilvA//alaA//argE//paaA//prpD//pgaB//fadB//trpD//ilvG_2//mutL//tyrB//fadE//pgk//ssuE//ynfF//ilvA//glcB//hycB//cysK//uxaA//hycF//srlD//gpmA//xdhB//nirD//purB//entD//ynfF//galK//abgA//hycC//galE//yfdE//
NarP-Phosphorylated	frdC//prpD//mhpD//fes//alkB//mhpE//rutD//paaB//lsrG//amn//moaD//
NhaR-Na+	gatY//argC//frdC//purF//cyoE//
NikR-Cd2+	metB//
NikR-Co2+	ssuE//
NikR-Cu2+	gltB//
NikR-Ni2+	lysA//
NikR-Zn2+	fabZ//
NrdR-ATP	frdA//nrfA//gabT//mutY//
NrdR-Zn2+	ynfH//hycB//dadA//gltA//
NrdR-dATP	gatZ//yjeF//gntK//yfbR//
NsrR-2Fe	katG//tadA//fucK//sgbH//abgA//tdcG//paaE//fadA//citX//lysA//cyoE//ada//malZ//slt//alkB//glpX//mhpB//ispE//tktB//kbaZ//ilvI//cueO//katE//cynS//citD//ispE//nrdD//ascB//napH//preT//
PhoB-Phosphorylated	rutC//ubiX//yqjH//gapA//gcd//purA//hflX//tyrB//metF//frdB//hmp//ilvH//frdA//bioC//purL//frdA//hypF//ugpQ//caiB//narH//
PhoP-Phosphorylated	puuA//preT//ubiG//argA//atoD//dmsC//cynT//ansB//malZ//astA//pnp//rutC//ilvA//glcD//cynS//ilvA//purM//zwf//kbaZ//citE//ada//gabT//uxaB//garK//rutD//dnaE//lsrG//glpA//phnG//xdhC//rhaB//alkA//glgP//trpE//sucA//
PrpR-2-methylcitrate	glgB//pyrC//paaF//serA//
PurR-Guanine	xdhB//hflX//rutE//araB//bioB//dapD//ulaF//moeA//astD//frdD//hycG//gltB//ada//bacA//aspA//carA//kbaZ//fadA//mhpB//guaA//gnd//entF//cyaA//bioD//rutB//bacA//bcsB//
PurR-Hypoxanthine	fau//nrfD//ilvB//ilvM//uxaA//phnP//atoB//dmsB//lsrF//folE//hmp//bglB//ilvB//purB//dmsB//galK//yfeW//nanK//guaB//dadX//preT//cysG//puuC//ssuD//kbaZ//ppiA//katG//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	nanM//phnH//folE//astB//
RstA-Phosphorylated	paaF//moaE//rutE//
SoxR-2Fe_oxydized	ftnA//kbaZ//
TorR-Phosphorylated	sucC//garL//metB//
TrpR-Tryptophan	serC//acnB//narG//puuC//acnA//xylA//rnpB//katG//ndh//
TyrR-L-tryptophan	atoA//ubiG//udp//ubiA//lpxD//deoA//cynS//prpD//ackA//
TyrR-Phenylalanine	lldD//treC//yjeF//purL//rhaB//nrfD//trpE//hemL//paaE//
TyrR-Tyrosine	adhE//glcF//bacA//fucO//uxuA//ynfH//purH//bcsB//phnN//
UhpA-Phosphorylated	umpH//
XapR-xanthosine	aldA//uxuB//
XylR-Xylose	ssuD//hflX//chbF//
ZntR-Cd2+	zwf//
ZntR-Hg	glpE//
ZntR-Zn2+	carA//
ZraR-Phosphorylated	
Zur-Zn2+	mltC//
