# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	napC//rhaB//glgC//hemL//
ChbR-Monoacetylchitobiose-6P	puuB//hypF//narG//
CpxR-Phosphorylated	slt//chbG//gpmA//dapD//lsrG//glgP//entC//lsrK//mtlD//glgC//chbG//garL//feaB//gntK//allD//aspC//ilvN//metL//betA//icd//allC//tadA//
CreB-Phosphorylated	nanK//gapA//mpl//
CueR-Ag	xylB//aldA//ispE//sdhC//
CueR-Cu+	glyA//argH//ldtB//citE//
CuerR-Au	rbsK//fau//sucB//lsrF//
CusR-Pasp	glnA//guaA//sdhA//
CynR-Cyanate	metB//aroG//glpX//
CysB-N-acetyl-L-serine	glcD//idnK//mhpF//argE//mdh//pdeF//glpX//nanE//murQ//bioF//miaA//prpC//purE//deoA//astB//paaF//
CysB-O-acetyl-L-serine	hycC//galK//fadJ//sgbE//uidA//sgbH//cheR//tyrA//fumA//glgA//ackA//pheT//dmsC//fucU//amn//ssuE//hyaA//
DcuR-Phosphorylated	metB//gltB//ldtC//truB//
DnaA-ATP	trpB//tdcB//astD//dsdA//napA//citE//
DpiA-Pasp	speB//astC//hycG//speA//galK//
DsdC-D-serine	gapA//glpB//
EvgA-Phosphorylated	fucU//purL//pyrC//purK//deoD//
FNR-Fe_reduced	epd//mutY//oxc//prmC//gdhA//ynfG//hyaC//fadB//fadD//rhaB//idnD//allC//murQ//dusB//ada//gntK//citG//entE//araD//guaB//argC//ilvI//gdhA//bioD//hemA//uidA//caiA//lysA//entH//napA//sgbU//ynfG//allD//deoC//metB//pdeF//gcd//sdhD//idnO//ldtC//dmsC//uxaB//sucB//idnO//rutC//torA//prpB//speB//ilvG_2//frdC//hycG//sdhA//purB//pdeF//fbaA//yfeW//mutY//xylB//gnd//feaB//purF//yeaE//feaB//sodA//dmsB//malQ//uidA//sdhB//frdB//atoA//mutY//dmsA//uxuB//acnA//dkgB//bioB//sgbE//pgk//cysI//sgbU//paaB//araD//fucU//entC//hypF//entE//gadB//lacA//ppiA//sucD//nirB//tktB//ftnA//folE//kbl//pheS//citX//napC//ada//allD//iscS//entB//tktB//lacZ//astE//cadA//citE//xdhB//ybjG//citX//phnP//citG//rutD//prpE//lysC//ldtC//alkB//paaI//icd//argA//aldB//narI//guaA//psd//tktB//argG//citF//
FhlA-Formate	ugpQ//yiaK//gabD//citE//yfdE//rutC//purE//
FucR-L-fuculose-1-phosphate	nirD//ogt//purM//frdA//deoC//fabZ//
Fur-Fe2+	fbaA//rutD//cysI//pgaD//deoB//nadC//metB//glpC//glcB//prmC//hycG//aroA//napC//nadC//gatD//sdhC//hycF//trpA//purA//moaE//tam//icd//glpX//ilvC//aceA//dapB//argH//fes//prpC//fumA//moeB//mhpC//ahpC//entC//galE//purK//fau//idnD//nadC//xapA//idnD//metH//yeaE//cysI//argH//hycB//araB//malS//fadJ//purM//aroH//ubiG//mhpC//fadA//entC//argA//garR//glpQ//gatY//ilvM//glgX//glpQ//treC//hypF//bioC//ahpC//fucI//guaA//atoD//
Fur-Mn2+	sdhB//rnpB//phoA//nanE//argB//ubiC//fucO//cysD//mtlD//iscS//tdcG//malZ//ilvM//glnA//ilvC//cysJ//cysK//ahpC//glgX//argI//fumA//gcd//hycF//sdaA//phnM//cyaA//nirB//alkA//hycC//deoA//deoC//purN//moeB//ampD//fucO//uxuB//glyA//glpA//fadB//ldtB//idnO//pheT//phnL//nirB//argG//pnp//sucB//acnB//ndh//yfeW//nanA//fabZ//phnH//glpB//lhgO//ybjG//prs//rhaA//nadC//metC//mhpB//sdhD//yeaE//alkA//nirB//preA//xapA//iscS//bacA//
GlcC-Acetate	tdcG//idnK//garL//
GlcC-Glycolate	frdB//tyrB//speB//
GlrR-Pasp56	
IclR-pyruvate	glgA//argC//rhaA//
IdnR-5-ketogluconate	paaZ//puuC//lysU//ahpF//bglB//moeA//
IdnR-Idonate	folE//ulaF//ldtC//aroL//rnpB//garK//
IlvY-2-acetolactate	napG//
IlvY-Alfa-acetohydroxybutirate	adhE//
IscR-2Fe	gabT//ahpC//abgA//puuE//tnaA//alkA//ybjG//
LldR-L-lactate	cueO//fucK//
Lrp-Leucine	hycB//uidA//deoA//serA//cyaA//phnM//cysC//ldtB//ansB//oxc//nanK//ynfF//paaK//ispE//purK//xylA//mhpB//glnA//yfbR//metF//nrfD//purL//trpC//slt//malY//fumA//hycC//treC//cyoE//rbsK//fadI//ilvB//entA//truB//sdhD//tdh//prpC//frdC//argA//
LsrR	malZ//prs//ogt//ansB//citF//
MalT-ADP-Maltotriose	gltB//umpH//nadC//fadA//glpK//entD//
MalT-Maltotriose-ATP	malQ//ssuD//frc//mtlD//gltD//trpA//
MelR-Melibiose	nadC//nrdA//
MetJ-S-adenosylmethionine	purH//malP//nrfC//gutQ//lldD//nanM//preT//galE//xdhC//glgX//
MetR-L-homocysteine	tdcG//paaK//fucK//lyxK//
MhpR-3-DHPP	citX//ynfH//rbsK//pyrD//cysD//folE//
MhpR-3HPP	galM//bioD//sodB//aceB//mhpC//gutQ//
MntR-Cd2+	ybjG//gdhA//
ModE-MoO42-	rutA//frc//dnaE//carB//frdB//cysC//lpxD//glgP//napC//astA//ilvD//garR//mhpD//uxuB//
NarL-Phosphorylated	uxaB//acs//nanK//trpC//epd//lldD//speA//fucI//tyrB//phnP//sdhB//glcF//bioB//mhpD//hycB//gcvP//fucK//alaA//amn//moaD//mpl//glcB//upp//treC//allD//entC//tdcB//atoA//gatY//purM//gpmA//fadH//dapB//metH//xapA//dapD//dmsB//rdoA//
NarP-Phosphorylated	amn//kbl//ilvE//prpB//yeaE//pgaC//fadD//aldB//argD//fadA//metB//
NhaR-Na+	citX//cheB//napC//fucO//citF//
NikR-Cd2+	entD//
NikR-Co2+	tdcB//
NikR-Cu2+	prs//
NikR-Ni2+	pgaB//
NikR-Zn2+	purE//
NrdR-ATP	glgC//metK//sdhD//bioB//
NrdR-Zn2+	citG//zwf//preT//ynfG//
NrdR-dATP	entB//glpX//trpE//fucK//
NsrR-2Fe	hycE//aldA//glcF//purE//cysC//purL//xylB//katE//gpsA//tauD//araD//phnH//lldD//hyaB//caiA//hycG//ada//glgB//trpE//purL//ilvG_1//fdhF//gcd//dapD//mltC//serC//glpC//lpd//thrS//fucK//
PhoB-Phosphorylated	garK//fau//puuC//paaB//dsdA//gltB//glyA//phnI//aldA//acnB//pgaB//tnaA//purN//sufS//ldtB//tadA//glcE//speB//acnB//mhpA//
PhoP-Phosphorylated	patZ//frdA//cysH//edd//dgcZ//prpD//fdhF//sgbE//astE//guaB//purH//fadJ//ulaD//purN//phnL//glgA//fumB//nirB//lsrG//lacZ//glpE//entF//dmsA//napA//lhgO//codA//entH//sgbE//dusB//sdhB//ampD//rnpB//rbsK//uxuA//nrdA//
PrpR-2-methylcitrate	sufS//citG//ynfF//zwf//
PurR-Guanine	purM//gcvH//ilvN//carB//phnL//slt//entC//phnP//rbsK//ascB//murQ//mhpF//fucA//trpD//tdcE//phnG//tehB//cadA//gcvH//ulaF//zwf//fucK//aroL//sodB//carB//sdhB//mhpD//
PurR-Hypoxanthine	gatD//nrfD//ilvE//ilvC//alkB//ynfG//paaH//rhaD//pta//ubiA//argA//nrfD//uxuB//sgbE//aceA//phnJ//aceA//metH//ilvD//aspC//fucK//fau//nanE//sdhB//pncB//mutY//mhpC//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	glpE//chbG//ulaF//paaB//
RstA-Phosphorylated	ynfH//aroG//malS//
SoxR-2Fe_oxydized	ahpC//tdcG//
TorR-Phosphorylated	gatY//entF//bcsB//
TrpR-Tryptophan	acnA//gltA//tam//nirD//ndh//ahpF//metC//hypB//phnN//
TyrR-L-tryptophan	paaK//glpD//ascB//ada//rbsK//galE//eda//aldB//torA//
TyrR-Phenylalanine	cysC//gatD//fadH//lyxK//gltA//mhpE//rhaA//malS//frdC//
TyrR-Tyrosine	paaB//nirB//prpD//xdhA//nagB//hflX//allE//dmsA//metK//
UhpA-Phosphorylated	yfdE//
XapR-xanthosine	dapB//glcB//
XylR-Xylose	argF//rhaD//ftnA//
ZntR-Cd2+	abgA//
ZntR-Hg	narI//
ZntR-Zn2+	glgP//
ZraR-Phosphorylated	
Zur-Zn2+	narG//
