# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	fadI//tyrA//paaB//gabT//
FNR-Fe_reduced	ilvD//bioA//lysU//eda//cdd//phnJ//garL//uxaA//tauD//alkA//araA//sdhD//glpD//mtlD//ampD//miaA//ampD//bacA//tadA//entH//dapB//argB//mutY//fumA//yfdE//torC//gcd//malP//trpD//pyrD//acnA//argD//paaC//argA//phnG//serA//ilvH//tam//paaC//garL//glcD//lldD//yqjH//argD//pta//trpC//aceE//fes//rnpB//allD//ilvN//melA//argI//ldtB//phnH//citC//metH//glcD//galM//cysC//hmp//sucB//hypB//paaC//ftnA//cynS//napA//alkB//uvrA//uxaA//umpH//argH//atoB//entD//idnO//glpA//cueO//dapD//katE//kbaZ//lpxB//bacA//argB//ynfH//hycG//sgbU//purK//prmC//edd//atoD//acnA//ulaF//galE//garR//adhE//dgcZ//rdoA//purH//gcvP//gabT//acnA//purE//mdh//sdhD//srlD//narI//purD//fabZ//sucC//aceB//rhaB//pnp//cysK//paaG//yiaK//abgA//napG//serC//ispE//hycD//katG//deoB//glpK//moaD//frc//bcsA//folA//
FhlA-Formate	cyaA//glyA//glgC//lsrG//ilvG_1//trpA//fadA//
FucR-L-fuculose-1-phosphate	ilvM//abgA//prpB//rhaD//fadD//glnA//
Fur-Fe2+	araA//lsrG//srlD//fucK//purK//mhpB//glnA//fumB//sdhD//idnO//tyrB//pyrC//hemL//argH//ilvA//trpC//mtlD//fumA//phnO//idnD//rhaB//frc//avtA//purB//glpB//fadE//chbG//pheS//malS//nrfC//phnJ//narI//tyrB//cysD//fadJ//rhaD//pgaC//fucA//ulaE//avtA//moeA//nanA//tnaA//entB//speA//ubiC//purN//icd//hflX//phoA//serC//speC//argB//glgB//betA//cpdB//katG//dnaE//glcF//hycD//tam//ugpQ//glpD//serA//astB//hycF//ampD//gltB//ilvG_2//
Fur-Mn2+	pgaC//paaF//ung//dadX//pyrC//umpH//lpxD//gpmA//purL//folE//rutB//tdcE//ndh//fucA//lpxB//cadA//mutY//ubiG//cheR//kbl//prpC//fucI//prpD//glpD//recF//prpE//pyrC//uvrA//sodA//entE//gatD//dsdA//glpK//lhgO//tdcE//truB//nirB//betB//bcsZ//ilvH//caiD//uxaB//nirB//umpH//moaA//recF//bioB//gpsA//glpC//avtA//yqjH//sucB//rhaA//cynS//chbF//argH//alkB//sucB//oxc//edd//lldD//atoD//fucK//nadC//cysM//rbsD//puuE//lpxD//ilvM//
GlcC-Acetate	mhpC//allC//phnM//
GlcC-Glycolate	sgbH//gcvH//purN//
GlrR-Pasp56	
IclR-pyruvate	gnd//metA//fumB//
IdnR-5-ketogluconate	rnpB//argG//fes//nrdE//moeB//uxuB//
IdnR-Idonate	ynfF//hyaA//garK//ulaE//nrfC//ada//
IlvY-2-acetolactate	hemL//
IlvY-Alfa-acetohydroxybutirate	chbF//
IscR-2Fe	hycB//torC//glcF//pgaB//ssuD//astD//fbaA//
LldR-L-lactate	citF//aspA//
Lrp-Leucine	gatD//lsrG//glpD//puuD//uxaB//sucC//tsaE//ascB//glpB//ansB//tdcD//aroF//ulaD//paaF//manA//hyaA//bioA//ubiC//dapB//mhpF//galE//gutQ//eda//pyrC//paaJ//argF//cysH//malS//idnD//acnB//entE//uxaA//nrfC//prmC//glpE//abgB//mpl//aldA//thrS//
LsrR	trpD//ndh//pncB//araA//idnD//
MalT-ADP-Maltotriose	polA//prpB//agp//cheB//bacA//moaE//
MalT-Maltotriose-ATP	avtA//pdeF//thrS//hycB//purM//aroF//
MelR-Melibiose	ubiC//ftnA//
MetJ-S-adenosylmethionine	uxuB//dnaE//alkA//malP//hmp//pta//fadJ//carB//glgB//argC//
MetR-L-homocysteine	ssuD//paaA//pta//purH//
MhpR-3-DHPP	galE//sgbH//moeB//prpC//prpE//cueO//
MhpR-3HPP	ulaD//frdB//dkgB//phnL//purA//prpC//
MntR-Cd2+	dusB//hycB//
ModE-MoO42-	rhaB//sucA//thrS//moeA//caiB//agp//ynfF//xylA//entB//ilvE//cynS//iscS//manA//rbsD//
NarL-Phosphorylated	aroA//argB//aroF//gatZ//ilvN//atoB//glpC//glpQ//ynfG//idnO//phnH//nanA//citE//purF//bcsA//talA//phnG//manA//ilvD//hycC//uvrA//frdD//melA//nrfD//purM//dgcZ//lldD//glpB//pgaC//tdcE//lsrG//ampD//glpD//fes//argA//betA//entF//tauD//
NarP-Phosphorylated	tyrB//prpB//pgk//moaE//fucK//cadA//aceE//cysI//aceF//mhpD//cyaA//
NhaR-Na+	pnp//citE//uxaC//gcvT//sodB//
NikR-Cd2+	paaH//
NikR-Co2+	phnI//
NikR-Cu2+	umpH//
NikR-Ni2+	pncB//
NikR-Zn2+	cpdB//
NrdR-ATP	araB//glcE//hflX//ansB//
NrdR-Zn2+	tktB//acs//cysK//paaK//
NrdR-dATP	ampD//caiB//cysD//glgC//
NsrR-2Fe	sucB//abgA//bioA//frdD//recF//melA//ilvG_1//lpxA//fucO//paaK//paaJ//cysN//speA//metA//ilvD//entD//phnJ//ubiC//ilvG_1//mhpC//acnB//tadA//ilvN//lsrG//purA//cpdB//rbsK//fabZ//lacA//moaA//
PhoB-Phosphorylated	astD//deoB//nirD//allD//gpsA//metB//kbaZ//hycG//glgC//ulaD//argI//rdoA//glcF//aldB//garR//oxc//appA//glpB//yiaK//pgaC//
PhoP-Phosphorylated	feaB//hpt//speB//puuC//cheR//lhgO//rbsD//paaA//frdC//cysN//xylB//trpB//mhpE//gnd//edd//nrfD//prpB//mpl//cysK//aroL//ugpQ//tyrB//galM//metK//agp//xdhB//lpxD//iscS//lsrF//tdcD//tehB//ilvN//preA//guaB//zwf//
PrpR-2-methylcitrate	araB//glnA//rutB//lsrK//
PurR-Guanine	rbsK//bcsZ//hycD//uxuB//nirB//hycC//alaS//deoB//trpE//citX//argD//carA//phnM//ugpQ//fadB//prpB//puuA//lpxD//feaB//paaI//ndh//katG//tktB//puuC//fucK//cdd//purL//
PurR-Hypoxanthine	hypF//argD//glpK//truB//galM//phnM//dmsC//fucA//nrdF//serA//uxaC//lacA//galT//gpmA//ampD//sdhC//frdA//ung//dmsC//carB//pgaB//nagA//umpH//paaA//tadA//serA//hycG//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	aroG//cysG//puuA//dsdA//
RstA-Phosphorylated	nrfC//phnL//deoD//
SoxR-2Fe_oxydized	hycD//ubiC//
TorR-Phosphorylated	purE//ackA//napG//
TrpR-Tryptophan	prmC//ilvC//citE//codA//aspA//mtlD//gcvP//gnd//bioF//
TyrR-L-tryptophan	lpxA//cdd//fucK//hyaA//frdC//paaI//ppiA//lysA//ogt//
TyrR-Phenylalanine	argI//speB//narH//dnaE//pta//lsrF//fumC//rdoA//recF//
TyrR-Tyrosine	preT//feaB//pta//rutE//ynfF//tdcG//gltA//hcp//lhgO//
UhpA-Phosphorylated	xdhC//
XapR-xanthosine	cyaA//malP//
XylR-Xylose	rbsK//sgbE//ulaE//
ZntR-Cd2+	allD//
ZntR-Hg	entB//
ZntR-Zn2+	gpmA//
ZraR-Phosphorylated	
Zur-Zn2+	aroG//
