# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	lysC//yfbR//feaB//frdB//
ChbR-Monoacetylchitobiose-6P	prmC//tyrB//rbsK//
CpxR-Phosphorylated	lhgO//garK//hemL//hmp//entH//astD//chbG//glpE//xdhB//yfbR//mutL//ilvM//tdcB//cysN//napB//glpB//ndh//fadB//bglB//purC//guaA//sgbH//
CreB-Phosphorylated	puuE//aroA//caiD//
CueR-Ag	gutQ//chbG//argC//feaB//
CueR-Cu+	ldtB//tdcB//glcD//napG//
CuerR-Au	ung//ogt//folA//cysN//
CusR-Pasp	phnL//cysK//fucI//
CynR-Cyanate	malP//purM//torC//
CysB-N-acetyl-L-serine	hemL//gabT//aroL//fadE//fdhF//gltA//pnp//ada//caiB//hypF//moaA//napH//agp//fadH//cysD//acs//
CysB-O-acetyl-L-serine	feaB//icd//mltC//eda//phnG//fumB//fadH//serC//sgbE//abgA//glcB//ampD//argD//cheR//dapD//rutC//ppiA//
DcuR-Phosphorylated	lpxB//narI//caiA//citD//
DnaA-ATP	tdcD//nanK//nanK//nanE//glgX//astE//
DpiA-Pasp	mhpF//malZ//aceA//guaA//cysM//
DsdC-D-serine	hpt//napH//
EvgA-Phosphorylated	narI//murQ//rhaA//idnK//trpB//
FNR-Fe_reduced	nadC//amn//ybjG//glcB//guaB//hpt//moaA//narH//pyrD//idnO//deoD//argE//frdA//araD//mhpD//mhpA//nrfA//dmsA//hycG//lpxD//thrS//betA//ada//ilvM//dadX//galT//hflX//prmC//ftnA//dapB//lpd//glpX//metL//ampD//pncB//cysK//garK//argH//mhpE//sufS//yeaE//aroF//lsrG//sgbE//nrfB//bglB//citD//metA//hycE//garR//ynfG//frdB//lyxK//aroH//dadA//napC//paaB//deoB//uidA//fadA//purK//epd//prpD//aldB//hyaB//slt//yqjH//cysM//nrfA//ubiC//gabD//melA//phnO//xdhB//prpB//ilvM//trpA//ynfE//citC//prs//gdhA//avtA//citX//uvrA//trmD//cysM//hemL//malS//ubiC//yfdE//betB//nrdD//atoD//moeA//mhpF//manA//metL//malQ//sdhD//sdaA//tam//bioB//nrdA//dapD//truB//dadA//ilvM//citC//dmsC//betA//atoD//sucD//ilvC//malP//appA//ilvM//rdoA//sufS//lpd//fumB//phnJ//sufS//citC//deoA//argD//moeA//mltC//
FhlA-Formate	sdaA//sdhA//purF//pheS//atoA//purB//ilvA//
FucR-L-fuculose-1-phosphate	speB//polA//fadH//fadA//bioF//tdcB//
Fur-Fe2+	uxaB//metF//gltA//entF//yiaK//ubiX//fucI//gatY//alkB//mpl//pdeF//prmC//ilvA//lpxD//fadA//dsdA//pnp//aldB//folE//glpB//pgaD//aroA//sgbH//cysJ//nagB//gcvH//atoB//lysU//fadD//purD//entD//yjeF//fabZ//hycB//cdd//rbsD//citC//malP//phoA//ilvI//gdhA//cysD//fbaA//umpH//phnL//prpD//hyaA//xdhC//prpC//acnB//gdhA//ybjG//araD//tdcE//fes//dapB//paaH//ilvD//uxuB//pgpC//atoD//sdhC//preA//ilvH//entB//argG//miaA//bioD//ndh//
Fur-Mn2+	purD//preT//gcvP//paaC//tam//aroA//gadB//moaA//betB//tnaA//ldtC//codA//nagA//malY//patZ//bioB//sgbE//guaB//mdh//gltA//hycE//cheR//argF//xylB//appA//lldD//adhE//rutE//srlD//fdhF//phoA//metL//moaE//mdh//cysN//ada//truB//rbsK//nadC//alaA//malQ//gadB//dmsC//caiB//tdcD//deoD//prmC//bioF//sdhC//trpA//purA//entF//galK//metA//phnL//mhpB//glcE//lsrF//cysH//preA//dadX//agp//phnN//napB//citG//metF//torC//tadA//slt//
GlcC-Acetate	dgcZ//caiC//serC//
GlcC-Glycolate	citX//cysH//amn//
GlrR-Pasp56	
IclR-pyruvate	astE//cysI//pagP//
IdnR-5-ketogluconate	ldtB//tyrA//nrfC//gadB//idnO//acnB//
IdnR-Idonate	sufS//galM//purL//ldtC//folE//metB//
IlvY-2-acetolactate	bcsA//
IlvY-Alfa-acetohydroxybutirate	rutA//
IscR-2Fe	bcsA//guaB//argC//thrS//ldtC//gapA//ubiA//
LldR-L-lactate	frdA//ubiG//
Lrp-Leucine	puuE//ulaE//prpB//lsrK//nagA//nagA//preT//tehB//dmsC//phnM//bcsB//pta//astB//dmsC//ynfG//aroH//dapB//pflB//fadH//cheB//adhE//purK//napC//phnM//tdcG//mhpC//citC//truB//paaA//rutE//dmsB//cysM//trpD//fucA//rutB//eda//phnN//speC//bioB//
LsrR	metA//paaF//idnK//araD//phnH//
MalT-ADP-Maltotriose	nanK//prmC//bioC//ubiX//ilvE//metE//
MalT-Maltotriose-ATP	citX//narH//ubiG//nagB//iscS//aceE//
MelR-Melibiose	idnD//glpD//
MetJ-S-adenosylmethionine	purK//betA//hycE//pta//lyxK//narH//astE//napC//puuE//rnpB//
MetR-L-homocysteine	frdA//iscS//uidA//moaA//
MhpR-3-DHPP	ndh//hmp//oxc//ndh//cysD//phnN//
MhpR-3HPP	lysC//deoB//cynS//epd//napB//narG//
MntR-Cd2+	patZ//paaI//
ModE-MoO42-	puuA//kbaZ//gpmA//ackA//fucU//srlD//ilvG_1//gabD//purK//aceE//galM//paaZ//aroF//fadI//
NarL-Phosphorylated	deoB//uxuB//tadA//cyoE//gltB//trpE//gnd//thrS//nrdE//ldtC//astC//dadX//cysJ//adhE//hycF//umpH//ilvA//deoC//purH//pgk//gcvP//phnN//paaF//caiC//glpX//katE//paaB//xapA//recF//trmD//pyrD//phnO//metE//rhaA//gnd//paaK//phoA//fucO//
NarP-Phosphorylated	fdhF//ubiG//glgX//fumC//ulaD//prpC//ldtC//napC//dgcZ//deoD//fucO//
NhaR-Na+	frdA//idnO//fadJ//uxaC//prpD//
NikR-Cd2+	cheB//
NikR-Co2+	cysH//
NikR-Cu2+	pgk//
NikR-Ni2+	xylB//
NikR-Zn2+	puuC//
NrdR-ATP	mutL//glpK//sdhD//mhpB//
NrdR-Zn2+	garL//speB//srlD//ackA//
NrdR-dATP	treC//ndh//galE//acs//
NsrR-2Fe	betB//trmD//ampD//truB//pgaD//tdcD//kbaZ//mhpF//ada//tadA//araA//rhaB//aldB//paaB//pgaB//thrS//moeB//sucA//torA//tdcE//hycE//garR//napB//paaK//tdcG//entA//purD//abgA//araA//tyrB//
PhoB-Phosphorylated	glyA//sdhC//ftnA//citF//ybjG//ogt//icd//purB//fadD//tdh//rdoA//aroG//zwf//yfeW//malY//mhpE//allD//gpmA//ldtB//rhaA//
PhoP-Phosphorylated	purA//citD//gltA//purC//argF//ilvN//cheR//idnK//thrS//paaZ//allC//ilvE//cysC//betB//tyrB//metL//rdoA//fdhF//ahpF//nirD//paaJ//entA//ada//glgB//ndh//argD//trpA//chbG//lacZ//ascB//trpC//ssuD//cynS//mhpC//rutD//
PrpR-2-methylcitrate	lsrF//umpH//prpE//pnp//
PurR-Guanine	mutY//nrdD//pgaD//alaA//nrdE//bacA//sucA//pdeF//truB//bglB//nrfA//fbaA//cysH//aroF//pgaB//glgC//paaE//pdeF//yfdE//metC//tdh//ynfF//metL//cyoE//entF//cysN//appA//
PurR-Hypoxanthine	paaB//deoC//nirB//aceF//fadA//pck//phnP//lpxA//betA//folA//bioD//torA//tdcG//dkgB//cysC//argF//hyaA//sgbE//gnd//uvrA//astD//aldA//deoD//metK//citD//phnJ//ansB//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	pnp//ulaD//glpA//cheB//
RstA-Phosphorylated	paaA//fucK//malQ//
SoxR-2Fe_oxydized	cadA//trmD//
TorR-Phosphorylated	rbsK//sucA//nrfC//
TrpR-Tryptophan	pgaD//sucD//dapD//pgaD//narI//allE//hycF//argA//ulaF//
TyrR-L-tryptophan	prmC//waaH//mutL//glgB//speB//glpA//xdhA//upp//fadB//
TyrR-Phenylalanine	nrfA//hemA//nrdB//nanK//hcp//nrdF//ilvA//trpE//lpxA//
TyrR-Tyrosine	citD//rbsK//cysI//ilvG_1//abgA//mhpA//caiB//paaC//ndh//
UhpA-Phosphorylated	caiD//
XapR-xanthosine	iscS//aldB//
XylR-Xylose	sodB//ubiG//nrdE//
ZntR-Cd2+	alkA//
ZntR-Hg	sucD//
ZntR-Zn2+	deoC//
ZraR-Phosphorylated	
Zur-Zn2+	hemL//
