# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	napB//fucI//cheB//nrdB//
IscR-2Fe	aceF//citD//tktB//mtlD//tdh//allC//entD//
LldR-L-lactate	bioA//hpt//
Lrp-Leucine	lysU//prpB//gabD//purD//uxaA//lyxK//nrdF//citE//prpE//cadA//pyrD//argD//metE//prpC//atoB//narG//serA//fes//caiD//galT//frdC//argA//hcp//nrdE//hpt//dnaE//glgA//malQ//trpB//cpdB//ung//gltD//allC//alaA//iscS//rutC//argE//nirD//yfeW//
LsrR	aceA//betB//cpdB//uxuB//puuE//
MalT-ADP-Maltotriose	tadA//citF//aroG//nagB//ispE//paaC//
MalT-Maltotriose-ATP	talA//dadX//gpsA//malP//cyoE//argC//
MelR-Melibiose	kbaZ//yfeW//
MetJ-S-adenosylmethionine	atoB//srlD//sdhA//oxc//chbG//nrfD//citX//pdeF//ugpQ//fdhF//
MetR-L-homocysteine	gnd//gdhA//betA//mhpF//
MhpR-3-DHPP	thrS//araB//ilvH//murQ//amn//cynS//
MhpR-3HPP	yeaE//nadC//argE//pyrC//fadI//preA//
MntR-Cd2+	guaB//adhE//
ModE-MoO42-	ilvH//agp//glcD//acnB//bioC//malP//bioF//betB//moeB//allD//hycB//uxuB//xapA//aceA//
NarL-Phosphorylated	kbaZ//deoA//pyrC//glgB//fumA//pgpC//metK//folE//speA//cysK//atoD//murQ//citX//carA//glpQ//lysU//caiA//bglB//fbaA//zwf//lsrF//napA//pck//gatY//aroG//avtA//speC//ilvE//napH//gadB//argI//glgB//fadE//moaD//tsaE//umpH//citE//aroF//
NarP-Phosphorylated	astC//aroF//paaI//allD//entA//paaK//prpE//allC//rutA//glpX//pnp//
NhaR-Na+	appA//astD//nrfB//yfbR//phnI//
NikR-Cd2+	glpK//
NikR-Co2+	gltD//
NikR-Cu2+	fumA//
NikR-Ni2+	garK//
NikR-Zn2+	glcD//
NrdR-ATP	torA//cysH//trpC//tdh//
NrdR-Zn2+	prpD//lsrF//betA//aceB//
NrdR-dATP	aspC//gltD//caiC//gabD//
NsrR-2Fe	bioC//gltA//metL//mltC//rhaA//purE//gpsA//lpxD//tdcB//nrfC//cysI//tadA//bacA//avtA//fumC//ahpC//purN//gltA//sgbU//ynfH//bglB//pgaC//tdcB//bcsA//araD//rbsD//cysM//citD//entE//hyaC//
PhoB-Phosphorylated	serC//caiA//ispE//folE//metF//pheS//malZ//tdh//gapA//entB//glcE//ilvE//pgaB//cadA//aceB//pgaB//hflX//srlD//glpK//gatY//
PhoP-Phosphorylated	fadJ//bcsA//argH//malY//araB//aceE//cysG//patZ//abgB//bcsZ//argC//sucB//glgC//fucI//katE//glyA//phnN//guaB//hyaA//torC//garR//appA//fumC//gabD//hypB//galT//ogt//dgcZ//glcD//patZ//ynfE//argF//dadX//galK//ogt//
PrpR-2-methylcitrate	lacA//pheT//ada//uidA//
PurR-Guanine	rbsD//dmsC//hycB//folA//tauD//gatD//ilvH//sufS//ilvD//purH//gltA//lsrF//miaA//aldB//glcD//lhgO//adhE//entF//lacZ//cueO//fabZ//rutB//gntK//tnaA//codA//nrfB//citC//
PurR-Hypoxanthine	dapD//guaB//lpd//cysD//waaH//fadD//pyrC//nrdA//phnO//bglB//idnK//nrfB//ubiC//nanA//lysU//argH//ilvB//mutY//galE//pyrD//ilvI//paaI//xdhA//tdh//moaA//aceA//entA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	katG//glnA//glcD//napG//
RstA-Phosphorylated	codA//sgbU//tktB//
SoxR-2Fe_oxydized	rbsD//ssuE//
TorR-Phosphorylated	trpE//dadX//dmsC//
TrpR-Tryptophan	dmsA//fucA//cheB//astC//astE//entA//purA//fadB//guaB//
TyrR-L-tryptophan	serC//xdhC//nirB//ftnA//feaB//aroF//psd//argC//cpdB//
TyrR-Phenylalanine	mhpA//yqjH//trpA//gutQ//glpE//trpD//udp//napA//hycC//
TyrR-Tyrosine	bioA//galM//fdhF//tktB//moaD//narI//tsaE//phnO//idnO//
UhpA-Phosphorylated	alaS//
XapR-xanthosine	tdcB//pgaC//
XylR-Xylose	speB//idnO//metA//
ZntR-Cd2+	entH//
ZntR-Hg	atoA//
ZntR-Zn2+	xapA//
ZraR-Phosphorylated	
Zur-Zn2+	garK//
