# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	atoB//hflX//moaE//dnaE//
IscR-2Fe	acnB//bcsB//cysH//alaS//entB//glpA//pta//
LldR-L-lactate	ynfF//pagP//
Lrp-Leucine	torA//cysI//cheR//frc//nagA//miaA//allC//mhpB//dapB//napG//glpE//gatD//paaZ//sdaA//caiB//trpB//bacA//frdC//tdcD//lsrG//napG//dnaE//glcF//frdB//acnB//bioB//gdhA//acs//entE//sdhB//nrfD//paaE//cysG//trpE//metH//fucK//dmsA//bioD//uvrA//
LsrR	garK//malP//cadA//gltA//speA//
MalT-ADP-Maltotriose	frdB//hycG//prs//agp//tyrB//gnd//
MalT-Maltotriose-ATP	glpK//moeA//ilvH//sucA//gcd//argD//
MelR-Melibiose	mdh//tdcD//
MetJ-S-adenosylmethionine	hycC//xylA//ilvI//murQ//prmC//abgA//ubiG//ssuD//ldtC//paaJ//
MetR-L-homocysteine	hycF//katG//gatZ//pheS//
MhpR-3-DHPP	folE//torC//codA//fucK//lpxB//phnH//
MhpR-3HPP	fadD//nrdE//bioC//sodB//idnO//aceB//
MntR-Cd2+	paaG//argB//
ModE-MoO42-	cynS//lysU//lldD//cadA//ilvM//ulaF//sdaA//xdhC//ansB//pncB//cysD//idnK//nrfD//entF//
NarL-Phosphorylated	ung//idnD//tdcE//trpE//yfeW//tdcG//yiaK//sucC//glnA//udp//garL//purB//fadH//trpC//alkB//citD//hycD//cheR//lyxK//pgaB//glpK//citF//entB//mhpC//preA//ndh//dnaE//mltC//ansB//puuA//purN//dkgB//slt//cysN//hycC//pyrD//mutL//ftnA//
NarP-Phosphorylated	atoD//moaE//truB//idnK//speC//cysC//tauD//ugpQ//ubiG//pyrC//chbF//
NhaR-Na+	serA//ahpC//pgaC//dusB//argA//
NikR-Cd2+	argB//
NikR-Co2+	xylB//
NikR-Cu2+	ubiC//
NikR-Ni2+	argA//
NikR-Zn2+	adhE//
NrdR-ATP	galE//glpX//mhpE//folE//
NrdR-Zn2+	ilvN//mdh//cueO//bglB//
NrdR-dATP	gcd//uvrA//pnp//torC//
NsrR-2Fe	xapA//sdhC//gpmA//katG//hyaB//citX//nrfD//sdhD//bglB//bcsB//gltA//aldA//aceE//ampD//ybjG//tadA//glpD//gatY//prpE//paaJ//amn//pheS//bcsZ//allE//sodA//fumA//lpxB//narH//malQ//sgbE//
PhoB-Phosphorylated	allD//thrS//pflB//fau//ssuE//garK//moaA//garL//ugpQ//acnA//ilvC//codA//fucO//entE//deoC//tyrB//edd//pck//entE//hycG//
PhoP-Phosphorylated	feaB//katE//aroA//uvrA//fdhF//paaF//ilvC//paaE//fadA//trpB//ynfH//metK//allD//purH//phnM//truB//hpt//zwf//cysG//fbaA//nirD//gadB//tsaE//nanA//sodA//purF//phnP//chbF//argF//nrdF//ansB//entE//cpdB//fau//ansB//
PrpR-2-methylcitrate	astB//lsrK//ampD//citE//
PurR-Guanine	aroG//amn//pyrD//speB//mutL//guaB//gpsA//fucI//bioD//ulaD//lpd//ubiA//preA//alkB//allD//xdhC//xdhB//fucK//hycB//pyrD//upp//ilvG_1//lpxA//katG//metK//udp//ubiA//
PurR-Hypoxanthine	gutQ//glcE//paaJ//avtA//patZ//galM//hycF//nrdF//manA//phnL//puuB//prpD//hycD//hyaA//sucD//uidA//mpl//cynS//adhE//fbaA//prpE//tdcE//patZ//metA//aroL//ung//lldD//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	fadJ//feaB//metH//purD//
RstA-Phosphorylated	rutE//glgP//aroF//
SoxR-2Fe_oxydized	frc//bacA//
TorR-Phosphorylated	recF//araD//allD//
TrpR-Tryptophan	kbaZ//prpD//upp//fumC//lsrG//moaD//mdh//xdhA//frc//
TyrR-L-tryptophan	cysM//napG//pgk//astC//trpB//lpxB//purK//fucI//xapA//
TyrR-Phenylalanine	sodA//fumB//gadB//dapB//trpD//sucC//sdhA//hycF//cynS//
TyrR-Tyrosine	sdhA//bioF//aroH//sdhD//allC//gcd//fumA//cheB//narH//
UhpA-Phosphorylated	sodB//
XapR-xanthosine	cyaA//oxc//
XylR-Xylose	phnN//guaB//galT//
ZntR-Cd2+	lysU//
ZntR-Hg	metL//
ZntR-Zn2+	pyrD//
ZraR-Phosphorylated	
Zur-Zn2+	aldB//
