# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	moaE//lhgO//araA//entD//
ChbR-Monoacetylchitobiose-6P	sodB//bioD//avtA//
CpxR-Phosphorylated	cynT//kbl//fumC//nrfB//glpX//hycC//xdhA//hcp//carA//cysN//caiC//nrdA//preT//lsrF//galT//nagA//phnJ//lacZ//mltC//uxuB//lsrK//katE//
CreB-Phosphorylated	yfdE//argF//ilvD//
CueR-Ag	gutQ//malQ//pncB//ilvA//
CueR-Cu+	sodA//paaB//pheT//mhpD//
CuerR-Au	malP//hyaC//aroL//ilvE//
CusR-Pasp	hpt//phnH//codA//
CynR-Cyanate	nrfB//astB//purM//
CysB-N-acetyl-L-serine	mhpF//aroL//sgbE//glpQ//dmsB//idnO//glgP//prpB//ansB//mhpE//phnH//malY//xapA//pyrD//glpB//ung//
CysB-O-acetyl-L-serine	cdd//argF//ada//uvrA//polA//trpD//xylA//paaH//metC//nrfC//hypB//cysJ//pgk//fau//edd//yqjH//speC//
DcuR-Phosphorylated	dadX//moaE//nanA//cyaA//
DnaA-ATP	sdhB//phnL//glpD//metE//ynfF//ahpC//
DpiA-Pasp	guaB//mhpF//lacA//idnD//glcD//
DsdC-D-serine	cysN//lysA//
EvgA-Phosphorylated	glpC//deoA//codA//entD//srlD//
FNR-Fe_reduced	gcvH//lpxD//gapA//deoA//hyaA//tnaA//cysH//rutE//prs//rutB//hyaC//nrfD//cynT//ynfH//fucI//astB//deoD//fadD//ilvB//hyaC//prs//glpB//ansB//bioD//katG//carB//atoA//frc//dusB//frdC//preT//entB//fucI//cysD//gnd//citD//deoA//glgB//galM//gadB//uidA//sucB//hycB//sgbE//sucB//fadJ//ppiA//puuC//ldtC//phnL//gcvP//truB//abgB//glyA//dgcZ//nagB//hyaA//rnpB//idnK//lldD//bioC//metH//ilvD//hyaA//ndh//recF//rutB//bioF//serC//cueO//phnP//fucO//rutD//astC//abgB//sgbU//gcvT//nanK//kbaZ//gltB//lhgO//alkA//nanE//rnpB//hycD//dsdA//murQ//nadC//nrdD//ubiC//katG//rutC//pyrC//caiD//glgB//bcsZ//purE//napA//purH//hmp//cynS//folE//lsrK//mutY//idnK//gapA//narG//appA//dapB//aroG//citF//ynfF//kbl//caiD//guaA//tdcB//aceB//allD//ung//mdh//prpD//phnJ//entB//entC//cysH//fucK//hemA//
FhlA-Formate	galM//lpxA//prmC//dnaE//ubiG//gpmA//hypB//
FucR-L-fuculose-1-phosphate	bioD//bioD//yiaK//paaJ//uxaA//sucB//
Fur-Fe2+	manA//dkgB//fucU//allE//uxaB//citE//ulaF//purD//purK//aroA//sucD//entF//frdD//allD//aceA//sufS//pgaC//hypB//malY//kbaZ//citX//kbl//torA//puuA//deoB//ldtC//aceB//glgB//cysH//ynfH//galE//yqjH//lsrG//paaH//moaD//trpE//nanK//bioD//lacZ//sdhD//entB//bcsA//garR//codA//abgB//astE//ulaE//entE//rutC//tadA//purE//gcvT//gatD//cysI//glpK//rhaD//aroL//gatD//nrfD//cysM//ftnA//tdcD//ppiA//pyrD//entE//paaH//argI//prpB//aroL//
Fur-Mn2+	speC//sgbH//gcvH//pgk//garR//purA//purF//rdoA//fadH//ansB//napC//fau//yfeW//glpE//tyrA//ynfH//nirD//alkA//trpE//araD//malP//feaB//fadD//pncB//edd//cysM//citG//pncB//deoB//bioB//phnJ//trpA//cdd//tktB//aceA//glgC//dmsC//sgbE//gatY//preA//entD//prs//sucC//cysD//galE//pheS//nirB//tyrA//napA//araD//tdcG//astC//gcd//murQ//cysN//mhpC//dapB//glpA//glpB//betB//xylA//appA//betA//waaH//rbsD//metC//astB//idnO//uxaB//
GlcC-Acetate	paaH//malQ//phnN//
GlcC-Glycolate	citF//phnJ//yfdE//
GlrR-Pasp56	
IclR-pyruvate	glpB//pagP//argF//
IdnR-5-ketogluconate	phnM//tadA//pgpC//hyaB//hycE//sgbH//
IdnR-Idonate	phnP//entF//frdD//ackA//ndh//fumB//
IlvY-2-acetolactate	rutD//
IlvY-Alfa-acetohydroxybutirate	gatD//
IscR-2Fe	guaA//ogt//tauD//idnO//prs//alkB//ldtB//
LldR-L-lactate	pgaC//ynfE//
Lrp-Leucine	abgB//phnL//yiaK//hmp//patZ//iscS//dmsA//lpd//napB//paaI//hycB//narI//argD//ogt//truB//umpH//gltB//gabD//prs//pagP//pgaC//hemL//ybjG//allD//cadA//trpC//pgaC//sodA//carA//nrfA//ubiC//carA//citG//glcD//idnK//ubiC//frc//phnM//pgpC//
LsrR	chbF//entC//argD//thrS//phnI//
MalT-ADP-Maltotriose	frdA//pheT//prs//gcvP//idnD//ada//
MalT-Maltotriose-ATP	prpD//nrdB//aceE//adhE//cpdB//tam//
MelR-Melibiose	ftnA//glgP//
MetJ-S-adenosylmethionine	dapD//uxaA//aceE//uxaC//rhaA//napA//galK//glgA//upp//guaB//
MetR-L-homocysteine	paaK//glpD//lysA//citG//
MhpR-3-DHPP	lysC//tnaA//mdh//moaE//fau//aceE//
MhpR-3HPP	icd//tsaE//yiaK//napB//lyxK//hycE//
MntR-Cd2+	astC//alkB//
ModE-MoO42-	uxuA//glpB//uidA//fes//frdC//idnK//nagA//citX//argE//metA//lpxB//cyaA//lpxB//rutC//
NarL-Phosphorylated	mhpD//trmD//idnK//sodB//hyaA//acnB//entB//nanE//mpl//hyaC//puuA//ilvI//sgbE//mhpC//tadA//zwf//hflX//ssuE//argG//ackA//umpH//waaH//narH//entB//bioF//ftnA//tdh//rhaB//ilvI//nrdB//dapB//aspA//malZ//glgA//gcvT//cheB//argB//hycF//
NarP-Phosphorylated	dsdA//bcsB//ascB//ulaF//gatZ//katG//feaB//rhaB//caiD//uvrA//glpD//
NhaR-Na+	glgP//aroL//preA//tdcB//nirB//
NikR-Cd2+	carB//
NikR-Co2+	garL//
NikR-Cu2+	purA//
NikR-Ni2+	prpB//
NikR-Zn2+	phnH//
NrdR-ATP	fadE//speC//argE//fucU//
NrdR-Zn2+	tdcG//ubiX//mhpF//glpB//
NrdR-dATP	malP//nanK//glcD//alkB//
NsrR-2Fe	folA//yfdE//carA//tehB//glpQ//xdhA//allD//glcE//pyrC//glgA//gcd//hmp//codA//uxuB//tktB//bioA//pflB//pncB//glpK//malP//bioA//lsrF//trpA//napB//slt//ilvN//rutD//pdeF//gabT//hyaC//
PhoB-Phosphorylated	aldB//ubiG//alaS//citX//napB//aroH//cyoE//rbsD//argE//rutA//gdhA//alaA//hmp//cysM//recF//phnH//cheR//uxuA//dkgB//tktB//
PhoP-Phosphorylated	alaA//gcvH//fucU//bioD//tyrA//hmp//atoA//xdhA//udp//glgA//xdhB//preT//narG//alaS//bcsA//betA//glnA//paaJ//hpt//ahpC//waaH//nrfC//fucK//idnK//fumB//phnN//bglB//argB//nrfC//metL//argB//katE//sdhB//moeA//deoA//
PrpR-2-methylcitrate	idnK//glcE//dusB//argG//
PurR-Guanine	fucK//argG//aroL//rbsK//lsrF//pyrD//hycF//argH//cysJ//astB//tktB//talA//araD//napH//guaA//aceE//acnA//glpK//glgB//paaI//bacA//malP//ilvC//adhE//lpxD//metE//betA//
PurR-Hypoxanthine	amn//nanE//abgB//phnO//ssuD//alkB//tktB//serA//tsaE//dadX//tdcG//zwf//ahpF//sodA//nrdF//paaF//ogt//hpt//icd//ldtB//polA//caiB//mutL//lpxD//caiD//gltD//ilvG_1//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	hycD//yqjH//fadB//dadX//
RstA-Phosphorylated	pgaB//glgC//ilvG_1//
SoxR-2Fe_oxydized	argD//rutD//
TorR-Phosphorylated	tdcG//atoB//sdhD//
TrpR-Tryptophan	sdaA//cynT//lpd//xdhA//moeB//ulaF//astC//aroH//ilvE//
TyrR-L-tryptophan	mhpB//yqjH//manA//carB//hemL//ssuD//phnJ//phnM//hycB//
TyrR-Phenylalanine	waaH//xdhC//gutQ//nrdE//cysC//cpdB//torA//hflX//uxuB//
TyrR-Tyrosine	entE//phnH//ilvM//hyaA//rutB//guaA//trpE//dmsA//mhpD//
UhpA-Phosphorylated	cysG//
XapR-xanthosine	prs//hycE//
XylR-Xylose	rutA//rhaB//ssuE//
ZntR-Cd2+	pnp//
ZntR-Hg	xylB//
ZntR-Zn2+	nrdA//
ZraR-Phosphorylated	
Zur-Zn2+	frdD//
