# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	cheR//gutQ//lacA//udp//
PurR-Guanine	phnL//entE//sodB//mpl//moaE//nrdD//glcD//paaC//abgB//pyrC//araD//nirB//gpsA//chbF//sucC//gcvH//moaA//gltA//galK//tdh//acs//purN//lysU//deoB//ldtC//cysC//paaG//
PurR-Hypoxanthine	glpC//talA//kbaZ//galT//glgB//moaD//aspA//nrfD//dmsB//aldB//torC//narG//napB//trpB//serC//hemL//hycB//rbsD//allD//sdhD//araD//alaA//recF//bcsB//dkgB//yqjH//alaS//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	uxuB//entC//paaJ//phnG//
RstA-Phosphorylated	citF//argG//speB//
SoxR-2Fe_oxydized	glpA//adhE//
TorR-Phosphorylated	frc//dapB//dnaE//
TrpR-Tryptophan	chbG//glpK//trpC//zwf//idnO//mhpE//caiA//phnM//guaA//
TyrR-L-tryptophan	ilvA//purD//phoA//pgpC//gntK//malY//glgC//uvrA//dusB//
TyrR-Phenylalanine	napA//glgC//cysG//xylA//metF//purL//bioB//malP//frc//
TyrR-Tyrosine	treC//araA//ilvG_2//trpB//atoA//nirB//rbsD//paaJ//uxuB//
UhpA-Phosphorylated	trpA//
XapR-xanthosine	ampD//ilvG_1//
XylR-Xylose	nrfA//cysC//dkgB//
ZntR-Cd2+	hycG//
ZntR-Hg	dapD//
ZntR-Zn2+	phnI//
ZraR-Phosphorylated	
Zur-Zn2+	xdhB//
