# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	ilvC//fumB//glcF//cyaA//
FNR-Fe_reduced	hemL//ynfH//paaH//lpxD//malQ//ugpQ//treC//ahpF//ilvH//xdhC//deoB//tauD//malQ//gnd//aspC//hycE//pheS//trmD//garL//lhgO//lsrG//entA//pyrC//metF//glcF//udp//gcd//metF//cysJ//serA//cyoE//tehB//fadE//napH//fadH//entA//hpt//citD//idnO//tdcB//ilvB//gltD//ssuD//agp//gnd//gcvH//purC//phnJ//yfdE//lsrG//napA//pgaC//purD//atoD//cysI//adhE//gpmA//metH//rutB//ansB//cysJ//pagP//ldtC//nirD//lhgO//frdC//uidA//kbaZ//caiC//hycD//eda//cheB//ybjG//cadA//fbaA//fadD//ybjG//uxaA//nanA//pdeF//paaA//dusB//cyaA//gapA//feaB//hycD//acnA//xylB//ampD//uidA//glpA//bioB//mtlD//napG//glgC//alaS//lpxA//phnM//bioD//gatD//feaB//puuD//pdeF//atoB//fucU//argH//mdh//ackA//gpsA//phnN//paaA//alkA//lsrG//argA//dgcZ//phnP//yjeF//ndh//dkgB//truB//sdaA//lpd//dadA//alkA//argB//dadA//glpD//
FhlA-Formate	pyrD//hpt//gatZ//cysN//tnaA//ugpQ//nrfA//
FucR-L-fuculose-1-phosphate	phnJ//talA//pncB//rnpB//moaA//ybjG//
Fur-Fe2+	sucC//deoA//uxaA//pgaD//argF//lsrK//astE//purN//alaS//ahpF//nrdE//frdC//narG//xylA//sdaA//aroA//uxuB//psd//sgbU//dnaE//ilvN//dmsB//atoB//frdA//sgbH//cysJ//glpA//carB//cysJ//glcD//waaH//garK//ldtB//mhpB//ilvB//argG//glpK//bioC//adhE//rutD//icd//purA//astC//pck//ilvB//ispE//lhgO//ilvH//gabT//phnH//uxaC//dusB//astD//rhaD//nanM//purC//frdA//ynfE//metB//entC//garL//sdhC//mhpB//polA//ackA//ssuE//adhE//avtA//glpD//
Fur-Mn2+	talA//gpsA//trpE//pgaC//ilvB//citE//bioD//dmsB//bacA//glnA//hycB//alkB//codA//cynT//narH//metE//metH//paaE//gnd//uvrA//cynT//xapA//napH//entF//eda//dnaE//fumC//uxaB//glpK//rutC//rutD//tam//hpt//dapD//ppiA//aceE//malP//zwf//fucA//cysN//paaK//paaI//ynfF//metA//polA//paaK//glcB//entF//gltD//manA//lpxD//fucU//melA//cdd//cheR//napC//pck//glcF//uvrA//dmsA//nanA//carA//ulaD//puuC//gabT//prpB//phnP//cynS//nanM//
GlcC-Acetate	sdhB//ubiC//kbl//
GlcC-Glycolate	citX//allD//pheT//
GlrR-Pasp56	
IclR-pyruvate	garR//treC//cysC//
IdnR-5-ketogluconate	nrdB//paaG//galE//ynfH//ftnA//pyrC//
IdnR-Idonate	lsrK//caiB//tyrA//hycC//dapD//moaA//
IlvY-2-acetolactate	ynfF//
IlvY-Alfa-acetohydroxybutirate	waaH//
IscR-2Fe	ilvH//fumA//gapA//fucU//purC//garK//metA//
LldR-L-lactate	betB//entD//
Lrp-Leucine	hycG//phnL//fadE//moaA//phnM//rhaD//ynfH//dadA//entD//allD//prpD//fucK//allC//puuB//dmsB//fadB//cysH//hemA//entD//serC//xapA//gadB//bcsZ//deoA//thrS//rhaB//mhpC//pheS//frdD//phnO//malP//dsdA//recF//dsdA//glpE//alaS//ulaF//guaB//aceF//
LsrR	purE//fumA//miaA//rbsD//araD//
MalT-ADP-Maltotriose	ascB//ada//tdh//prmC//pflB//acnA//
MalT-Maltotriose-ATP	tyrA//araA//phnG//gpsA//cadA//entE//
MelR-Melibiose	rbsD//fucO//
MetJ-S-adenosylmethionine	allE//entB//lyxK//caiC//aldB//fadI//tdcD//uidA//psd//torA//
MetR-L-homocysteine	narI//pgpC//paaE//bglB//
MhpR-3-DHPP	argA//glgX//pnp//gatZ//glpD//glgA//
MhpR-3HPP	cueO//rhaB//glgX//garK//bioC//prpD//
MntR-Cd2+	metB//metK//
ModE-MoO42-	trpD//entC//puuC//deoD//caiA//pgaC//pdeF//citD//citD//lysU//sdhC//xdhA//polA//narH//
NarL-Phosphorylated	nrfC//fadD//caiC//cysJ//phnN//melA//prpB//pyrD//purC//avtA//entC//hmp//xapA//frc//icd//glcF//sdaA//ilvA//aspA//ilvN//rutB//nagB//preA//idnK//nrfD//puuD//glnA//fadB//gabT//prpD//sodA//glgB//trpD//hmp//mltC//trpA//ilvB//mhpC//
NarP-Phosphorylated	ilvD//betB//nirD//trpE//oxc//glcE//araA//chbF//gltD//fadH//cynT//
NhaR-Na+	allC//fumB//rnpB//mhpB//gatZ//
NikR-Cd2+	mhpE//
NikR-Co2+	ulaE//
NikR-Cu2+	tdcB//
NikR-Ni2+	argD//
NikR-Zn2+	fucA//
NrdR-ATP	rdoA//purD//cynT//dnaE//
NrdR-Zn2+	citE//argF//fadB//agp//
NrdR-dATP	guaB//fucU//tyrA//entH//
NsrR-2Fe	hycF//upp//tdcB//truB//srlD//hypF//mhpE//ubiG//zwf//fumB//frdC//gltD//purL//hyaB//phnJ//nrdD//yfeW//xylB//alkA//gcvT//ldtB//umpH//metE//nrdA//prpD//galT//cysH//rhaD//cysG//rdoA//
PhoB-Phosphorylated	uxuA//tdcB//pdeF//hflX//ung//nanM//hypF//fumC//nadC//trpE//paaI//glpK//nrfD//galK//uvrA//cysH//fadI//pgk//pck//xdhB//
PhoP-Phosphorylated	paaG//cysJ//aceA//chbF//lpxA//ynfE//lysU//idnD//metB//aldA//lyxK//cheR//folA//moeB//betA//paaJ//galM//cysG//ubiX//pheT//glyA//pgk//tsaE//moeB//ilvI//bioF//nrfD//manA//entD//pdeF//gutQ//argE//entB//galT//gltB//
PrpR-2-methylcitrate	lpd//phnM//folA//trmD//
PurR-Guanine	puuB//deoD//ispE//ynfF//ilvI//hycC//ftnA//ynfH//hycD//atoD//tdcB//phnL//fbaA//uxuA//prs//nagB//idnO//gpsA//ilvG_2//fucI//nrdD//fucU//sodA//xylB//nadC//torA//hycF//
PurR-Hypoxanthine	xdhA//waaH//phnH//mhpB//tdcE//dmsC//araB//nrfC//uxaC//nrdB//ilvE//cynT//ilvD//citE//gnd//gltB//hypF//glyA//paaH//cysI//galT//abgB//cheR//ilvI//ugpQ//aceE//mtlD//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	gntK//caiC//sucA//ansB//
RstA-Phosphorylated	purA//argE//pheS//
SoxR-2Fe_oxydized	gpmA//preA//
TorR-Phosphorylated	tsaE//glpC//hycC//
TrpR-Tryptophan	nagB//glgC//dmsC//hycC//lyxK//tdcB//nrdE//deoB//fdhF//
TyrR-L-tryptophan	paaF//adhE//puuA//gcvH//entA//phnI//cysM//tktB//lpxA//
TyrR-Phenylalanine	hmp//acnB//citX//pgpC//metH//ackA//entH//hcp//pgaB//
TyrR-Tyrosine	citE//betA//dadX//nanK//ilvB//yfbR//fucO//astB//sucD//
UhpA-Phosphorylated	yfbR//
XapR-xanthosine	cyoE//bioA//
XylR-Xylose	cdd//pheT//chbF//
ZntR-Cd2+	trmD//
ZntR-Hg	cynS//
ZntR-Zn2+	sdhA//
ZraR-Phosphorylated	
Zur-Zn2+	glyA//
