# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	gatY//gdhA//glpD//ilvN//
ChbR-Monoacetylchitobiose-6P	allE//cynS//hycB//
CpxR-Phosphorylated	trpA//serA//caiC//rhaB//caiD//paaK//cysK//paaF//prmC//murQ//pyrC//gdhA//phnJ//gatD//hpt//hyaA//paaZ//pgaB//prmC//malS//argI//idnO//
CreB-Phosphorylated	aroH//glcB//phnI//
CueR-Ag	udp//cysJ//nanK//icd//
CueR-Cu+	purL//deoC//zwf//tam//
CuerR-Au	uxaC//trpC//fau//ftnA//
CusR-Pasp	phnJ//purA//astD//
CynR-Cyanate	glpB//nrfA//citX//
CysB-N-acetyl-L-serine	abgA//gcvT//ftnA//citF//mhpE//speA//narH//sufS//glpD//hycC//dadX//phnM//mhpD//pta//aceE//galK//
CysB-O-acetyl-L-serine	tauD//glcF//feaB//bioA//acnB//astE//trpB//appA//atoB//galM//serC//sdaA//mhpF//aroL//paaJ//narI//caiB//
DcuR-Phosphorylated	ulaF//aceF//xdhC//glpX//
DnaA-ATP	nrdB//argF//argI//araB//aceF//cysK//
DpiA-Pasp	hflX//fucK//ahpF//pagP//rutB//
DsdC-D-serine	pncB//ynfH//
EvgA-Phosphorylated	dmsC//tktB//folE//lacZ//puuB//
FNR-Fe_reduced	pgaC//phnN//ilvG_1//araA//ubiG//sucD//malS//narH//trpD//argE//ascB//ubiA//metC//fucI//uxuA//cueO//entA//ulaD//metF//rbsK//paaG//frdC//cynS//kbl//upp//mutY//ilvM//xylA//cheB//nrdB//paaF//purA//trpB//astD//fucK//lacZ//treC//paaB//fes//nrfA//xapA//fdhF//ulaF//pdeF//tyrB//purB//glgB//rutE//gltA//hpt//hycD//nrfD//tdcE//moaE//idnO//srlD//katE//argD//nrdD//lpd//galT//paaF//phnG//edd//deoB//feaB//pgaD//glyA//ldtC//lysU//phnP//trpE//sgbU//astA//murQ//aceF//tam//ilvE//avtA//bglB//mpl//acnA//abgA//alkA//gadB//sucD//napG//dapB//paaJ//purH//ahpC//entE//prpB//cheB//miaA//xdhC//puuD//tdcB//bioB//ubiX//nanK//atoA//aroF//gcvT//paaK//alaS//dnaE//ulaF//tdcD//malY//betB//nanK//folE//cpdB//uvrA//nrdF//tsaE//metE//garL//fumC//ubiC//astB//hemL//metL//glnA//nanK//ilvC//
FhlA-Formate	bcsB//nrdA//acnA//nanE//tam//glgC//gatZ//
FucR-L-fuculose-1-phosphate	garR//tdcG//sdaA//guaB//ogt//cpdB//
Fur-Fe2+	mtlD//sufS//nrdB//frdD//nirD//cyaA//uxaC//aroG//pyrD//mutL//ynfF//aroH//ybjG//slt//moaD//puuA//bcsB//katG//nrdA//slt//atoB//atoD//gcd//hpt//sucC//aceF//bioC//malQ//ppiA//gatD//mdh//phnM//torC//prpD//deoB//oxc//lacA//waaH//entF//bioF//dkgB//ampD//metL//ybjG//sdhB//prs//sodB//rutE//moaA//tnaA//ung//mltC//ldtB//pgk//fucA//uxuA//uxaC//sucA//folE//oxc//ynfH//mdh//talA//argD//narH//rbsK//nirD//aspC//paaK//
Fur-Mn2+	acnB//dadA//metA//dmsB//cdd//paaF//mhpB//nrfC//cpdB//lsrK//xdhA//betA//trpA//ynfG//cdd//nrdD//tyrB//fes//glpA//idnK//rutE//ascB//purF//dapB//glcB//tehB//bcsA//ilvE//fau//mltC//purF//dusB//glcF//fadJ//guaA//phnM//lpxB//sucC//nrfB//purN//deoC//prs//malP//lpxD//dmsA//dadA//fabZ//icd//mhpF//trmD//sucC//ascB//ampD//aceF//recF//bioD//phnG//ssuD//mhpA//bcsZ//tyrA//metH//aldB//dapB//trpB//araB//sodB//garK//dmsC//
GlcC-Acetate	tam//dmsA//carB//
GlcC-Glycolate	ilvM//sucC//caiD//
GlrR-Pasp56	
IclR-pyruvate	nrdD//mutL//fadE//
IdnR-5-ketogluconate	paaG//dadA//paaH//puuB//nrdB//trpD//
IdnR-Idonate	alkB//gltB//entC//narG//ubiC//rhaB//
IlvY-2-acetolactate	puuD//
IlvY-Alfa-acetohydroxybutirate	fumA//
IscR-2Fe	cysJ//phnM//bioF//napC//mpl//glgA//rnpB//
LldR-L-lactate	napG//cyaA//
Lrp-Leucine	rbsD//aroL//metH//cysD//uxuB//argC//nrdA//hyaA//frdA//pgaC//sdhB//fucI//abgB//entD//nrfC//sucB//xdhC//garK//glpX//torA//serA//lpxD//allE//sgbE//phnP//hycG//mutL//glpE//nanE//preT//manA//nrfC//lpxB//mhpF//galK//bacA//tdcG//malY//recF//
LsrR	lsrF//nrfA//galM//glcE//glcE//
MalT-ADP-Maltotriose	tsaE//glcE//prpE//acnA//ulaD//chbF//
MalT-Maltotriose-ATP	hyaC//tnaA//carA//rbsD//metB//entH//
MelR-Melibiose	dusB//acnA//
MetJ-S-adenosylmethionine	ilvB//gapA//nanE//pheS//bioC//prpD//sodA//lysC//phnI//fadH//
MetR-L-homocysteine	hycB//ilvM//fbaA//yfdE//
MhpR-3-DHPP	hyaA//guaA//aroG//feaB//hyaC//tnaA//
MhpR-3HPP	dnaE//argE//sufS//frdB//gntK//hcp//
MntR-Cd2+	fau//pgpC//
ModE-MoO42-	betB//dusB//malZ//sodA//narG//lpxA//codA//caiC//xdhC//pagP//metE//ahpF//lysA//bioB//
NarL-Phosphorylated	citX//rutD//sucD//purL//araA//phnP//rdoA//psd//edd//entE//nrfB//uxuA//mdh//dkgB//garK//alkB//aroH//puuD//allC//purD//nrfD//mhpC//pgaD//tehB//bioC//folE//dgcZ//glpK//phnP//frdD//phnJ//lacZ//xapA//malZ//argE//cynT//purK//phnM//
NarP-Phosphorylated	purB//cysN//mhpA//paaH//nrdE//gcd//ung//dadX//argF//caiC//fabZ//
NhaR-Na+	hypF//tdcG//ssuE//hpt//fucA//
NikR-Cd2+	yiaK//
NikR-Co2+	moaE//
NikR-Cu2+	guaB//
NikR-Ni2+	glgC//
NikR-Zn2+	purM//
NrdR-ATP	narH//cynS//fdhF//gpmA//
NrdR-Zn2+	dsdA//purN//deoC//astE//
NrdR-dATP	ilvM//slt//prs//nirD//
NsrR-2Fe	ogt//dapD//fumC//abgB//phnN//speC//hemL//lysC//ilvB//dkgB//ilvH//moaA//dapD//udp//dnaE//glnA//hycC//ilvB//codA//lpd//purK//tyrB//phnO//pgaB//sdhB//yqjH//ubiA//pgaD//dnaE//caiC//
PhoB-Phosphorylated	prpD//nrdD//mltC//miaA//rutE//astE//xylA//mltC//deoA//cadA//paaE//prmC//cysK//cysI//gadB//sdhB//ada//speA//ilvB//glcF//
PhoP-Phosphorylated	purC//fumC//lldD//ppiA//aspA//fabZ//malY//cyoE//napA//speA//sucC//purN//lpxB//ascB//torC//mhpE//narH//ilvH//cysD//tdcB//metK//ogt//mtlD//fadI//idnO//fucO//sodA//entF//uvrA//puuC//truB//sucC//argA//hemL//manA//
PrpR-2-methylcitrate	sodA//puuC//feaB//entH//
PurR-Guanine	metB//ilvN//garR//eda//bioD//purA//codA//paaH//agp//fucI//lysA//lysC//pnp//trpE//astE//hmp//uxaC//glpC//talA//ynfH//aceB//prpE//fucA//nadC//aspA//ssuE//trpB//
PurR-Hypoxanthine	citC//mhpD//citG//ubiX//ilvH//pheS//deoB//araD//nadC//glgB//puuE//cpdB//citX//atoA//sdhC//ubiG//cysK//rhaA//lyxK//torC//cadA//folA//metE//trpA//deoB//bcsB//cyaA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	dmsB//sgbE//fucK//rnpB//
RstA-Phosphorylated	bioB//napH//ynfE//
SoxR-2Fe_oxydized	paaG//abgA//
TorR-Phosphorylated	astE//dmsB//xdhA//
TrpR-Tryptophan	chbG//prpB//hycD//dadX//serA//pheT//dadA//argA//glyA//
TyrR-L-tryptophan	moeA//deoA//ulaE//allD//ascB//nirB//galE//lpxA//mhpB//
TyrR-Phenylalanine	dapB//nanM//ilvH//hypB//galM//yfeW//phnO//moaE//ispE//
TyrR-Tyrosine	mhpF//moaD//aceF//narG//caiD//lsrG//ugpQ//eda//fucO//
UhpA-Phosphorylated	galM//
XapR-xanthosine	pyrC//prpD//
XylR-Xylose	udp//glyA//aceB//
ZntR-Cd2+	trpA//
ZntR-Hg	dsdA//
ZntR-Zn2+	speC//
ZraR-Phosphorylated	
Zur-Zn2+	gcd//
