# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	ilvA//ynfE//sdaA//xdhB//
ChbR-Monoacetylchitobiose-6P	gltB//rhaA//gapA//
CpxR-Phosphorylated	feaB//feaB//alaA//gatZ//yfdE//phnI//pagP//puuA//fadE//prpE//astB//bioA//tdcG//prs//betB//alkA//xdhB//frdB//gabD//yfdE//argD//carA//
CreB-Phosphorylated	metK//pyrC//pheT//
CueR-Ag	acnA//abgB//rutC//carA//
CueR-Cu+	fadH//ndh//deoC//tdcD//
CuerR-Au	ilvG_2//pck//serC//astC//
CusR-Pasp	fumB//eda//dusB//
CynR-Cyanate	fadH//preA//rutD//
CysB-N-acetyl-L-serine	ilvD//caiD//ahpF//fadJ//tadA//citG//glpA//udp//trpE//mhpE//cysI//cyoE//phnM//nagA//fucU//alaA//
CysB-O-acetyl-L-serine	cheB//astB//hyaC//puuE//kbl//entH//hycF//xdhC//sdhC//miaA//ssuE//zwf//trpB//mhpF//dapB//mpl//purN//
DcuR-Phosphorylated	citD//nanM//glpX//ftnA//
DnaA-ATP	puuA//sdhB//lpxA//metE//mdh//hpt//
DpiA-Pasp	hyaC//gltB//ilvB//gdhA//moeA//
DsdC-D-serine	cadA//mhpA//
EvgA-Phosphorylated	nrdE//alaA//aceB//phnL//metB//
FNR-Fe_reduced	napG//ybjG//aldB//fucK//carB//mutY//narG//napB//edd//pck//dgcZ//ldtB//fabZ//citE//mpl//astE//aspC//trmD//aroA//phnH//allC//fadA//argE//frdA//trpA//yfeW//rdoA//hycG//hycC//uxaC//katE//cynT//sdhD//yjeF//waaH//polA//aceF//prpE//ubiC//alaS//xylB//cyoE//idnO//ndh//glpC//moeA//speB//sucD//napC//gltD//caiC//miaA//ynfE//polA//ilvC//astD//lysA//purC//moaD//ilvC//frdB//tehB//guaB//rbsK//yfbR//fadJ//metC//cysJ//aroA//metF//tauD//phnH//abgB//fadA//mltC//cysN//feaB//aceA//xylA//acnA//argI//prpE//patZ//xylB//hflX//cheR//tyrB//astC//xdhB//xapA//tktB//tdcG//nirD//miaA//acnA//malZ//gpmA//sufS//bioF//dadA//ndh//purA//xdhC//gadB//rutC//araA//cysI//ahpF//bcsZ//udp//udp//ssuE//sodB//ubiC//uvrA//ung//ilvH//ilvH//ulaF//atoA//phnJ//cysD//torA//manA//lyxK//feaB//nrfC//
FhlA-Formate	cysH//ahpF//manA//hpt//ispE//ynfG//aceA//
FucR-L-fuculose-1-phosphate	bioD//fumB//xdhC//cysN//sdhA//entF//
Fur-Fe2+	argA//metA//udp//cysI//bioB//hflX//cysD//ftnA//argI//purH//deoA//allC//alkB//fadB//entC//mhpD//metC//moaA//narI//purA//fucU//yfbR//nrdE//fadI//purF//chbG//fadE//uxaC//frdA//lysU//folA//ndh//puuB//fdhF//purM//mhpB//patZ//tdcD//alkB//rutB//srlD//ubiX//fbaA//paaA//moeB//psd//ilvN//miaA//gcvT//ilvD//lpd//tyrB//edd//rutD//bcsA//hmp//purF//araD//napA//mhpE//uxuB//yfdE//araD//sucB//tdcD//yfbR//citX//rbsK//tadA//
Fur-Mn2+	nrfA//rbsK//lldD//fucU//ynfH//ulaD//purC//trpE//sdaA//pheS//glyA//araD//puuA//metK//carB//deoB//ilvH//ackA//dadX//mhpE//xdhC//guaB//lpd//ascB//purL//uvrA//appA//ssuD//pgpC//nrdA//avtA//fadJ//mpl//fdhF//miaA//lysC//citD//deoA//mutL//fau//aroG//tadA//astC//idnK//xylA//purB//fumA//tdcB//mhpC//tdcB//phnJ//glgP//metH//polA//ogt//tktB//speC//recF//xapA//lacZ//fadB//cysC//speC//argB//nrdE//entE//treC//cueO//garR//
GlcC-Acetate	gpsA//cheR//malZ//
GlcC-Glycolate	alaS//ansB//aroL//
GlrR-Pasp56	
IclR-pyruvate	narI//tadA//lacZ//
IdnR-5-ketogluconate	pyrC//ssuD//argC//yiaK//phoA//fadJ//
IdnR-Idonate	fadJ//dusB//pheT//mtlD//acnB//narI//
IlvY-2-acetolactate	psd//
IlvY-Alfa-acetohydroxybutirate	lysA//
IscR-2Fe	bglB//prpC//alaA//dsdA//dadX//moaE//galK//
LldR-L-lactate	ilvI//hypF//
Lrp-Leucine	nrdF//malP//rutA//cysG//xdhB//fucK//glgX//cysD//avtA//hycC//dmsC//katE//pagP//bioC//nanK//ulaF//glgC//ackA//tyrB//mhpB//glpE//ung//dapD//argB//mltC//alaS//cyoE//nirB//uxaA//allD//hemL//dapD//moeA//hycG//cysG//gltA//yfdE//murQ//fumC//
LsrR	glpE//pck//fbaA//cysM//paaF//
MalT-ADP-Maltotriose	hyaB//fadJ//trpE//nirB//uxuB//prpE//
MalT-Maltotriose-ATP	folE//gatZ//dapD//frc//tktB//nrdF//
MelR-Melibiose	deoA//yfbR//
MetJ-S-adenosylmethionine	lpd//gcvP//ahpC//ubiA//cdd//gpsA//katG//lldD//gltD//glpE//
MetR-L-homocysteine	ispE//rhaA//citG//bioB//
MhpR-3-DHPP	nanA//ilvE//gadB//fumA//galE//rutE//
MhpR-3HPP	xylA//gdhA//eda//trpE//ynfG//dadA//
MntR-Cd2+	gabT//uxaB//
ModE-MoO42-	ldtB//gatD//lpd//pncB//ogt//hypF//preT//uxaB//deoD//moaD//lhgO//glgX//napB//truB//
NarL-Phosphorylated	entE//ldtC//sdhC//sucC//phnL//malS//speC//ispE//rbsK//ssuD//ugpQ//nanA//edd//yqjH//argI//ilvE//appA//lpd//manA//amn//aldB//uxaC//glgC//ilvD//narI//tktB//ulaF//moaA//ssuE//alaS//glpD//dkgB//napC//citX//tdcG//hycC//uxuA//prs//
NarP-Phosphorylated	tehB//eda//dadX//tnaA//dmsA//abgB//alaA//paaA//dgcZ//trpD//glnA//
NhaR-Na+	paaF//pheT//araB//srlD//araD//
NikR-Cd2+	nanK//
NikR-Co2+	phnM//
NikR-Cu2+	hpt//
NikR-Ni2+	paaZ//
NikR-Zn2+	gatD//
NrdR-ATP	atoB//aldB//sufS//argH//
NrdR-Zn2+	tadA//ispE//tnaA//pgpC//
NrdR-dATP	phnO//bioB//paaI//araD//
NsrR-2Fe	tsaE//fadE//gapA//fes//glcB//entA//trmD//aldB//narG//glcE//ilvI//pncB//ispE//argG//purH//glpC//ada//nrdA//aroA//dmsA//sgbU//bioA//codA//rbsD//paaG//garK//tdcE//gltD//uxuA//preT//
PhoB-Phosphorylated	astD//oxc//talA//hypF//torC//melA//paaG//gcvH//rutD//upp//cdd//tyrA//fabZ//phnM//ada//metK//dkgB//hycE//prpB//dgcZ//
PhoP-Phosphorylated	narG//mtlD//ackA//purD//lacA//paaH//alkB//bglB//trpB//garL//rbsK//bioA//fucA//ldtB//alkA//gcvP//galE//argH//gutQ//ulaF//sucD//idnD//alkB//nadC//tdcE//idnK//trpC//ugpQ//mltC//cysC//tyrA//ybjG//ilvA//nanM//glgA//
PrpR-2-methylcitrate	bioB//mhpD//pncB//allD//
PurR-Guanine	pta//napA//napG//moaE//citE//malP//argF//ybjG//phnI//patZ//ispE//hypF//ung//pgaC//slt//xapA//psd//atoB//speB//ascB//deoC//glpK//cynS//recF//avtA//lysC//tnaA//
PurR-Hypoxanthine	xapA//idnD//atoD//citE//katE//ilvG_1//purN//gcvH//metA//oxc//ynfH//rnpB//lpxA//phnI//astD//glgP//abgB//cysJ//idnO//malY//pncB//nrfB//phnN//zwf//cysK//mhpB//ilvA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	waaH//napC//hyaB//eda//
RstA-Phosphorylated	tehB//nrdA//ldtB//
SoxR-2Fe_oxydized	bioA//sgbU//
TorR-Phosphorylated	gpsA//glpD//mhpC//
TrpR-Tryptophan	lpd//glcD//tehB//phnJ//glcB//gabD//pyrC//purH//deoB//
TyrR-L-tryptophan	ansB//hyaC//ynfF//katE//uxaC//ackA//cpdB//adhE//uxaA//
TyrR-Phenylalanine	deoB//pheS//dapB//glnA//cysM//deoC//betA//malZ//tadA//
TyrR-Tyrosine	phnL//entD//bacA//hycF//pck//aceF//sdhD//ldtB//metE//
UhpA-Phosphorylated	paaA//
XapR-xanthosine	pgk//mhpC//
XylR-Xylose	bioF//phnI//atoA//
ZntR-Cd2+	acnB//
ZntR-Hg	ubiC//
ZntR-Zn2+	fumA//
ZraR-Phosphorylated	
Zur-Zn2+	alaS//
