# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	truB//gutQ//oxc//nrdF//
FNR-Fe_reduced	pck//sdhB//alaS//nrfA//xdhC//yqjH//pncB//ampD//nagB//folA//ilvI//lpxA//aceA//garR//hcp//pck//pyrC//nrdB//ynfF//hyaA//purF//aldB//fucI//trpD//glgX//araB//nrdA//atoB//puuD//cysH//rhaA//bioB//argC//atoA//ynfF//pyrD//trpA//moaE//prpC//fabZ//mhpE//nrdF//gatZ//upp//fucU//dadX//argG//napB//nrfC//preA//hypB//dapB//paaH//ahpC//fumB//aroA//metF//cheB//hcp//puuD//nrfB//napC//tdcB//fucK//xdhC//araB//citF//avtA//rutB//deoC//dapB//glcB//gutQ//purE//idnK//paaH//glgP//phnO//guaB//yeaE//napH//fau//trmD//glpD//pnp//dmsB//patZ//nrfB//gabD//nrfC//xdhC//tdcB//eda//citD//pgaD//manA//phnI//lacA//katE//galM//glpA//gatD//prpE//ahpF//rnpB//idnK//glnA//nagA//nrdD//manA//phnM//preT//gatD//zwf//mhpE//malZ//xylB//puuE//hypB//ubiG//lacZ//aspA//icd//glpX//serC//ubiG//nirB//
FhlA-Formate	ilvB//dmsB//metK//purN//fadE//phnJ//ppiA//
FucR-L-fuculose-1-phosphate	pyrC//argA//folA//rutD//napC//argH//
Fur-Fe2+	deoC//mutY//purH//trpB//fadH//nanM//fadI//glcF//nrdA//pagP//lysC//entH//preT//feaB//citC//cysD//hypF//lacZ//tehB//rhaA//bcsZ//aroA//uidA//phnL//caiB//preA//astE//atoB//xdhB//glgC//prmC//ilvG_2//ftnA//trpD//srlD//dapB//pck//gpmA//nrdD//pflB//fadJ//xdhA//cpdB//gapA//ftnA//cysG//prpC//patZ//fes//sdhC//sucC//alaS//upp//frdD//tdcB//cysG//entD//argG//hyaA//gutQ//allE//acs//ubiX//fumB//upp//argF//chbG//murQ//aceB//
Fur-Mn2+	deoD//trpC//waaH//fadH//ssuE//gcvT//dsdA//cyaA//astE//puuB//phnH//iscS//malY//citC//sdhA//ulaE//ogt//talA//lpd//lsrF//nrdA//ndh//tauD//murQ//yeaE//nanM//fadJ//dnaE//phnP//ung//ubiG//lysU//cysI//argB//moaD//chbG//ispE//paaK//hyaB//fadI//folE//rutB//narH//glnA//mhpC//cyaA//torC//cysM//betB//fes//alkB//cyoE//deoB//puuB//rdoA//prpC//torC//gutQ//eda//glnA//cysK//idnD//upp//mhpE//paaF//torC//chbG//chbG//tyrA//
GlcC-Acetate	paaJ//gatD//fadJ//
GlcC-Glycolate	gadB//caiB//caiA//
GlrR-Pasp56	
IclR-pyruvate	aceF//atoD//fucA//
IdnR-5-ketogluconate	sgbU//aceB//edd//allC//ubiC//gabD//
IdnR-Idonate	garL//gnd//lldD//ilvE//sgbH//tdcB//
IlvY-2-acetolactate	lpxB//
IlvY-Alfa-acetohydroxybutirate	mtlD//
IscR-2Fe	cdd//thrS//tehB//srlD//moaE//moaA//patZ//
LldR-L-lactate	paaC//xylB//
Lrp-Leucine	garK//fau//gcd//dadA//citE//ilvM//tyrA//moaD//fadJ//ldtB//dkgB//glgB//argE//nagA//argC//acnB//phnP//aroG//sucB//xylB//yfbR//paaC//rhaA//malY//dkgB//speA//oxc//napB//argD//rbsK//dusB//nrfB//cpdB//uidA//preA//fucI//astB//puuA//paaC//
LsrR	gltB//mhpB//gutQ//rhaB//zwf//
MalT-ADP-Maltotriose	epd//astE//phnN//recF//malZ//pflB//
MalT-Maltotriose-ATP	ynfG//dnaE//moeB//xapA//cyoE//xdhA//
MelR-Melibiose	rhaD//purK//
MetJ-S-adenosylmethionine	glpQ//speC//nrfB//metC//bioA//uxuB//glpE//ilvA//lysU//pta//
MetR-L-homocysteine	puuC//bacA//mutL//paaZ//
MhpR-3-DHPP	nirD//lacZ//ampD//yeaE//deoD//torA//
MhpR-3HPP	fes//gatD//nrdF//paaJ//oxc//pyrD//
MntR-Cd2+	ilvE//lacA//
ModE-MoO42-	malY//prpD//astC//caiB//manA//bioB//pyrD//abgB//melA//entD//ulaF//metA//moeA//mhpC//
NarL-Phosphorylated	nanE//ssuE//frdD//guaB//fadE//dkgB//dsdA//paaB//trpB//cyaA//cadA//sgbE//ynfG//gadB//argG//malZ//hyaB//alkB//ssuE//sdhA//uxaA//rhaA//astD//deoD//atoA//puuC//moaD//sdaA//ynfE//glgC//dmsC//phnI//cysH//sdaA//ilvC//bioF//paaI//paaE//
NarP-Phosphorylated	paaH//rhaA//metL//sdaA//deoD//murQ//entF//astE//nrfC//ulaF//prpD//
NhaR-Na+	cysH//gapA//preT//ynfH//icd//
NikR-Cd2+	argC//
NikR-Co2+	entD//
NikR-Cu2+	serC//
NikR-Ni2+	bioF//
NikR-Zn2+	hyaA//
NrdR-ATP	mpl//lysA//agp//pagP//
NrdR-Zn2+	prpE//fumC//argE//lpxA//
NrdR-dATP	fucO//mhpC//trpE//deoA//
NsrR-2Fe	sodA//lpxA//aceE//ogt//mdh//torA//rutD//mtlD//cysH//speC//gabD//frc//lsrK//sdhD//ulaD//sodA//pgaD//caiC//puuC//aldA//mhpB//ilvI//hyaA//astE//thrS//speA//fadA//glpK//argB//cysN//
PhoB-Phosphorylated	cyoE//lyxK//truB//abgA//ubiG//purB//paaI//speB//aceF//paaE//atoA//glgC//paaA//tehB//allC//frdD//puuC//mhpE//glgB//citC//
PhoP-Phosphorylated	bioD//cysG//sodB//sucC//pncB//rutB//ansB//argB//glgB//ogt//cynT//fucO//chbG//sucC//cynT//trmD//rhaB//nrfB//cynT//waaH//aceA//polA//paaA//prmC//glpE//ynfG//tsaE//rutD//entH//codA//uidA//speB//mhpD//glpC//dadA//
PrpR-2-methylcitrate	yiaK//lysU//acnB//cheR//
PurR-Guanine	ubiA//fadB//paaJ//thrS//aldB//alaS//malZ//cysK//appA//hycG//galE//caiB//gatY//mhpE//trpA//fadA//ynfF//xdhC//gatZ//polA//fumA//pyrC//uxaC//caiD//lysA//phnL//ascB//
PurR-Hypoxanthine	hypF//malQ//trpB//pgaD//gapA//argI//bcsB//ilvC//tdcE//sufS//argA//astC//cysC//cynT//nrdF//serA//dgcZ//glpK//purB//rutC//xdhC//gatZ//rbsD//lpxB//gntK//gatY//uidA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	dusB//hyaC//sufS//lacA//
RstA-Phosphorylated	glpB//citX//phnH//
SoxR-2Fe_oxydized	caiA//umpH//
TorR-Phosphorylated	atoB//caiA//bioC//
TrpR-Tryptophan	rutA//cysH//iscS//rhaB//puuA//prmC//sodB//sgbH//thrS//
TyrR-L-tryptophan	gltD//rutC//nadC//yfeW//cpdB//yjeF//bcsA//purA//psd//
TyrR-Phenylalanine	yqjH//argB//rhaB//thrS//cysG//pnp//rhaA//lhgO//lacA//
TyrR-Tyrosine	rdoA//prpD//ndh//metC//fdhF//patZ//mhpD//lacA//narG//
UhpA-Phosphorylated	sodB//
XapR-xanthosine	nirD//upp//
XylR-Xylose	iscS//glpK//carA//
ZntR-Cd2+	puuB//
ZntR-Hg	ampD//
ZntR-Zn2+	astA//
ZraR-Phosphorylated	
Zur-Zn2+	pta//
