# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	moeB//phnP//dmsA//cysC//
Fur-Fe2+	psd//caiB//chbF//moeA//acs//serA//cysH//pgpC//hflX//paaE//malP//rbsK//nrfD//bioC//frc//puuA//prpE//fdhF//xylB//ada//gdhA//deoB//lysC//tdcD//moeA//acs//hyaC//araD//cysJ//nrdE//aldA//purD//ampD//ilvN//ubiC//citF//malY//araB//rutC//argF//glpK//astA//citE//xdhC//sdhB//caiD//cheR//ilvD//atoA//glpA//galM//atoD//glgP//entD//ilvM//paaA//sdhD//nrfC//xylB//uvrA//glcE//ilvH//fadE//fbaA//oxc//mhpD//metL//glgX//talA//
Fur-Mn2+	bioC//hycB//fucK//fucI//pyrD//ssuE//fadA//carA//astC//lyxK//nrdF//uvrA//entH//ynfG//cysJ//aldA//gltD//garL//fumB//cynT//nagB//ynfE//phnP//araA//rutD//argD//araD//guaA//mhpA//sodA//metL//ilvM//lpxB//phnJ//waaH//citD//allE//mhpA//ugpQ//gabT//trpB//glgP//cpdB//adhE//glgB//glpX//polA//paaG//chbG//ascB//sodA//lpxA//abgB//kbaZ//chbG//epd//gatD//lsrG//fucU//lpxB//bioD//hflX//atoA//glgP//guaB//icd//ulaF//hycB//oxc//
GlcC-Acetate	nrfC//cdd//argG//
GlcC-Glycolate	ilvD//ftnA//dkgB//
GlrR-Pasp56	
IclR-pyruvate	mltC//truB//acnA//
IdnR-5-ketogluconate	aceA//tauD//guaA//carA//napC//entF//
IdnR-Idonate	nrdE//pta//manA//nagA//glpD//nrdB//
IlvY-2-acetolactate	purN//
IlvY-Alfa-acetohydroxybutirate	xylA//
IscR-2Fe	sdhD//argE//mltC//lpxB//preA//yeaE//cpdB//
LldR-L-lactate	prmC//prmC//
Lrp-Leucine	treC//citD//pta//metE//galM//dgcZ//aceA//rutC//metK//gabD//rnpB//bcsB//paaC//entH//hemL//mutY//lacZ//ynfF//glgA//folA//prpD//prpC//ilvA//nanM//lysC//gpmA//araB//glpA//ilvD//gcvP//napH//bioB//phnH//metH//metF//lacZ//caiA//ldtB//bcsA//
LsrR	ilvM//tktB//napG//cynS//purB//
MalT-ADP-Maltotriose	hyaB//lsrG//gcd//recF//ubiC//nagB//
MalT-Maltotriose-ATP	uxuA//cysK//frdA//gltB//frc//metH//
MelR-Melibiose	hycE//galT//
MetJ-S-adenosylmethionine	gltB//metA//tdcE//yiaK//cysJ//adhE//nanK//dusB//folA//bglB//
MetR-L-homocysteine	glgB//nagA//abgB//glpQ//
MhpR-3-DHPP	araA//napC//gatD//purD//entC//moaD//
MhpR-3HPP	cysM//nanM//serC//aceB//aldA//moaE//
MntR-Cd2+	icd//chbG//
ModE-MoO42-	fes//pyrD//cheB//psd//mhpA//araA//caiA//talA//caiA//cheR//oxc//murQ//mhpA//garK//
NarL-Phosphorylated	guaB//glcE//xdhA//citF//uxaA//malP//fucK//aspA//fucI//cysH//phnI//gcd//epd//pagP//icd//frdB//gcvP//aspC//hpt//fucI//sgbU//glgA//speA//xdhB//tyrA//mhpE//paaF//pyrC//frdD//hemA//frdA//lhgO//umpH//glpC//uvrA//glyA//ldtB//betB//
NarP-Phosphorylated	prpE//gcvT//rhaB//yfeW//lyxK//pgaB//ung//betA//atoB//atoA//mhpF//
NhaR-Na+	yfeW//ldtB//prpB//gntK//glgB//
NikR-Cd2+	alkA//
NikR-Co2+	amn//
NikR-Cu2+	tktB//
NikR-Ni2+	phnG//
NikR-Zn2+	melA//
NrdR-ATP	trpB//uxaB//puuD//hyaA//
NrdR-Zn2+	glcF//glpC//allD//gcd//
NrdR-dATP	glgA//sdhB//uxaA//ispE//
NsrR-2Fe	ssuE//nadC//phnM//glcB//cysJ//udp//aroF//bioF//caiC//trpC//moaD//thrS//caiD//gltA//melA//hmp//pgaD//purD//idnO//cueO//narH//paaJ//acnA//guaB//ilvA//purH//cadA//sgbU//purB//glcF//
PhoB-Phosphorylated	tauD//atoD//nanK//cadA//gnd//caiC//kbl//prpB//idnD//gltD//tauD//yfdE//citX//paaC//rhaB//fes//rutB//betB//epd//glpB//
PhoP-Phosphorylated	ahpC//ilvB//mdh//galT//lhgO//nrfC//ubiG//pgaD//murQ//yiaK//phnG//hycE//aceB//yiaK//tyrB//torC//moaD//purM//lacA//paaA//bcsZ//aroF//fucK//puuC//pdeF//prs//yfdE//idnO//metC//ilvG_1//sodB//rbsD//ubiG//alaA//yfeW//
PrpR-2-methylcitrate	hycG//ubiX//frdA//cysM//
PurR-Guanine	yjeF//yeaE//bacA//rdoA//tyrA//trmD//ulaD//tdcD//ackA//dapB//sucA//mtlD//entA//paaI//astE//adhE//preA//folA//citX//aroG//metH//araA//udp//tehB//malY//feaB//hyaB//
PurR-Hypoxanthine	citX//tadA//cysJ//metH//rutD//fumB//rbsD//mtlD//paaI//citX//gadB//mtlD//purE//citG//acs//cheB//caiC//pck//nrdB//mpl//rhaD//lacA//adhE//entD//frdA//rhaA//hmp//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	dmsB//alkB//folA//ubiC//
RstA-Phosphorylated	aceF//folA//phnN//
SoxR-2Fe_oxydized	lhgO//purC//
TorR-Phosphorylated	edd//galM//paaA//
TrpR-Tryptophan	xylA//garR//preA//deoC//trpD//nanA//glpC//rutE//malP//
TyrR-L-tryptophan	abgA//psd//pgaB//preT//aroH//idnO//puuA//gcvT//sgbE//
TyrR-Phenylalanine	gabT//metB//rdoA//lpd//galM//idnD//uvrA//malS//lsrF//
TyrR-Tyrosine	rbsK//cysC//paaB//cheB//cysK//katE//pgpC//paaF//prpC//
UhpA-Phosphorylated	sucD//
XapR-xanthosine	xdhA//hcp//
XylR-Xylose	fumB//nrdB//deoB//
ZntR-Cd2+	paaK//
ZntR-Hg	caiB//
ZntR-Zn2+	cysN//
ZraR-Phosphorylated	
Zur-Zn2+	nrdF//
