# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/golevels_of_random_sets_v2.pl on Wed Oct  3 03:59:08 2018
# Using: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/random_sets_smgns/random_simple/
# Percentages of genes of same set are in: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/results/random_gos/percs/simple_random_perc.txt 
# Columns= Group name
# Rows= Random set
	AcrR	Ada	AgaR	AlaS	AllR	AllS	AlsR	ArcA	ArgP	ArgR	ArsR	AscG	AsnC	BasR	BirA	BluR	BolA	CRP	CdaR	CecR	CpxR	Cra	CreB	CsgD	CueR	CynR	CysB	Dan	DhaR	DicA	DnaA	EvgA	FNR	FadR	FeaR	Fis	FlhDC	FliZ	Fur	GadX	GcvA	H-NS	HU	HcaR	IHF	IlvY	IscR	KdpE	LeuO	LexA	LrhA	Lrp	LysR	MalT	MarA	MatA	McbR	MetJ	MlrA	MngR	MntR	MprA	MqsA	MurR	Nac	NadR	NagC	NanR	NimR	NsrR	NtrC	OmpR	OxyR	PaaX	PepA	PgrR	PhoB	PhoP	PspF	PurR	RbsR	RcdA	RclR	RcnR	RcsAB	RcsB	RcsB-BglJ	Rob	RutR	SdiA	SgrR	SoxS	SutR	TorR	TrpR	TyrR	UidR	UvrY	XapR	YdeO	YjjQ	YpdB	YqhC	ZntR	ZraR	Zur
ran_18.txt	NA	4	5	NA	4	8	3	NA	9	3	3	NA	NA	NA	4	4	NA	3	3	5	3	3	NA	3	7	NA	4	5	8	4	8	5	3	6	NA	3	3	NA	3	8	8	3	4	4	5	NA	6	9	8	3	NA	4	NA	NA	NA	NA	NA	10	4	NA	NA	3	8	NA	8	3	7	3	NA	3	3	NA	4	NA	NA	9	3	3	NA	3	NA	10	9	NA	3	8	3	NA	NA	NA	3	4	NA	NA	3	3	NA	NA	7	NA	5	NA	NA	NA	NA	3
ran_19.txt	NA	7	9	NA	3	9	4	5	6	5	6	NA	NA	NA	3	NA	NA	3	3	4	3	3	NA	5	NA	9	3	7	4	7	NA	4	3	4	NA	3	3	NA	3	3	NA	3	NA	3	4	8	3	8	4	3	NA	3	NA	NA	3	NA	NA	5	5	3	9	3	9	NA	4	4	3	NA	8	3	3	5	3	4	NA	3	3	3	NA	3	NA	NA	4	NA	9	4	4	NA	NA	NA	3	4	8	NA	8	5	NA	NA	4	7	8	NA	6	NA	NA	9
ran_2.txt	NA	3	4	NA	3	NA	4	NA	7	4	4	NA	NA	NA	4	7	7	3	4	9	3	4	NA	3	9	8	4	9	6	3	NA	3	3	3	NA	3	3	NA	4	5	9	5	NA	3	3	6	3	4	3	3	NA	3	NA	NA	NA	8	NA	5	3	3	NA	4	9	NA	7	8	4	NA	7	3	3	3	3	NA	NA	6	3	3	NA	5	NA	5	4	NA	4	4	3	NA	NA	NA	4	3	8	NA	3	4	NA	NA	NA	4	4	NA	8	NA	NA	4
ran_20.txt	NA	NA	4	NA	4	NA	4	8	5	5	4	NA	NA	NA	4	3	NA	3	6	4	3	3	NA	3	NA	5	4	5	5	3	NA	4	3	3	NA	3	3	NA	3	9	NA	3	NA	3	9	NA	9	3	5	3	NA	3	NA	NA	5	NA	NA	3	4	6	9	NA	NA	NA	3	NA	3	NA	4	3	3	NA	3	6	NA	3	3	3	NA	3	NA	NA	4	NA	4	5	4	NA	NA	NA	4	10	4	NA	3	7	NA	NA	NA	8	4	NA	6	NA	NA	5
ran_21.txt	NA	7	4	NA	3	4	6	NA	4	4	9	NA	NA	NA	7	7	7	3	6	3	3	3	NA	4	NA	4	3	NA	6	3	8	4	3	3	NA	3	3	NA	3	4	6	3	NA	4	9	9	4	NA	8	3	NA	5	NA	NA	3	7	NA	9	4	9	NA	4	NA	NA	3	8	4	4	NA	3	3	5	3	NA	NA	8	3	3	NA	4	NA	3	6	NA	6	3	3	NA	NA	NA	3	3	NA	NA	7	5	NA	3	NA	NA	8	NA	NA	NA	NA	6
ran_22.txt	NA	NA	4	NA	3	4	4	NA	9	4	4	NA	NA	NA	8	3	NA	3	5	6	3	3	NA	4	NA	7	3	4	3	3	6	3	3	3	NA	3	3	NA	3	4	NA	3	4	4	6	5	3	4	5	3	NA	3	NA	NA	NA	NA	NA	4	6	4	4	NA	NA	NA	4	5	8	NA	NA	3	3	7	3	NA	NA	5	3	3	NA	3	NA	7	9	NA	4	9	3	NA	NA	NA	4	3	7	NA	4	NA	NA	NA	NA	9	3	NA	NA	NA	NA	5
ran_23.txt	NA	3	6	NA	3	4	4	4	8	3	NA	NA	NA	NA	7	4	10	3	4	4	3	3	NA	4	8	3	3	8	NA	5	NA	4	3	3	NA	3	3	NA	3	3	8	4	8	8	3	NA	3	3	4	3	NA	3	NA	NA	7	NA	NA	7	3	3	8	NA	5	NA	5	NA	8	6	5	3	3	3	4	3	NA	3	3	4	NA	3	NA	7	NA	NA	6	3	3	NA	NA	NA	5	4	NA	NA	3	6	NA	7	4	NA	4	NA	6	NA	NA	4
ran_24.txt	NA	9	3	NA	3	10	3	4	4	3	3	NA	NA	NA	4	5	8	3	5	4	3	3	NA	3	NA	3	3	5	8	3	10	4	3	3	NA	3	3	NA	3	3	8	3	NA	3	4	NA	3	3	4	3	NA	3	NA	NA	4	NA	NA	3	9	NA	7	7	3	NA	5	4	3	7	NA	3	3	7	3	NA	NA	3	3	3	NA	3	NA	8	5	NA	4	3	5	NA	NA	NA	4	3	9	NA	3	6	NA	NA	4	NA	5	NA	NA	NA	NA	5
ran_25.txt	NA	8	3	NA	8	4	8	NA	NA	3	10	NA	NA	NA	4	8	NA	3	4	4	3	3	NA	4	9	6	3	4	6	3	4	4	3	3	NA	3	3	NA	3	3	NA	3	NA	3	4	4	4	4	4	3	NA	3	NA	NA	4	7	NA	3	5	NA	5	7	NA	NA	3	9	4	NA	5	3	3	NA	3	NA	NA	3	3	3	NA	3	NA	4	5	NA	9	4	3	NA	NA	NA	4	3	NA	NA	3	3	NA	NA	NA	NA	4	NA	9	NA	NA	4
ran_26.txt	NA	8	3	NA	3	4	6	6	3	3	5	NA	NA	NA	3	4	NA	3	NA	6	3	3	NA	8	NA	5	5	4	6	4	8	3	3	4	NA	3	3	NA	3	3	3	3	NA	4	6	NA	9	5	3	3	NA	4	NA	NA	NA	NA	NA	4	6	3	9	NA	3	NA	9	4	4	NA	NA	3	3	4	4	NA	NA	3	3	3	NA	4	NA	5	7	NA	9	3	4	NA	NA	NA	3	7	NA	NA	4	7	NA	4	7	NA	4	NA	3	NA	NA	7
ran_27.txt	NA	4	5	NA	4	8	9	NA	3	3	4	NA	NA	NA	3	8	NA	3	3	3	3	3	NA	4	NA	6	3	7	3	5	7	5	3	3	NA	3	3	NA	3	4	7	3	NA	8	8	NA	4	5	4	3	NA	3	NA	NA	8	5	NA	3	3	6	9	3	7	NA	8	9	5	9	6	3	3	5	3	8	NA	4	3	3	NA	3	NA	4	5	NA	4	3	4	NA	NA	NA	6	3	5	NA	3	NA	NA	NA	7	8	3	NA	NA	NA	NA	5
ran_28.txt	NA	NA	4	NA	6	6	4	4	8	3	9	NA	NA	NA	9	5	7	3	4	3	3	3	NA	4	9	7	3	4	NA	5	6	3	3	4	NA	3	3	NA	3	4	4	3	9	5	4	NA	4	4	3	3	NA	3	NA	NA	NA	6	NA	3	NA	4	3	8	NA	NA	3	NA	4	NA	9	3	3	3	5	NA	NA	3	3	3	NA	3	NA	5	NA	NA	3	8	4	NA	NA	NA	4	4	NA	NA	3	7	NA	6	5	4	4	NA	5	NA	NA	5
ran_29.txt	NA	5	4	NA	3	3	6	4	4	3	NA	NA	NA	NA	4	4	4	3	4	8	3	3	NA	6	10	4	3	NA	10	3	NA	4	3	3	NA	3	3	NA	3	4	NA	3	NA	3	3	4	3	4	4	3	NA	3	NA	NA	NA	5	NA	5	4	NA	3	4	6	NA	3	6	3	8	5	3	4	4	3	NA	NA	3	3	3	NA	3	NA	6	NA	NA	4	4	4	NA	NA	NA	4	3	NA	NA	3	9	NA	5	NA	NA	3	NA	NA	NA	NA	7
ran_3.txt	NA	6	5	NA	3	3	6	NA	10	4	NA	NA	NA	NA	9	6	NA	3	3	6	3	3	NA	5	7	3	3	4	5	4	3	6	3	4	NA	3	3	NA	3	3	9	3	9	8	7	9	4	3	4	3	NA	4	NA	NA	NA	8	NA	5	6	NA	NA	10	NA	NA	5	4	3	NA	9	3	3	4	3	NA	NA	3	3	3	NA	4	NA	6	7	NA	3	4	3	NA	NA	NA	7	4	9	NA	3	8	NA	NA	NA	NA	3	NA	NA	NA	NA	4
ran_30.txt	NA	3	3	NA	4	5	4	5	NA	3	3	NA	NA	NA	3	4	7	3	3	6	3	3	NA	3	8	NA	3	4	8	5	7	3	3	3	NA	3	4	NA	3	4	NA	3	3	4	6	NA	6	9	3	3	NA	3	NA	NA	NA	8	NA	3	5	NA	3	8	NA	NA	4	9	3	7	NA	3	3	4	3	NA	NA	3	3	3	NA	3	NA	4	8	NA	4	7	5	NA	NA	NA	3	5	5	NA	5	6	NA	NA	NA	NA	3	NA	8	NA	NA	3
ran_31.txt	NA	9	3	NA	4	4	9	3	10	4	NA	NA	NA	NA	7	5	NA	3	3	4	3	3	NA	4	NA	8	3	4	NA	3	7	5	3	5	NA	3	3	NA	3	4	6	3	5	7	3	NA	6	7	4	3	NA	3	NA	NA	NA	NA	NA	3	3	5	5	5	NA	NA	8	NA	NA	NA	NA	3	3	7	4	NA	NA	5	4	3	NA	3	NA	9	3	NA	3	9	4	NA	NA	NA	7	3	8	NA	4	4	NA	NA	8	4	4	NA	5	NA	NA	3
ran_32.txt	NA	4	4	NA	3	9	10	5	3	3	9	NA	NA	NA	8	3	9	3	3	4	3	3	NA	3	NA	4	3	4	4	4	NA	3	3	3	NA	3	3	NA	3	8	NA	3	6	4	3	NA	4	5	3	3	NA	4	NA	NA	5	NA	NA	3	6	5	NA	4	9	NA	5	8	3	NA	NA	3	3	6	4	8	NA	3	3	4	NA	3	NA	6	9	NA	3	4	3	NA	NA	NA	4	5	NA	NA	5	3	NA	NA	NA	9	7	NA	NA	NA	NA	4
ran_33.txt	NA	8	3	NA	4	NA	8	7	NA	4	8	NA	NA	NA	5	8	4	3	4	4	3	3	NA	3	9	5	3	4	9	3	NA	4	3	8	NA	3	3	NA	3	3	3	3	NA	6	4	NA	4	9	4	4	NA	3	NA	NA	4	8	NA	8	5	6	NA	6	6	NA	3	7	6	9	NA	3	3	3	4	8	NA	8	3	3	NA	3	NA	3	8	NA	3	8	3	NA	NA	NA	5	3	8	NA	3	3	NA	6	NA	9	3	NA	NA	NA	NA	4
ran_34.txt	NA	10	3	NA	4	9	3	7	3	3	9	NA	NA	NA	3	5	7	3	8	3	3	3	NA	3	6	7	3	3	4	6	NA	3	3	3	NA	3	4	NA	3	5	9	3	6	4	5	NA	7	7	3	3	NA	3	NA	NA	NA	6	NA	3	3	NA	NA	NA	8	NA	8	3	5	NA	NA	3	3	6	5	3	NA	3	3	3	NA	3	NA	7	NA	NA	3	9	3	NA	NA	NA	3	3	NA	NA	3	7	NA	NA	8	NA	6	NA	8	NA	NA	5
ran_35.txt	NA	9	3	NA	3	9	3	9	4	3	7	NA	NA	NA	5	3	3	3	5	10	3	3	NA	3	9	3	3	4	NA	3	NA	3	3	4	NA	3	3	NA	3	3	4	3	7	3	4	9	3	8	7	3	NA	6	NA	NA	NA	5	NA	7	4	5	8	8	5	NA	4	6	4	NA	7	3	3	3	3	9	NA	3	3	3	NA	3	NA	NA	8	NA	7	7	3	NA	NA	NA	3	5	9	NA	3	5	NA	7	NA	6	3	NA	3	NA	NA	6
ran_36.txt	NA	NA	5	NA	3	9	9	NA	4	3	7	NA	NA	NA	5	6	4	3	6	4	3	4	NA	8	9	4	7	7	4	3	NA	5	3	3	NA	3	3	NA	3	4	NA	3	NA	3	4	7	4	6	3	3	NA	5	NA	NA	5	NA	NA	5	4	7	NA	8	NA	NA	3	5	6	NA	NA	3	3	3	3	NA	NA	4	3	3	NA	3	NA	4	NA	NA	3	8	3	NA	NA	NA	6	8	5	NA	3	6	NA	NA	8	7	3	NA	NA	NA	NA	4
ran_37.txt	NA	4	4	NA	3	4	4	NA	6	3	5	NA	NA	NA	6	NA	9	3	3	8	3	3	NA	4	NA	3	5	4	4	5	NA	5	3	3	NA	3	3	NA	4	3	6	3	10	8	3	4	5	5	6	4	NA	3	NA	NA	NA	NA	NA	4	6	NA	NA	8	7	NA	4	6	3	8	7	3	3	4	3	NA	NA	3	3	3	NA	3	NA	4	8	NA	3	3	3	NA	NA	NA	3	3	4	NA	4	NA	NA	NA	7	NA	4	NA	6	NA	NA	4
ran_38.txt	NA	NA	4	NA	4	NA	4	NA	6	3	3	NA	NA	NA	4	5	NA	3	3	7	3	3	NA	3	9	6	3	6	NA	4	3	6	3	4	NA	3	3	NA	3	3	NA	5	NA	5	3	NA	9	3	4	3	NA	3	NA	NA	NA	NA	NA	6	4	4	NA	9	5	NA	4	7	3	3	9	3	3	6	3	7	NA	4	3	3	NA	3	NA	3	4	NA	8	6	3	NA	NA	NA	4	3	NA	NA	4	8	NA	4	NA	NA	3	NA	NA	NA	NA	5
ran_39.txt	NA	3	5	NA	3	3	3	9	4	5	4	NA	NA	NA	5	6	NA	3	3	4	3	3	NA	3	NA	4	3	7	4	3	8	9	3	4	NA	3	3	NA	3	4	4	3	NA	3	4	8	4	6	3	3	NA	3	NA	NA	NA	5	NA	4	4	9	NA	4	NA	NA	9	3	4	4	3	3	6	9	3	NA	NA	5	3	4	NA	5	NA	4	NA	NA	8	6	3	NA	NA	NA	3	9	NA	NA	4	4	NA	6	NA	7	5	NA	NA	NA	NA	5
ran_4.txt	NA	8	3	NA	3	4	7	3	NA	3	7	NA	NA	NA	4	4	8	3	6	3	3	3	NA	6	NA	5	3	4	9	4	4	7	3	6	NA	3	3	NA	3	4	NA	3	NA	3	4	NA	6	5	4	3	NA	3	NA	NA	NA	5	NA	5	5	9	9	NA	7	NA	3	7	5	NA	5	3	3	5	3	NA	NA	3	3	8	NA	3	NA	NA	NA	NA	3	4	4	NA	NA	NA	4	5	5	NA	4	4	NA	6	NA	NA	3	NA	8	NA	NA	3
ran_40.txt	NA	8	3	NA	3	9	5	5	NA	5	9	NA	NA	NA	3	NA	NA	3	4	7	3	4	NA	6	4	3	3	4	NA	3	3	3	3	3	NA	3	3	NA	3	10	8	3	9	5	4	7	3	6	3	3	NA	3	NA	NA	7	NA	NA	9	4	6	NA	4	NA	NA	6	4	3	9	3	3	3	4	3	NA	NA	3	3	3	NA	3	NA	5	8	NA	NA	8	3	NA	NA	NA	3	4	NA	NA	3	8	NA	6	NA	6	3	NA	9	NA	NA	3
ran_41.txt	NA	6	4	NA	3	9	4	8	NA	4	8	NA	NA	NA	6	5	7	3	3	4	3	3	NA	3	4	3	5	5	9	6	5	6	3	3	NA	3	3	NA	3	5	NA	3	NA	3	5	NA	3	3	3	3	NA	3	NA	NA	NA	4	NA	6	6	6	NA	5	NA	NA	4	4	3	NA	NA	3	3	3	3	NA	NA	4	3	3	NA	3	NA	NA	8	NA	3	3	3	NA	NA	NA	3	4	NA	NA	4	3	NA	6	9	9	8	NA	NA	NA	NA	8
ran_42.txt	NA	9	9	NA	3	NA	4	NA	4	3	9	NA	NA	NA	4	4	10	3	9	4	3	4	NA	4	7	NA	3	10	4	8	5	3	3	4	NA	3	3	NA	3	3	NA	4	9	5	5	3	5	9	3	3	NA	3	NA	NA	9	NA	NA	4	4	7	NA	5	9	NA	4	4	3	NA	4	3	3	4	4	7	NA	8	3	3	NA	3	NA	4	4	NA	7	5	3	NA	NA	NA	4	4	NA	NA	4	5	NA	4	6	NA	6	NA	6	NA	NA	6
ran_43.txt	NA	NA	4	NA	3	8	4	8	8	3	NA	NA	NA	NA	3	4	9	3	4	3	3	3	NA	3	NA	3	3	4	9	3	5	4	3	3	NA	3	3	NA	3	3	NA	3	NA	3	5	NA	4	4	4	3	NA	3	NA	NA	6	NA	NA	4	8	7	7	8	NA	NA	5	6	9	NA	NA	3	4	5	3	NA	NA	4	3	3	NA	3	NA	NA	9	NA	3	3	3	NA	NA	NA	4	3	NA	NA	5	6	NA	NA	NA	6	3	NA	4	NA	NA	3
ran_44.txt	NA	8	5	NA	3	4	4	9	6	3	NA	NA	NA	NA	7	4	4	3	7	4	3	3	NA	4	NA	9	3	4	3	3	10	7	3	4	NA	3	3	NA	3	3	10	3	8	3	7	NA	4	3	6	3	NA	3	NA	NA	3	NA	NA	4	6	6	NA	3	6	NA	9	4	6	NA	NA	3	3	3	3	NA	NA	3	3	3	NA	3	NA	4	4	NA	3	3	3	NA	NA	NA	3	4	4	NA	3	3	NA	NA	NA	7	3	NA	9	NA	NA	NA
ran_45.txt	NA	6	3	NA	5	NA	5	9	5	4	4	NA	NA	NA	4	5	7	3	3	5	3	3	NA	4	10	9	3	NA	9	5	5	3	3	4	NA	3	3	NA	3	4	NA	3	10	3	4	NA	8	5	7	3	NA	3	NA	NA	6	NA	NA	3	5	10	NA	9	3	NA	7	9	9	9	NA	3	4	3	4	NA	NA	4	3	3	NA	3	NA	5	4	NA	6	9	3	NA	NA	NA	4	3	6	NA	4	NA	NA	NA	7	NA	5	NA	8	NA	NA	4
ran_46.txt	NA	6	3	NA	8	4	4	9	NA	3	NA	NA	NA	NA	6	4	NA	3	5	7	3	3	NA	4	NA	4	5	9	6	3	NA	4	3	3	NA	3	3	NA	3	4	5	3	NA	4	3	7	5	5	3	3	NA	4	NA	NA	7	NA	NA	4	7	4	9	NA	7	NA	7	4	4	NA	9	3	3	9	3	NA	NA	5	3	3	NA	6	NA	NA	NA	NA	4	3	3	NA	NA	NA	9	3	4	NA	6	7	NA	8	4	NA	4	NA	4	NA	NA	4
ran_47.txt	NA	NA	4	NA	6	NA	3	5	4	3	8	NA	NA	NA	9	4	NA	3	4	3	3	3	NA	3	NA	NA	3	5	4	3	8	3	3	9	NA	3	3	NA	3	5	NA	4	9	4	9	9	5	3	4	3	NA	5	NA	NA	NA	NA	NA	3	3	3	7	NA	NA	NA	3	5	4	8	NA	3	3	5	3	8	NA	6	3	3	NA	3	NA	9	6	NA	8	10	3	NA	NA	NA	3	3	8	NA	5	9	NA	NA	8	NA	5	NA	NA	NA	NA	3
ran_48.txt	NA	8	4	NA	4	5	4	NA	3	7	6	NA	NA	NA	4	3	NA	3	4	9	3	3	NA	3	NA	5	4	8	8	4	7	3	3	3	NA	3	3	NA	3	4	9	3	NA	7	4	NA	3	9	8	3	NA	3	NA	NA	7	NA	NA	4	4	NA	8	8	NA	NA	5	4	5	NA	3	3	3	3	3	NA	NA	7	3	3	NA	3	NA	NA	7	NA	6	4	5	NA	NA	NA	3	4	4	NA	3	8	NA	NA	8	9	4	NA	6	NA	NA	4
ran_49.txt	NA	9	3	NA	3	8	3	8	8	3	3	NA	NA	NA	3	5	NA	3	6	4	3	3	NA	3	NA	7	3	4	6	3	NA	3	3	4	NA	3	3	NA	3	3	NA	3	NA	9	3	4	3	5	5	3	NA	3	NA	NA	8	7	NA	3	5	4	NA	NA	8	NA	4	6	3	NA	9	3	3	10	3	9	NA	3	3	3	NA	3	NA	6	4	NA	8	NA	3	NA	NA	NA	9	4	NA	NA	4	6	NA	NA	NA	5	4	NA	5	NA	NA	4
ran_5.txt	NA	NA	6	NA	5	9	4	NA	9	3	NA	NA	NA	NA	9	3	5	3	8	8	3	3	NA	3	NA	9	3	8	6	3	8	4	3	3	NA	3	3	NA	3	4	NA	3	NA	9	4	4	3	3	6	3	NA	3	NA	NA	NA	9	NA	3	4	9	9	3	8	NA	3	NA	4	NA	NA	3	3	5	4	NA	NA	3	3	3	NA	3	NA	4	NA	NA	3	5	4	NA	NA	NA	3	5	NA	NA	6	8	NA	NA	NA	NA	5	NA	NA	NA	NA	5
ran_50.txt	NA	4	3	NA	3	NA	5	NA	4	3	4	NA	NA	NA	3	NA	3	3	3	3	3	3	NA	8	4	8	3	9	3	3	NA	3	3	4	NA	3	3	NA	3	4	NA	3	9	9	4	NA	3	7	3	3	NA	8	NA	NA	4	3	NA	3	5	9	NA	NA	6	NA	6	3	9	4	NA	3	3	7	3	7	NA	4	3	3	NA	3	NA	7	10	NA	4	NA	3	NA	NA	NA	3	4	NA	NA	4	3	NA	NA	NA	NA	3	NA	4	NA	NA	7
ran_51.txt	NA	5	5	NA	4	8	3	NA	9	3	4	NA	NA	NA	3	4	NA	3	4	5	3	3	NA	5	NA	4	4	3	3	3	9	4	3	3	NA	3	3	NA	3	3	9	4	4	4	3	7	6	4	3	3	NA	3	NA	NA	NA	10	NA	3	3	4	5	3	5	NA	3	7	9	NA	NA	3	3	7	4	NA	NA	4	3	3	NA	4	NA	3	5	NA	6	5	3	NA	NA	NA	4	4	5	NA	3	NA	NA	NA	NA	NA	4	NA	7	NA	NA	8
ran_52.txt	NA	9	3	NA	4	5	4	4	4	3	NA	NA	NA	NA	9	9	10	3	5	3	3	3	NA	3	7	6	4	4	8	8	8	4	3	4	NA	3	3	NA	3	3	NA	3	9	3	3	3	3	5	5	3	NA	3	NA	NA	NA	9	NA	4	9	5	NA	4	NA	NA	4	4	6	8	8	3	3	4	4	7	NA	4	3	3	NA	4	NA	6	8	NA	3	3	3	NA	NA	NA	3	4	NA	NA	3	4	NA	5	8	3	3	NA	NA	NA	NA	4
