# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	murD//sodA//
Lrp-leucine	lysU//aroL//hcaB//nanA//nanK//putA//bioD//accC//bglB//gltB//gcvH//yeaE//fadA//zwf//sdhA//appA//mhpC//
LsrR	sucA//asnB//gltD//adiA//nagA//
LysR	idnD//
MalI	fabG//ldtD//
MalT-maltotriose-ATP	entC//phnP//argE//caiC//gpmM//edd//
MarA	ogt//glgC//kbaZ//ilvE//speG//alkB//rffC//nirB//ilvD//leuA//mnmG//astD//ilvC//ychF//phnG//eda//citG//trpE//phnN//lysA//gntK//ppiA//dapB//fes//
MarR	
MatA	tyrB//
MazE	gabT//
MazE-MazF	glgC//
McbR	
MelR	purK//sgbU//
MelR-melibiose	idnO//fabA//
MetJ-adenosylmethionine	alaC//aroL//nemA//guaB//gutQ//rpiB//wecE//adhE//allD//ychF//
MetR	zwf//phnP//
MetR-L-homocysteine	tam//mraY//
MhpR-3HPP	gcvH//hycE//purA//edd//yfdE//epd//
Mlc	leuD//dgcZ//ulaD//pgaB//
MlrA	ldtC//
MngR	rutA//hcp//
MntR-Mn2+	lhgO//galK//
ModE-MoO42-	ulaD//cysK//sdaA//hyaC//mazG//nanA//fabZ//chbF//gdhA//rhaD//rhaD//deoD//garL//dinB//nadB//ahpC//phnL//
MprA	patA//pgk//phnL//
MqsA	cysI//cadA//
MraZ	hcaE//metH//metB//entH//garR//fau//pflB//glgA//dapD//purH//
MurR	aceA//mhpA//bioD//
Nac	cysN//purD//dadX//hcp//rffC//ftsI//deoD//wrbA//fruK//rhaD//moaE//
NadR	phnJ//allA//fadH//ilvH//
NagC	pgaD//argH//purK//eno//hemH//purE//argE//araD//sdaA//atoB//glmS//rsmH//gcvP//purK//talA//dadA//idnK//sgbU//nfsA//
NanR	nrfD//mraY//hyi//mhpB//metL//gatD//
NarL-Phosphorylated	alkA//wecC//wecB//argD//nanE//lhgO//uxaA//mdh//nanA//cdd//alkA//torC//metB//sdaA//glcD//sucB//sgbH//argG//gntK//nrfC//gltB//gapA//entE//frdD//mngB//ftnA//lpd//trpA//astE//nagA//hcaE//acnA//wecB//uxaC//lsrF//xylA//pgpC//srlD//paaG//ugpQ//dapB//
NarP-Phosphorylated	sucD//malY//uvrC//nagA//mpl//mtlD//hypB//gltB//astB//sdaA//hycE//edd//fabD//tadA//argA//
NemR	allC//folA//
NhaR-Na+	trpD//hycG//umpH//alkA//uxuA//
NikR-Ni2+	mngB//
NimR	fucA//
NorR	fumB//
NrdR-Zn2+	napH//cysM//dgcZ//deoD//
NsrR	alkB//sucA//phnP//aroG//galK//rsmH//sgbH//gabD//glyA//gcvP//nadB//aroG//betB//rutD//alaA//rbsK//lsrK//yfdE//mhpA//dhaK//ybjG//acnA//sodA//ybjG//mpaA//murD//gabT//hycC//entF//torC//glcE//poxB//ynfE//atoB//glgC//allC//rffG//rhaA//purM//uvrB//
NtrC-Phosphorylated	aroH//rfe//slt//dadX//umuC//aldA//yeaE//aldA//pheS//ycjG//frdA//kbl//cysH//malY//pheS//puuE//aroL//purN//mhpF//dgkA//fruK//
OmpR-Phosphorylated	hycB//prpD//galT//purA//cysJ//nadA//fau//sgbE//
OxyR	betB//rfe//prs//nanE//astE//aceB//rsmH//phnG//oxc//rtcB//trpC//lhgO//entD//phnL//tynA//gadA//nadA//
PaaX	umuC//aroA//purN//nagA//metF//gpmM//feaB//ygeA//fadE//
PdeL	pgi//
PdhR	nirB//argF//ung//ubiX//asnA//idnO//tktB//argG//nirB//uxaC//xylB//eda//gltD//rbsK//ilvE//waaY//pyrC//rtcA//carA//hemH//ldtC//sbcC//lacZ//ynfH//hmp//
PepA	glpC//frdB//
PgrR	gatD//araA//
PhoB-Phosphorylated	cysI//entC//sucC//wrbA//phnH//sodB//gloA//nrdD//tadA//ddlB//nanM//cynS//mhpA//puuB//uvrA//argA//hcaE//gcvP//dkgB//metC//
PhoP-Phosphorylated	hmp//waaZ//uxuA//dacC//nrdF//metB//trpD//rsmH//gutQ//mraY//recD//udp//moeB//cysC//dmsA//nanE//ung//napG//cysE//purA//chbG//wzc//astC//malS//ygeA//dhaM//pflB//leuB//metA//purE//nanM//mhpA//
PrpR-2S3S-2-methylcitrate	hcaE//allB//aceB//hycG//
PspF	allC//
PurR-hypoxanthine	metA//dgcZ//argB//hcaD//glgX//dadA//tnaA//nanA//hypF//tdcE//ybjG//waaZ//uvrA//waaH//glcD//rfe//idnK//malP//ahpC//leuD//paaA//tyrA//fadH//paaA//hcaE//uvrC//
PutA	gabD//mhpD//
PuuR	lyxK//fucA//pck//phnH//udp//arsC//
QseB-Phosphorylated	
RbsR	pgk//rnpB//dapD//acnA//acnB//
RcdA	glmU//
RclR	
RcnR	speB//
RcsAB	hycB//pncB//atoA//
RcsB-BglJ	sufS//dacC//
RcsB-Pasp56	ilvD//glxK//paaZ//caiB//
RelB	frdA//
RelB-RelE	malS//
RhaR-alpha-L-rhamnopyranose	
RhaS	mtlD//
RhaS-alpha-L-rhamnopyranose	polB//fucA//cynT//puuD//
Rob	ampC//aspC//glxR//ada//nirD//katG//purM//allB//pheT//wzb//mltF//hycF//atoA//mazG//uxaA//thrS//astE//gcvH//astB//
RstA-Phosphorylated	prs//fadH//wecC//
RtcR	speB//tam//
RutR	argD//frdB//uxaC//mtlD//rimK//trpA//recF//entH//paaG//sgbE//moaE//
SdiA	
SgrR	xylB//yeaE//ydcS//
SlyA	xylB//cadA//fau//araA//mazG//srkA//ada//aspA//trpC//
SoxR	metK//uxaA//aroF//allA//dmsA//hemL//
SoxS	ulaF//deoA//purK//moeB//fadI//guaB//guaB//phnI//fbaA//prpD//dhaM//iscS//puuD//aspC//nirB//deoC//phnI//sgbU//pgpC//mhpA//fbaA//paaG//recF//ada//astA//gcl//bioB//mraY//
SrlR	atoD//ydcS//folA//
StpA	glxR//gnd//citX//
SutR	fdhF//mhpF//
TdcA	sufS//rutB//ubiA//ascB//alsE//
TdcR	mngB//glmU//ada//dacC//lldD//
TorR-Phosphorylated	tdh//atoB//allA//malZ//
TorR-TorI	cysE//
TreR	glgC//murQ//
TrpR-tryptophan	sufS//fucK//rtcB//ldtB//rutB//ulaD//rffH//poxB//garK//
TyrR	deoC//
TyrR-phenylalanine	leuB//uxaA//
TyrR-tyrosine	narI//glpB//malZ//lsrF//ldtC//alaA//prs//bioC//
UhpA-Phosphorylated	ascB//
UidR	ruvA//rbsD//
UlaR	dapD//puuA//polB//araD//pykF//
UvrY-Phosphorylated	phr//ahpF//
UxuR	glnA//ygeA//narG//phnG//argA//
XapR-xanthosine	ilvA//glyA//
XylR-xylose	hcaE//alaA//umpH//
YdeO	kbaZ//asnB//mhpA//
YefM	gcvH//
YefM-YoeB	bioD//
YeiL	
YhaJ	
YiaJ	lysC//edd//pgaD//dhaL//avtA//patD//
YjjQ	pdeH//edd//
YpdB-Phosphorylated	
YqhC	moaD//araD//
YqjI	icd//
ZntR-Zn2	dkgB//
ZntR-Zn2+	fabH//
ZraR-Phosphorylated	
Zur-Zn2	ilvC//
Zur-Zn2+	frdC//
