# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mpaA//glk//
FadR	glcE//alaA//adhE//prpD//narG//phnO//uvrA//nrdF//alkA//atoB//iscS//purM//pheT//betA//lpxA//puuC//prpB//mpl//paaC//
FadR-acyl-CoA	
FeaR	ldtD//prs//
FhlA-formate	trpA//sgbH//gudD//lpxC//uxaC//argE//ppsA//kbl//
FlhDC	ygeA//nagA//ftsI//rutD//purN//hyaB//rutE//moaD//aldA//sdhB//entE//glpX//fabB//garK//
FliZ	dapD//tehB//yqjH//garD//frdC//
FucR-L-fuculose-1-P	sgbE//fadJ//astD//allA//hyi//dhaM//
Fur-Fe2	carB//garL//recD//nadA//aspA//pgaC//purC//frdC//galT//icd//nanM//tnaA//hemH//rutC//frdB//trpE//udp//tdcG//asnA//glk//murD//recB//murC//alaC//atoD//ilvI//aceE//argC//aroL//glpB//serA//nrfD//atoA//rfe//purA//fadM//tdh//citG//ccp//narI//metF//sdhB//accA//moaE//ilvA//prs//astB//ulaD//pykF//guaB//ubiX//phnP//fadH//argG//umuD//uxuB//dapD//ribA//cysM//aroH//rhaA//glgC//
GadE	rffT//idnO//gcl//melA//pflB//fruK//aspA//fbaB//ilvI//atoD//
GadE-RcsB	pnp//idnD//lsrF//hycD//ahpC//
GadW	wrbA//trpE//rbsK//glk//
GadX	pgaD//nirD//phnL//tehB//speG//caiD//mpl//tauD//lysC//ndh//dgcC//nanK//yqjH//gatY//
GalR	lldD//ubiA//gutQ//caiC//pflB//citG//
GalR-beta-D-galactose	purA//phnH//garD//ppc//poxB//
GalS	dgcN//gatZ//xapA//fbaB//torC//nanA//
GalS-beta-D-galactose	tyrB//pyrC//glmU//ulaF//mraY//
GatR	tdcE//ydcS//hypF//
GcvA	caiD//paaJ//murG//
GlcC-glycolate	patA//dhaL//fabD//
GlpR	tdh//iscS//rtcB//ugpQ//icd//puuE//phnN//
GlrR-Pasp56	
GntR	ahpF//wzb//uidA//uvrC//fadD//aroA//katG//speB//mngB//
GutM	hyaA//rtcB//hycF//
HU	pnp//pdeH//allA//speG//hcaB//moeA//ydcS//
HcaR	
HcaR-HCA	fucI//dgkA//
HdfR	
HigA	prpE//
HigB-HigA	sucB//
HipAB	phnH//pgm//
HipB	ppsA//deoC//dhaM//
HprR-Phosphorylated	torA//xylB//deoA//nadA//
HyfR	puuE//
HypT-Met-oxidized	atoD//fumB//frdA//tyrA//tynA//moaA//metK//
IclR-pyruvate	glpB//tktB//polA//
IdnR-5-ketogluconate	glcB//lacA//mnmG//hcaB//metA//
IlvY	
IlvY-S-2-acetolactate	galK//
IscR	pgm//nemA//narI//ldtD//pyrC//gdhA//
IscR-2Fe-2S	purE//glpD//
KdgR	metL//argA//
KdpE-Phosphorylated	epd//
LacI	pdeL//garL//pykF//
LeuO	phr//hycG//mdh//leuB//glpK//tdcE//
LexA	pyrC//trpE//accD//glpA//prpE//gltB//ynfH//mhpE//bioB//rhaA//yeaE//tadA//serA//tdcD//nemA//polA//ynfE//rnpB//puuE//trpB//lacA//allB//lpxC//
LldR	pheS//pgpC//
LldR-S-lactate	lpxD//hyaA//
LrhA	
Lrp	moaE//leuC//ubiC//cysH//codA//deoA//glxK//sbcC//treC//ruvA//atoB//gltD//deoB//purN//metL//aroA//murD//serC//pgm//gapA//speA//atoA//rfe//astB//garD//dacC//bioC//ttdA//cynT//mnmG//glcB//
Lrp-leucine	ftsI//paaJ//melA//rffH//fau//trpC//hyaC//murG//pdeH//tdcD//puuA//glgC//hmp//fucI//sufS//metF//fabD//
LsrR	recB//trpC//astD//pfkA//rutB//
LysR	glpC//
MalI	napH//rtcA//
MalT-maltotriose-ATP	glpK//fabA//nadB//phr//ahpF//serA//
MarA	speB//srkA//mhpF//xapA//ruvA//cysC//dhaK//cysJ//deoA//metB//ilvI//asnB//pepD//rutE//paaK//aceB//aceF//argC//glgA//citG//dsdA//mhpA//mhpA//ybjG//
MarR	
MatA	aroH//
MazE	leuB//
MazE-MazF	trpB//
McbR	
MelR	cysD//cysC//
MelR-melibiose	alsE//ydcS//
MetJ-adenosylmethionine	arsC//wrbA//caiC//fucA//pyrC//bioB//mhpF//fumB//glpB//dadX//
MetR	gloA//ulaF//
MetR-L-homocysteine	gdhA//alaS//
MhpR-3HPP	mtlD//pgi//idnO//glpK//tdcB//gatD//
Mlc	aroL//lysU//eda//speA//
MlrA	psd//
MngR	nirD//dapD//
MntR-Mn2+	fbaB//poxB//
ModE-MoO42-	alkA//paaF//serC//murE//allD//phnH//entH//waaY//caiD//prpD//avtA//hypB//cynT//rffC//rsmH//ilvM//frdA//
MprA	malQ//phnL//aroA//
MqsA	gcl//sodB//
MraZ	fadA//dacC//ppc//ssuE//ilvI//accA//fadE//argC//hemH//ubiA//
MurR	sbcD//lysC//uxaB//
Nac	accA//eno//entF//malZ//rffM//lsrG//adiA//astA//alaS//edd//kbaZ//
NadR	eno//nadB//poxB//katG//
NagC	trpE//rpiB//katG//gcl//glcF//galT//dapB//treC//puuA//ccp//pagP//purL//gabD//cueO//purC//mltF//wecE//astC//gudD//
NanR	purK//araD//glk//frdB//argI//tauD//
NarL-Phosphorylated	gltD//ada//avtA//speA//fucO//nrfA//wzc//argB//frdC//prpD//rffC//ynfF//garL//citD//gcvT//ulaE//ttdB//fbaB//trpE//mhpB//ulaE//pepD//rutD//sucD//dadA//guaA//prs//garK//phnN//ychF//garK//garK//lldD//gdhA//nirD//glmU//phoA//galT//aceA//glgB//rffM//
NarP-Phosphorylated	glgC//recB//sufS//betB//puuB//fadA//lyxK//hycF//idnD//hemH//gpmM//wecB//fabI//cysI//purM//
NemR	asnB//malZ//
NhaR-Na+	prs//pgaD//caiA//dinB//ilvE//
NikR-Ni2+	rutE//
NimR	purA//
NorR	ybjG//
NrdR-Zn2+	gatY//aceA//ulaD//gudD//
NsrR	lsrK//glxK//paaA//ruvB//lpxC//lpd//fbaB//murF//ilvD//ilvI//aceE//ynfF//phnI//argG//aroG//glxK//pheS//deoC//phnJ//kbaY//malY//atoA//deoD//gutQ//alsE//rsmH//paaY//talA//hyaA//gatY//glnA//speB//dgkA//fumB//dhaK//rtcA//mnmG//fucA//metC//ruvA//
NtrC-Phosphorylated	ilvM//nadB//hycC//ruvA//napG//truB//entA//uxuB//ilvH//glnA//sdhD//astE//cysI//talA//wecE//uxuB//ahpC//rffT//tynA//araA//hycC//
OmpR-Phosphorylated	paaE//allA//ttdA//rtcA//napA//ascB//ilvI//dmsA//
OxyR	edd//folE//dapB//malY//glyA//tdcB//torC//bioD//purF//glcF//nrfD//nadB//polA//amn//paaJ//hycD//galM//
PaaX	dgcC//gadA//purE//pgk//leuA//argF//accD//murQ//purC//
PdeL	gatD//
PdhR	sdhD//argF//aceE//araB//caiD//ahpC//yfdE//aceE//betA//lsrF//metK//paaC//allC//lpxA//tdcB//phnP//gcl//nrdD//fumB//katG//bioA//udp//ahpC//katE//fabB//
PepA	xylB//hypF//
PgrR	prpB//cysG//
PhoB-Phosphorylated	mraY//fadE//glcE//carB//metA//rffT//pgaD//carB//cysM//alaS//gadA//melA//sdhA//sucC//eda//hycB//gcvH//yeaG//aldA//idnK//
PhoP-Phosphorylated	recB//luxS//cysN//metA//hyaC//dapB//metE//serA//sbcD//puuE//frdC//sucC//rtcA//aroH//bioB//paaZ//tnaA//argH//torA//pgi//dsdA//citE//mtlD//sdaA//paaY//chbF//kbaZ//cysG//dmsA//mtlD//pagP//tdcE//
PrpR-2S3S-2-methylcitrate	paaI//pgaC//hcaB//ulaD//
PspF	mpaA//
PurR-hypoxanthine	pgaC//citF//rnpB//poxB//paaC//cysD//citE//phnO//zwf//metC//ilvM//glgC//lysC//fabB//trpE//bioB//acnB//deoB//lsrF//leuC//fadM//purC//tktB//puuC//sodA//napH//
PutA	entA//ftnA//
PuuR	glpA//ldtB//tdh//argI//dadX//ilvD//
QseB-Phosphorylated	
RbsR	glsA//ascB//hypB//frdA//ssuE//
RcdA	rbsK//
RclR	
RcnR	paaB//
RcsAB	bioB//fadI//avtA//
RcsB-BglJ	ftsI//glpA//
RcsB-Pasp56	gatY//dgcZ//atoA//napB//
RelB	ulaF//
RelB-RelE	sucB//
RhaR-alpha-L-rhamnopyranose	
RhaS	dgcC//
RhaS-alpha-L-rhamnopyranose	galK//betB//dgcC//relA//
Rob	epd//pdeL//nrdD//lysA//ilvA//hcp//deoD//tehB//cysH//ldtB//katE//eno//araB//sgbU//rsmH//glk//phnL//nfsB//psd//
RstA-Phosphorylated	leuC//chbG//araD//
RtcR	argH//pgi//
RutR	pck//astC//dgkA//fadI//bioD//tynA//hmp//accA//rutC//mhpD//napH//
SdiA	
SgrR	fucK//wzc//astB//
SlyA	gpmM//tyrA//astA//citD//tdcE//prpD//metF//xapA//bioD//
SoxR	aspC//nadB//prpD//lpd//mtlD//feaB//
SoxS	ldtB//malQ//pck//idnD//metE//glgC//malZ//dsdA//prpE//cueO//recD//moaD//glxR//glyA//ulaE//allD//codA//astB//leuA//ahpF//cysE//glcE//gapA//leuA//argH//fadB//pncB//glgA//
SrlR	phnN//glmS//ynfH//
StpA	paaI//glxR//kbl//
SutR	dhaK//uxuA//
TdcA	murI//fucA//glpB//tyrA//gatD//
TdcR	torA//pagP//sdhC//fruK//moaD//
TorR-Phosphorylated	aceF//frdA//gpmA//aroF//
TorR-TorI	deoD//
TreR	alkB//ychF//
TrpR-tryptophan	glcE//gltD//pgaC//tktB//puuA//fbaB//hyaB//yqjH//purC//
TyrR	hyaA//
TyrR-phenylalanine	ulaE//gcvH//
TyrR-tyrosine	ilvE//malS//ldtC//paaJ//accC//murC//glxR//fadH//
UhpA-Phosphorylated	malS//
UidR	dhaM//frdA//
UlaR	cadA//hyi//gatY//dhaK//araA//
UvrY-Phosphorylated	garR//dhaM//
UxuR	speG//citG//gatY//purC//uidA//
XapR-xanthosine	adiA//chbF//
XylR-xylose	ascB//alsE//mhpA//
YdeO	glk//adiA//glpA//
YefM	tdcG//
YefM-YoeB	garK//
YeiL	
YhaJ	
YiaJ	betB//truB//purB//icd//wecC//malZ//
YjjQ	malY//nanA//
YpdB-Phosphorylated	
YqhC	ftsI//leuA//
YqjI	gcvP//
ZntR-Zn2	psd//
ZntR-Zn2+	codA//
ZraR-Phosphorylated	
Zur-Zn2	lysU//
Zur-Zn2+	lpxC//
