# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	hycE//dhaL//
PhoP-Phosphorylated	mpl//purK//uxuB//rimK//dmsC//argF//citE//argC//ilvG_1//ilvC//phnI//fucU//idnK//ubiA//hyi//fdhF//ruvB//fdhF//puuD//hycG//pgaD//aroF//ttdB//malY//ogt//cadA//fabD//sdhC//dgkA//gntK//recF//grxA//
PrpR-2S3S-2-methylcitrate	lacA//xylB//ynfH//metE//
PspF	argA//
PurR-hypoxanthine	purM//hypB//argB//glxK//caiB//prpC//ldtB//wzc//allC//malQ//pnp//zwf//trpD//guaB//argA//pdeH//adiA//gltB//hemL//hycE//dgkA//fau//eno//metC//metE//hyaC//
PutA	mtlD//gapA//
PuuR	argC//ulaE//acnA//wzc//ynfH//argI//
QseB-Phosphorylated	
RbsR	pyrC//rfe//galT//carA//purK//
RcdA	gatD//
RclR	
RcnR	fucI//
RcsAB	fabZ//hycB//fucK//
RcsB-BglJ	tdcE//ssuD//
RcsB-Pasp56	kbaZ//gpmA//garK//garD//
RelB	murE//
RelB-RelE	pflB//
RhaR-alpha-L-rhamnopyranose	
RhaS	astC//
RhaS-alpha-L-rhamnopyranose	lpxD//acnB//pykF//ulaE//
Rob	glgP//rtcA//rutA//ilvI//napA//aceB//hcp//puuB//hypF//moaE//sodA//fau//allE//atoB//idnK//moaE//caiD//cadA//pspE//
RstA-Phosphorylated	moaA//rutE//glpD//
RtcR	rffT//fau//
RutR	puuB//sdhA//sgbU//nrdA//paaB//purN//tynA//kbaZ//folE//fadI//uxaB//
SdiA	
SgrR	gltD//citG//nagB//
SlyA	nemA//purC//acnB//idnD//rutE//ygeA//phnP//trpE//chbG//
SoxR	lacZ//rhaD//srlD//glyA//mnmG//trpE//
SoxS	gabD//ulaF//glk//mltF//ycjG//murC//citF//moeA//lpd//ilvI//tdcG//cysI//rutE//araD//ybjG//lpxD//phnJ//ilvD//ssuD//sodB//rutB//dgkA//dgkA//glpD//phnI//tauD//adiA//allA//
SrlR	fadB//gnd//phnO//
StpA	glxR//mngB//accA//
SutR	pgaD//dgcN//
TdcA	mpl//cysH//allD//pfkA//cynT//
TdcR	tehB//speG//recB//glpC//gpmA//
TorR-Phosphorylated	hmp//yqjH//bioC//waaZ//
TorR-TorI	rhaA//
TreR	rffG//uidA//
TrpR-tryptophan	napG//glpA//luxS//galM//phnI//cysK//pagP//wecE//tyrB//
TyrR	cysK//
TyrR-phenylalanine	bioF//tnaA//
TyrR-tyrosine	lpd//dkgB//mazG//iscS//trpA//rffH//citX//nanK//
UhpA-Phosphorylated	gcvP//
UidR	tdcE//leuA//
UlaR	fes//fbaB//polB//mtlD//galT//
UvrY-Phosphorylated	ychF//glnA//
UxuR	metK//speG//ldtD//waaZ//hcaC//
XapR-xanthosine	dhaK//ogt//
XylR-xylose	malP//argH//putA//
YdeO	phnM//glsA//glsA//
YefM	nrdD//
YefM-YoeB	glnA//
YeiL	
YhaJ	
YiaJ	ugpQ//caiA//nagA//purK//purC//eda//
YjjQ	deoD//psd//
YpdB-Phosphorylated	
YqhC	galE//lhgO//
YqjI	waaZ//
ZntR-Zn2	ttdB//
ZntR-Zn2+	bacA//
ZraR-Phosphorylated	
Zur-Zn2	caiB//
Zur-Zn2+	gapA//
