# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	cysC//aceF//
Fur-Fe2	ddlB//paaG//hycG//pck//astC//fabI//nrdE//frdD//uxaB//entD//fbaB//rhaB//idnO//nadB//murD//ilvD//mltF//kbaZ//dkgB//ilvI//astA//pspE//ampC//citF//rffH//adhE//pykF//glsA//gcvH//astA//rhaD//ftsI//deoB//hcaF//luxS//trpC//fabB//alsE//glmU//appA//gnd//xapA//zwf//mhpE//trpA//mhpC//glgA//rutA//arsC//cysK//frdC//gabD//dmsB//gor//hyaB//patD//galM//ddlB//hycF//sdhB//hycG//aspC//
GadE	dmsB//ftsI//polB//moeA//edd//nrdF//aceA//araD//treC//narH//
GadE-RcsB	ulaG//cysG//ulaD//ribA//gcl//
GadW	garL//accC//tdcB//rfe//
GadX	cysG//purC//srlD//lsrK//accA//nrdA//sodB//sucA//alaA//talA//hcaE//accA//atoB//idnD//
GalR	mtlD//aceE//napA//mhpA//edd//dapD//
GalR-beta-D-galactose	araA//rutB//nrdD//cadA//gor//
GalS	acnA//aceA//sucB//lacA//tpiA//moaD//
GalS-beta-D-galactose	uvrC//serC//lpxC//wrbA//purC//
GatR	paaG//cysE//ugpQ//
GcvA	aspA//citF//hycC//
GlcC-glycolate	nrfC//garK//rffC//
GlpR	glnA//sucA//paaB//udp//uxaC//ynfH//betA//
GlrR-Pasp56	
GntR	trpC//eda//lhgO//cynS//alaC//pflB//glpB//leuC//gabD//
GutM	tynA//patD//deoB//
HU	appA//glgP//sufS//sdhD//glk//dacC//moaC//
HcaR	
HcaR-HCA	gatD//uxuB//
HdfR	
HigA	sdaA//
HigB-HigA	pnp//
HipAB	mhpB//nanE//
HipB	ynfG//purD//metA//
HprR-Phosphorylated	allA//lpd//sdhD//rutE//
HyfR	mtlD//
HypT-Met-oxidized	cysK//phoA//leuB//melA//ftsI//sodB//dgcZ//
IclR-pyruvate	gatD//gabT//tadA//
IdnR-5-ketogluconate	accA//glgA//prpD//hemH//wzc//
IlvY	
IlvY-S-2-acetolactate	frdB//
IscR	citD//puuE//ynfF//edd//narG//purB//
IscR-2Fe-2S	atoA//glcD//
KdgR	phnN//uvrB//
KdpE-Phosphorylated	garR//
LacI	pheS//ybjG//paaG//
LeuO	ilvI//lysC//waaZ//nfsB//dkgB//pgaB//
LexA	mhpE//dacC//katE//allB//phnG//paaH//bioB//metC//cysC//narG//hcaB//ssuE//puuB//argA//nrdE//gltD//hcaB//malS//paaI//gltB//hcaC//hcaC//aceA//
LldR	tehB//ilvI//
LldR-S-lactate	ilvM//argA//
LrhA	
Lrp	galM//bioD//uxuB//moaD//fumB//aroA//nanA//paaJ//ppsA//rtcB//purM//ribA//prpB//aceF//uxaC//phnN//astA//phr//relA//pdeR//gadB//rimK//araB//recD//gutQ//aroA//ynfF//lpd//pgaD//argC//pepD//
Lrp-leucine	hcaC//lsrK//tyrB//frdC//poxB//leuC//astB//yqjH//puuE//carB//glgC//dmsC//phnN//aceB//sodA//cysD//entE//
LsrR	gadA//fabZ//idnO//phr//nanA//
LysR	acnA//
MalI	phnH//bioB//
MalT-maltotriose-ATP	hyaC//garD//xylA//mhpD//bioD//xylA//
MarA	purN//caiC//ychF//hcaC//leuC//polB//ilvD//glsA//aroF//moaD//lhgO//ttdB//nrdE//ahpC//yfdE//leuC//nadB//polA//hcaD//glpD//ynfG//moeA//alsE//recF//
MarR	
MatA	bglB//
MazE	cueO//
MazE-MazF	cysK//
McbR	
MelR	kbaY//polA//
MelR-melibiose	kbaY//sucC//
MetJ-adenosylmethionine	ruvB//dhaK//appA//atoD//allE//dgcN//dhaK//edd//gadA//rutE//
MetR	psd//ndh//
MetR-L-homocysteine	waaH//chbF//
MhpR-3HPP	rffC//psd//nanA//hycB//ttdA//ycjG//
Mlc	ascB//nadA//ilvM//rutB//
MlrA	accA//
MngR	phnI//alaA//
MntR-Mn2+	putA//astE//
ModE-MoO42-	ddlB//gpmM//citG//lsrF//uxuA//garK//ulaD//guaA//entD//metL//tyrB//glyA//ruvB//polA//rutE//ygeA//slt//
MprA	sdaA//nirD//pykF//
MqsA	paaK//wzc//
MraZ	ccp//gatZ//glgC//avtA//alkA//asnA//alaS//alkA//gpmA//acnB//
MurR	ldtC//rpiB//fruK//
Nac	gnd//paaB//recD//xapA//thrS//gloA//dgcZ//gatD//uxaA//cysJ//allC//
NadR	yqhD//amn//wzb//malZ//
NagC	glpK//leuC//dapB//frdD//hycC//glgP//poxB//citF//fadI//phnO//srkA//cysH//sucB//ilvD//gor//hyaC//ndh//ruvA//atoA//
NanR	epd//ilvC//nirB//ppc//uxuB//dhaM//
NarL-Phosphorylated	dgkA//ppc//paaF//hemL//hycC//ssuE//nanE//pdeH//caiD//leuA//tdcE//rutC//ahpC//poxB//pgaB//carB//fucK//sgbH//lpxD//hemL//metA//rffT//icd//waaH//allD//ssuE//aroA//argD//glcB//dkgB//lldD//malZ//srkA//accC//cysD//rffM//sufS//fucO//recF//nanA//kbaY//
NarP-Phosphorylated	purH//nanE//nrfC//pdeR//caiB//relA//gadA//nanA//lpd//epd//tauD//hypB//polA//purC//cysH//
NemR	katE//ynfF//
NhaR-Na+	srlD//cysN//yeaG//fabB//ynfE//
NikR-Ni2+	purE//
NimR	dmsA//
NorR	metB//
NrdR-Zn2+	rbsD//rbsK//fau//katG//
NsrR	gadB//nemA//gltB//ribA//nrfA//tdcD//cysH//dgkA//asnB//leuB//uxuB//mltF//ttdB//tynA//hycB//tynA//kbl//nrfD//hycD//asnA//phnP//phoA//recF//fbaB//fbaA//paaB//ilvI//pgaB//umpH//hemH//betA//ilvA//sodB//nadA//mngB//trpB//ruvA//sdhB//pgm//truB//
NtrC-Phosphorylated	fabZ//nagA//fabB//aceB//tyrB//dmsA//nrdE//malS//metF//yedX//nanM//gabD//lsrG//cysC//nrdE//metE//frdA//moaA//dmsA//nfsB//pgaD//
OmpR-Phosphorylated	atoD//caiD//citX//moaA//edd//rffG//appA//glgC//
OxyR	entD//waaZ//metC//treC//puuC//rutE//alaA//kbaZ//pflB//xylB//uvrC//sufS//nrdB//ugpQ//paaJ//fucK//dgkA//
PaaX	tdcD//ydcS//sucA//glpX//ahpF//psd//araD//accD//hycE//
PdeL	torC//
PdhR	paaI//leuC//metF//murG//moeB//pdeL//leuD//glmU//nanE//ruvA//hycD//glpD//entF//rsmH//tynA//torC//aroF//sdhD//gcvH//asnB//caiC//galM//rffG//bioF//tdh//
PepA	asnB//glpC//
PgrR	folA//entH//
PhoB-Phosphorylated	sucC//asnB//pncB//prpB//katE//purK//entB//entC//pgaD//pyrD//astD//murQ//malZ//yeaE//gltD//glpB//dinB//rhaB//fucI//speA//
PhoP-Phosphorylated	mhpE//pncB//nrdB//gloA//prpE//ahpC//aroH//rffC//ulaE//trpA//purD//pflB//rutA//umuC//rffG//wrbA//hyaA//dmsC//argB//dgcN//sbcD//fbaA//tdcE//rffC//adhE//narG//pgaB//atoB//aroL//allE//uxaA//moaD//
PrpR-2S3S-2-methylcitrate	guaA//moaA//argF//fbaB//
PspF	lsrK//
PurR-hypoxanthine	fadB//moeA//caiC//prpD//uidA//fabD//dmsA//paaA//argG//argE//serC//tdh//deoC//gcl//fadD//metL//hmp//accC//argB//ttdA//ycjG//uxaB//kbl//gpmM//glpC//ftsI//
PutA	tauD//tyrA//
PuuR	acnA//moeA//hcaE//pgm//chbF//entE//
QseB-Phosphorylated	
RbsR	cysM//citX//yedX//pdeR//pgi//
RcdA	bacA//
RclR	
RcnR	oxc//
RcsAB	cysH//uxuA//murI//
RcsB-BglJ	rnpB//ruvA//
RcsB-Pasp56	astD//ribA//gltB//glpB//
RelB	speB//
RelB-RelE	pheT//
RhaR-alpha-L-rhamnopyranose	
RhaS	argI//
RhaS-alpha-L-rhamnopyranose	fbaB//speB//uxaA//rffC//
Rob	avtA//fdhF//caiD//sbcD//glpD//rutD//ilvM//dadA//glmS//kbl//dhaL//rimK//phnM//dkgA//nrdF//ldtD//moaE//hcaB//rimK//
RstA-Phosphorylated	paaE//puuA//uvrB//
RtcR	iscS//lacZ//
RutR	malS//yiaK//glpK//paaF//rutA//rffG//fabG//cueO//argD//ilvH//putA//
SdiA	
SgrR	atoA//gabD//nanK//
SlyA	paaA//narH//allC//purN//hycG//hcaB//guaA//glk//truB//
SoxR	cysK//trpD//lysU//moaC//ada//icd//
SoxS	hcaC//icd//rpiB//chbG//serC//gor//entE//purH//argI//leuA//talA//mtlD//deoA//ulaE//adiA//mhpA//puuC//tdh//nanE//dmsA//srkA//gadA//lpxA//napG//frdD//mtlD//trpE//gloA//
SrlR	gdhA//umuD//arsC//
StpA	mhpF//hyaB//hyaA//
SutR	sodB//pdeH//
TdcA	glxR//lpd//ccp//dhaM//katE//
TdcR	sdhD//phnM//ilvE//hemL//glsA//
TorR-Phosphorylated	gltD//astB//idnO//sufS//
TorR-TorI	mpaA//
TreR	argE//dkgB//
TrpR-tryptophan	nanA//sucA//malP//nagB//garK//lldD//adhE//garL//sucA//
TyrR	hemH//
TyrR-phenylalanine	galT//rbsD//
TyrR-tyrosine	tdcE//pgaC//gpmM//tdcG//phnG//metB//ychF//dkgB//
UhpA-Phosphorylated	sucC//
UidR	mhpD//slt//
UlaR	yeaE//ilvH//hcaC//wecC//argE//
UvrY-Phosphorylated	gcvH//ydcS//
UxuR	nadA//puuB//phoA//murF//atoB//
XapR-xanthosine	nfsA//citD//
XylR-xylose	aroF//glpB//mhpB//
YdeO	chbF//ldtB//rsmH//
YefM	frdA//
YefM-YoeB	gcvT//
YeiL	
YhaJ	
YiaJ	pgk//gcvP//sdhA//frdA//ilvA//metH//
YjjQ	icd//sucB//
YpdB-Phosphorylated	
YqhC	cysN//lysU//
YqjI	rimK//
ZntR-Zn2	purM//
ZntR-Zn2+	garL//
ZraR-Phosphorylated	
Zur-Zn2	ubiC//
Zur-Zn2+	nadB//
