# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	yqjH//nrdD//
GadX	lyxK//citX//ppc//fumC//ulaE//glmU//pgaB//nadA//rnpB//tadA//iscS//alaC//leuB//xylB//
GalR	wzb//murE//araB//glmS//nrdB//srkA//
GalR-beta-D-galactose	talA//xapA//hyaC//pgaC//moaD//
GalS	sdhC//astE//ppiA//phr//aroF//puuE//
GalS-beta-D-galactose	alaA//hcaC//gcvH//nrdA//xapA//
GatR	glgX//sdhB//fabI//
GcvA	yqhD//hcp//lhgO//
GlcC-glycolate	tynA//recD//narI//
GlpR	leuA//phnH//leuD//mltF//sgbE//uxuB//nrfD//
GlrR-Pasp56	
GntR	torC//accA//pheS//gudD//hycG//tam//idnO//phr//lsrF//
GutM	dapB//ampC//mtlD//
HU	pck//glk//nirB//trpB//slt//pdeL//lpd//
HcaR	
HcaR-HCA	betA//aroG//
HdfR	
HigA	araB//
HigB-HigA	sdhC//
HipAB	hcp//frdA//
HipB	paaI//yfdE//gloA//
HprR-Phosphorylated	ttdB//sdhA//bacA//carB//
HyfR	entF//
HypT-Met-oxidized	cysM//carA//caiD//paaJ//ilvD//purE//atoD//
IclR-pyruvate	yfdE//katE//purL//
IdnR-5-ketogluconate	murC//frdD//betA//hcaC//hcaF//
IlvY	
IlvY-S-2-acetolactate	sucC//
IscR	cysH//melA//srlD//serC//astD//fruK//
IscR-2Fe-2S	fumB//aceA//
KdgR	hcaD//xylB//
KdpE-Phosphorylated	ppsA//
LacI	paaY//ssuE//betA//
LeuO	hmp//lacA//patA//recD//pdeR//ahpC//
LexA	frdC//citC//mhpC//tktB//nagA//hyaA//lsrG//sdhC//phr//fucI//paaZ//pdeL//sucC//ydcS//paaY//cueO//garK//gcvT//puuE//wecB//citG//fucI//fucU//
LldR	pdeR//tam//
LldR-S-lactate	uvrA//serA//
LrhA	
Lrp	cysJ//accC//nanM//nfsB//ydcS//leuC//aroF//murI//aldA//mtlD//fadI//leuD//citX//glpQ//dgcN//citD//glgB//lysC//dhaM//trpD//phnH//fabD//dgkA//hyi//gabT//uxuB//adiA//argF//glmU//bioA//melA//
Lrp-leucine	gcvT//mngB//malP//ulaG//deoB//uidA//murI//cysN//hcaE//ulaD//leuA//glcF//glcE//hypF//rimK//bioA//waaY//
LsrR	epd//dapB//puuD//dhaL//bioA//
LysR	moaE//
MalI	ppc//fadD//
MalT-maltotriose-ATP	uvrA//polB//napH//gdhA//serA//sgbE//
MarA	fadE//ynfH//deoA//pepD//pagP//yiaK//ascB//sodA//bioA//cysD//dinB//metF//pyrD//lsrF//trpD//avtA//lyxK//mhpA//hcaC//mhpD//purK//murI//ccp//ung//
MarR	
MatA	ndh//
MazE	yedX//
MazE-MazF	glxR//
McbR	
MelR	kbl//cynS//
MelR-melibiose	puuE//lacZ//
MetJ-adenosylmethionine	rfe//ubiX//glgX//bioD//dgcN//yqjH//lpxC//ynfF//folE//sbcC//
MetR	codA//mhpF//
MetR-L-homocysteine	uxaA//hcaC//
MhpR-3HPP	leuD//frdC//argG//rutD//cysH//dgcZ//
Mlc	citX//paaC//allD//hyaB//
MlrA	entA//
MngR	wzc//yedX//
MntR-Mn2+	dhaK//ygeA//
ModE-MoO42-	patA//moaD//nemA//hcaB//purA//argB//hycE//ilvM//pheS//nrfC//rutD//nrdB//frc//metF//prpE//paaI//tdcE//
MprA	glpA//argB//ygeA//
MqsA	uxaA//prpC//
MraZ	rimK//fadB//purM//cysH//aceA//cysJ//cysM//garD//speB//deoD//
MurR	narI//nirD//rutC//
Nac	galT//glk//moaC//fabG//entE//astC//glpQ//ftsI//cdd//sucC//lysC//
NadR	idnO//hyaB//citE//galT//
NagC	mhpB//ascB//allB//rsmH//glpX//nrdB//paaJ//glxK//garR//pyrC//metC//sdaA//hcaB//rffM//ahpF//lldD//cynT//mhpD//glsA//
NanR	phnL//fabA//aspA//caiB//entF//frdD//
NarL-Phosphorylated	nadB//cynS//paaE//acnB//ribA//folE//lsrK//pncB//entE//patA//rffH//fadH//glxK//prpC//ldtD//mngB//sdhC//amn//aroA//trpC//malZ//dmsA//ycjG//moaD//yfdE//glgX//aroA//talA//tdcE//speG//trpE//grxA//deoB//lysC//ilvH//narG//entF//purK//metL//ada//idnO//
NarP-Phosphorylated	allD//malY//feaB//gltB//phnM//tadA//oxc//ilvM//prpD//fabI//purN//lpd//tdcE//araB//rffM//
NemR	lacZ//paaI//
NhaR-Na+	cdd//malP//leuB//pfkA//yfdE//
NikR-Ni2+	puuC//
NimR	gadA//
NorR	ampC//
NrdR-Zn2+	atoD//ahpF//gadB//mpl//
NsrR	fes//sucC//sgbE//uvrA//murF//rhaD//carA//polB//glgB//gnd//rffT//dacC//hcaE//nirD//frdD//entD//alkB//gor//garD//rffH//dmsB//glpQ//trpA//uvrB//dkgA//paaF//napG//glxR//lacA//slt//mazG//cysN//ilvG_1//argB//argD//paaH//argD//lhgO//codA//guaA//
NtrC-Phosphorylated	fruK//purD//paaJ//aldA//purE//hycB//fbaA//nagA//ynfE//metE//fabA//fucK//mpaA//dadA//glmU//ilvH//sufS//metE//recD//lpxD//ttdB//
OmpR-Phosphorylated	dgkA//zwf//citC//fadE//paaA//napB//aspC//folA//
OxyR	glgA//garK//oxc//malS//ilvC//metE//leuB//citD//hemH//ilvA//dgcC//garR//hyaC//ynfE//nfsA//tdcB//frdC//
PaaX	glpQ//hemL//ugpQ//garD//moaD//purC//mpl//sdaA//lpxC//
PdeL	nirB//
PdhR	ilvA//napH//rhaD//cysK//fucA//rutC//mdh//purK//nadA//moeA//ldtD//cysE//argI//aceF//ulaG//yiaK//lysU//entF//paaF//umuD//pdeH//atoD//dkgA//chbG//yeaG//
PepA	talA//atoD//
PgrR	luxS//kbaY//
PhoB-Phosphorylated	glpB//glsA//xylB//garL//gatZ//tauD//garK//nrfD//mazG//allC//umpH//purC//ulaG//entE//rutB//thrS//torC//phnN//araD//dadX//
PhoP-Phosphorylated	umpH//aceE//atoB//alkA//arsC//prpE//glmS//astA//moeA//folE//metA//nrdE//lacA//glgC//moaC//garD//sgbE//dapB//garD//dapB//kbaY//cysN//mhpA//bacA//aldA//hyaA//mdh//paaF//murC//gatZ//dmsC//puuA//
PrpR-2S3S-2-methylcitrate	cysE//araD//sufS//paaK//
PspF	ilvA//
PurR-hypoxanthine	udp//cysN//paaJ//ruvA//malP//purH//pnp//paaC//ilvI//glcE//hycB//frdC//phnL//cyoE//ahpC//wzb//pgaB//napA//narI//fadI//rsmH//cyoE//alkB//ybjG//napA//sdaA//
PutA	rffG//arsC//
PuuR	rsmH//pflB//tdcB//malY//ssuE//glgC//
QseB-Phosphorylated	
RbsR	hycF//malP//prs//metH//paaH//
RcdA	lsrK//
RclR	
RcnR	fbaB//
RcsAB	dhaL//atoD//puuA//
RcsB-BglJ	gltD//hcaE//
RcsB-Pasp56	puuE//ynfF//narH//fucO//
RelB	glcE//
RelB-RelE	gdhA//
RhaR-alpha-L-rhamnopyranose	
RhaS	metL//
RhaS-alpha-L-rhamnopyranose	dapB//ndh//mhpC//pdeR//
Rob	glpX//trpB//paaK//malZ//prpC//guaB//nrdE//amn//frdC//dgkA//malZ//iscS//ynfG//argC//hypB//argG//hycB//ldtC//srlD//
RstA-Phosphorylated	deoA//glcE//dmsB//
RtcR	mazG//aroF//
RutR	lacA//garR//galM//ccp//cadA//mhpE//mdh//hcaB//citD//carB//glpX//
SdiA	
SgrR	gltD//allB//gadB//
SlyA	ttdB//ilvC//pyrC//putA//tauD//rutE//fucI//cysH//fau//
SoxR	argE//ssuD//speA//glgP//ilvE//cadA//
SoxS	nemA//murC//pgaC//cysN//dkgB//truB//ttdB//pdeR//lsrK//sodB//wecB//cysM//folA//purM//phoA//paaZ//dhaL//tdcG//pheS//cysI//pgaC//entC//citE//frdD//ldtC//iscS//yedX//ubiX//
SrlR	mhpB//aroH//pgpC//
StpA	mhpB//gltD//rimK//
SutR	pyrC//dkgA//
TdcA	tnaA//aspC//caiA//aceE//ycjG//
TdcR	sucB//fabH//bioB//accA//nfsA//
TorR-Phosphorylated	dgcZ//metH//ynfE//tpiA//
TorR-TorI	nirD//
TreR	pflB//hycF//
TrpR-tryptophan	rtcB//glmU//trpC//truB//glgB//dkgA//nemA//fabA//cdd//
TyrR	gdhA//
TyrR-phenylalanine	rffT//talA//
TyrR-tyrosine	pgaD//argE//ppsA//mhpF//eda//sgbU//nirB//tdcD//
UhpA-Phosphorylated	dmsA//
UidR	fadE//puuC//
UlaR	rtcB//wecC//sucA//oxc//dgkA//
UvrY-Phosphorylated	fes//nadA//
UxuR	glsA//phnN//tyrA//fabD//sucD//
XapR-xanthosine	dmsA//avtA//
XylR-xylose	fdhF//frdD//ogt//
YdeO	nagB//eda//wecB//
YefM	lsrK//
YefM-YoeB	phnP//
YeiL	
YhaJ	
YiaJ	pyrC//yfdE//ygeA//napA//purF//ubiX//
YjjQ	gadA//avtA//
YpdB-Phosphorylated	
YqhC	bglB//rffM//
YqjI	dadA//
ZntR-Zn2	fabA//
ZntR-Zn2+	rbsK//
ZraR-Phosphorylated	
Zur-Zn2	glgP//
Zur-Zn2+	sucA//
