# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	metE//hyaB//
CpxR-Phosphorylated	ttdA//rpiB//fabH//nanK//gcvT//kbl//aceB//pnp//rtcB//malQ//glpQ//dapD//torC//argF//caiD//speG//bioA//rffH//serA//paaZ//gutQ//
Cra	sgbU//glgP//lysA//cynT//sdhA//murF//atoA//prpE//ychF//cysC//carA//glmS//argI//polB//paaE//glxK//yeaE//katG//ilvD//glgP//uvrC//accA//paaA//cdd//dmsB//gor//tyrB//ilvG_1//trpA//bioA//sgbU//nadB//dgcZ//purF//moaC//serC//kbaY//ubiC//phnH//dgcC//ilvI//prs//paaA//tktB//ilvD//cysE//rtcB//deoB//speB//ubiC//serC//paaH//fbaB//rbsK//sdhA//polB//pgk//frdC//uxuB//
CreB-Phosphorylated	metB//napA//
CsgD	paaJ//lldD//hyaC//hycC//pgaC//
CsiR	ppsA//ahpC//ribA//dsdA//
CspA	yqhD//
CueR-Cu	fucU//hyaB//araB//garR//cysK//
CusR-Pasp	atoB//aldA//yeaG//fucO//
CynR	
CynR-cyanate	pgi//mhpD//poxB//
CysB	mngB//phnN//
CysB-O-acetyl-L-serine	dacC//relA//pdeR//metB//wzb//rnpB//citC//hcaC//cysG//hyaB//caiA//puuA//uvrB//moaD//gabD//
CytR	acnA//fruK//guaB//hypF//recB//rutB//nrfD//pgpC//napA//bioB//
Dan-L-tartrate	glpX//glmS//
DcuR-Phosphorylated	sodB//garR//lysC//accD//
DeoR	fucU//caiD//ada//relA//speB//paaK//
DhaR	dgkA//
DicA	
DinJ-YafQ	entH//
DnaA-ATP	dkgA//rhaB//puuC//rffM//rfe//ilvG_1//
DpiA-Pasp	narI//uvrA//malQ//bioD//nrdB//
DsdC-D-serine	bacA//prpC//
EbgR	
EnvR	purA//glxK//
EnvY	pgpC//narH//
EvgA-Phosphorylated	mdh//citF//gdhA//aspA//prpC//metH//
ExuR	srlD//prpD//gltB//gor//rutB//uxuB//
ExuR-alpha-D-galacturonate	
FabR	moeA//nrfD//glcB//
FadR	cadA//malY//fabH//deoD//rhaD//bioC//murE//nagA//waaH//rffT//astE//fucU//gcvH//dkgA//entH//fabB//nrfA//leuC//nrdD//
FadR-acyl-CoA	
FeaR	thrS//leuD//
FhlA-formate	gadA//allC//lpxD//asnA//napA//galM//ilvE//ahpC//
FlhDC	allA//epd//rutB//nfsA//mltF//napH//fucU//gabD//rffH//metH//rtcB//astD//phoA//glcF//
FliZ	tauD//edd//fes//hycC//aspA//
FucR-L-fuculose-1-P	entC//avtA//hcp//fdhF//cysM//lpd//
Fur-Fe2	entH//mngB//moeA//lpd//lsrF//uvrB//narH//purA//gcvP//galE//carB//eda//phoA//puuB//nrfA//hycG//truB//lysC//ilvG_1//dhaK//moaD//sgbU//galT//argG//hycE//entF//eda//paaC//ttdB//polB//rtcB//hycE//asnB//uxuA//epd//gnd//rpiB//murF//caiB//umuD//hemL//gcvT//cysC//nadA//waaZ//dmsC//uxuB//pfkA//nanK//allB//edd//fumB//phnI//grxA//bioA//cysD//recD//xylB//mhpD//guaA//guaB//nrdA//
GadE	alaS//citF//ygeA//yfdE//pdeL//gatY//sgbH//hcaD//ndh//paaJ//
GadE-RcsB	ssuE//aceE//cysD//katE//nrdF//
GadW	srlD//nagB//glpA//sdhD//
GadX	atoA//acnA//glpD//paaI//yiaK//ttdB//uxaA//pck//malY//hemL//malQ//dmsA//caiD//ttdA//
GalR	napA//ulaF//icd//gpmA//purB//dacC//
GalR-beta-D-galactose	pdeH//sgbH//dgkA//uxaB//truB//
GalS	bacA//entE//moeA//gatZ//ubiA//aceE//
GalS-beta-D-galactose	allE//melA//astE//hypF//rimK//
GatR	glcB//ugpQ//avtA//
GcvA	trpC//prs//ccp//
GlcC-glycolate	cynT//metC//glmS//
GlpR	hyi//glpD//glmS//folA//glpD//ahpF//aroH//
GlrR-Pasp56	
GntR	entB//moaD//napA//tyrB//iscS//ndh//hemH//dhaK//umpH//
GutM	gdhA//fes//mhpA//
HU	fabI//gatZ//malQ//pfkA//gltB//phr//murC//
HcaR	
HcaR-HCA	umpH//tdh//
HdfR	
HigA	polA//
HigB-HigA	putA//
HipAB	tdcE//phnG//
HipB	caiB//astD//phnO//
HprR-Phosphorylated	thrS//wecC//fumB//nrfD//
HyfR	tnaA//
HypT-Met-oxidized	ogt//phnG//hcp//ddlB//serC//malS//pyrD//
IclR-pyruvate	lpxA//argF//gadB//
IdnR-5-ketogluconate	tktB//gpmM//eno//acnB//phnN//
IlvY	
IlvY-S-2-acetolactate	fruK//
IscR	trpB//glpQ//carB//aceF//caiD//avtA//
IscR-2Fe-2S	uxuA//ldtC//
KdgR	folA//lpxC//
KdpE-Phosphorylated	deoA//
LacI	ubiA//ydcS//cysC//
LeuO	edd//lysA//garL//tktB//fabD//pdeL//
LexA	fabH//lysC//fabZ//gntK//lysA//paaB//rffT//adhE//sucB//ada//ampC//hycF//gloA//lacA//citG//tyrB//alkA//sucD//mdh//phnG//aceA//moaD//glpB//
LldR	citX//deoB//
LldR-S-lactate	ruvA//grxA//
LrhA	
Lrp	lsrG//araA//mltF//ada//argH//gntK//dmsC//sdhC//ogt//ilvC//aspC//rutB//aspA//rffT//yqhD//metH//sodB//sgbE//allC//fadH//yqhD//fumC//mpaA//nrdE//atoA//fadA//phnO//ulaD//caiA//srkA//entA//
Lrp-leucine	fbaB//gdhA//sbcC//gcvP//glpX//rtcB//aceA//trpC//citE//sgbE//frdD//prpD//puuD//ulaF//rffH//moaC//ruvA//
LsrR	guaB//sodA//aceB//xylA//tyrB//
LysR	puuC//
MalI	fdhF//acnA//
MalT-maltotriose-ATP	umpH//dgcN//uvrB//gcvH//chbG//leuD//
MarA	srkA//cueO//purF//hycB//treC//dkgB//torA//purA//mtlD//rutC//narH//rimK//rutD//bacA//hcaE//lpxC//uxaC//thrS//zwf//pyrD//rutB//mhpE//malS//nrdA//
MarR	
MatA	frc//
MazE	edd//
MazE-MazF	napB//
McbR	
MelR	cynT//phnN//
MelR-melibiose	rutD//allD//
MetJ-adenosylmethionine	purC//lsrG//mhpA//fadD//accC//phnN//nirD//paaC//rffT//treC//
MetR	hycC//fau//
MetR-L-homocysteine	cynT//wzc//
MhpR-3HPP	nanA//gatD//wecE//rhaA//tdcE//ilvE//
Mlc	gabD//acnB//gutQ//tdcB//
MlrA	ddlB//
MngR	wecB//wecE//
MntR-Mn2+	zwf//rffH//
ModE-MoO42-	ssuD//wecB//deoA//leuC//lyxK//ldtB//deoA//psd//leuA//trpC//pflB//bioF//gatY//purB//nirD//dhaM//hycG//
MprA	mpl//purA//cueO//
MqsA	ttdB//udp//
MraZ	puuD//adiA//tktB//fucO//guaA//nagB//dgcZ//hemH//appA//chbF//
MurR	purK//arsC//kbl//
Nac	astA//murQ//kbl//pgk//atoD//glsA//lhgO//melA//xapA//ung//moaA//
NadR	sdhC//appA//moaA//cysK//
NagC	rutE//gatZ//mazG//mpaA//sodB//cysE//chbG//ssuE//waaH//frdC//wzc//thrS//hycE//dacC//fadI//lyxK//bacA//fadE//tnaA//
NanR	pck//ahpC//nagB//glpA//polA//gltB//
NarL-Phosphorylated	ruvA//malQ//purM//uvrB//ahpF//allD//eda//speA//wecC//nrdE//rffT//recB//prpB//fau//purB//nadB//deoD//rtcA//pgaD//hyaB//idnO//cynT//glpD//argD//puuC//gabT//dhaL//sgbH//rsmH//psd//ppiA//wecB//araB//purE//pyrC//rsmH//aceE//yiaK//yfdE//ldtB//murQ//
NarP-Phosphorylated	pdeL//dinB//dgkA//uvrA//leuD//sucD//acnA//napB//ybjG//tktB//glpK//bioB//ulaF//gcvT//frc//
NemR	dgcC//sodA//
NhaR-Na+	deoC//asnB//putA//rbsD//pck//
NikR-Ni2+	accC//
NimR	treC//
NorR	lsrK//
NrdR-Zn2+	ulaD//ulaF//sufS//sdhA//
NsrR	entA//edd//narG//allC//uidA//cysI//mltF//pgi//dmsC//frdC//moeA//gabT//nagB//ulaD//ilvC//phnM//polA//nrfC//astD//frdC//sucC//rffT//hycG//ssuE//glsA//bioD//dgkA//allE//rutE//purE//lyxK//ddlB//paaE//ilvC//alsE//rpiB//ycjG//grxA//gntK//rtcA//
NtrC-Phosphorylated	phnN//prpC//argH//waaH//wrbA//ogt//pflB//uxaA//speG//atoA//oxc//pyrD//fbaA//gudD//deoD//garD//glpB//nrdF//glpC//ssuD//lyxK//
OmpR-Phosphorylated	glmS//trpA//cysH//metC//hcaF//ilvE//argD//entC//
OxyR	trpE//pepD//idnO//acnB//betB//tyrB//mhpA//wzc//sucD//dacC//purM//accA//uxaC//metC//paaY//rffC//ppc//
PaaX	dapD//fabD//garL//citC//frc//ubiX//ttdA//mhpF//waaZ//
PdeL	lacZ//
PdhR	garK//purK//nanE//glxK//sgbU//moaE//trpD//idnD//yiaK//sgbU//tyrB//bioC//rutB//puuA//gor//treC//accC//entD//aspA//poxB//betA//cysJ//pyrD//paaG//rbsK//
PepA	frdC//gor//
PgrR	hyaC//trpA//
PhoB-Phosphorylated	glxR//puuE//tam//ilvH//ppsA//moeB//ahpF//entD//argC//citE//dhaL//allA//ldtB//idnD//aroA//fau//cysI//speA//gcl//gntK//
PhoP-Phosphorylated	malZ//pykF//aceF//metK//glpK//nrdF//citE//nfsB//mhpE//sdaA//mhpE//rhaA//glnA//alsE//ruvA//aroL//frdC//dgcN//ruvA//tyrB//pgk//frc//acnA//tadA//pgk//betA//hemH//uidA//dmsA//rffG//ynfE//eno//
PrpR-2S3S-2-methylcitrate	thrS//argB//paaK//ruvA//
PspF	murF//
PurR-hypoxanthine	codA//rffM//mhpF//glcB//mpl//argB//phnM//astA//allE//ygeA//pagP//ilvM//napA//eda//glpK//paaK//trpB//rimK//lpxC//alkB//ilvE//hyaB//glxR//fadJ//asnA//entH//
PutA	tktB//cynT//
PuuR	citC//truB//glpA//astE//frdD//glxR//
QseB-Phosphorylated	
RbsR	fucO//caiC//torC//fabH//fabI//
RcdA	gatZ//
RclR	
RcnR	yeaG//
RcsAB	tdcD//sdhB//aceF//
RcsB-BglJ	pfkA//garK//
RcsB-Pasp56	idnK//glgA//paaY//ascB//
RelB	atoB//
RelB-RelE	metL//
RhaR-alpha-L-rhamnopyranose	
RhaS	lpd//
RhaS-alpha-L-rhamnopyranose	rhaB//fadA//alsE//ybjG//
Rob	fadM//ulaG//ldtD//yeaG//arsC//sgbU//phnI//ulaG//gabT//mpaA//acnA//xylA//ygeA//sucD//dmsC//mhpF//aceE//speG//hypB//
RstA-Phosphorylated	xylB//fucO//deoC//
RtcR	fadM//putA//
RutR	astD//deoC//aceE//recD//hyaC//entC//poxB//metL//carA//murG//umuC//
SdiA	
SgrR	glgB//garR//argH//
SlyA	sdaA//mhpD//bioA//ilvA//entD//frc//pheS//leuC//speG//
SoxR	fadJ//murQ//phnN//alsE//mnmG//murD//
SoxS	garR//mhpC//galM//mpl//yqhD//pnp//hycE//yeaG//truB//rutE//tynA//talA//feaB//narH//caiA//sdhB//yfdE//codA//uvrA//dgcC//tynA//mhpD//metK//gapA//nirB//prpC//fabZ//mpl//
SrlR	leuD//nfsB//talA//
StpA	cadA//ogt//wrbA//
SutR	uidA//glpB//
TdcA	fabB//pyrD//nanA//ilvH//nemA//
TdcR	sgbE//torA//carB//psd//glk//
TorR-Phosphorylated	hcaC//hycE//dmsC//murI//
TorR-TorI	uxaA//
TreR	aroL//allA//
TrpR-tryptophan	fadI//dhaM//ruvB//pykF//katG//cysN//dadA//hcaF//ycjG//
TyrR	oxc//
TyrR-phenylalanine	ung//lysC//
TyrR-tyrosine	fadE//purH//ribA//glpD//rbsK//fabG//purE//pheS//
UhpA-Phosphorylated	cysI//
UidR	chbG//argE//
UlaR	appA//yedX//paaY//gatD//rtcB//
UvrY-Phosphorylated	ychF//rffH//
UxuR	fabI//pheS//rffG//tehB//fabG//
XapR-xanthosine	garR//dgcZ//
XylR-xylose	feaB//sufS//yqjH//
YdeO	glxR//paaK//citF//
YefM	prs//
YefM-YoeB	dgcC//
YeiL	
YhaJ	
YiaJ	ychF//tnaA//deoC//umuD//cysI//hcaE//
YjjQ	pykF//glcB//
YpdB-Phosphorylated	
YqhC	fumB//araB//
YqjI	metC//
ZntR-Zn2	sdhB//
ZntR-Zn2+	metE//
ZraR-Phosphorylated	
Zur-Zn2	fadD//
Zur-Zn2+	gltB//
