# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	paaK//astE//
GalS-beta-D-galactose	uxuA//yfdE//rhaD//gutQ//tam//
GatR	umuC//paaE//pfkA//
GcvA	ttdB//sucB//hycD//
GlcC-glycolate	dapD//ahpC//ppc//
GlpR	prs//atoD//fadA//argB//aroA//purF//aroF//
GlrR-Pasp56	
GntR	malQ//glcF//alkB//glpD//speA//ilvD//eno//idnO//mdh//
GutM	thrS//argC//lpxC//
HU	rffT//fadA//cysK//ydcS//yfdE//galE//glcD//
HcaR	
HcaR-HCA	recD//metC//
HdfR	
HigA	fucK//
HigB-HigA	mhpA//
HipAB	purL//pgi//
HipB	purE//ssuE//dmsB//
HprR-Phosphorylated	asnB//poxB//eda//fucA//
HyfR	argB//
HypT-Met-oxidized	glgA//fucO//pncB//prs//entB//deoD//glpK//
IclR-pyruvate	phnH//dmsB//gabT//
IdnR-5-ketogluconate	hypB//adhE//lacZ//melA//pgm//
IlvY	
IlvY-S-2-acetolactate	sucA//
IscR	putA//citE//eno//rhaB//cysH//fabA//
IscR-2Fe-2S	amn//alsE//
KdgR	nrdF//gltB//
KdpE-Phosphorylated	astC//
LacI	pheS//atoA//hemL//
LeuO	entF//kbaY//puuD//metC//nrdB//gatZ//
LexA	bacA//mhpC//fabZ//cyoE//tpiA//kbl//ubiA//fes//rnpB//pgk//frdB//gpmA//grxA//allD//rffT//ssuD//tyrB//purH//sucB//phnG//thrS//glyA//nfsA//
LldR	atoA//paaA//
LldR-S-lactate	trpC//pgpC//
LrhA	
Lrp	rhaA//torC//paaI//carA//aceF//murD//dadX//hcaE//dsdA//metK//xylA//udp//atoA//phnG//dgkA//wecC//malP//hycG//ynfG//cysG//hyi//gcvP//udp//tdh//lsrK//ssuE//sdaA//ulaF//torA//ilvA//yqhD//
Lrp-leucine	cysJ//trpB//fabA//murF//puuE//ttdB//serC//katE//cysM//argC//citC//nrdE//lldD//moaA//puuC//hypB//xylA//
LsrR	caiD//entA//allE//sgbH//wecC//
LysR	purA//
MalI	hycD//aceE//
MalT-maltotriose-ATP	thrS//lsrK//pgm//cysG//dmsB//lacA//
MarA	hycE//mnmG//tynA//nrfC//rtcB//cysE//nrdF//guaB//sbcC//guaB//dadX//paaA//glgX//gatZ//hycD//allC//torC//hyaA//ulaG//gutQ//rffG//glnA//chbG//kbaY//
MarR	
MatA	folE//
MazE	trpB//
MazE-MazF	purB//
McbR	
MelR	ilvD//citC//
MelR-melibiose	gdhA//luxS//
MetJ-adenosylmethionine	srkA//aroA//dhaK//bioB//ybjG//uidA//nagB//ychF//ulaG//cynS//
MetR	dmsC//ada//
MetR-L-homocysteine	nadA//bioD//
MhpR-3HPP	ilvI//xapA//betB//paaH//sdhD//rhaA//
Mlc	ychF//napA//paaK//ruvB//
MlrA	chbG//
MngR	glcD//tauD//
MntR-Mn2+	slt//uxuB//
ModE-MoO42-	pheS//glgB//lpd//argG//cysM//pgpC//fbaB//sdhA//cysC//astD//fabA//entC//tktB//ilvI//epd//fabG//entC//
MprA	caiC//aldA//nrdD//
MqsA	codA//ubiX//
MraZ	gloA//wecE//paaE//waaZ//citC//tnaA//speG//bacA//hyi//dgcN//
MurR	lacZ//speG//frdD//
Nac	asnA//hyaB//argA//sdhD//feaB//rbsD//hcaE//oxc//wrbA//galE//fadH//
NadR	gcvT//mhpA//moeB//sucA//
NagC	narG//gatY//ftnA//aroH//katE//napG//aroH//ynfF//murG//lsrF//rffG//mngB//truB//edd//xapA//tdcB//slt//fabZ//lyxK//
NanR	cadA//fabI//rffM//rbsD//thrS//paaH//
NarL-Phosphorylated	tdcD//pgaB//idnO//citE//tyrB//aroH//metH//astC//puuB//ilvE//gloA//hycF//ascB//leuD//rtcB//puuE//fucO//aroG//waaH//sdaA//atoA//pyrD//paaI//glxK//waaH//dapB//arsC//aroA//phnI//ubiC//galM//wrbA//murG//pheS//fucU//dadA//narG//rffT//dgcN//kbaZ//putA//
NarP-Phosphorylated	ilvA//ttdB//glgP//puuA//hyaC//thrS//prpB//glsA//fruK//hyaC//entH//frdA//sbcC//phnG//wecE//
NemR	ung//adhE//
NhaR-Na+	phnN//chbG//grxA//ppsA//citC//
NikR-Ni2+	gnd//
NimR	rbsD//
NorR	nfsB//
NrdR-Zn2+	cysC//prpD//wzc//sdaA//
NsrR	entF//argE//uvrB//nrdD//sdhD//fabA//sgbE//bioB//allA//fabZ//edd//ttdB//glsA//citF//glpK//tyrB//ascB//glcF//fabI//arsC//zwf//idnK//rffT//wzb//glpK//narH//fadA//katE//ftnA//ynfG//dgkA//ynfH//atoA//metB//ubiX//sgbU//fucA//pdeL//torC//metC//
NtrC-Phosphorylated	rfe//thrS//glpC//metC//glcF//puuA//argE//caiC//rnpB//ppsA//rutE//cysK//nrdB//ung//hcaE//mhpC//murD//dgkA//ilvD//bacA//ascB//
OmpR-Phosphorylated	hcaB//leuB//ruvA//lacA//cysC//gutQ//pheS//paaY//
OxyR	pgaB//sgbE//accA//ahpC//nanM//iscS//garK//yfdE//pflB//glgC//nanE//rsmH//ppsA//nanK//aceF//purK//dmsC//
PaaX	aroH//uidA//ygeA//galK//hmp//sdhB//cysE//prpB//gabT//
PdeL	metE//
PdhR	wecC//cysE//glpK//pgi//paaY//dmsA//atoB//hycE//uvrC//carA//fabA//edd//nrdD//cysK//chbF//gutQ//glk//tdcG//garL//gltB//asnA//aspC//phnM//accD//ftsI//
PepA	phnG//allA//
PgrR	gabD//cysI//
PhoB-Phosphorylated	gabD//allD//arsC//recB//glsA//hycD//citX//nanM//lacZ//citC//deoC//ascB//pdeR//fadJ//frdD//eno//gudD//cueO//ychF//puuC//
PhoP-Phosphorylated	serA//tdcB//bglB//hycD//srkA//ynfG//pyrC//mhpC//lsrG//fadH//iscS//leuD//feaB//pfkA//citD//cysH//araB//caiB//paaA//metE//glpC//uxaB//speA//oxc//napB//sdhC//cysK//gabD//pnp//gor//astA//caiB//
PrpR-2S3S-2-methylcitrate	prpE//mhpD//galM//katG//
PspF	glnA//
PurR-hypoxanthine	fadB//katE//ccp//allA//nadA//yqhD//purA//ahpF//cdd//wecB//sufS//glpA//mpl//narG//accC//hyaC//gcl//serC//pheT//tadA//allC//fumB//gcvT//moaE//rtcA//ftsI//
PutA	pyrC//lpxA//
PuuR	ulaD//phnL//narG//entD//gatY//sdhB//
QseB-Phosphorylated	
RbsR	gcl//paaA//gpmM//mraY//purF//
RcdA	bioB//
RclR	
RcnR	rhaA//
RcsAB	fes//eno//ilvH//
RcsB-BglJ	bioD//torC//
RcsB-Pasp56	lpxA//moeB//mltF//atoD//
RelB	leuC//
RelB-RelE	nagB//
RhaR-alpha-L-rhamnopyranose	
RhaS	fadH//
RhaS-alpha-L-rhamnopyranose	rutB//accC//tyrA//dhaL//
Rob	nrdD//deoB//prpB//xapA//sgbE//cdd//folE//pgk//glcD//alkA//rutB//nrdF//dgcN//citD//arsC//metH//mpaA//malQ//recF//
RstA-Phosphorylated	ung//rutD//thrS//
RtcR	fabD//fucA//
RutR	fadD//gcl//argE//ribA//gabD//purA//lysC//srkA//rutE//ynfE//wzb//
SdiA	
SgrR	kbl//allE//metL//
SlyA	mhpB//dhaL//glcE//frdD//uvrC//phnH//grxA//kbaZ//ilvD//
SoxR	narI//pck//melA//sucB//malZ//gabD//
SoxS	sucD//hcaB//polA//mnmG//hycE//argF//sdhC//chbF//sdhB//citX//caiB//entE//paaH//glpB//deoA//hycF//mhpE//udp//purK//entF//prpD//ttdA//lsrF//udp//avtA//malY//prpE//hypB//
SrlR	fabZ//alaS//nanK//
StpA	betA//bacA//nrfD//
SutR	nagA//purD//
TdcA	alaA//nanM//cysJ//ahpC//hcaC//
TdcR	amn//fadI//entA//pgi//purE//
TorR-Phosphorylated	ppc//fabI//metH//argD//
TorR-TorI	fdhF//
TreR	dmsC//hcaE//
TrpR-tryptophan	tdcE//lpxD//umuD//fadB//ycjG//pspE//deoB//cadA//pheS//
TyrR	rffH//
TyrR-phenylalanine	hycF//rnpB//
TyrR-tyrosine	glpQ//sbcD//nirD//xylB//accD//nrdF//sbcC//mngB//
UhpA-Phosphorylated	murI//
UidR	speA//mngB//
UlaR	speB//gcvT//aspC//sufS//trpC//
UvrY-Phosphorylated	lacA//ubiA//
UxuR	cynS//ugpQ//cysE//recD//patA//
XapR-xanthosine	nadB//fbaB//
XylR-xylose	gatY//cysJ//glpQ//
YdeO	sodA//pgi//fadM//
YefM	rnpB//
YefM-YoeB	gatD//
YeiL	
YhaJ	
YiaJ	ilvE//betA//yeaE//fadB//nrdD//cueO//
YjjQ	metC//glpX//
YpdB-Phosphorylated	
YqhC	betA//ftsI//
YqjI	yqhD//
ZntR-Zn2	zwf//
ZntR-Zn2+	idnO//
ZraR-Phosphorylated	
Zur-Zn2	mpaA//
Zur-Zn2+	wecC//
