# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	sdhB//lsrG//
GlpR	mdh//citG//fadE//leuA//waaH//glcF//hycE//
GlrR-Pasp56	
GntR	idnK//fadJ//frc//entC//dapB//phr//yedX//pgaD//dsdA//
GutM	uvrC//tnaA//ftnA//
HU	ribA//tpiA//rsmH//hyaB//alkB//wzc//argB//
HcaR	
HcaR-HCA	malZ//ulaF//
HdfR	
HigA	dmsA//
HigB-HigA	glmU//
HipAB	dadA//nrdE//
HipB	murD//dgkA//argI//
HprR-Phosphorylated	alkA//tdcD//uvrB//sgbH//
HyfR	lpxA//
HypT-Met-oxidized	argA//ilvG_1//malS//hcaE//astA//cysG//fadI//
IclR-pyruvate	fadD//hcaC//frdB//
IdnR-5-ketogluconate	mhpA//lyxK//idnK//puuB//fruK//
IlvY	
IlvY-S-2-acetolactate	purH//
IscR	pgi//ilvA//deoD//astC//ahpC//ttdA//
IscR-2Fe-2S	hcaF//ulaE//
KdgR	pgpC//lpxA//
KdpE-Phosphorylated	glgX//
LacI	mltF//fadH//nanE//
LeuO	hcaE//hcaF//aroG//prs//frdA//uvrC//
LexA	ccp//dgcN//dkgA//narH//fdhF//mraY//nagA//lldD//alsE//allA//bioD//malY//gntK//aldA//asnA//pflB//hcaC//cysI//carB//pagP//cysH//deoB//pgaB//
LldR	glpD//frdB//
LldR-S-lactate	argF//ilvA//
LrhA	
Lrp	tam//paaG//carB//ulaD//rbsK//fucI//citG//gatY//nrfC//glxK//prs//purM//moaD//idnK//pgaB//tam//garL//hycG//pdeL//cysC//wecE//phoA//mhpF//ndh//fumC//kbaZ//cysD//deoA//slt//dmsC//fadJ//
Lrp-leucine	gadB//dhaL//hyaB//fdhF//frc//paaZ//recD//sgbU//carA//malP//puuB//ppsA//garK//dgcN//aroG//cysE//patD//
LsrR	ung//fabD//ilvI//argC//aspA//
LysR	frdD//
MalI	paaF//alaC//
MalT-maltotriose-ATP	pfkA//bioB//ada//fucO//sdhA//gabT//
MarA	moaE//ung//ppsA//mhpF//dhaM//dgcZ//nirB//pheT//ilvA//ttdA//sgbU//gpmM//ttdA//glpB//ogt//katE//hyaA//lsrF//mhpD//pgaD//dinB//moaD//oxc//prs//
MarR	
MatA	glmU//
MazE	uvrC//
MazE-MazF	cysK//
McbR	
MelR	lldD//phnN//
MelR-melibiose	sdhA//wrbA//
MetJ-adenosylmethionine	tdcB//gudD//hmp//gabD//paaC//malP//citD//pflB//amn//dapD//
MetR	leuC//glmS//
MetR-L-homocysteine	glpK//xapA//
MhpR-3HPP	feaB//gnd//ilvE//fabA//dmsB//tam//
Mlc	fadM//gcvP//fruK//pepD//
MlrA	polB//
MngR	argC//yedX//
MntR-Mn2+	fabA//atoB//
ModE-MoO42-	yeaG//phnO//hyaC//sufS//fucO//codA//aceA//psd//astB//ynfH//puuB//iscS//wecC//alkB//hyaA//ndh//napA//
MprA	kbl//rsmH//eno//
MqsA	uvrA//argA//
MraZ	gor//pncB//fucI//appA//metC//narG//carB//recD//bioA//argH//
MurR	dgcC//fucO//allC//
Nac	moeB//sodB//hyaA//deoA//fadA//ygeA//icd//rffG//glxK//cynT//purB//
NadR	lysA//entF//prpE//frdC//
NagC	rutB//pdeR//asnB//entE//glgX//tpiA//codA//dgkA//pdeL//rhaA//trpA//waaH//fabH//grxA//hycG//dmsB//murG//cynS//hyaC//
NanR	psd//rpiB//nirB//umuC//ycjG//epd//
NarL-Phosphorylated	fabA//yiaK//lpxA//metE//xylB//astE//murE//recF//guaA//cysD//sufS//astD//glpC//nanK//katG//mtlD//ynfH//glk//ssuD//ulaE//gcl//slt//yeaG//lpd//luxS//glgC//rtcB//rhaA//sdhB//pyrC//uxaA//ycjG//fabG//pheS//ssuD//waaY//glcB//pncB//gabD//nagB//asnA//
NarP-Phosphorylated	ppiA//aceA//pheS//lpxD//garL//polB//yiaK//dhaL//torA//paaK//gpmA//hcaB//ilvM//ampC//ilvA//
NemR	metB//glpD//
NhaR-Na+	iscS//glgB//hycF//murI//hcp//
NikR-Ni2+	murQ//
NimR	dgcC//
NorR	puuA//
NrdR-Zn2+	puuB//hemL//lsrF//rtcA//
NsrR	yiaK//aceE//aroA//dhaK//nadA//hycD//araB//gabT//phnH//idnK//ilvH//sdaA//ahpF//hycF//tpiA//rtcB//lysU//bioC//purM//ycjG//lysA//glpA//pck//rutB//prpD//gudD//mdh//phnG//nrdA//fadM//mhpB//citX//mtlD//glgC//cysK//sbcD//fucK//guaA//ccp//pgk//
NtrC-Phosphorylated	ribA//caiA//astC//idnO//moeB//aroF//uvrB//metH//aceE//ulaF//ilvD//prpC//yqhD//moeA//paaA//atoD//betB//wzb//glpX//narG//cysI//
OmpR-Phosphorylated	iscS//torA//fadM//torC//tktB//fes//mpl//idnO//
OxyR	gudD//eno//ilvH//epd//dadA//paaB//gudD//ascB//lpxA//alaC//prpE//ulaD//ppc//polB//napB//cysM//nrdF//
PaaX	xapA//xylA//rnpB//ppsA//citF//sucA//purC//uvrB//ascB//
PdeL	moeB//
PdhR	ulaD//gpmA//sufS//ychF//ldtC//glpD//mpl//fruK//fabI//pykF//chbG//gcvT//tauD//purC//hyi//nrfA//pheT//galE//argF//citX//uvrC//entB//trpC//astE//dadX//
PepA	purC//mpl//
PgrR	pyrD//waaY//
PhoB-Phosphorylated	uxaC//allB//nadA//pagP//fes//argG//sucD//gloA//rutE//srlD//fucA//speG//prpD//pspE//pgaD//atoD//caiA//katG//uxaC//hcaB//
PhoP-Phosphorylated	leuD//dacC//argE//nadB//fabB//murC//puuE//eno//sucC//hycE//gabT//uxaA//araD//ruvB//ynfF//rsmH//bioB//ygeA//argC//argC//entD//fabB//fbaB//mazG//lpxA//paaF//dapD//allE//talA//pykF//tdcE//narI//
PrpR-2S3S-2-methylcitrate	deoC//purF//aceF//rpiB//
PspF	sodA//
PurR-hypoxanthine	puuB//malS//lpxD//gdhA//mngB//waaZ//aroG//napH//dadA//umuC//phnG//aroA//wzb//yiaK//fadH//rbsD//uxuB//yeaE//fucK//trpB//ubiX//mtlD//ilvC//eno//allB//recD//
PutA	ulaF//uxaA//
PuuR	paaY//purF//dgkA//fucU//glmU//glxR//
QseB-Phosphorylated	
RbsR	ulaF//glgC//pyrC//rffT//murQ//
RcdA	carB//
RclR	
RcnR	ilvA//
RcsAB	citG//prpB//dgcN//
RcsB-BglJ	trpD//napH//
RcsB-Pasp56	ahpC//paaB//ugpQ//glgB//
RelB	gloA//
RelB-RelE	tam//
RhaR-alpha-L-rhamnopyranose	
RhaS	sdhA//
RhaS-alpha-L-rhamnopyranose	gadB//yiaK//mhpB//uxaA//
Rob	purA//yedX//yqhD//cysG//nagB//fumC//pgm//glpD//purE//gadA//frdD//acnA//aroF//caiB//mhpE//carB//betA//glpK//dhaK//
RstA-Phosphorylated	yiaK//grxA//tauD//
RtcR	entE//psd//
RutR	lldD//ugpQ//nrdF//dmsC//rhaA//mltF//astA//phnJ//carB//mngB//talA//
SdiA	
SgrR	gdhA//moaD//dapB//
SlyA	ybjG//recF//rtcB//uxuA//tehB//gadB//ilvA//nfsA//allC//
SoxR	glyA//ygeA//napB//sdhC//hmp//rutD//
SoxS	murI//dhaK//cysN//glmS//gabD//ung//uidA//nrdF//ilvA//trpE//dapD//gpmM//galE//talA//phnI//hcaF//nagB//cadA//purH//astD//galM//entD//mhpF//pykF//nrdA//ynfH//aspC//uvrC//
SrlR	mdh//gcvT//gcvP//
StpA	tdcB//pdeH//hemH//
SutR	fabB//serC//
TdcA	glgP//tyrA//pheS//hyaB//rpiB//
TdcR	nrdA//sgbH//ulaG//adhE//argE//
TorR-Phosphorylated	fadJ//frdD//metL//tdcB//
TorR-TorI	metK//
TreR	ahpC//prpB//
TrpR-tryptophan	polA//lacZ//glgP//polB//lysU//wzb//waaH//pgk//hypB//
TyrR	ubiC//
TyrR-phenylalanine	gcvP//pdeH//
TyrR-tyrosine	puuE//srkA//truB//purA//pdeR//gatD//murG//ugpQ//
UhpA-Phosphorylated	ilvI//
UidR	moaD//aroH//
UlaR	speB//frdC//aceF//amn//rffH//
UvrY-Phosphorylated	purB//dkgB//
UxuR	glcE//gatZ//acnB//nadA//bioA//
XapR-xanthosine	hyaC//phnP//
XylR-xylose	srkA//rimK//wrbA//
YdeO	uvrB//pgaC//rffC//
YefM	dacC//
YefM-YoeB	katG//
YeiL	
YhaJ	
YiaJ	paaB//glgA//allA//gcvT//murG//narH//
YjjQ	rffH//rimK//
YpdB-Phosphorylated	
YqhC	garD//narI//
YqjI	caiA//
ZntR-Zn2	malY//
ZntR-Zn2+	allA//
ZraR-Phosphorylated	
Zur-Zn2	purL//
Zur-Zn2+	dapB//
