# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	prs//fadI//
CpxR-Phosphorylated	zwf//hcp//ssuD//glcD//glnA//mpaA//wrbA//ftnA//poxB//mtlD//argD//galT//mngB//citG//alsE//tdcE//glpC//ung//mraY//napG//gatZ//
Cra	prpC//citX//rffM//alkA//argF//prpE//sucB//alsE//pfkA//nanE//bioB//paaG//prpE//polB//guaA//entH//purF//fucA//gatY//atoD//phnN//ampC//frdC//nrdD//metF//argB//mraY//eda//avtA//murQ//citC//dadA//gcvH//idnD//chbF//alsE//rffG//feaB//fucU//fadA//citD//ldtD//luxS//sgbH//atoA//nfsB//bioC//adhE//lsrK//hycD//napA//lpd//ycjG//cysG//asnA//nagB//rfe//umuC//aroH//
CreB-Phosphorylated	rffG//talA//
CsgD	speB//glpC//waaY//pheS//bioB//
CsiR	dadX//allE//srkA//hycG//
CspA	fucI//
CueR-Cu	chbG//pflB//pflB//ulaE//fumB//
CusR-Pasp	murG//hypB//tyrA//murI//
CynR	
CynR-cyanate	nrfA//tehB//puuB//
CysB	paaC//ftnA//
CysB-O-acetyl-L-serine	yedX//relA//paaG//paaI//bglB//moeA//frc//cdd//paaF//paaZ//metA//pck//psd//nanE//frdD//
CytR	garK//ppiA//leuB//alaC//dadX//trpA//slt//pykF//citF//ugpQ//
Dan-L-tartrate	uvrC//cyoE//
DcuR-Phosphorylated	ppc//fadH//frdA//gcvH//
DeoR	rnpB//pgpC//eda//srkA//ahpC//gltB//
DhaR	ahpC//
DicA	
DinJ-YafQ	garL//
DnaA-ATP	idnK//ubiX//srlD//glk//recF//uvrA//
DpiA-Pasp	gapA//speB//dgkA//rutB//pgk//
DsdC-D-serine	waaY//rffC//
EbgR	
EnvR	tyrB//purL//
EnvY	rhaB//kbl//
EvgA-Phosphorylated	cueO//ogt//ydcS//dmsA//phnG//leuD//
ExuR	bacA//caiD//rutC//yiaK//garK//yiaK//
ExuR-alpha-D-galacturonate	
FabR	mhpD//rffG//trpD//
FadR	deoC//phnO//oxc//tdh//eno//dacC//rffT//nrdE//atoD//leuB//dgcZ//nrfA//gltB//folE//cyoE//cysK//narH//lysU//gpmM//
FadR-acyl-CoA	
FeaR	metB//tpiA//
FhlA-formate	ulaF//paaY//betB//paaK//prpD//ruvB//serA//gatY//
FlhDC	epd//prpD//pdeR//phnH//phnJ//napG//thrS//fucO//metC//caiB//ydcS//phnH//purN//malP//
FliZ	tehB//recB//wecB//trpC//glpQ//
FucR-L-fuculose-1-P	araD//malS//dadX//tam//pspE//mdh//
Fur-Fe2	allD//puuE//carB//waaY//sucC//aceE//talA//dgcZ//bacA//argD//rbsK//rutB//sodB//purA//phnM//glgC//treC//nemA//allE//aroH//ppsA//paaE//dapB//deoC//astB//hcaE//uvrA//fadH//recD//alsE//sbcC//fruK//codA//phnI//mhpE//gadB//rffG//ldtB//argG//oxc//dgcN//araA//recD//ddlB//galE//moaE//deoD//chbG//ilvC//hcaB//fumC//metC//guaB//mraY//mraY//rnpB//narH//malS//fruK//chbG//entE//hcaD//
GadE	glpC//trpB//ndh//acnB//umpH//entD//uxaA//lyxK//astA//hemH//
GadE-RcsB	rhaB//gabT//waaH//paaJ//pgaD//
GadW	thrS//glpK//citE//glcB//
GadX	alsE//argH//tktB//dapD//uxaB//betB//moaD//pagP//gabT//hyaB//glpC//frdA//epd//pspE//
GalR	citF//fabB//ogt//ilvC//murQ//ampC//
GalR-beta-D-galactose	cysG//waaZ//dapB//cysN//argF//
GalS	allC//lyxK//yeaG//dsdA//murD//araA//
GalS-beta-D-galactose	paaJ//entC//purK//phr//rhaA//
GatR	ruvB//allD//metE//
GcvA	wecB//ssuE//carB//
GlcC-glycolate	deoC//aceA//glgC//
GlpR	fdhF//ilvM//ruvB//ilvG_1//lyxK//hycG//fadE//
GlrR-Pasp56	
GntR	gabT//nirD//phnG//citX//rffH//entH//metC//nrdE//hcaB//
GutM	lpxA//acnA//frc//
HU	moaE//gatY//nrfC//ilvH//idnK//entA//bioB//
HcaR	
HcaR-HCA	umpH//bioA//
HdfR	
HigA	cysH//
HigB-HigA	lsrG//
HipAB	nemA//allD//
HipB	aldA//sucB//leuA//
HprR-Phosphorylated	ynfF//ilvC//dhaL//eda//
HyfR	tktB//
HypT-Met-oxidized	dapB//dhaM//polB//uvrC//rtcB//moaC//leuA//
IclR-pyruvate	appA//argB//uidA//
IdnR-5-ketogluconate	murF//murG//fabZ//carA//gdhA//
IlvY	
IlvY-S-2-acetolactate	dgkA//
IscR	bacA//ynfG//ung//fabZ//aroH//purB//
IscR-2Fe-2S	ugpQ//metE//
KdgR	ppc//katG//
KdpE-Phosphorylated	arsC//
LacI	fumB//speB//phr//
LeuO	fadE//gabD//garD//galK//yfdE//malZ//
LexA	ulaF//polA//fabG//dapD//lysC//cueO//garD//hycB//caiD//garR//ynfE//ynfE//argD//dhaK//puuA//metB//fau//leuB//nanK//prpD//napB//fadI//betB//
LldR	nadB//metL//
LldR-S-lactate	folE//malP//
LrhA	
Lrp	galE//nfsA//moaA//allD//araD//rffT//tnaA//narG//gdhA//glgB//dadA//kbaY//nagB//phr//waaH//paaI//rutE//dmsB//umuC//hycC//rutC//truB//edd//garD//yqhD//sdhC//purE//paaY//citC//moaC//hycD//
Lrp-leucine	glmU//entB//rutB//rutC//udp//bioD//ruvB//appA//truB//alaA//pgk//frdB//purD//tyrB//yeaG//gudD//tauD//
LsrR	gutQ//paaE//codA//dapB//hcaD//
LysR	amn//
MalI	sucB//sgbE//
MalT-maltotriose-ATP	dapB//deoB//hycC//phnJ//treC//sucA//
MarA	ldtC//nanE//ldtB//sdhD//murD//astD//paaI//ftnA//glmS//mtlD//bacA//lysA//dgcZ//bioB//fabI//luxS//puuE//folA//tdcE//phnL//allD//sodB//paaA//malY//
MarR	
MatA	leuA//
MazE	nrfA//
MazE-MazF	ddlB//
McbR	
MelR	tdcE//paaC//
MelR-melibiose	truB//phnO//
MetJ-adenosylmethionine	cysE//pgpC//paaB//nagA//paaG//atoD//dgcC//lpxA//gpmA//prpE//
MetR	tam//moeA//
MetR-L-homocysteine	glxK//sucC//
MhpR-3HPP	fadE//uidA//tdcB//folE//udp//lysU//
Mlc	ugpQ//mazG//gor//phnM//
MlrA	rffT//
MngR	ndh//cysH//
MntR-Mn2+	glmS//glxR//
ModE-MoO42-	gatY//ruvB//uidA//glpA//caiB//purB//recF//glpA//purF//lhgO//gadB//murI//recD//caiC//paaG//mpl//deoB//
MprA	cyoE//nirD//citX//
MqsA	allE//sufS//
MraZ	fucI//murC//pgk//pspE//rtcA//nrdA//entB//argH//purF//hemH//
MurR	iscS//lysC//puuD//
Nac	zwf//aspA//citF//yfdE//xylA//adhE//asnA//hemH//aroA//paaI//glk//
NadR	rffH//rhaA//edd//ilvA//
NagC	rutA//adhE//yeaE//fucU//fabG//metC//mhpF//argB//rhaA//paaJ//prs//ulaE//sdhA//ycjG//paaH//entB//slt//pheT//serA//
NanR	ldtC//argC//pagP//cysK//psd//ttdA//
NarL-Phosphorylated	uidA//metA//gdhA//garL//ugpQ//wecC//fadH//galK//feaB//truB//lyxK//moaA//entC//paaY//mdh//cynT//gcvH//paaB//cysM//mhpA//adhE//dhaL//gor//cdd//glgA//glxR//hemL//murQ//lyxK//sdhB//gpmM//eda//trpA//amn//deoB//paaG//pspE//tdcE//allE//thrS//allC//
NarP-Phosphorylated	nadB//puuC//citX//sdaA//mngB//amn//aspA//cynT//ilvC//purF//fes//araD//fadM//uxaB//waaH//
NemR	rpiB//polA//
NhaR-Na+	sucD//dsdA//metK//rutD//dapD//
NikR-Ni2+	amn//
NimR	ilvE//
NorR	cyoE//
NrdR-Zn2+	pfkA//mhpA//glpK//dgcN//
NsrR	dsdA//adhE//sucA//umpH//aroA//fucA//purF//glpC//nagA//astD//moeA//hycG//glnA//araA//glcF//glcF//phnO//puuE//fabG//wzc//appA//murC//moaC//recF//dgcN//sdhA//xapA//ascB//lysA//aceA//putA//glpC//guaA//gudD//gutQ//purK//leuD//nirD//fabB//citC//
NtrC-Phosphorylated	ilvA//mhpE//metA//gatD//nagB//mhpC//hypF//uvrC//ilvG_1//ygeA//lacZ//leuB//metC//moeA//uvrC//paaY//glgB//araA//hcaE//pyrC//ogt//
OmpR-Phosphorylated	purE//xylA//katE//wzc//waaH//glgA//murF//aroL//
OxyR	phnL//torA//mhpC//paaB//fabD//treC//gatZ//murC//acnA//polB//gcvH//ssuD//phnI//garK//mhpA//glmU//mazG//
PaaX	ldtC//purB//rtcA//fadJ//alaS//trpE//gor//dinB//eno//
PdeL	pyrC//
PdhR	alkA//epd//frdA//pgm//mhpE//glmS//yedX//ydcS//metE//glgP//kbaZ//speA//alkB//pdeR//lsrG//mngB//cysG//purA//rutC//betA//fabA//guaA//alaA//araB//srlD//
PepA	purF//grxA//
PgrR	mtlD//murC//
PhoB-Phosphorylated	glcD//lpxA//tam//murD//katE//frdB//leuC//sodA//bacA//tdcB//cdd//rhaB//galT//sdhD//allA//lpd//metE//phnG//speA//asnB//
PhoP-Phosphorylated	glsA//glgC//tynA//lpxA//lacA//hcaD//fbaB//yeaG//mhpB//puuC//hcp//puuE//fabB//tnaA//glmS//truB//alsE//pgaB//rtcA//glgC//talA//lsrF//mazG//murE//rfe//recD//dsdA//gcl//phoA//folE//caiA//glsA//
PrpR-2S3S-2-methylcitrate	leuC//fdhF//sucA//idnO//
PspF	ubiC//
PurR-hypoxanthine	paaF//nagA//bioF//sdhB//cyoE//aceF//glgC//purN//phnO//pheT//sgbU//nirB//glxK//astD//paaB//nrdF//glk//pncB//alkB//hcaB//adhE//atoD//dadX//guaA//betA//lpd//
PutA	sodB//wecB//
PuuR	chbF//grxA//hycG//nagA//nanE//ilvE//
QseB-Phosphorylated	
RbsR	puuA//ribA//uxaB//hycG//gdhA//
RcdA	dmsC//
RclR	
RcnR	mhpA//
RcsAB	guaB//gltD//caiC//
RcsB-BglJ	narH//ygeA//
RcsB-Pasp56	bioD//argA//hemL//lpxA//
RelB	waaY//
RelB-RelE	fadI//
RhaR-alpha-L-rhamnopyranose	
RhaS	argF//
RhaS-alpha-L-rhamnopyranose	fumB//mpaA//ssuD//dapB//
Rob	argD//argH//paaA//araD//ulaF//ftsI//pncB//pgpC//cdd//tehB//ppc//metB//mpaA//araD//cysJ//entH//metA//fadD//garL//
RstA-Phosphorylated	kbaY//ychF//pnp//
RtcR	gabD//puuE//
RutR	nirD//ascB//idnK//glgP//sdhA//gabD//narG//ascB//ldtB//guaA//allD//
SdiA	
SgrR	dapB//trpC//astC//
SlyA	argH//talA//nfsB//dapB//sdhD//gcvT//appA//purE//atoB//
SoxR	ybjG//glyA//malQ//glgC//ilvC//tadA//
SoxS	tyrA//entE//torA//murF//paaF//murI//uidA//citG//patA//dgkA//entC//rffM//wzc//paaH//kbl//dinB//wecE//grxA//tehB//argF//rffM//fumB//recB//glcD//ppsA//glpC//galE//mtlD//
SrlR	ilvE//rffT//alsE//
StpA	xylA//purF//mhpE//
SutR	ppc//polB//
TdcA	ulaG//ppsA//pspE//leuC//ppiA//
TdcR	astB//rhaA//ldtC//bacA//narG//
TorR-Phosphorylated	aceA//metA//cyoE//ybjG//
TorR-TorI	pheT//
TreR	citC//fau//
TrpR-tryptophan	argI//sgbH//folA//pyrC//hemH//metB//waaZ//metH//wrbA//
TyrR	sucD//
TyrR-phenylalanine	lpd//yeaE//
TyrR-tyrosine	argA//fadI//dmsC//alaC//rbsK//slt//araA//dhaK//
UhpA-Phosphorylated	trpC//
UidR	hycG//hcaF//
UlaR	metH//rhaB//nrfD//purK//napH//
UvrY-Phosphorylated	narG//fabI//
UxuR	frdC//fabH//astC//dmsC//hyaA//
XapR-xanthosine	glpC//ung//
XylR-xylose	narG//nagB//gpmA//
YdeO	fucA//recD//argB//
YefM	citD//
YefM-YoeB	icd//
YeiL	
YhaJ	
YiaJ	paaK//fumB//nagA//purH//entA//fbaA//
YjjQ	pspE//rffT//
YpdB-Phosphorylated	
YqhC	guaB//purN//
YqjI	glpQ//
ZntR-Zn2	rutE//
ZntR-Zn2+	nrdD//
ZraR-Phosphorylated	
Zur-Zn2	aroH//
Zur-Zn2+	ruvA//
