# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	alkB//nanA//
SlyA	hcaB//astB//thrS//argI//sdhB//phnP//pheT//relA//purC//
SoxR	trpD//araB//gcvT//arsC//hyaA//tynA//
SoxS	sgbU//uxaB//fabI//nrfA//purM//puuC//ubiA//aspA//mazG//ilvC//hyi//yfdE//metA//yfdE//patA//yedX//epd//cysD//speG//xylA//aroG//purC//dsdA//ldtD//umpH//gltB//gpmM//uvrC//
SrlR	ulaF//lacZ//fabI//
StpA	lpxC//purA//galE//
SutR	paaZ//dsdA//
TdcA	alsE//lpxC//fadE//rutA//pgaC//
TdcR	malS//puuE//epd//thrS//hyaB//
TorR-Phosphorylated	metC//yeaG//ldtB//hyi//
TorR-TorI	trpB//
TreR	prs//gpmA//
TrpR-tryptophan	pyrD//uxaA//ilvC//fucI//truB//recB//entD//fau//alkB//
TyrR	talA//
TyrR-phenylalanine	guaB//galT//
TyrR-tyrosine	ubiA//cyoE//metE//glpC//srlD//paaA//astA//paaZ//
UhpA-Phosphorylated	uxuA//
UidR	pnp//ygeA//
UlaR	metB//patA//dacC//guaA//hcaE//
UvrY-Phosphorylated	purN//allD//
UxuR	guaB//fau//aceF//fabZ//purN//
XapR-xanthosine	mhpF//kbl//
XylR-xylose	bioF//ldtC//narI//
YdeO	cysH//katE//trpB//
YefM	fucK//
YefM-YoeB	moaE//
YeiL	
YhaJ	
YiaJ	tyrB//putA//arsC//gabT//aceB//treC//
YjjQ	bioC//puuC//
YpdB-Phosphorylated	
YqhC	guaA//ilvD//
YqjI	kbaZ//
ZntR-Zn2	gor//
ZntR-Zn2+	mhpC//
ZraR-Phosphorylated	
Zur-Zn2	garK//
Zur-Zn2+	nirD//
