# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gadB//lsrG//
CpxR-Phosphorylated	adiA//tnaA//cysM//rimK//polA//ilvM//lacA//prs//epd//metL//argD//glk//purD//feaB//ilvM//uxaC//puuE//cysE//betB//napA//pgm//
Cra	putA//yeaG//mraY//umuD//katG//prs//nadA//entH//entC//torC//paaZ//paaF//ulaD//argE//xylA//umuC//uxaB//entA//lsrG//pgaC//entC//ygeA//araB//gutQ//kbl//pdeH//puuA//rpiB//grxA//allE//xapA//phnJ//murD//eno//adiA//malQ//uidA//cysC//tktB//pfkA//pgaC//hyaB//ssuD//ccp//fabG//purK//alsE//fucO//ftnA//mhpF//sdhA//aroA//poxB//malQ//cysM//fumC//paaE//idnD//pgk//
CreB-Phosphorylated	mpl//gltD//
CsgD	umuC//aroL//gatZ//paaF//sodB//
CsiR	araA//ssuD//leuD//cueO//
CspA	sdhC//
CueR-Cu	katG//hcaC//entH//mhpD//trpC//
CusR-Pasp	dmsB//tnaA//garR//hyaA//
CynR	
CynR-cyanate	mhpB//gapA//pflB//
CysB	frc//allB//
CysB-O-acetyl-L-serine	rsmH//ppc//trpD//gabD//luxS//prpD//uxuA//paaE//murF//pgpC//caiB//aceB//leuB//garK//aceF//
CytR	ilvA//fadH//sgbE//alaC//relA//hemL//mhpB//rutE//fdhF//murC//
Dan-L-tartrate	nirD//rffG//
DcuR-Phosphorylated	bioC//folA//lacZ//ahpF//
DeoR	aroH//purA//glxR//glmS//fau//mhpE//
DhaR	yedX//
DicA	
DinJ-YafQ	dsdA//
DnaA-ATP	astA//acnA//sgbH//pnp//phnP//paaJ//
DpiA-Pasp	entB//puuC//uxaB//frc//entC//
DsdC-D-serine	glmS//mazG//
EbgR	
EnvR	dhaM//aceE//
EnvY	caiA//dhaL//
EvgA-Phosphorylated	serA//fadB//recD//malQ//phnM//tadA//
ExuR	alaS//deoB//glgX//lysC//ttdA//hypF//
ExuR-alpha-D-galacturonate	
FabR	leuA//ubiX//pykF//
FadR	frdA//leuA//ubiA//adhE//nfsA//glmU//lysA//paaC//alaC//mngB//lldD//folE//gatY//gor//kbaZ//aceE//ndh//ddlB//rutD//
FadR-acyl-CoA	
FeaR	ttdB//uxaA//
FhlA-formate	pgaC//trpD//rimK//pck//fumC//astC//fau//lacA//
FlhDC	purE//aroH//glpB//napH//gatY//gntK//pgpC//purA//alaS//bioB//pflB//gatY//aldA//malZ//
FliZ	gatD//ilvG_1//fabG//alaS//uvrA//
FucR-L-fuculose-1-P	sbcD//cueO//pflB//xapA//idnO//wecC//
Fur-Fe2	trpA//glxR//srkA//alsE//phnM//lhgO//atoA//betB//deoA//umuC//purF//ldtD//puuD//astE//tdh//wzc//alsE//dhaM//pflB//dmsC//citD//frdD//rffT//purK//rutB//hcaD//ldtB//citF//deoA//chbG//allE//serC//lpxA//pheS//dgcN//idnO//luxS//bglB//garL//frc//metL//glpK//napG//tynA//umpH//gpmM//dmsA//phoA//sufS//gapA//argE//ampC//frc//sucB//dadX//citE//uxaA//ahpF//hcaF//acnB//glpK//pgaB//
GadE	astC//glpQ//araD//leuD//alkB//moaC//sucC//rffC//phoA//metB//
GadE-RcsB	alkA//paaC//dadA//nrfD//pspE//
GadW	metL//dgcZ//wecE//cysD//
GadX	ulaD//lpxA//phnP//puuD//fruK//malZ//metC//carB//galE//hcp//nrdE//torA//lpxD//hemL//
GalR	dsdA//rffT//speG//wecB//phnJ//xapA//
GalR-beta-D-galactose	purN//sgbU//phnL//glpB//gcvP//
GalS	yqjH//entD//astD//fumB//ruvB//araA//
GalS-beta-D-galactose	cysJ//fumC//mhpD//bglB//phnM//
GatR	polB//fdhF//wecB//
GcvA	tam//idnO//metE//
GlcC-glycolate	hycC//rbsD//ilvD//
GlpR	deoC//leuC//alsE//pgaB//rfe//napA//dhaL//
GlrR-Pasp56	
GntR	ahpC//prpB//sbcD//prpD//napH//rnpB//dkgA//hcaD//astA//
GutM	moaC//prpB//nrdF//
HU	phnP//hyaB//accD//rbsK//paaI//purM//aceF//
HcaR	
HcaR-HCA	wzb//bioF//
HdfR	
HigA	xylB//
HigB-HigA	araA//
HipAB	hyaA//rhaD//
HipB	nfsB//fadA//paaZ//
HprR-Phosphorylated	yqjH//bglB//citE//argD//
HyfR	phnO//
HypT-Met-oxidized	cysG//bacA//fdhF//gudD//mhpB//gadB//pdeL//
IclR-pyruvate	gpmA//hyaC//hcp//
IdnR-5-ketogluconate	ilvD//caiC//cueO//murF//murD//
IlvY	
IlvY-S-2-acetolactate	entC//
IscR	fadD//bioD//umuD//aroH//ulaD//cyoE//
IscR-2Fe-2S	dadX//ssuE//
KdgR	ppsA//relA//
KdpE-Phosphorylated	asnB//
LacI	glcD//rtcA//acnB//
LeuO	glnA//aroG//treC//srlD//nrdD//metB//
LexA	nrfC//glgX//mazG//pagP//rutD//argA//mtlD//hycE//srlD//gadA//polA//ubiA//citF//treC//nrdA//pepD//gadB//nfsB//trpB//nagA//caiA//puuE//astC//
LldR	metE//gcvH//
LldR-S-lactate	alsE//lpxA//
LrhA	
Lrp	wecE//nagA//edd//pfkA//idnK//nfsB//deoA//waaY//astB//argC//murF//recD//slt//uxuA//yqhD//phnI//ubiA//paaA//tdcB//glcD//astA//gcvT//murE//cysG//fucU//tktB//patD//tdcD//caiB//cysN//hcaD//
Lrp-leucine	rtcB//hcaF//truB//ynfF//ynfH//ppsA//nrdD//napB//leuC//dapD//deoD//paaH//tdh//allC//accC//pgaC//slt//
LsrR	folA//lysU//cynT//glcB//mnmG//
LysR	pgk//
MalI	glpK//mhpA//
MalT-maltotriose-ATP	purE//argI//atoA//prpE//astC//purA//
MarA	cysJ//umpH//malS//adiA//argH//narI//nadB//tauD//fabA//adiA//lysC//trpE//dinB//metC//sucD//uxaC//frc//gatY//ppsA//ruvB//rtcA//frdD//xylA//cysK//
MarR	
MatA	mdh//
MazE	tynA//
MazE-MazF	wecC//
McbR	
MelR	yeaE//bioF//
MelR-melibiose	asnA//wzb//
MetJ-adenosylmethionine	tauD//moaC//allA//ppc//rhaD//umpH//tam//asnA//tdh//hyaA//
MetR	nrfD//dhaM//
MetR-L-homocysteine	hycG//paaE//
MhpR-3HPP	frdD//ydcS//metK//avtA//tauD//rimK//
Mlc	nfsB//ilvH//accD//lsrK//
MlrA	nemA//
MngR	katG//nrdE//
MntR-Mn2+	sdaA//lysC//
ModE-MoO42-	gcvH//eno//prpE//ilvI//frc//arsC//deoB//uvrC//ftsI//garK//paaA//moaA//fbaA//bioD//galM//nrfA//sbcD//
MprA	paaF//trpE//dacC//
MqsA	bglB//rutD//
MraZ	aceE//phnO//lsrG//phnM//arsC//atoD//metC//nrdE//rhaD//hyaB//
MurR	sbcC//pgaC//accC//
Nac	fucU//purH//malZ//lhgO//pheS//pykF//gltD//bioB//phnG//ttdB//acnB//
NadR	idnD//dinB//umuC//garD//
NagC	araD//fucO//tyrB//trpC//mpaA//ruvB//rfe//fbaA//uxaC//mngB//kbaZ//speA//xylB//ulaF//relA//mltF//paaB//lysU//cysH//
NanR	psd//dsdA//ilvG_1//fucA//fbaB//glxR//
NarL-Phosphorylated	idnO//fabA//argE//mazG//gltB//lacA//rffH//gatY//poxB//sucD//pdeH//gpmM//hycC//psd//nirD//ogt//trpC//waaH//dhaM//purB//sbcD//narI//fumC//asnB//mpaA//appA//pgpC//aroF//rimK//pnp//sucD//cdd//murF//guaB//araB//ppc//caiA//ilvM//fes//citC//srkA//
NarP-Phosphorylated	ilvH//rpiB//purM//argA//rbsK//carA//mdh//rhaB//nanM//moaC//fadB//murC//fucO//trpA//citC//
NemR	trpA//caiD//
NhaR-Na+	aroG//ruvA//pspE//garL//dgkA//
NikR-Ni2+	citX//
NimR	aspC//
NorR	umuC//
NrdR-Zn2+	idnK//asnA//lhgO//appA//
NsrR	rpiB//aspA//trpD//luxS//guaA//rutD//fabZ//purL//ilvE//purC//moeB//carB//nanM//rimK//fumB//nagB//paaC//tpiA//hycC//purC//ynfE//guaB//torC//torA//sgbH//paaZ//ilvA//accC//entF//rimK//nadB//carB//allD//puuC//fdhF//gdhA//lsrK//accA//dkgB//gpmA//
NtrC-Phosphorylated	slt//srlD//lsrG//nfsB//dacC//recB//nrfD//mltF//mngB//aroG//moeA//sbcC//galM//xapA//patD//ahpC//gatD//sdhB//ldtD//trpE//glgC//
OmpR-Phosphorylated	cysK//rffC//icd//fumB//yfdE//carA//hemH//edd//
OxyR	allA//glcD//ftsI//yfdE//phnL//yeaG//yfdE//glk//cadA//aldA//yedX//pyrC//glpK//dgcC//murC//aroF//nanM//
PaaX	fabG//rfe//glsA//argA//lpxA//hemH//feaB//lldD//fabB//
PdeL	treC//
PdhR	bglB//galM//icd//metE//rffC//mhpB//murE//fadH//metF//fdhF//rhaD//rffG//bglB//gntK//fdhF//pgm//rutB//tdcD//astB//rffG//rffC//garL//fruK//recF//hyi//
PepA	astA//srkA//
PgrR	rutA//paaZ//
PhoB-Phosphorylated	fabB//sodA//galM//glyA//cysH//kbaZ//eda//pdeR//citD//folA//fadA//pfkA//glpX//uxaB//ahpC//gatD//sucB//ppsA//citX//alaA//
PhoP-Phosphorylated	dhaK//mngB//paaH//wzc//codA//ilvE//citC//ttdB//hemH//nagB//moaC//dhaK//moeA//glcE//glpX//ruvA//entA//allB//mhpA//araA//uxaA//metC//truB//dinB//purM//rffM//cysG//trpB//rpiB//araB//tdcD//hcaD//
PrpR-2S3S-2-methylcitrate	gadA//mazG//hcaB//yqjH//
PspF	ogt//
PurR-hypoxanthine	ftsI//acnB//argG//cysH//kbl//lhgO//moeA//rbsD//glpX//rimK//dkgB//idnD//aceB//pyrC//sufS//sdhA//pspE//ulaE//fadI//bioB//astA//lpxC//dmsC//carA//allC//wecB//
PutA	paaY//dgkA//
PuuR	nfsB//rtcA//avtA//lsrK//glcD//murE//
QseB-Phosphorylated	
RbsR	tadA//trpC//hyaB//srlD//ttdA//
RcdA	gabT//
RclR	
RcnR	fumB//
RcsAB	hemH//rutB//dacC//
RcsB-BglJ	prs//guaB//
RcsB-Pasp56	aceB//poxB//garK//xylB//
RelB	rbsK//
RelB-RelE	hmp//
RhaR-alpha-L-rhamnopyranose	
RhaS	murQ//
RhaS-alpha-L-rhamnopyranose	ahpF//glpK//murQ//argF//
Rob	cysE//lpxC//ftnA//hcaC//deoD//uidA//aroH//dgcZ//purD//idnD//caiB//bioA//glcD//rbsK//adhE//chbG//guaA//citF//nanE//
RstA-Phosphorylated	ftsI//glyA//hemH//
RtcR	rsmH//hcaD//
RutR	lysU//gapA//paaJ//fadA//yqjH//ilvH//ahpC//kbl//tauD//glpX//lyxK//
SdiA	
SgrR	tyrB//lysC//fucU//
SlyA	fumC//idnO//cysM//ldtD//lsrK//murI//hemH//leuC//narG//
SoxR	glcD//kbl//fes//ccp//aceB//deoA//
SoxS	aspA//pncB//eda//uxaC//idnK//nrdA//lpxC//eno//ddlB//fucI//rutB//waaY//gnd//deoB//dhaL//cysE//napH//ndh//metB//rbsD//argE//mtlD//waaH//yiaK//hycD//trpA//uvrB//dkgA//
SrlR	tnaA//gcvT//nanA//
StpA	umuD//umuD//nrdF//
SutR	fadH//gntK//
TdcA	fucI//sgbU//ybjG//glpC//caiB//
TdcR	uxuB//fucU//xapA//malS//gapA//
TorR-Phosphorylated	fabH//dacC//katE//uxaB//
TorR-TorI	cysG//
TreR	fadM//fucK//
TrpR-tryptophan	lacA//atoB//paaZ//yqhD//lpxC//rutA//pagP//entF//moeA//
TyrR	patD//
TyrR-phenylalanine	dadX//ulaF//
TyrR-tyrosine	phnJ//dgcZ//fbaB//galM//fadA//pdeH//mhpA//metK//
UhpA-Phosphorylated	fbaB//
UidR	rfe//xylB//
UlaR	aroA//guaB//tdh//ubiC//paaZ//
UvrY-Phosphorylated	astB//sgbH//
UxuR	betB//entB//dgcN//purH//pspE//
XapR-xanthosine	ilvE//gudD//
XylR-xylose	argG//amn//kbaY//
YdeO	frdB//ubiC//pyrC//
YefM	cysH//
YefM-YoeB	galM//
YeiL	
YhaJ	
YiaJ	rutC//treC//fabD//trpD//rpiB//ldtB//
YjjQ	kbaY//ttdB//
YpdB-Phosphorylated	
YqhC	nrfD//paaB//
YqjI	phnO//
ZntR-Zn2	nrdE//
ZntR-Zn2+	trpA//
ZraR-Phosphorylated	
Zur-Zn2	gntK//
Zur-Zn2+	mltF//
