# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	prpE//hcaE//
Cra	prpE//putA//gatD//tdcE//aceE//sodB//malS//wzc//rbsK//rbsK//dgcC//thrS//gltD//glcD//caiC//lldD//aspA//glsA//cysG//ygeA//dhaM//glnA//ugpQ//luxS//ccp//deoD//frdA//paaF//gatD//fruK//fabA//mhpC//moeB//glcD//poxB//bacA//aroA//pyrD//kbaZ//tdh//yfdE//fumC//rutB//glcF//tpiA//ttdB//rutC//fadA//gpmM//sucA//ubiA//dmsA//purL//lysC//narG//cysE//fdhF//pdeL//katE//
CreB-Phosphorylated	hcaF//gloA//
CsgD	ynfG//astE//rpiB//chbG//phnN//
CsiR	wzb//guaB//garL//acnA//
CspA	dadX//
CueR-Cu	paaB//ilvI//fabI//ldtB//malP//
CusR-Pasp	nrfC//paaZ//argG//ampC//
CynR	
CynR-cyanate	pheT//folA//hcaF//
CysB	cynS//chbG//
CysB-O-acetyl-L-serine	appA//glgX//lpxC//phnG//purH//nrfC//pdeR//phnH//sbcC//patD//hcaE//cysH//glmS//umpH//ahpF//
CytR	citF//folA//murE//sbcD//glpX//argD//fabI//guaB//pepD//prpB//
Dan-L-tartrate	hyaC//paaH//
DcuR-Phosphorylated	aceA//ttdA//fruK//pyrD//
DeoR	allC//mhpE//metA//galE//psd//trpD//
DhaR	mhpD//
DicA	
DinJ-YafQ	glcB//
DnaA-ATP	fadJ//sucC//cysJ//asnB//rffM//argI//
DpiA-Pasp	xylB//aceE//aspC//idnK//hypF//
DsdC-D-serine	ftnA//metF//
EbgR	
EnvR	pdeL//icd//
EnvY	ascB//aspA//
EvgA-Phosphorylated	pspE//atoD//dkgA//gadA//rfe//bioB//
ExuR	alkB//hcp//nanE//garL//rffM//allE//
ExuR-alpha-D-galacturonate	
FabR	aroA//dmsC//dgcC//
FadR	rbsK//pdeL//glgC//arsC//puuD//hyaA//gcvT//dapD//malP//dadX//aroA//rutE//gpmM//citE//bioF//gcvT//sbcC//nirD//hmp//
FadR-acyl-CoA	
FeaR	paaK//folA//
FhlA-formate	zwf//narG//fadD//alkA//sodB//pykF//phnL//uxuB//
FlhDC	glpB//malY//slt//sbcD//gpmM//deoD//cynT//talA//paaB//metF//folE//pflB//dsdA//pfkA//
FliZ	rnpB//pgaB//prpC//ppiA//prpD//
FucR-L-fuculose-1-P	zwf//tdcD//trpD//leuC//puuD//nadB//
Fur-Fe2	bioA//ftsI//fabG//gdhA//sdhC//mngB//glxK//citD//phnJ//puuD//glnA//cynT//garD//gdhA//gdhA//fucK//dkgA//paaH//napH//cadA//entA//mraY//tdh//yqhD//entC//rpiB//ilvC//gatZ//galK//nanK//gloA//astA//mhpF//poxB//fadA//sdhA//fadE//murQ//argE//lacA//purE//ilvE//nrfC//talA//puuC//sufS//atoB//avtA//ppiA//aroL//bioC//uxuA//speG//metE//metA//puuD//ribA//fruK//dgcN//ssuE//amn//argI//
GadE	moaE//pheT//glpC//thrS//fabZ//ybjG//nfsA//pagP//murG//kbaY//
GadE-RcsB	hycF//dsdA//dgcC//ahpF//prpE//
GadW	hcaC//allD//bglB//cysM//
GadX	lpxA//astE//cdd//allD//phnN//rtcB//pgaD//malQ//allE//lsrG//tynA//gcvT//rutE//patA//
GalR	guaB//ampC//yfdE//folA//metK//fadI//
GalR-beta-D-galactose	fucI//narI//fbaB//mtlD//cysD//
GalS	ampC//moaE//waaY//dmsB//metH//nrdF//
GalS-beta-D-galactose	paaC//fucI//sucB//tdcD//allD//
GatR	waaH//sodA//purB//
GcvA	glxR//dacC//glpC//
GlcC-glycolate	ulaF//pgm//citC//
GlpR	hycD//srkA//serA//torA//phoA//betA//uxaC//
GlrR-Pasp56	
GntR	glpK//rutC//cysC//umuD//phnM//napG//citG//accC//dhaL//
GutM	ugpQ//paaZ//waaH//
HU	rbsK//aroG//nanK//fau//purE//mhpE//nanK//
HcaR	
HcaR-HCA	cueO//argI//
HdfR	
HigA	aldA//
HigB-HigA	glpQ//
HipAB	wrbA//cysH//
HipB	bioB//prpC//murD//
HprR-Phosphorylated	katE//lysU//udp//rffM//
HyfR	rhaD//
HypT-Met-oxidized	sufS//recD//pyrC//argD//fes//uxuB//chbG//
IclR-pyruvate	paaH//sgbU//ugpQ//
IdnR-5-ketogluconate	leuA//carA//fes//hcaB//uxaB//
IlvY	
IlvY-S-2-acetolactate	gatD//
IscR	ubiX//hcaB//recD//cadA//alaS//argG//
IscR-2Fe-2S	ychF//metK//
KdgR	betA//lsrG//
KdpE-Phosphorylated	lysU//
LacI	rbsK//prpD//patD//
LeuO	alaA//phnO//bioD//metE//polA//ruvA//
LexA	rutB//fadH//ilvM//allD//sgbH//cysI//ssuD//araB//gapA//recB//malY//glpC//ubiX//speA//arsC//aroF//rbsD//umuD//cyoE//ychF//ftsI//ppsA//cdd//
LldR	paaZ//ynfF//
LldR-S-lactate	allB//entB//
LrhA	
Lrp	cysM//cysN//dkgB//gapA//gadB//argD//fes//wecB//mhpC//idnK//cyoE//zwf//leuB//nadA//gltB//astE//avtA//fbaA//nadA//paaH//gltD//ruvA//patA//gadA//pykF//tynA//sucB//serA//uvrA//rutB//uvrC//
Lrp-leucine	tdcG//aceB//fruK//cysC//lysC//wecE//melA//bioD//cysN//pyrD//pgaB//ulaG//carB//sbcC//epd//dgcZ//rbsK//
LsrR	umuC//tktB//ribA//cysK//metF//
LysR	nadB//
MalI	mhpD//argI//
MalT-maltotriose-ATP	rutA//mpaA//allC//atoA//citD//icd//
MarA	leuC//argE//asnB//eno//ilvA//speB//caiB//paaK//ilvI//gcvH//uvrA//citD//allB//aspA//eno//hycE//mngB//entH//fumC//sucB//slt//thrS//cysD//rutC//
MarR	
MatA	mhpA//
MazE	mhpF//
MazE-MazF	galE//
McbR	
MelR	glpQ//fes//
MelR-melibiose	fumB//relA//
MetJ-adenosylmethionine	deoD//dapD//carB//argE//bioC//speB//dhaM//phnI//hycD//acnA//
MetR	malQ//hcp//
MetR-L-homocysteine	hycB//ppsA//
MhpR-3HPP	iscS//mhpB//garR//malY//dmsA//citF//
Mlc	citG//nrdE//glpB//argG//
MlrA	pspE//
MngR	sodB//argI//
MntR-Mn2+	nanK//fadA//
ModE-MoO42-	moaE//wzb//paaK//putA//hycF//citD//glpA//purM//serA//sdhA//ubiC//glgC//galK//allC//entH//speB//wecE//
MprA	napG//entD//malY//
MqsA	mpl//prpC//
MraZ	garL//yqhD//rffC//wrbA//nagB//pgk//sdaA//dkgB//asnA//citF//
MurR	wecE//aceE//atoB//
Nac	entB//ftnA//pflB//fabI//moaD//paaH//fdhF//nrdF//paaB//trpB//bacA//
NadR	fumC//ogt//uxuA//eno//
NagC	entD//gabD//frdB//serA//ndh//betB//tam//glpD//lsrF//aroH//gor//caiA//fadD//murG//hycE//tam//phnL//phnH//ftnA//
NanR	ada//psd//malZ//ldtB//zwf//waaH//
NarL-Phosphorylated	ilvC//putA//sbcD//idnD//glmS//glpK//puuB//ynfG//purK//pgk//tdcD//cynT//paaA//hyaC//ilvI//trpC//rffH//gcvP//ppc//sufS//nemA//iscS//pyrC//lpd//murE//tauD//psd//hcaE//sucC//allE//tehB//pfkA//argF//katE//purA//patD//metK//poxB//ychF//umuC//dsdA//
NarP-Phosphorylated	paaJ//rutA//mazG//hemL//ttdA//ftsI//xylB//wzc//murE//aceE//ychF//xapA//yeaE//acnA//betA//
NemR	ampC//gcvP//
NhaR-Na+	fbaB//bglB//katG//ssuD//ulaF//
NikR-Ni2+	trpE//
NimR	purD//
NorR	ubiA//
NrdR-Zn2+	ttdB//glcB//puuC//purN//
NsrR	mhpC//cysH//aceE//pnp//lpxD//uxaA//adhE//sbcC//napH//carA//fucA//lpxD//avtA//nagB//uxaB//guaB//lsrF//hyi//alkB//allC//ampC//wzc//ilvC//paaA//tam//astB//gatZ//mltF//tdcB//chbF//fadJ//rhaB//glgB//ruvA//gadB//uvrA//pdeR//glk//purC//argI//
NtrC-Phosphorylated	sucC//atoD//cysM//ilvH//hcaD//srlD//recB//citC//waaH//phoA//dadA//tnaA//tehB//lsrF//fadI//cysN//dmsA//paaA//tdcG//carB//glcE//
OmpR-Phosphorylated	aceB//ampC//treC//pncB//gapA//glmS//aroH//nrfC//
OxyR	trpB//pheT//xylA//uvrC//rffH//sucA//sodA//ubiC//gnd//argF//entA//argB//alaS//gcl//kbaZ//tynA//poxB//
PaaX	torA//tehB//lsrG//fucO//tdcG//yedX//metB//moaD//yeaE//
PdeL	gabT//
PdhR	aroL//napA//prpB//dapB//dhaM//sucD//metA//malS//cyoE//ahpC//glpK//gcvT//ilvE//phnO//glpA//glpX//mraY//cysE//alaA//cysE//lsrF//garD//napB//thrS//lysA//
PepA	cdd//citF//
PgrR	hcaE//dgcC//
PhoB-Phosphorylated	mltF//uvrB//lpxC//murE//entB//dsdA//pdeR//nirD//patA//garR//argI//yqhD//cysC//eda//uxaC//uxuA//tktB//rutB//ascB//citF//
PhoP-Phosphorylated	dapD//uxaA//rtcB//gadA//phnO//cyoE//purA//speB//bioA//moaA//yeaG//nanE//malY//cysJ//glpX//fdhF//ppsA//cueO//katE//aspC//paaJ//recD//purC//katE//sucA//murF//sdaA//dapB//lsrF//garR//deoC//icd//
PrpR-2S3S-2-methylcitrate	ulaG//sbcC//allA//murF//
PspF	ldtD//
PurR-hypoxanthine	dkgA//dadA//moeB//srkA//hyi//lsrK//sgbE//araD//pyrC//napG//pheS//mhpF//zwf//rfe//hcaF//leuC//hemL//tdcB//sucD//purE//rffC//dapD//guaA//feaB//citX//murD//
PutA	galT//fruK//
PuuR	eda//gatY//sbcD//cysG//truB//tam//
QseB-Phosphorylated	
RbsR	grxA//phnL//entB//purH//guaB//
RcdA	puuD//
RclR	
RcnR	murD//
RcsAB	cysN//entC//glnA//
RcsB-BglJ	ycjG//pgaB//
RcsB-Pasp56	nrfD//icd//argF//sbcD//
RelB	sbcD//
RelB-RelE	fabB//
RhaR-alpha-L-rhamnopyranose	
RhaS	citC//
RhaS-alpha-L-rhamnopyranose	phnG//citG//paaF//udp//
Rob	purC//mngB//ppc//ssuE//dhaM//iscS//bioD//pdeR//pgi//nfsB//arsC//paaJ//wecB//adiA//trpB//garK//chbG//prpB//metA//
RstA-Phosphorylated	frdC//serA//hcaB//
RtcR	ulaF//sdaA//
RutR	nrfA//murC//lldD//purC//nadA//ahpF//mnmG//gdhA//fumC//caiD//atoD//
SdiA	
SgrR	hypF//serC//gudD//
SlyA	sodA//dgcZ//pgm//purC//ilvH//sodA//napH//lpxD//ahpF//
SoxR	pheT//sgbH//nagA//gpmM//serA//nrdF//
SoxS	ulaG//katG//caiB//paaG//paaK//slt//oxc//gudD//tpiA//chbG//fucU//garL//yqjH//entC//ldtB//metB//folE//mdh//kbaY//garD//glpQ//alkA//uxaC//uxuB//nirB//pck//puuD//cysD//
SrlR	aroL//bioB//leuC//
StpA	glgX//glpQ//idnD//
SutR	mnmG//frdD//
TdcA	moaD//codA//gloA//sbcC//trpD//
TdcR	aspA//astC//argA//bioC//treC//
TorR-Phosphorylated	fumC//deoC//asnB//adiA//
TorR-TorI	gatZ//
TreR	bacA//waaZ//
TrpR-tryptophan	dmsA//entC//tadA//pyrC//ftsI//atoA//uxuB//araB//purC//
TyrR	metC//
TyrR-phenylalanine	paaC//uvrC//
TyrR-tyrosine	galE//murG//uxaB//nagB//yedX//cysM//puuD//yeaE//
UhpA-Phosphorylated	paaG//
UidR	murD//gltB//
UlaR	ycjG//phnP//chbG//rffM//hyaB//
UvrY-Phosphorylated	nanK//ldtB//
UxuR	polA//aspA//ruvB//avtA//argE//
XapR-xanthosine	purA//tnaA//
XylR-xylose	edd//mngB//glpD//
YdeO	lyxK//speB//bioD//
YefM	lpxD//
YefM-YoeB	paaH//
YeiL	
YhaJ	
YiaJ	citG//fadE//rhaA//gadB//rhaD//astE//
YjjQ	deoB//rutE//
YpdB-Phosphorylated	
YqhC	tdcG//cysG//
YqjI	galK//
ZntR-Zn2	umuD//
ZntR-Zn2+	nfsB//
ZraR-Phosphorylated	
Zur-Zn2	folE//
Zur-Zn2+	mtlD//
