# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	talA//hcaC//
GntR	uvrB//fadA//sbcC//katG//deoC//aroG//aroF//rbsD//trpA//
GutM	napA//ndh//amn//
HU	ssuE//ssuD//xylA//glcD//dhaL//lacZ//citC//
HcaR	
HcaR-HCA	deoC//ada//
HdfR	
HigA	argE//
HigB-HigA	glpX//
HipAB	ccp//hcaD//
HipB	purM//poxB//argH//
HprR-Phosphorylated	alkB//fabD//pheT//sbcD//
HyfR	fucI//
HypT-Met-oxidized	puuE//nagB//ruvA//ruvB//phnI//allA//trpB//
IclR-pyruvate	glgC//sdhB//aroA//
IdnR-5-ketogluconate	cysD//mpaA//ssuD//glpA//paaB//
IlvY	
IlvY-S-2-acetolactate	tktB//
IscR	sodB//tdcD//tyrB//cysC//umpH//glgX//
IscR-2Fe-2S	glcE//amn//
KdgR	uxaA//narH//
KdpE-Phosphorylated	atoB//
LacI	katE//gcvH//patA//
LeuO	gcl//tyrB//glpA//gabD//lldD//fucA//
LexA	mpl//tyrB//ybjG//uxaA//puuC//sgbH//purK//sdhB//mhpA//leuB//uxuA//hyaA//gcl//chbF//truB//nanK//ygeA//lysA//sdhD//guaA//serC//alkB//uvrA//
LldR	ilvI//fabD//
LldR-S-lactate	rhaD//paaY//
LrhA	
Lrp	fadD//mnmG//gutQ//ada//xapA//yqjH//serC//hycD//gadA//pfkA//ahpF//glnA//luxS//ubiC//rnpB//araD//murD//aspC//rutB//tdcG//nagB//nrfC//galT//garR//ldtB//fbaB//rpiB//hypF//tynA//argE//ampC//
Lrp-leucine	entC//caiB//putA//nanE//entE//mdh//tktB//nfsB//fadB//sucD//xapA//astB//trpA//tadA//gadB//pdeL//katE//
LsrR	malP//ppiA//sucD//bioF//glk//
LysR	dhaM//
MalI	argB//rtcA//
MalT-maltotriose-ATP	hemH//leuA//argH//ribA//sucA//paaB//
MarA	adhE//gntK//sgbE//hyi//dkgB//nanA//yiaK//hcaB//deoA//glgX//nfsB//entD//moaD//nrdA//fabI//talA//hyaB//gltD//rutC//paaG//gcl//recB//yfdE//uxaC//
MarR	
MatA	glcB//
MazE	prpC//
MazE-MazF	hyaB//
McbR	
MelR	moaE//frdA//
MelR-melibiose	lsrG//tdcD//
MetJ-adenosylmethionine	caiC//sucC//ascB//srkA//mhpC//carB//pgi//speG//lsrK//ldtC//
MetR	yeaE//fadI//
MetR-L-homocysteine	moaD//ampC//
MhpR-3HPP	paaK//ahpC//dgkA//fes//argE//tyrA//
Mlc	zwf//srkA//idnK//pdeL//
MlrA	phnG//
MngR	glxK//glpB//
MntR-Mn2+	mltF//frdA//
ModE-MoO42-	ccp//trpC//gatD//psd//hyi//pgm//waaZ//dmsB//udp//ynfE//caiC//recB//glk//allB//dmsA//moaE//pheS//
MprA	nirD//paaF//ada//
MqsA	argD//accD//
MraZ	speG//tauD//garD//xylA//dhaL//nrfC//rnpB//cysE//wzc//fbaA//
MurR	glgC//nfsB//pgi//
Nac	rutC//pgi//carA//purM//tdcD//poxB//yqhD//hcaB//ttdA//nemA//puuA//
NadR	pgi//aceE//rutE//nrdB//
NagC	murE//glxR//pheS//tdh//wecB//ulaD//pgpC//glgA//fucU//ynfG//hycG//fabA//argE//mhpB//pykF//aldA//gpmM//nagB//gpmM//
NanR	wrbA//gapA//alsE//fabB//uvrC//phnH//
NarL-Phosphorylated	idnD//metK//nrdE//tdcG//argD//trpB//moaE//entC//gltB//ybjG//chbG//phnM//chbF//gpmA//atoD//malP//caiA//serC//metB//tdcE//phnN//rsmH//nrdB//umpH//tdcD//caiD//murQ//ppc//ndh//tam//ssuD//recD//ttdB//lsrG//recB//citE//eno//metK//ribA//kbaY//galM//
NarP-Phosphorylated	metA//nagA//frdA//ulaF//alaC//pyrC//ilvA//glgB//rhaA//metB//nrfA//ruvB//phr//pheT//ldtC//
NemR	glpK//nrdD//
NhaR-Na+	metC//ilvI//fucI//ilvH//tnaA//
NikR-Ni2+	lpd//
NimR	ppc//
NorR	hycD//
NrdR-Zn2+	fau//paaA//citF//nanK//
NsrR	kbl//ppc//bioB//paaI//cysK//nirB//entE//gnd//garL//mtlD//cysK//ynfE//ilvD//purN//hypF//cysM//bioB//tehB//nfsB//lsrK//frdA//sgbH//umuC//fucO//leuC//argD//gloA//prpC//frdC//metK//yeaG//acnB//sgbE//ynfE//fabG//pfkA//sdhA//uxuB//mnmG//phnO//
NtrC-Phosphorylated	malS//ppc//hcaB//ilvE//purB//yiaK//tpiA//hcaF//accA//chbF//fbaA//cysK//bioF//putA//ilvG_1//paaK//mltF//fabH//glpB//yqjH//trpB//
OmpR-Phosphorylated	nrfD//rtcB//ldtC//moaE//alkA//lldD//citC//rffC//
OxyR	sodA//pck//tdcE//atoA//torA//pagP//avtA//malY//torC//rpiB//puuE//speB//cysH//ybjG//arsC//galE//yqhD//
PaaX	glxK//serA//deoA//ttdB//betB//speB//icd//hyaB//cysI//
PdeL	cysG//
PdhR	ulaD//lysC//ynfE//udp//pyrC//gcvH//purN//gcvP//acnA//thrS//dsdA//acnA//hcaB//cynT//mltF//napB//trpD//nrdF//phnI//pheT//wzc//dhaL//prpB//ubiA//cdd//
PepA	aspA//umuC//
PgrR	dapB//carB//
PhoB-Phosphorylated	adhE//hycG//dapB//ilvC//galK//entD//gadB//hycD//tam//sgbE//purN//gpmA//pagP//frdB//glpX//accD//lpd//mhpD//sdhC//purM//
PhoP-Phosphorylated	cueO//purK//fau//dsdA//murD//frdD//metK//lsrG//citG//feaB//xapA//ulaE//gabT//accA//narH//trpD//mhpA//frdD//cadA//nrdF//asnA//cysK//citX//ilvA//prpB//cysJ//ccp//acnA//pgaB//aroA//metE//purM//
PrpR-2S3S-2-methylcitrate	araB//dapD//ampC//mhpD//
PspF	fabA//
PurR-hypoxanthine	glpD//narH//icd//cysM//gpmM//phnH//frdB//garK//torC//metH//uvrB//ilvD//cdd//nfsB//nanK//dhaL//nadB//glcB//leuB//galT//lysC//purM//purB//gcvH//polA//hycG//
PutA	pgaC//sbcD//
PuuR	aldA//araA//pgpC//entF//pflB//nirB//
QseB-Phosphorylated	
RbsR	mhpD//waaH//pheT//leuB//rnpB//
RcdA	lhgO//
RclR	
RcnR	rutE//
RcsAB	dmsA//adhE//araD//
RcsB-BglJ	ldtC//aceE//
RcsB-Pasp56	gabT//bioD//ribA//lyxK//
RelB	tam//
RelB-RelE	pgpC//
RhaR-alpha-L-rhamnopyranose	
RhaS	paaG//
RhaS-alpha-L-rhamnopyranose	purN//phr//fadE//glpK//
Rob	fadB//waaZ//gloA//folE//lldD//araA//alsE//nrdA//cadA//lyxK//lldD//mhpB//glpC//glpD//sbcC//uidA//nirD//sgbH//ubiX//
RstA-Phosphorylated	pflB//tdcD//tyrB//
RtcR	mhpE//torA//
RutR	sodA//ahpC//relA//metE//sucA//deoD//nanM//dadX//rutD//talA//kbaY//
SdiA	
SgrR	tdcG//entD//lsrK//
SlyA	chbF//accD//argE//dgkA//ulaF//cynS//gabT//hycE//galK//
SoxR	rutD//alaC//metE//eda//wzb//rffT//
SoxS	glk//entA//araA//pgaC//metC//dgcZ//gloA//caiD//hemL//caiB//tehB//xylA//wecE//poxB//hycG//dgcC//metE//appA//argB//nfsB//aroG//ubiX//cyoE//gpmA//frc//citF//murD//melA//
SrlR	ascB//nanM//tehB//
StpA	caiB//mhpA//pfkA//
SutR	purH//alsE//
TdcA	fabZ//tdcE//hycB//trpC//fabA//
TdcR	astD//gudD//speG//feaB//cyoE//
TorR-Phosphorylated	glyA//metA//mltF//cadA//
TorR-TorI	dacC//
TreR	serC//waaZ//
TrpR-tryptophan	phnP//argF//guaA//moaA//paaG//astD//appA//citC//fbaA//
TyrR	mhpB//
TyrR-phenylalanine	dinB//paaK//
TyrR-tyrosine	fes//truB//betA//adhE//lacZ//metC//fbaB//araB//
UhpA-Phosphorylated	dapD//
UidR	argC//ldtC//
UlaR	hcp//citF//appA//phnH//alsE//
UvrY-Phosphorylated	puuA//citG//
UxuR	dhaM//lldD//frdD//puuE//nanK//
XapR-xanthosine	lpxD//thrS//
XylR-xylose	garR//ilvA//rhaA//
YdeO	hycE//gntK//yqjH//
YefM	atoD//
YefM-YoeB	glcB//
YeiL	
YhaJ	
YiaJ	recB//waaZ//murE//rffM//glcD//mdh//
YjjQ	metK//glxK//
YpdB-Phosphorylated	
YqhC	ynfE//deoB//
YqjI	serA//
ZntR-Zn2	putA//
ZntR-Zn2+	pnp//
ZraR-Phosphorylated	
Zur-Zn2	asnA//
Zur-Zn2+	ilvC//
