# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	sufS//mazG//
Cra	glpK//ampC//poxB//allE//araB//napG//glxR//purD//pheT//glpD//purN//gcl//pheS//sbcC//nanE//carA//adhE//asnA//phr//glcB//glcE//paaG//ruvA//hypF//deoD//slt//frdD//mhpC//frc//nfsB//polB//rnpB//sbcC//citE//fabI//ilvC//feaB//gnd//betB//folE//fumC//nadB//gcvH//bioF//hcaC//lhgO//lacZ//cysC//nagA//mraY//kbaZ//nanE//allD//citX//aspA//gatZ//sbcC//dinB//rtcA//
CreB-Phosphorylated	glcE//pck//
CsgD	fucK//amn//yeaE//narI//gcvH//
CsiR	nadA//dacC//hcaC//gdhA//
CspA	ybjG//
CueR-Cu	cdd//purN//glpA//napG//lldD//
CusR-Pasp	glgX//nrfC//caiD//dkgB//
CynR	
CynR-cyanate	trpD//serC//tam//
CysB	kbaZ//purF//
CysB-O-acetyl-L-serine	argF//argA//iscS//polA//ynfF//napH//murD//garL//asnA//idnD//serC//rtcB//ubiC//gcvH//fabB//
CytR	pck//wecB//uxaC//ruvA//allB//argH//ulaG//moaE//sdaA//dacC//
Dan-L-tartrate	moaD//eno//
DcuR-Phosphorylated	tadA//moaA//gapA//uvrC//
DeoR	trpA//rutD//argI//purK//bioC//astC//
DhaR	pgaD//
DicA	
DinJ-YafQ	moaD//
DnaA-ATP	fabD//gadB//ynfH//ldtD//cysC//acnB//
DpiA-Pasp	recB//moaE//lldD//glmU//murF//
DsdC-D-serine	malZ//sdhC//
EbgR	
EnvR	cdd//eda//
EnvY	ppiA//glgP//
EvgA-Phosphorylated	metC//umuC//cysD//rutC//pgi//glgA//
ExuR	iscS//betB//prpC//carA//asnB//mngB//
ExuR-alpha-D-galacturonate	
FabR	galM//nfsA//fruK//
FadR	thrS//frdB//kbaZ//nadB//fadI//ung//puuA//tdh//torA//epd//ybjG//speB//glcD//bioD//sdaA//tdh//lpd//ung//uxuA//
FadR-acyl-CoA	
FeaR	tdcE//phr//
FhlA-formate	napB//ndh//ygeA//glgC//purH//glmS//galM//ahpC//
FlhDC	purM//yfdE//ahpF//hmp//sdaA//leuD//dmsB//talA//sodB//pykF//idnO//putA//gcvP//nadB//
FliZ	paaA//phnO//pgm//hycG//citG//
FucR-L-fuculose-1-P	dadX//ftsI//yiaK//frc//wzb//uxuB//
Fur-Fe2	lpxA//purE//bioC//feaB//guaB//ung//hypF//umuC//glpB//lpxC//gntK//mltF//cysC//leuD//bglB//glcB//lsrG//pgk//speG//trpC//moaC//uvrA//fadA//codA//tehB//fadD//argH//cynS//paaH//amn//fbaA//entD//rhaB//caiA//fadH//aspC//fabH//glmS//uxuB//pdeR//allC//fdhF//ilvD//gpmM//oxc//ahpF//putA//cysM//feaB//cynT//hcaD//dkgB//cysE//serA//hcaF//tynA//ubiC//ahpF//lldD//deoD//paaK//purA//
GadE	purA//mhpD//gntK//luxS//mhpB//aldA//moaC//kbaZ//rfe//hypF//
GadE-RcsB	garL//allC//gatY//aroL//nfsB//
GadW	rhaA//moaD//gatD//araD//
GadX	iscS//hcaE//dmsB//accA//kbaY//phnL//pyrD//trpC//cynS//aroF//grxA//lhgO//polB//eno//
GalR	fucO//dhaK//murI//lyxK//recB//moeA//
GalR-beta-D-galactose	argH//bioD//ilvH//moaC//betA//
GalS	puuA//deoD//psd//gcvH//waaZ//hyaA//
GalS-beta-D-galactose	garL//thrS//dgcC//ldtC//dhaM//
GatR	uxaB//murI//glmS//
GcvA	fabZ//uxuB//ilvG_1//
GlcC-glycolate	murQ//grxA//argD//
GlpR	glgX//treC//argA//hmp//melA//paaZ//malQ//
GlrR-Pasp56	
GntR	glcF//tdcB//ulaE//rffH//ubiA//atoD//caiA//wecE//edd//
GutM	aroH//fucO//sucC//
HU	galK//dsdA//mtlD//araD//putA//paaB//leuA//
HcaR	
HcaR-HCA	appA//ilvG_1//
HdfR	
HigA	bioA//
HigB-HigA	ftsI//
HipAB	ulaF//tauD//
HipB	xylA//ftsI//nanK//
HprR-Phosphorylated	phnH//folE//hcaD//nagA//
HyfR	pncB//
HypT-Met-oxidized	dadX//oxc//citD//uidA//cysN//glpD//ilvI//
IclR-pyruvate	yedX//guaA//citE//
IdnR-5-ketogluconate	pgm//cysK//pdeR//fbaA//bacA//
IlvY	
IlvY-S-2-acetolactate	uidA//
IscR	glgC//ahpC//yeaE//murE//dapB//xylB//
IscR-2Fe-2S	argG//putA//
KdgR	paaC//nrfD//
KdpE-Phosphorylated	tam//
LacI	ddlB//cynT//ruvB//
LeuO	yeaE//pflB//lsrG//tdcE//dhaM//mpaA//
LexA	cadA//astD//mdh//rutA//luxS//tdcD//cysI//rutA//tauD//leuD//mhpE//fbaB//accC//betA//uvrB//gapA//citE//wecB//lsrF//lysC//paaA//metL//atoA//
LldR	fucK//ulaF//
LldR-S-lactate	malZ//lacA//
LrhA	
Lrp	dacC//tdcE//gatY//mhpB//purA//ahpF//fadJ//nanK//hcaD//dmsB//ppsA//nanK//bioB//recD//cueO//yiaK//fabD//poxB//umpH//glcE//bioF//nfsA//yqjH//aroA//ssuD//gapA//sdaA//lldD//pnp//umpH//lpxA//
Lrp-leucine	dmsB//puuE//ppc//rutA//hmp//poxB//caiD//accA//rffH//pgm//rffC//dadX//lpxC//pgi//alkB//fadI//pdeR//
LsrR	hcaE//araB//ftnA//citX//gudD//
LysR	yqjH//
MalI	dacC//malP//
MalT-maltotriose-ATP	fdhF//puuB//trpB//fabI//dmsB//frdB//
MarA	narG//dhaL//rbsK//alaC//paaH//nrdF//umuC//napA//hycD//sbcC//epd//lpd//dgkA//argE//phnL//hyi//napG//ruvB//entB//rtcA//bacA//moaA//purE//caiB//
MarR	
MatA	deoD//
MazE	argH//
MazE-MazF	ygeA//
McbR	
MelR	grxA//prpE//
MelR-melibiose	garL//moaA//
MetJ-adenosylmethionine	cysE//nanA//rffC//mhpF//folA//aceE//puuC//uxaB//rutA//gatY//
MetR	gor//putA//
MetR-L-homocysteine	allE//argG//
MhpR-3HPP	betB//asnB//paaZ//dinB//cysG//gdhA//
Mlc	pdeR//tdcB//uvrA//argB//
MlrA	ndh//
MngR	trpE//allA//
MntR-Mn2+	aroL//pgm//
ModE-MoO42-	glgC//srlD//fabZ//eno//trpE//galM//paaB//ssuD//caiB//umpH//glpK//caiB//paaH//polA//malS//pgpC//yeaE//
MprA	hcaB//glxR//fau//
MqsA	relA//glpB//
MraZ	gapA//argI//araD//mhpE//metE//glpK//avtA//argF//hycE//glpX//
MurR	pyrC//phnH//pgm//
Nac	ccp//narG//hcaB//lpxD//nirB//caiB//paaH//dkgB//rffH//mhpF//gcvH//
NadR	araB//eda//hcp//lhgO//
NagC	folE//mhpE//lpxA//argA//sdhB//bglB//fumC//murD//avtA//uxuB//recF//hyi//wecE//fucU//cysC//rffH//ascB//lsrK//bioD//
NanR	nrdE//nrfA//gadA//recF//rffH//tynA//
NarL-Phosphorylated	aroH//paaC//uxuB//tyrA//frdA//bioF//ubiA//ilvD//cysD//pdeH//caiD//rbsK//fabZ//mazG//tehB//bglB//pheS//ftnA//rutD//metA//yqhD//tyrB//epd//cysD//trpD//glpA//pgm//aspA//ynfG//yiaK//epd//lacA//nrfD//fucU//katG//paaH//puuC//bioB//serA//sbcC//cysI//
NarP-Phosphorylated	nirD//ynfE//paaE//napB//paaE//tam//citC//ftsI//aroA//tdh//glsA//tadA//sgbH//mpaA//aspA//
NemR	gcl//murF//
NhaR-Na+	lsrK//narG//speB//rpiB//aroG//
NikR-Ni2+	aroA//
NimR	ubiA//
NorR	recF//
NrdR-Zn2+	nagB//glcB//murD//idnD//
NsrR	dgcC//glcD//ulaD//mdh//relA//moeB//rhaB//hyaC//sucA//rsmH//gcl//aroF//edd//nirD//argF//argC//yedX//rimK//ybjG//moaD//nanA//lhgO//entA//aceB//nrfD//fabZ//fabG//entE//accA//murD//hcaF//astB//gapA//glsA//uxaA//tdcE//citD//argI//glmS//rffM//
NtrC-Phosphorylated	aceA//thrS//frc//nadB//carB//rfe//sdhA//tadA//allB//polB//hmp//rutC//pepD//aroH//ydcS//wzb//glsA//deoD//ada//ychF//polB//
OmpR-Phosphorylated	wzc//napG//entF//mhpA//ygeA//eda//ppiA//glpQ//
OxyR	nanM//wecE//pfkA//kbaY//allC//pgaC//sodA//puuE//citX//bioD//idnK//tnaA//puuC//alsE//uvrA//hycC//ilvD//
PaaX	nfsA//sdhD//tam//gabT//murG//gabT//hypB//lysU//dkgB//
PdeL	torC//
PdhR	gudD//fabB//dapD//glcD//ada//wzc//glmU//metF//fadM//umuD//pyrD//malZ//cadA//nrdD//oxc//arsC//nanA//sodA//sodA//idnK//glcD//paaG//alaS//napB//idnK//
PepA	citE//xapA//
PgrR	umuC//ddlB//
PhoB-Phosphorylated	tynA//ilvH//glgA//carB//allD//betB//ppiA//thrS//cueO//tyrA//narH//rhaD//ahpF//ulaF//thrS//accD//rffT//sbcC//bioC//entA//
PhoP-Phosphorylated	rtcB//wrbA//ilvH//phnP//ribA//rnpB//truB//glpQ//caiB//murQ//fadB//pspE//phnO//argB//metH//ynfG//mdh//icd//tam//uxuB//ssuD//murQ//araD//ppsA//dkgA//deoD//puuE//alaS//speG//ydcS//bacA//rutC//
PrpR-2S3S-2-methylcitrate	codA//moeA//galM//napA//
PspF	paaZ//
PurR-hypoxanthine	phnH//dsdA//pgaB//ynfG//fucA//ulaF//aceA//cysI//nrdA//luxS//moaA//tdcE//glsA//amn//glpD//guaA//fadD//ada//glcD//ampC//tdh//mltF//cysH//idnD//eda//nirB//
PutA	hycC//mdh//
PuuR	paaC//nagA//phnO//rhaD//rpiB//entF//
QseB-Phosphorylated	
RbsR	nanM//metB//hycC//prs//sgbE//
RcdA	hycB//
RclR	
RcnR	hcaB//
RcsAB	entH//ilvD//trpB//
RcsB-BglJ	katE//mhpE//
RcsB-Pasp56	citC//lacA//mpl//pdeH//
RelB	sgbH//
RelB-RelE	caiC//
RhaR-alpha-L-rhamnopyranose	
RhaS	rffT//
RhaS-alpha-L-rhamnopyranose	pdeR//ruvB//lacZ//uxaB//
Rob	bglB//napB//purL//trpE//allE//yqjH//bglB//adhE//murD//ndh//aroA//metH//rimK//srlD//ulaE//pdeL//ilvM//entH//pck//
RstA-Phosphorylated	glcF//wecB//phnM//
RtcR	hcaE//ilvI//
RutR	fadM//galE//fadB//tyrA//oxc//tktB//tynA//glsA//tyrA//entE//cysD//
SdiA	
SgrR	purE//lpxA//phnM//
SlyA	paaE//wrbA//kbaZ//ubiC//metF//idnD//astC//tauD//lsrF//
SoxR	dhaK//hcaD//prpB//adhE//dmsA//nrfD//
SoxS	leuD//ftnA//ddlB//ubiC//bioD//dinB//aspC//gatY//hyi//rhaD//hyaB//arsC//nrdA//katE//gcvH//hemL//ribA//astB//kbaZ//idnO//rtcA//murQ//phr//ldtC//frdA//polA//metH//ppc//
SrlR	dhaM//srkA//araA//
StpA	accC//cysE//waaH//
SutR	murD//frdC//
TdcA	rffH//fabB//galK//gadB//hycE//
TdcR	sdaA//cynS//ubiA//hemH//ulaE//
TorR-Phosphorylated	phnG//rutD//ulaG//talA//
TorR-TorI	lldD//
TreR	glcE//allE//
TrpR-tryptophan	glpB//accC//ilvH//napG//folA//alkB//prpC//idnK//glpD//
TyrR	citX//
TyrR-phenylalanine	acnB//murI//
TyrR-tyrosine	zwf//ruvA//ada//metH//rffH//citE//entB//citG//
UhpA-Phosphorylated	glpB//
UidR	fucO//argA//
UlaR	paaA//fumC//hypF//idnO//allE//
UvrY-Phosphorylated	chbG//glcD//
UxuR	argE//yeaG//nadA//guaB//murD//
XapR-xanthosine	paaY//entE//
XylR-xylose	iscS//prpD//ftsI//
YdeO	araA//ppsA//fbaB//
YefM	dadA//
YefM-YoeB	ilvA//
YeiL	
YhaJ	
YiaJ	poxB//ycjG//lpxD//aceA//uxuB//bioA//
YjjQ	nrfD//lhgO//
YpdB-Phosphorylated	
YqhC	sdaA//gcvP//
YqjI	ldtC//
ZntR-Zn2	serA//
ZntR-Zn2+	purE//
ZraR-Phosphorylated	
Zur-Zn2	gcvP//
Zur-Zn2+	alsE//
