# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	dadX//fes//
GalR-beta-D-galactose	wecB//nrdD//mhpD//argE//cysH//
GalS	grxA//recB//murC//fadE//uxaC//patD//
GalS-beta-D-galactose	rtcB//wecC//rutE//gloA//cysC//
GatR	pnp//hcaF//rffH//
GcvA	uxuB//nadB//malS//
GlcC-glycolate	metE//fes//ppc//
GlpR	cyoE//pdeR//recB//psd//ulaG//ribA//gabD//
GlrR-Pasp56	
GntR	dgcC//phnP//mhpC//ynfH//caiA//purL//nfsA//moeA//fadD//
GutM	deoB//ynfF//glpA//
HU	ogt//katG//leuD//fadJ//pgaD//melA//ubiA//
HcaR	
HcaR-HCA	ampC//carA//
HdfR	
HigA	fadJ//
HigB-HigA	paaG//
HipAB	dgcN//gadA//
HipB	dkgB//nirB//mpl//
HprR-Phosphorylated	nfsA//ada//dadX//rbsD//
HyfR	fadD//
HypT-Met-oxidized	aceA//narH//nanM//ynfF//metB//ldtB//adiA//
IclR-pyruvate	dkgA//carB//nemA//
IdnR-5-ketogluconate	garL//gabT//yeaG//appA//gloA//
IlvY	
IlvY-S-2-acetolactate	fadM//
IscR	trpD//rtcB//araA//tyrA//speA//phnJ//
IscR-2Fe-2S	pyrD//caiA//
KdgR	xylB//argG//
KdpE-Phosphorylated	recB//
LacI	pyrC//pgaC//kbl//
LeuO	xapA//cadA//ftnA//lysU//ahpF//zwf//
LexA	gltB//mazG//asnB//fucI//metC//sgbE//dkgB//gpmM//xylA//citX//ybjG//paaH//ybjG//srlD//eda//paaB//icd//rfe//argH//psd//mraY//nanM//citD//
LldR	eda//deoC//
LldR-S-lactate	nfsB//paaE//
LrhA	
Lrp	alkB//tdcB//phnM//gatD//ychF//ldtB//malY//nirB//alsE//glxK//truB//lpxD//srlD//uxaB//sucA//argA//idnK//uxaC//hemH//nrdE//kbaZ//betA//gcl//sucA//glpK//rbsK//dacC//wrbA//bioB//hyi//argD//
Lrp-leucine	gapA//argC//metE//bioA//rhaD//mnmG//ulaF//glpC//ygeA//entA//hycF//entF//purC//moaC//sgbE//uxaC//ulaE//
LsrR	recF//luxS//allE//dgcZ//lysU//
LysR	rnpB//
MalI	psd//tdcE//
MalT-maltotriose-ATP	gntK//amn//murC//araD//mtlD//cysM//
MarA	argC//glpD//dgkA//puuA//gloA//dhaM//lyxK//ulaE//mraY//kbl//murE//aldA//astE//rfe//pagP//uxaA//nanK//argG//hcaB//ubiX//paaZ//sucB//phnP//edd//
MarR	
MatA	speG//
MazE	cynS//
MazE-MazF	uxuB//
McbR	
MelR	metL//gloA//
MelR-melibiose	gatD//aspA//
MetJ-adenosylmethionine	pflB//tdh//sdhC//mhpF//yqjH//astD//pgi//sbcC//luxS//paaG//
MetR	fbaB//thrS//
MetR-L-homocysteine	recB//aroG//
MhpR-3HPP	mhpC//nrdE//purL//waaY//sucA//puuC//
Mlc	bioB//arsC//aspC//nrdE//
MlrA	aroA//
MngR	fadM//nfsA//
MntR-Mn2+	fumB//bioC//
ModE-MoO42-	ynfH//gntK//metE//idnK//purC//speG//rnpB//luxS//epd//pdeH//nanK//glcB//yedX//ynfE//chbF//cyoE//patD//
MprA	idnO//rhaA//lsrK//
MqsA	fadD//metE//
MraZ	purA//trpA//accC//dgcN//nrdE//cdd//ftnA//lpd//dmsC//ubiX//
MurR	ascB//mhpF//glmU//
Nac	ftnA//frdB//ulaE//mltF//epd//phnJ//puuA//caiB//pyrC//malZ//dadX//
NadR	argA//betB//dadA//ahpC//
NagC	gltD//betB//uvrC//phnM//entH//ynfH//ynfE//torC//tktB//purK//citD//alkB//avtA//dapD//frdD//gatY//pdeL//eno//purF//
NanR	zwf//astC//lacA//gabD//nirB//argF//
NarL-Phosphorylated	phnP//astD//ttdA//lsrG//bioC//napA//lysU//caiD//rsmH//sbcC//ubiC//cysH//rbsK//fabZ//prpC//fucK//puuC//sodA//mngB//sdaA//galK//nanA//ada//pepD//argG//fabZ//ynfH//sodB//hypB//rnpB//tehB//gltB//narG//fau//sgbH//garR//ilvD//feaB//tam//tnaA//atoA//
NarP-Phosphorylated	malQ//ilvI//leuB//chbG//fumC//hyaA//ssuD//moeB//lysU//argG//cdd//sdhC//ynfG//idnO//wrbA//
NemR	fbaA//torC//
NhaR-Na+	pykF//purA//trpA//trpA//sdhA//
NikR-Ni2+	paaE//
NimR	phnN//
NorR	cysH//
NrdR-Zn2+	yeaG//asnA//entD//idnK//
NsrR	murD//alaS//murI//uxuB//fumC//glgP//paaC//accD//ftsI//dgcN//trpD//pnp//uvrC//entH//yqjH//pdeL//garL//atoA//lpd//carB//xapA//glxR//wrbA//uxaC//araB//aldA//ldtD//gcvH//pgaB//avtA//phnO//frc//tpiA//guaB//gcvT//nagA//idnO//appA//psd//ilvC//
NtrC-Phosphorylated	uxaC//carA//moaE//paaY//citF//glmS//aceA//wrbA//cysJ//ydcS//fabA//rfe//gpmA//dinB//entB//tktB//feaB//ulaG//ldtD//araD//murQ//
OmpR-Phosphorylated	glmS//ascB//dadX//waaH//argH//rhaB//dgcC//napB//
OxyR	metL//rtcB//phnJ//hyi//glsA//hcaE//eda//pykF//murG//pfkA//fucO//folA//citX//pagP//paaJ//fadB//mhpC//
PaaX	astA//polB//mraY//ahpC//fadA//pflB//ilvG_1//folE//uxaC//
PdeL	putA//
PdhR	argA//idnO//atoD//phr//citE//putA//hcaE//gudD//pgaB//rtcB//malY//mhpB//pspE//adhE//folE//galM//allA//malQ//mraY//sodB//glxK//gcvP//ccp//cysE//hyi//
PepA	nadA//rhaB//
PgrR	nrdE//mpl//
PhoB-Phosphorylated	bioB//waaY//epd//ftsI//aroA//tyrA//accD//puuC//avtA//purA//glxK//fadH//uxuB//trpC//yiaK//frc//paaZ//patA//fbaB//deoB//
PhoP-Phosphorylated	nrfC//uidA//avtA//nrfD//dapB//pepD//mraY//ulaD//carA//putA//lacZ//ydcS//gadA//ruvB//hcaC//tnaA//argE//rutD//purC//phnJ//bioB//argD//rutD//cysG//cueO//lsrF//ccp//sgbH//mhpE//pheS//wrbA//gabT//
PrpR-2S3S-2-methylcitrate	rffH//purK//prs//gnd//
PspF	hcaF//
PurR-hypoxanthine	treC//gatZ//hmp//astE//mhpF//phnI//waaZ//dadX//araA//paaH//grxA//waaY//astD//waaZ//gabT//bioB//paaC//pgm//paaI//betA//paaB//entF//hyaB//argC//mdh//sufS//
PutA	alaA//ftnA//
PuuR	lldD//katE//glxR//uxuA//sgbE//fucK//
QseB-Phosphorylated	
RbsR	dapB//dsdA//acnB//lpd//murF//
RcdA	aroG//
RclR	
RcnR	fadE//
RcsAB	glgB//tynA//kbaZ//
RcsB-BglJ	yeaG//glmS//
RcsB-Pasp56	aceE//ldtC//glpB//nrfA//
RelB	argG//
RelB-RelE	xapA//
RhaR-alpha-L-rhamnopyranose	
RhaS	hcaE//
RhaS-alpha-L-rhamnopyranose	wecB//trpA//ilvG_1//fes//
Rob	patA//purL//entB//glmU//galM//gor//speG//yqhD//pheT//yeaE//ribA//trpB//tdcD//ftnA//patA//ssuD//cyoE//rhaB//pck//
RstA-Phosphorylated	glpC//mhpB//pheT//
RtcR	eda//rffT//
RutR	frdD//paaI//fumC//trpE//trpA//katE//relA//frdA//ubiX//phnL//bioD//
SdiA	
SgrR	folA//wecE//guaA//
SlyA	citX//bioC//ogt//nrfD//tnaA//ynfF//cysN//ilvI//ttdB//
SoxR	glmU//pagP//puuC//allE//xapA//nanE//
SoxS	kbaY//bacA//speB//murE//tdh//acnA//mazG//hyi//rutC//fadI//dapB//ahpC//recB//ruvB//allB//bioC//trpD//pgk//hyaC//ubiX//rfe//eno//araD//citE//waaH//mdh//rutA//fbaB//
SrlR	idnK//argF//gadB//
StpA	dadX//kbl//fucO//
SutR	torA//rbsK//
TdcA	sodA//tnaA//gloA//deoB//wecC//
TdcR	nirD//ugpQ//accC//alaA//epd//
TorR-Phosphorylated	lyxK//yiaK//umuD//hycE//
TorR-TorI	astA//
TreR	aceF//rbsD//
TrpR-tryptophan	paaY//tyrA//murF//fabZ//malP//recD//tauD//atoD//lysC//
TyrR	torC//
TyrR-phenylalanine	gcvT//lldD//
TyrR-tyrosine	truB//metB//ynfG//aroF//sucA//malQ//metB//guaB//
UhpA-Phosphorylated	glgP//
UidR	cysC//glyA//
UlaR	ulaF//astB//leuA//rhaA//sdhB//
UvrY-Phosphorylated	paaI//fabD//
UxuR	cyoE//katG//ftsI//hypB//entD//
XapR-xanthosine	polB//bioB//
XylR-xylose	glgA//metC//recD//
YdeO	acnB//recF//tdcG//
YefM	uvrB//
YefM-YoeB	mazG//
YeiL	
YhaJ	
YiaJ	garD//rsmH//ascB//aroL//glpB//paaY//
YjjQ	garD//hcaD//
YpdB-Phosphorylated	
YqhC	argF//glgX//
YqjI	gabD//
ZntR-Zn2	cysN//
ZntR-Zn2+	yqjH//
ZraR-Phosphorylated	
Zur-Zn2	bioC//
Zur-Zn2+	dsdA//
