# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	tpiA//idnD//
PaaX	purE//argB//atoB//thrS//treC//glk//fucU//alaS//patA//
PdeL	entC//
PdhR	gutQ//galT//cynT//murE//narG//tdcB//glpK//fabH//yeaE//fucA//torC//xylB//atoB//ybjG//dadA//argC//fabB//fabI//paaJ//citE//yfdE//pgk//nanK//citC//lsrF//
PepA	srkA//purH//
PgrR	citG//gutQ//
PhoB-Phosphorylated	betB//carA//rutC//glpQ//mnmG//trpA//rhaA//lldD//entC//ndh//glxK//patD//accC//deoD//dgcC//hycE//frdA//napA//aroF//glpD//
PhoP-Phosphorylated	sufS//murI//mdh//ftsI//ung//deoA//pgi//ssuD//fadB//glxK//glgC//ampC//patD//glcF//ppiA//fadD//serA//lacA//entD//aceE//nanE//lsrG//rnpB//argG//lysC//astA//nrfA//adiA//fucK//pncB//icd//ulaE//
PrpR-2S3S-2-methylcitrate	hcp//patD//umuD//mpl//
PspF	glsA//
PurR-hypoxanthine	fdhF//glgB//mdh//fes//allA//glpK//ampC//astB//gcvP//rhaA//fabA//xylB//puuD//lysU//pncB//gcvH//torC//glcB//chbF//lsrF//phnL//sdhB//nanE//leuD//fadJ//ynfH//
PutA	hycG//fadH//
PuuR	glpA//tdcD//ascB//citX//phnG//gcvP//
QseB-Phosphorylated	
RbsR	chbG//umuC//argG//hyaC//metL//
RcdA	deoA//
RclR	
RcnR	glmS//
RcsAB	uvrA//uxuB//fadE//
RcsB-BglJ	hyaC//entB//
RcsB-Pasp56	accC//frdD//deoA//cysD//
RelB	mdh//
RelB-RelE	talA//
RhaR-alpha-L-rhamnopyranose	
RhaS	tam//
RhaS-alpha-L-rhamnopyranose	sucC//fabH//asnA//uxaA//
Rob	bacA//phoA//nrfC//aspC//glpX//entF//puuC//puuE//nadB//cysK//argE//paaA//wzb//metF//luxS//dgcC//garR//nadB//fabB//
RstA-Phosphorylated	accA//phoA//dhaL//
RtcR	rutC//hypF//
RutR	hypB//nfsB//recD//hcaF//paaY//idnO//phr//lhgO//hyi//lysU//kbaZ//
SdiA	
SgrR	phr//frdD//rutA//
SlyA	fabB//glpQ//gntK//galT//murF//patA//fucK//carA//leuD//
SoxR	appA//fes//entH//mhpC//murD//tpiA//
SoxS	bioC//lsrK//fadJ//cysM//rtcB//mdh//purH//oxc//cysC//ilvE//mltF//aroL//bacA//nagB//fadA//hyaC//nfsA//puuD//gadB//iscS//rffT//ssuD//phnH//gdhA//rutD//prpC//nemA//asnA//
SrlR	purN//glyA//galE//
StpA	alsE//gatZ//hcaB//
SutR	citF//fabI//
TdcA	ilvI//murF//uxaB//fucK//deoB//
TdcR	uvrB//lsrK//mraY//fruK//glgC//
TorR-Phosphorylated	sufS//cysN//tdcE//atoA//
TorR-TorI	ynfG//
TreR	paaA//argE//
TrpR-tryptophan	aroA//glmU//puuB//avtA//glcE//citG//paaF//puuA//patD//
TyrR	murI//
TyrR-phenylalanine	idnD//fadA//
TyrR-tyrosine	cysM//lsrK//chbG//idnD//hemL//phnN//narI//uvrA//
UhpA-Phosphorylated	argH//
UidR	wzb//argB//
UlaR	fabI//glpA//sgbH//waaY//purC//
UvrY-Phosphorylated	ftsI//lpxD//
UxuR	sucA//sdhD//metK//pgm//paaE//
XapR-xanthosine	rimK//phr//
XylR-xylose	grxA//galK//cysH//
YdeO	aroG//ppiA//yeaE//
YefM	sgbU//
YefM-YoeB	kbaY//
YeiL	
YhaJ	
YiaJ	cysK//tdcD//malQ//tehB//bglB//garL//
YjjQ	caiC//serC//
YpdB-Phosphorylated	
YqhC	katG//paaY//
YqjI	gpmA//
ZntR-Zn2	ppc//
ZntR-Zn2+	fadI//
ZraR-Phosphorylated	
Zur-Zn2	tam//
Zur-Zn2+	tyrB//
