# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	allE//pncB//
Cra	hemL//bioA//hycF//fabI//trpD//kbaY//glmS//deoD//sbcD//glyA//pdeH//cynT//talA//uxaB//hypB//lpxA//narG//bglB//fadA//gnd//sucD//araD//purE//astA//metA//ftnA//ppc//ubiC//malP//nagB//entE//idnD//luxS//ydcS//treC//gcl//puuA//nagB//phnG//waaH//sufS//ulaD//ilvI//purD//glpB//hyaA//moaD//bglB//uxaB//ttdB//wecB//metB//tadA//ilvI//moaD//fucO//gcvT//garR//nadA//
CreB-Phosphorylated	purD//deoA//
CsgD	trpD//leuC//arsC//argI//dkgA//
CsiR	citE//glgB//purF//ugpQ//
CspA	zwf//
CueR-Cu	paaJ//fbaA//sodB//metB//dgcN//
CusR-Pasp	gor//ndh//sdhD//rutE//
CynR	
CynR-cyanate	lsrK//napG//fucO//
CysB	glsA//ilvG_1//
CysB-O-acetyl-L-serine	gor//purK//accC//mnmG//glpA//nrfD//metC//waaZ//srlD//citX//ruvA//paaA//puuE//dgkA//aldA//
CytR	murE//ubiA//pdeR//entH//pheT//purE//betA//ynfE//puuE//phoA//
Dan-L-tartrate	ahpF//hmp//
DcuR-Phosphorylated	pnp//nrdD//rhaB//phnP//
DeoR	glxR//glk//fadE//uvrC//fucA//entE//
DhaR	purB//
DicA	
DinJ-YafQ	ahpC//
DnaA-ATP	ftnA//lyxK//gadA//rffM//garD//gabT//
DpiA-Pasp	cysK//cysH//pgpC//gpmA//argA//
DsdC-D-serine	rutE//lacA//
EbgR	
EnvR	aroF//uvrB//
EnvY	entD//speA//
EvgA-Phosphorylated	feaB//glcE//ruvA//nrdA//tpiA//ttdA//
ExuR	pncB//hcaE//citD//accA//gatZ//purD//
ExuR-alpha-D-galacturonate	
FabR	lsrG//fabG//pgaB//
FadR	bioC//dadX//speB//metA//nanE//betB//uvrC//hcaE//yeaG//nirB//moaD//dgcN//caiA//uidA//pyrC//dapD//caiB//frdD//trpD//
FadR-acyl-CoA	
FeaR	umuD//lacZ//
FhlA-formate	glpX//purE//entA//gapA//hcaD//ydcS//acnA//nadB//
FlhDC	entE//pflB//murE//speG//umuC//araD//garL//allB//cdd//hycF//dadX//alkA//nrfD//malQ//
FliZ	pgi//ybjG//fes//folA//paaG//
FucR-L-fuculose-1-P	rffG//kbaY//hycC//lldD//paaB//sdhC//
Fur-Fe2	alkA//paaY//cysD//hycE//bioA//paaZ//astC//paaK//hypB//citF//rhaD//galM//mpaA//idnK//mhpB//entB//eno//speG//caiB//dmsA//malY//ilvI//nrdE//recF//lhgO//mhpF//rffC//entD//dhaM//cysI//metA//kbaY//metE//icd//ssuD//luxS//glpQ//nadA//narG//puuC//araD//lpxC//phnI//kbaY//grxA//frdC//paaH//purC//metL//nrfA//gapA//garD//ulaF//lhgO//caiD//nrfD//purA//fadJ//lacA//bioA//sucA//napG//
GadE	pdeR//waaH//paaI//alaA//adhE//malZ//paaF//ascB//hyaA//bglB//
GadE-RcsB	pflB//fucA//tdh//puuB//nfsA//
GadW	tdcD//puuE//polA//tyrB//
GadX	frc//hemL//katG//paaK//uxuA//ynfF//dadX//gadA//yqhD//prpB//astD//astB//hycD//purA//
GalR	zwf//adiA//caiD//trpE//eno//phnP//
GalR-beta-D-galactose	paaJ//katE//bioD//glmS//nrdB//
GalS	ilvH//pspE//fadJ//citD//rffM//ygeA//
GalS-beta-D-galactose	tam//rpiB//pfkA//prpE//nrdA//
GatR	icd//xylB//aceE//
GcvA	citD//entE//lhgO//
GlcC-glycolate	bglB//ybjG//wzc//
GlpR	lysU//serC//ynfE//alaS//gcl//ilvE//recF//
GlrR-Pasp56	
GntR	dgcZ//serA//glgP//rutC//sucB//metB//deoA//gntK//fbaA//
GutM	treC//fadB//tehB//
HU	pdeL//citD//arsC//sdhD//glk//sdhC//tdcE//
HcaR	
HcaR-HCA	nemA//lacA//
HdfR	
HigA	trpC//
HigB-HigA	ubiX//
HipAB	fucU//fucK//
HipB	fadB//allC//metH//
HprR-Phosphorylated	paaY//nrdA//tyrB//tdcD//
HyfR	cadA//
HypT-Met-oxidized	bioD//galM//hypB//gntK//aceE//pyrC//gnd//
IclR-pyruvate	glgB//mhpB//folE//
IdnR-5-ketogluconate	gpmM//paaB//sucB//dgcC//rfe//
IlvY	
IlvY-S-2-acetolactate	deoA//
IscR	wzb//mazG//talA//bioD//sodB//codA//
IscR-2Fe-2S	yqhD//ilvD//
KdgR	prpB//oxc//
KdpE-Phosphorylated	dinB//
LacI	puuD//fdhF//rffT//
LeuO	pgaD//pagP//napH//wecC//serC//ssuD//
LexA	garD//sgbE//ycjG//pgm//glpX//sdhA//sodB//accA//serC//paaZ//gcvT//gnd//cysK//purE//trpE//rtcA//purH//rutC//aceA//fadH//leuA//dkgA//glgC//
LldR	dgcZ//metB//
LldR-S-lactate	ppc//ubiC//
LrhA	
Lrp	pgaD//allE//mnmG//cysH//aroF//hcaD//entF//ygeA//purF//waaY//cysM//dkgB//recF//argI//gadB//pck//cdd//amn//ycjG//tnaA//ulaG//citC//gatD//lsrG//lacZ//ugpQ//patA//ftsI//lldD//speB//treC//
Lrp-leucine	allB//fadM//moaC//folE//prpB//pheT//fucA//glmS//malP//dgcC//frdB//cynS//alsE//pgaC//ruvA//hcaC//tadA//
LsrR	aroG//pgi//melA//tdcG//pnp//
LysR	yqjH//
MalI	ttdA//rbsK//
MalT-maltotriose-ATP	uxaC//nadA//malQ//phnI//rhaA//glpQ//
MarA	entA//xylA//adiA//rhaB//ulaF//gdhA//glgA//trpD//ubiA//hypB//relA//iscS//sucA//bioC//fruK//astE//allE//waaZ//gcvP//glpX//leuC//bglB//speB//carA//
MarR	
MatA	waaH//
MazE	rutD//
MazE-MazF	fadB//
McbR	
MelR	dadX//trpA//
MelR-melibiose	fruK//recD//
MetJ-adenosylmethionine	nrfA//frdD//bioF//ychF//moaE//leuC//fucI//uvrB//glpC//putA//
MetR	garK//waaZ//
MetR-L-homocysteine	truB//hycG//
MhpR-3HPP	aroA//ppc//glsA//ybjG//accA//pdeH//
Mlc	lldD//trpC//entH//uxaB//
MlrA	asnB//
MngR	bglB//uvrB//
MntR-Mn2+	pspE//pgaD//
ModE-MoO42-	atoA//fadA//pgaD//ulaE//gloA//lyxK//gcvH//treC//argD//gadB//aspC//poxB//pgaC//dkgA//nanE//glcD//rutB//
MprA	trpE//pdeL//purC//
MqsA	caiD//bioF//
MraZ	glcB//cysG//paaK//lysU//aroF//ruvA//lyxK//iscS//polB//appA//
MurR	psd//rbsK//luxS//
Nac	fadM//yqjH//cyoE//dhaK//fadI//rffM//tdcE//pncB//aceE//wecB//dapD//
NadR	paaE//entE//malQ//nadB//
NagC	alkA//bioA//ynfH//umpH//ulaD//hycB//tdcG//glpB//ribA//rnpB//hycD//ldtC//pepD//aroL//sdhD//rffG//ilvD//rhaB//frdD//
NanR	fadD//napG//metB//fabI//citE//recF//
NarL-Phosphorylated	amn//glsA//sucB//tauD//nanA//aceF//serC//citD//idnO//lpxA//slt//glpX//paaI//hemH//dgcZ//relA//ttdA//srkA//ilvD//dinB//cynT//entA//fucU//citX//pspE//fabH//ulaG//hemH//hypF//alkB//atoB//fabZ//puuE//paaC//glpK//rfe//aceA//gutQ//pyrD//argG//murE//
NarP-Phosphorylated	cysE//asnA//citC//frdA//glgC//poxB//yqhD//acnB//rutD//ilvG_1//paaY//lsrK//hyaC//dkgA//aceB//
NemR	sucC//metL//
NhaR-Na+	rbsK//moaD//ulaE//fadM//dgkA//
NikR-Ni2+	yfdE//
NimR	narI//
NorR	prpD//
NrdR-Zn2+	dinB//murG//leuB//wrbA//
NsrR	glyA//gatZ//mnmG//ubiA//dgcC//talA//nrfA//waaH//phnJ//rfe//caiB//lysA//ulaE//fadB//feaB//nrdD//ulaG//yedX//sodB//paaI//rhaA//eno//ppiA//rffG//cysJ//fabD//slt//allC//cysK//gatD//mhpC//lysU//icd//murG//appA//dgkA//lysC//appA//chbG//uxuB//
NtrC-Phosphorylated	zwf//paaZ//sucC//torA//nrdD//rhaD//accD//hcaD//galE//dgcZ//malZ//malY//phnM//ygeA//ynfG//idnO//frc//alsE//serA//fadJ//paaF//
OmpR-Phosphorylated	nirB//gatY//hyaC//ilvC//citG//wecC//ubiA//napH//
OxyR	narG//fucO//nadB//ldtC//recD//hcaD//rsmH//dhaK//recB//accC//ppiA//lsrF//putA//sdhD//glcF//katE//gor//
PaaX	allD//idnK//tam//pepD//puuA//entF//pgk//glmS//sdhC//
PdeL	phnP//
PdhR	uidA//mhpB//srlD//ssuD//waaH//slt//ttdB//entF//lpd//rutE//gltB//rimK//fadB//hycB//glgB//fucO//purM//waaY//ppc//serA//aroF//fucU//lpd//allE//oxc//
PepA	nanA//fucU//
PgrR	ppsA//gutQ//
PhoB-Phosphorylated	uvrA//deoB//ilvM//lhgO//lpxC//idnO//atoD//cysH//acnA//phnG//lacA//lsrK//asnA//argB//hyaA//lysC//phoA//ilvD//uxuA//murD//
PhoP-Phosphorylated	dhaL//glk//purE//frdD//ampC//ttdA//hycF//gadB//fabZ//ddlB//talA//rtcB//pepD//deoD//ulaE//alkA//avtA//cysK//ubiX//cysE//ruvA//speA//metL//gnd//mpaA//prpB//trpE//ubiX//ascB//purH//gor//pnp//
PrpR-2S3S-2-methylcitrate	paaH//phnP//rffT//cysK//
PspF	aldA//
PurR-hypoxanthine	ydcS//nanM//galM//yfdE//fruK//cysN//purD//pykF//treC//sodB//hcaF//paaI//feaB//fucU//kbaY//nrdE//cyoE//aceF//ilvG_1//speB//betA//ilvG_1//sodB//betB//nanE//rffM//
PutA	asnB//glxK//
PuuR	hyaA//pdeH//tktB//ychF//glnA//ppsA//
QseB-Phosphorylated	
RbsR	lpxA//malQ//nrfC//cysN//rutA//
RcdA	poxB//
RclR	
RcnR	ttdA//
RcsAB	glcE//nanE//frdA//
RcsB-BglJ	glcB//melA//
RcsB-Pasp56	murI//tktB//hcaD//cysM//
RelB	glgX//
RelB-RelE	allD//
RhaR-alpha-L-rhamnopyranose	
RhaS	mhpC//
RhaS-alpha-L-rhamnopyranose	entD//malQ//luxS//uvrC//
Rob	ubiX//pagP//wrbA//gadB//aspC//aroF//yedX//phnP//nirD//fumC//pnp//purE//glcF//gabD//guaA//aceF//tam//mhpE//allE//
RstA-Phosphorylated	paaZ//mhpA//wecC//
RtcR	rhaA//purK//
RutR	aldA//luxS//malQ//argA//ppc//alaA//lsrK//murE//glk//metA//nanE//
SdiA	
SgrR	gpmM//prpE//betB//
SlyA	speB//pheS//tdcD//narH//ilvM//pdeL//glxR//xylB//glgB//
SoxR	mdh//fumC//entB//rffG//fadB//mhpD//
SoxS	pgm//glxK//garK//oxc//ribA//tdh//nrdE//acnB//allE//mhpC//alaC//prpC//umpH//rhaA//allB//ybjG//thrS//ychF//ychF//aceA//murG//codA//aspC//trpD//yeaG//ulaG//hypF//paaF//
SrlR	wzc//hyaA//gntK//
StpA	glpB//alaC//aceF//
SutR	yqhD//tyrA//
TdcA	citE//glyA//yfdE//psd//rffT//
TdcR	pnp//pspE//accA//polB//dhaL//
TorR-Phosphorylated	hcaF//nrdD//pgpC//phnP//
TorR-TorI	phnO//
TreR	betB//rffC//
TrpR-tryptophan	mhpD//hmp//aldA//dapD//mraY//purM//cysG//deoB//fruK//
TyrR	ssuE//
TyrR-phenylalanine	aceA//ybjG//
TyrR-tyrosine	udp//fbaB//wecB//oxc//sucD//eno//ubiA//caiB//
UhpA-Phosphorylated	pdeH//
UidR	paaF//cysH//
UlaR	caiC//ulaD//nanE//nrfD//astB//
UvrY-Phosphorylated	sgbE//narH//
UxuR	idnD//ccp//moaE//hcaD//cysM//
XapR-xanthosine	icd//katG//
XylR-xylose	xylA//guaA//cyoE//
YdeO	nanE//nanA//purN//
YefM	cdd//
YefM-YoeB	bglB//
YeiL	
YhaJ	
YiaJ	pgi//accD//tnaA//sgbU//tehB//rnpB//
YjjQ	nemA//moaD//
YpdB-Phosphorylated	
YqhC	talA//ychF//
YqjI	recD//
ZntR-Zn2	pheS//
ZntR-Zn2+	chbF//
ZraR-Phosphorylated	
Zur-Zn2	ppc//
Zur-Zn2+	paaJ//
