# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	frdC//prpB//
GadE	narH//hcp//aroF//ung//sodB//allB//gudD//paaI//ubiX//moaE//
GadE-RcsB	allE//wecE//murG//nrdD//nanE//
GadW	dapB//phnH//xylA//glpD//
GadX	pyrD//purN//galM//umuC//codA//sufS//metB//metH//lpxC//uvrA//thrS//deoC//araA//torA//
GalR	moeB//gabT//wzc//ilvC//tnaA//carB//
GalR-beta-D-galactose	sgbE//sbcC//pyrC//tadA//xapA//
GalS	astC//ubiC//katE//hcp//rutD//fau//
GalS-beta-D-galactose	purK//hcaF//srlD//fucO//hcaB//
GatR	polA//glcB//ilvC//
GcvA	purH//glgC//lldD//
GlcC-glycolate	gor//gutQ//frdC//
GlpR	tdcD//gcvT//ychF//paaI//glpK//argI//gdhA//
GlrR-Pasp56	
GntR	cadA//alaA//gcvP//prs//argH//leuA//ilvI//yiaK//rffM//
GutM	gcvT//putA//gpmM//
HU	tadA//cadA//gntK//glgP//asnB//talA//udp//
HcaR	
HcaR-HCA	sdhB//allE//
HdfR	
HigA	phnP//
HigB-HigA	speG//
HipAB	glgA//bglB//
HipB	leuA//nemA//glgB//
HprR-Phosphorylated	cysD//betB//icd//nanA//
HyfR	mazG//
HypT-Met-oxidized	ilvI//tyrB//dapB//ftnA//cdd//ampC//ilvG_1//
IclR-pyruvate	rffH//alkA//recF//
IdnR-5-ketogluconate	gadA//kbl//mngB//gltB//lpxD//
IlvY	
IlvY-S-2-acetolactate	puuA//
IscR	atoD//ppsA//metC//metC//gcvT//tpiA//
IscR-2Fe-2S	avtA//lsrK//
KdgR	phnL//cdd//
KdpE-Phosphorylated	nirD//
LacI	gutQ//dhaL//fau//
LeuO	argG//serA//fadM//paaG//hcp//pnp//
LexA	phnJ//rffM//nanE//glgB//betB//pyrC//puuC//argA//codA//prpB//nadA//pncB//oxc//prs//yedX//srlD//astD//allE//napA//wecC//ynfG//sucB//gcvP//
LldR	serC//dgcZ//
LldR-S-lactate	fucK//accC//
LrhA	
Lrp	pnp//poxB//prpC//fabG//glgX//bioD//leuD//cysG//wecE//cysN//gltB//ttdB//garR//accA//lyxK//kbl//metF//ynfG//nrdD//gcl//alsE//pheT//araD//alsE//nanK//galM//gudD//bioB//cysH//ulaF//alaS//
Lrp-leucine	ftnA//rfe//mhpC//araD//yeaG//fadM//dkgA//lpxD//tdh//acnB//rutC//metL//gltD//chbG//purL//sdhB//phnJ//
LsrR	ppsA//malY//nfsB//glpD//folA//
LysR	fabH//
MalI	paaZ//metC//
MalT-maltotriose-ATP	rffC//hycD//slt//sucC//cysM//rffG//
MarA	argB//ybjG//trpA//fadE//pdeR//wrbA//fabG//fadE//nanE//ubiA//pdeR//hypF//ruvB//hcp//pykF//nrdD//nirD//cysC//citE//ppsA//cysD//galK//alkA//idnD//
MarR	
MatA	talA//
MazE	paaI//
MazE-MazF	mhpA//
McbR	
MelR	lpd//glcE//
MelR-melibiose	aspA//waaZ//
MetJ-adenosylmethionine	ftsI//prpC//narI//glyA//entC//murC//dgkA//zwf//cueO//dinB//
MetR	puuA//ynfH//
MetR-L-homocysteine	leuD//metF//
MhpR-3HPP	pdeH//murE//garD//cysI//thrS//purM//
Mlc	gudD//phnL//gcvH//phnN//
MlrA	lldD//
MngR	metH//ubiA//
MntR-Mn2+	tdcG//paaC//
ModE-MoO42-	zwf//nrfD//alaC//pagP//astE//nrdE//dmsC//ftsI//fadH//ahpC//murF//metC//fucI//gabD//sdaA//trpD//frdB//
MprA	glgB//gcvH//umpH//
MqsA	tnaA//lpxA//
MraZ	fdhF//umuD//hyaC//entH//bglB//relA//accA//phnH//bglB//rffC//
MurR	citD//chbF//metA//
Nac	gloA//glmS//metF//feaB//ruvA//rhaB//waaY//ulaF//aroF//pdeH//pgaB//
NadR	ldtC//aceE//sgbE//hyaA//
NagC	glxK//codA//cynT//murD//nagA//fabG//mhpF//cdd//gadB//fadB//dacC//araD//sgbH//pgpC//betB//patD//adiA//napA//rfe//
NanR	tdcE//cadA//astE//rsmH//rffG//nfsB//
NarL-Phosphorylated	rffM//waaH//epd//talA//rutB//citF//ldtC//allA//phnI//sdhD//gapA//nrfA//lhgO//tyrB//rhaB//nirD//prpE//lsrF//accA//yfdE//sdhB//wzb//moaE//umpH//rimK//mhpB//acnB//puuE//sufS//frc//garR//leuB//nadA//rimK//phr//gcl//purC//glpC//metF//glcF//lldD//
NarP-Phosphorylated	phnL//sbcD//idnD//argB//dapB//hemL//ilvE//uxaA//prpB//uidA//glmU//ynfG//ynfG//guaB//lyxK//
NemR	sbcC//waaZ//
NhaR-Na+	mltF//frdA//galM//araB//allA//
NikR-Ni2+	kbl//
NimR	fadA//
NorR	malS//
NrdR-Zn2+	ilvM//metL//pgaB//serA//
NsrR	edd//nrdA//frdB//argH//caiC//glxK//paaF//gutQ//fadH//phnG//fucA//fabI//purA//nfsB//malS//purL//astA//sucC//leuB//galM//ahpC//betB//uvrB//napH//glgX//ilvE//fau//gpmA//nanE//ttdA//napG//ftnA//citE//torA//rimK//kbaZ//tauD//prs//entC//rnpB//
NtrC-Phosphorylated	glpQ//accA//pdeH//dacC//torC//puuE//sdaA//dmsA//purE//allE//purM//murF//cysE//sodA//pflB//glmS//malS//ahpF//astD//paaF//gabT//
OmpR-Phosphorylated	argA//cysE//sdhD//tdcG//fau//gapA//pgaB//aldA//
OxyR	ahpC//prpC//narI//ybjG//pfkA//ilvC//yiaK//ydcS//astD//rffM//tyrB//argE//murQ//wecC//paaH//allD//tdcG//
PaaX	ascB//sbcC//mhpA//pyrD//glxR//gadB//atoA//ascB//argA//
PdeL	dhaL//
PdhR	ftsI//paaA//nanM//alkA//yedX//leuA//wzc//murE//gcvT//sodB//citF//ribA//fabI//aceE//tdcD//uvrC//murG//atoD//ung//polA//pagP//ybjG//grxA//rsmH//hcaD//
PepA	hycC//argB//
PgrR	psd//folE//
PhoB-Phosphorylated	paaY//uxaC//prpE//murC//argD//glpQ//trpB//ssuD//argA//hemL//gdhA//hcaD//adhE//gatY//fdhF//ada//pdeH//citC//frdC//folE//
PhoP-Phosphorylated	phnL//codA//pgpC//sdaA//rutE//adiA//garR//garD//metL//gatZ//ilvC//ppiA//cysK//purB//kbaZ//yfdE//wzb//araA//cynT//galK//wzc//rbsD//hcaB//napG//wrbA//speB//glpA//wecC//ilvH//rimK//fabB//paaF//
PrpR-2S3S-2-methylcitrate	icd//sdhD//moaA//nrdD//
PspF	bioB//
PurR-hypoxanthine	accA//rhaD//nadA//ubiC//lhgO//hycG//talA//idnK//nrdD//gatD//ilvC//leuC//sdhD//hcaB//murE//entH//metC//hyaC//gapA//galT//frdC//phnJ//ttdA//xylB//wecC//fbaB//
PutA	glcB//pagP//
PuuR	glcD//pgaB//trpD//garL//edd//pheT//
QseB-Phosphorylated	
RbsR	aroH//araB//gor//speG//fabH//
RcdA	hcaD//
RclR	
RcnR	astE//
RcsAB	glgC//rffM//moaD//
RcsB-BglJ	paaH//hmp//
RcsB-Pasp56	dhaK//malZ//glpQ//trpD//
RelB	mpaA//
RelB-RelE	arsC//
RhaR-alpha-L-rhamnopyranose	
RhaS	cysH//
RhaS-alpha-L-rhamnopyranose	ahpC//frdA//ilvD//glpQ//
Rob	codA//purD//rutB//araD//tehB//trpE//fadE//cysG//hcp//araA//lpxA//umuC//paaC//yeaE//fabD//puuA//yeaG//aceB//ftnA//
RstA-Phosphorylated	aceE//rfe//mhpF//
RtcR	hcaB//rsmH//
RutR	paaI//glpB//phnI//gltD//sdaA//metC//fbaA//glpX//lyxK//amn//mhpE//
SdiA	
SgrR	truB//fadH//rfe//
SlyA	dgkA//zwf//rnpB//narH//frdA//paaG//nfsA//hemL//fabG//
SoxR	ruvA//uxuA//glpB//citF//nrdB//glcD//
SoxS	sgbH//ssuE//ppiA//dmsC//epd//pck//garR//tdh//ttdB//phnG//metH//rutB//xylB//ndh//citF//sgbU//adhE//lacZ//oxc//alaC//cysD//leuB//ahpC//entE//gloA//glnA//dinB//argC//
SrlR	paaC//glpQ//glcD//
StpA	tam//nrfC//trpB//
SutR	tktB//hyaC//
TdcA	metC//fabB//sbcD//rutA//sdhD//
TdcR	entA//nrfC//trpB//glgP//pgi//
TorR-Phosphorylated	fabH//ftnA//rbsK//sdhA//
TorR-TorI	pncB//
TreR	cdd//hmp//
TrpR-tryptophan	metK//fabD//frc//torA//trpE//hyaA//speA//garL//citG//
TyrR	ruvA//
TyrR-phenylalanine	torC//umuD//
TyrR-tyrosine	paaG//mngB//deoD//glpX//chbG//mhpA//prpB//dinB//
UhpA-Phosphorylated	lacZ//
UidR	ilvE//dgcZ//
UlaR	dmsC//lpxA//cadA//puuB//ynfH//
UvrY-Phosphorylated	alsE//astD//
UxuR	hcaD//deoD//rbsK//argA//gapA//
XapR-xanthosine	glcF//sucD//
XylR-xylose	fucO//fes//gor//
YdeO	mpaA//sodA//ascB//
YefM	putA//
YefM-YoeB	rffH//
YeiL	
YhaJ	
YiaJ	garL//puuA//pncB//pncB//prpC//patA//
YjjQ	putA//betA//
YpdB-Phosphorylated	
YqhC	folE//bioF//
YqjI	citX//
ZntR-Zn2	wzc//
ZntR-Zn2+	ulaF//
ZraR-Phosphorylated	
Zur-Zn2	dgkA//
Zur-Zn2+	paaF//
