# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gdhA//nirD//
Lrp-leucine	caiD//purB//aldA//tyrA//accD//ldtB//hycF//tynA//fabB//sgbE//nagA//glk//nrdB//uvrB//nrdF//waaH//hyaC//
LsrR	fadB//caiC//lysC//slt//gor//
LysR	hcaC//
MalI	sbcD//astC//
MalT-maltotriose-ATP	hyi//eno//nrdD//pheT//umuD//paaA//
MarA	sgbE//thrS//phnL//fumB//purF//lsrK//metC//recD//entH//metL//wecE//wecC//icd//nemA//murC//dmsA//srlD//tadA//gapA//srkA//prpD//epd//argC//recD//
MarR	
MatA	pgaC//
MazE	astD//
MazE-MazF	fadI//
McbR	
MelR	nanE//rutC//
MelR-melibiose	ulaG//phnO//
MetJ-adenosylmethionine	uxaA//hypF//mnmG//pgi//recF//zwf//talA//kbaY//murE//uvrA//
MetR	lsrG//ldtC//
MetR-L-homocysteine	alaC//recF//
MhpR-3HPP	ndh//metA//paaZ//waaH//dmsB//dacC//
Mlc	fabB//carA//astB//fadH//
MlrA	napG//
MngR	murF//nagA//
MntR-Mn2+	cadA//ynfG//
ModE-MoO42-	fabB//aceB//gdhA//epd//gadA//relA//nanK//ubiC//frc//avtA//argB//fadD//mhpF//mhpC//hypB//ftsI//paaJ//
MprA	dadA//pepD//waaH//
MqsA	hycF//wzb//
MraZ	paaZ//treC//putA//fes//caiD//allD//glgC//gapA//speG//glgB//
MurR	lpxC//napG//ilvC//
Nac	argC//ldtD//tpiA//avtA//umuC//wzb//yeaE//lsrK//uxuB//prpD//waaH//
NadR	purK//entC//uxuA//fucI//
NagC	edd//fadJ//mhpA//metL//purE//glpD//speB//ahpC//katG//fabH//pheT//guaB//glgC//mhpD//talA//guaB//ynfG//glxR//acnB//
NanR	citX//hcaE//nirD//mpaA//ddlB//ruvA//
NarL-Phosphorylated	murD//sdhB//mhpD//malQ//aroF//lysC//glcF//napB//purM//galK//dinB//phnM//gcvH//sdhA//cynS//leuC//glpB//ampC//argI//phr//lpxC//tadA//xapA//sucA//moaE//allE//entD//purB//iscS//hyi//rimK//sgbU//pepD//ilvM//cysD//sdhD//yiaK//ubiX//phnI//narG//ilvM//
NarP-Phosphorylated	hycB//rbsK//atoB//murD//argG//cysG//glgC//zwf//moeA//umpH//nrdF//aroA//argC//lpxD//gadB//
NemR	citC//paaE//
NhaR-Na+	gnd//ccp//srlD//dkgB//gpmA//
NikR-Ni2+	lpxA//
NimR	argI//
NorR	moaA//
NrdR-Zn2+	ribA//argF//codA//glnA//
NsrR	allA//glpQ//lacA//paaH//prpD//fucO//gpmM//argB//tadA//frdB//metE//nanE//truB//ssuD//rutD//narH//trpD//rtcA//prpC//narG//gapA//fadE//leuA//ndh//ugpQ//deoD//torC//epd//oxc//sdhD//ccp//ilvI//wzb//wzc//tdh//paaH//fucI//rutD//wecE//chbG//
NtrC-Phosphorylated	ilvC//caiC//pdeR//tnaA//allC//alsE//purD//alaA//cysI//paaG//chbG//citE//frc//ftnA//napH//appA//slt//cueO//lacA//speG//tam//
OmpR-Phosphorylated	lacA//dmsA//sgbH//speB//allA//idnK//waaH//fes//
OxyR	sucA//nrfD//aceE//deoA//tynA//cyoE//paaZ//tdcE//bioC//aroG//lpd//pgaC//tyrA//ilvA//dgkA//araB//citG//
PaaX	hycF//dadA//folE//rffT//hcaF//speA//phnI//hycF//frdC//
PdeL	atoA//
PdhR	glcD//pflB//patD//lysC//yfdE//frdA//purF//pgi//ugpQ//torC//aroG//ybjG//polB//prpE//frdC//recD//gloA//fucI//metE//trpA//rhaA//moaD//pspE//hcp//araA//
PepA	umuD//pgi//
PgrR	paaB//citD//
PhoB-Phosphorylated	lyxK//hypF//gcvH//torA//glpX//udp//nrfD//wecB//sucA//cysM//pagP//srlD//cadA//cysM//gabD//pgaB//umpH//mngB//sbcC//cadA//
PhoP-Phosphorylated	napG//glgP//glk//malP//moeA//argF//oxc//lldD//entB//amn//frc//argA//waaY//ilvM//mngB//ilvI//napA//glcE//tdcG//pgi//thrS//argF//tyrA//speA//polA//gcvT//cyoE//glpQ//mhpA//ruvA//allE//moaE//
PrpR-2S3S-2-methylcitrate	polA//rsmH//garL//aroG//
PspF	sucA//
PurR-hypoxanthine	paaH//ssuE//tyrB//wzc//pheT//hcaF//uxuB//pncB//deoB//glpQ//edd//ttdB//cynT//sbcC//rutC//argB//paaH//mhpB//ppiA//mltF//aceA//accA//gapA//fadJ//fbaB//glgB//
PutA	gapA//uidA//
PuuR	tdcG//ilvD//aroA//talA//fadE//fucU//
QseB-Phosphorylated	
RbsR	hypB//trpC//metC//puuA//pgaB//
RcdA	caiB//
RclR	
RcnR	lsrG//
RcsAB	uxaC//dadX//pgk//
RcsB-BglJ	murF//dadX//
RcsB-Pasp56	allA//ynfH//galM//sdaA//
RelB	pncB//
RelB-RelE	ugpQ//
RhaR-alpha-L-rhamnopyranose	
RhaS	cyoE//
RhaS-alpha-L-rhamnopyranose	aroH//nirD//fau//galM//
Rob	adiA//ldtC//pncB//ahpC//mraY//avtA//fabG//lysA//ampC//tehB//guaA//ttdB//polA//nadA//malZ//wzb//narH//cynS//sdhD//
RstA-Phosphorylated	puuC//mpaA//malS//
RtcR	ftnA//aceF//
RutR	uvrC//alaS//lpxA//phnI//lpxC//umpH//uidA//truB//argA//ddlB//fadA//
SdiA	
SgrR	yqjH//purL//rutC//
SlyA	accD//sdaA//dkgA//uvrC//rtcB//adhE//zwf//folE//cueO//
SoxR	aspC//glpA//folE//rhaA//sdhC//poxB//
SoxS	dadA//atoA//gudD//tehB//lpd//prpC//pheT//fabG//ybjG//pdeH//purA//hcaD//paaE//pflB//lysA//ydcS//murI//adhE//tauD//fucA//glcB//fabH//codA//argH//epd//dsdA//ulaE//gabD//
SrlR	hcp//guaB//hycD//
StpA	serA//rhaB//murI//
SutR	hycE//sucB//
TdcA	entF//metB//ldtC//recB//gltD//
TdcR	fabA//waaH//yqhD//glgA//sdhC//
TorR-Phosphorylated	pncB//malZ//pgpC//murI//
TorR-TorI	glpB//
TreR	atoD//glmU//
TrpR-tryptophan	speA//bioF//luxS//ssuE//sdhB//malS//fabZ//glgC//tdcD//
TyrR	cysC//
TyrR-phenylalanine	mhpE//cysC//
TyrR-tyrosine	gcvP//tdcB//glcD//slt//argG//nadA//phnH//adiA//
UhpA-Phosphorylated	yedX//
UidR	hycD//fabH//
UlaR	lsrF//yiaK//ulaF//galE//prs//
UvrY-Phosphorylated	cysJ//alaC//
UxuR	epd//katG//edd//yeaG//ygeA//
XapR-xanthosine	ccp//araD//
XylR-xylose	hycD//malP//lysA//
YdeO	gatZ//thrS//hcaB//
YefM	mpaA//
YefM-YoeB	sucD//
YeiL	
YhaJ	
YiaJ	murI//argE//alsE//rffM//trpC//entE//
YjjQ	rpiB//leuA//
YpdB-Phosphorylated	
YqhC	guaB//murI//
YqjI	moeB//
ZntR-Zn2	glcD//
ZntR-Zn2+	eno//
ZraR-Phosphorylated	
Zur-Zn2	caiB//
Zur-Zn2+	purC//
