# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	lsrK//rtcB//
CpxR-Phosphorylated	mpl//nadA//sgbH//hmp//putA//tdcD//fadM//gutQ//lsrF//rpiB//glgB//mpl//rutD//argB//fruK//serA//acnA//aroL//fabB//dsdA//rffT//
Cra	avtA//tyrA//puuA//ahpF//rutC//cysG//ynfE//lsrF//tdh//pfkA//fucK//aceB//asnA//frdA//phnJ//nfsB//prs//sdhD//glpQ//tdcB//ascB//nrfA//bioC//umuD//feaB//mraY//mpl//ogt//malY//rffT//ugpQ//ynfF//purM//phnN//murF//citX//argD//ynfF//accC//ilvA//rutA//metK//hemH//aceB//folE//truB//mngB//paaK//gadA//fabG//puuD//fadE//argI//mhpD//fucA//pepD//gloA//araB//sdhC//
CreB-Phosphorylated	gcl//rfe//
CsgD	mnmG//zwf//gcl//umuC//gatY//
CsiR	wecC//hcaC//leuA//gloA//
CspA	lacA//
CueR-Cu	nadA//phnN//trpE//pgaB//astA//
CusR-Pasp	gadB//ilvM//tdcE//araB//
CynR	
CynR-cyanate	dsdA//chbF//guaB//
CysB	alkB//deoB//
CysB-O-acetyl-L-serine	deoB//phnJ//trpE//lpxC//argA//dapB//deoD//ilvD//dapB//rtcB//nagA//astD//mpl//gltB//purC//
CytR	hycD//argA//wecE//ddlB//glgX//bioB//fumB//pepD//citF//hcaF//
Dan-L-tartrate	melA//ulaF//
DcuR-Phosphorylated	prs//pdeH//argI//kbaZ//
DeoR	dkgB//garD//frdB//metK//murG//alsE//
DhaR	entD//
DicA	
DinJ-YafQ	murI//
DnaA-ATP	ugpQ//allB//wecE//mraY//ulaE//fabZ//
DpiA-Pasp	rutC//hyaA//ttdA//aroA//ampC//
DsdC-D-serine	accD//purD//
EbgR	
EnvR	pgm//fabZ//
EnvY	gadB//ulaD//
EvgA-Phosphorylated	tpiA//ppc//mhpE//dhaK//rffM//glgC//
ExuR	moaA//appA//aspC//tdcD//glgB//sufS//
ExuR-alpha-D-galacturonate	
FabR	ssuE//recB//dgcZ//
FadR	chbG//fdhF//fadB//fucO//cysI//nfsA//fabZ//lsrG//dapB//araA//rtcA//ynfG//hcaD//sdaA//cysN//tyrB//dgcN//tdcE//aceE//
FadR-acyl-CoA	
FeaR	fadE//lhgO//
FhlA-formate	murE//glcE//aceA//dhaK//moeA//glpC//alaC//pyrD//
FlhDC	hcaC//entE//katG//gutQ//moeA//thrS//purN//waaY//hycF//sgbH//purF//rutB//rnpB//umuD//
FliZ	puuB//adhE//ulaE//ulaF//fabA//
FucR-L-fuculose-1-P	galT//fadI//gntK//phnM//gltD//nfsB//
Fur-Fe2	mpaA//paaJ//deoD//pck//hcaC//dadX//allB//tdcE//bioB//puuE//entA//nirB//recF//moaA//pfkA//glxR//gpmA//ppiA//glcB//fabG//phnO//rimK//wecB//gltB//deoD//murE//fadD//appA//dkgB//dkgA//pyrC//glgA//ppc//ndh//dmsB//galE//gnd//dadA//purD//eno//alaC//aroL//moeA//ung//ahpF//truB//glk//chbG//tauD//pgaC//talA//aceE//cysC//phnP//fumB//aceF//wrbA//fabG//guaA//prpE//araA//adiA//
GadE	alkA//metH//rutC//trpE//rtcA//speA//chbF//thrS//hemH//astB//
GadE-RcsB	avtA//patD//fucU//edd//grxA//
GadW	rutB//citF//entC//hyaB//
GadX	glxR//trpA//hmp//ampC//hycE//hycG//galT//metH//aldA//amn//entF//leuA//sodA//lsrF//
GalR	sgbU//truB//hcp//gor//ilvH//gpmM//
GalR-beta-D-galactose	ascB//fbaA//pncB//nrfD//fumC//
GalS	hypB//bioC//feaB//alsE//folA//asnB//
GalS-beta-D-galactose	nanE//nrdF//cysI//prpB//argD//
GatR	rutB//fucU//ldtD//
GcvA	phnM//accC//accD//
GlcC-glycolate	gor//mhpE//aceB//
GlpR	gdhA//rnpB//purK//gabD//nirB//ubiA//hemH//
GlrR-Pasp56	
GntR	gpmA//cysI//ahpF//fdhF//gnd//pck//dadX//nrfA//galK//
GutM	tdcD//gcvT//paaC//
HU	speA//iscS//waaH//fumC//tnaA//katG//kbaY//
HcaR	
HcaR-HCA	hyi//ygeA//
HdfR	
HigA	paaB//
HigB-HigA	bioA//
HipAB	prpC//ynfE//
HipB	putA//poxB//rtcB//
HprR-Phosphorylated	gcvP//psd//cysJ//aceF//
HyfR	xylB//
HypT-Met-oxidized	serC//xapA//pgaB//citG//fucO//nfsA//leuC//
IclR-pyruvate	ruvA//poxB//uxuA//
IdnR-5-ketogluconate	purK//puuA//polB//sdhC//moaE//
IlvY	
IlvY-S-2-acetolactate	astD//
IscR	paaK//alaC//murG//ilvI//pheT//aroA//
IscR-2Fe-2S	argF//pheT//
KdgR	xylB//moeB//
KdpE-Phosphorylated	rffT//
LacI	dapB//folE//tdcG//
LeuO	slt//malP//hyi//pspE//trpE//tdcG//
LexA	galE//phoA//alaC//truB//uidA//tyrB//kbl//fadE//glxR//entE//wecB//dapD//narI//wrbA//nanE//pyrD//epd//deoA//citC//folA//lpd//nrdE//rfe//
LldR	gnd//feaB//
LldR-S-lactate	phnM//katE//
LrhA	
Lrp	ftsI//asnA//asnB//prpD//ilvG_1//purL//glpC//guaA//pncB//ilvD//rffT//gutQ//polB//rfe//glyA//tdcG//narH//cysJ//xylB//wzb//tnaA//ldtD//argH//pgpC//hycC//fumB//hypB//murE//paaF//guaB//lsrF//
Lrp-leucine	hyaA//mraY//edd//sgbH//bioB//dgcC//uxaA//citX//fdhF//allE//gdhA//ndh//paaB//eda//uxuA//paaB//malP//
LsrR	malS//xylA//entD//paaC//dgkA//
LysR	ppc//
MalI	moaE//dapD//
MalT-maltotriose-ATP	galM//ilvE//araA//glcE//fadH//tdcD//
MarA	nirB//dadX//dmsA//nrdD//ssuE//fadI//hcaD//fadE//paaI//recD//sucB//trpC//garD//pagP//thrS//nrdD//umuC//entF//alkB//atoD//pheS//speA//dmsC//purB//
MarR	
MatA	citD//
MazE	glk//
MazE-MazF	hycG//
McbR	
MelR	prpB//umuD//
MelR-melibiose	pflB//phnH//
MetJ-adenosylmethionine	entF//dapD//cysN//glmS//talA//paaH//glcF//metF//gcvH//nadA//
MetR	narH//dmsC//
MetR-L-homocysteine	rutA//galK//
MhpR-3HPP	araB//trpC//glcE//uxaC//ppc//yeaE//
Mlc	cadA//dmsC//polB//hcaD//
MlrA	fabG//
MngR	gabD//galE//
MntR-Mn2+	fbaB//yeaE//
ModE-MoO42-	uvrB//caiD//entD//ssuD//tnaA//dinB//aroA//acnA//pdeH//xylB//metB//alkA//recD//ychF//hcaE//ilvI//pck//
MprA	fumB//mpl//argB//
MqsA	dadX//uvrC//
MraZ	paaI//yeaG//glgP//katG//speA//serC//fabI//pgaC//glgX//argH//
MurR	cysI//ddlB//ygeA//
Nac	cysG//fucI//ilvC//malY//pheS//caiD//sucA//icd//codA//hypB//pncB//
NadR	gdhA//pyrD//phnH//hypB//
NagC	pgaD//entF//ynfE//astA//murQ//waaZ//paaC//yiaK//frdC//waaH//wzc//metA//eno//ilvD//glxK//glnA//hypF//lsrG//pgpC//
NanR	gcl//purH//puuC//umpH//purH//ygeA//
NarL-Phosphorylated	serC//polA//alaC//mltF//fadM//pgaC//nrfA//dapB//nrdF//araB//ubiC//mpaA//deoB//icd//caiA//ychF//moaA//amn//rffG//rutD//mtlD//atoD//frdD//aceF//speA//gabD//aspC//aspC//mdh//garR//mazG//glpA//gcl//bioF//rffG//paaE//nemA//leuA//uxuB//ulaF//argA//
NarP-Phosphorylated	accD//purL//tyrB//phnN//caiC//tyrA//bioD//amn//wrbA//pyrC//tnaA//edd//glgX//rffC//paaZ//
NemR	moaE//patD//
NhaR-Na+	tam//aroG//glgX//ulaE//polA//
NikR-Ni2+	bioA//
NimR	garR//
NorR	caiA//
NrdR-Zn2+	nagA//napA//entA//phnN//
NsrR	pgpC//sodA//rhaD//murC//sodA//hycB//xylB//mhpF//glcD//murE//nemA//ftnA//astB//entE//bioF//fabG//nemA//nagB//argA//phnG//rtcB//purC//uvrA//treC//entH//hcp//purL//gpmA//hyaC//tpiA//bglB//aceA//alaS//patA//pdeL//dmsA//glcF//feaB//yqhD//ppsA//
NtrC-Phosphorylated	argE//malY//dsdA//allB//ung//hcp//fadD//feaB//hcaC//atoD//phnM//aceF//epd//glnA//glnA//dmsA//alaA//sufS//mhpA//purN//hyaC//
OmpR-Phosphorylated	ddlB//araD//grxA//lldD//nirD//paaB//hycG//sodB//
OxyR	folA//lysU//rhaB//ada//recF//mhpE//ubiX//recB//dgcN//lsrF//yeaG//sbcD//galK//dacC//kbaZ//citE//argC//
PaaX	recF//treC//frdB//accA//purF//hycF//narG//yedX//ilvH//
PdeL	dhaM//
PdhR	tehB//leuC//ldtD//ulaG//pgpC//fucI//pheT//fadA//purE//dadX//dkgB//citX//cysE//garK//dmsC//cueO//ynfH//glcB//entE//xapA//umpH//fumB//mhpF//nrdB//cysK//
PepA	paaY//metB//
PgrR	rutB//mltF//
PhoB-Phosphorylated	glpA//fucU//moaD//hcp//lsrF//paaY//purK//ahpC//astC//trpC//rutA//rffM//ulaG//mhpB//entC//ubiX//relA//napA//folE//nirD//
PhoP-Phosphorylated	ppiA//fucA//uxuB//fucK//citD//slt//fabB//rfe//pgaB//rnpB//glmS//ftnA//waaH//ynfH//paaE//pgaB//adiA//hyi//hcaC//lysU//wzc//sdhD//argA//purN//ahpF//gadA//cdd//gudD//narG//paaB//aroF//garD//
PrpR-2S3S-2-methylcitrate	gcvP//cysD//ynfH//purB//
PspF	hcaC//
PurR-hypoxanthine	rhaD//dhaM//hypF//folE//purM//dgcC//metA//phoA//hcaF//glxK//ruvA//putA//ybjG//sdaA//glxK//moeA//hyaC//cysJ//malQ//entF//ugpQ//sbcD//deoD//ycjG//metA//uxuA//
PutA	narI//citG//
PuuR	rutD//dhaL//nfsB//lysA//dgcC//rhaD//
QseB-Phosphorylated	
RbsR	pgaD//glpX//betA//ynfH//alsE//
RcdA	nadB//
RclR	
RcnR	purH//
RcsAB	gcvP//ppc//sdhB//
RcsB-BglJ	tpiA//napH//
RcsB-Pasp56	recB//glxK//nanM//ftnA//
RelB	galM//
RelB-RelE	hcp//
RhaR-alpha-L-rhamnopyranose	
RhaS	lsrG//
RhaS-alpha-L-rhamnopyranose	sbcC//dadX//wecC//guaA//
Rob	luxS//nemA//nrdE//purL//uxuB//sucD//napA//ynfF//ascB//hmp//icd//cysN//garK//aroG//alkA//rutD//rutE//purE//idnK//
RstA-Phosphorylated	cysG//rsmH//fadB//
RtcR	ulaD//garK//
RutR	lldD//katE//polB//mhpC//polB//fabI//hcaC//prpE//nrdA//araB//rutA//
SdiA	
SgrR	wzc//xylA//glpA//
SlyA	wecE//paaZ//bioA//dinB//nanA//yiaK//fadI//bioD//pnp//
SoxR	cysH//napA//paaH//betA//dadX//metB//
SoxS	aroA//narI//lhgO//rffM//glyA//nanK//trpC//ribA//alkB//pgk//leuB//citE//dadA//polB//galK//glcB//aroF//cysI//fadM//ssuD//astC//pepD//puuC//paaE//lacZ//phnL//purL//waaZ//
SrlR	pykF//hyaB//hcaC//
StpA	hypB//leuA//puuC//
SutR	recF//hyaB//
TdcA	wzc//pyrC//aroG//rbsK//pgm//
TdcR	mnmG//cysG//purK//cynS//fabA//
TorR-Phosphorylated	tam//malZ//pheT//nadA//
TorR-TorI	glsA//
TreR	mraY//caiB//
TrpR-tryptophan	garK//truB//wecC//yqhD//ybjG//hcaB//ftsI//phnM//napH//
TyrR	aspA//
TyrR-phenylalanine	glpX//garD//
TyrR-tyrosine	katG//paaA//trpB//lsrG//phnN//puuB//ppsA//fabH//
UhpA-Phosphorylated	gatZ//
UidR	glcF//thrS//
UlaR	feaB//nemA//waaH//cysC//prpE//
UvrY-Phosphorylated	mdh//glgB//
UxuR	icd//gloA//phnL//accC//rutD//
XapR-xanthosine	hycE//fadA//
XylR-xylose	dmsA//fbaA//gloA//
YdeO	tehB//rutD//phnM//
YefM	accA//
YefM-YoeB	ybjG//
YeiL	
YhaJ	
YiaJ	cysI//fau//garR//umpH//rffH//cysI//
YjjQ	fabD//hcaE//
YpdB-Phosphorylated	
YqhC	dmsC//hyi//
YqjI	hycG//
ZntR-Zn2	fucU//
ZntR-Zn2+	uxaC//
ZraR-Phosphorylated	
Zur-Zn2	tdcD//
Zur-Zn2+	deoA//
