# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	caiA//yiaK//
OxyR	carA//psd//yqhD//moaC//hcaB//glpC//dhaM//astA//dkgB//nadB//aceA//paaG//napH//ampC//phnH//araD//nemA//
PaaX	grxA//uidA//aceA//ahpC//frdB//tdcE//aceA//treC//garR//
PdeL	rtcB//
PdhR	tauD//xylA//hcp//feaB//nrfA//moaD//pgi//mtlD//dmsA//zwf//fucO//leuD//lacZ//leuC//idnK//gcl//gcvH//sbcC//argI//caiC//cynS//paaZ//xylB//galE//pgpC//
PepA	bioB//galK//
PgrR	paaZ//lysU//
PhoB-Phosphorylated	alkA//deoC//puuD//nanA//ddlB//relA//sucC//frdB//yedX//hycF//glgC//moeB//hycF//nanM//hcaD//hcaC//pyrC//gntK//sucA//glcE//
PhoP-Phosphorylated	glgB//lysU//iscS//ccp//lysU//ybjG//caiC//mhpB//puuA//hyaC//citD//glcD//atoA//astB//ftnA//galM//sucC//garD//purM//hyi//yiaK//purD//dhaK//napG//yqjH//caiC//ycjG//ttdB//ilvH//rffH//glgP//tehB//
PrpR-2S3S-2-methylcitrate	metF//carA//pgaB//caiB//
PspF	trpE//
PurR-hypoxanthine	sucB//metE//oxc//lsrG//treC//allB//accD//malS//paaI//cysC//fadD//trpA//idnK//aroF//glcD//ilvM//ychF//fucU//lpxD//ruvA//hcaB//carB//trpA//rffT//fadI//dhaM//
PutA	pdeL//galM//
PuuR	aldA//lysC//ampC//rhaB//ung//ilvG_1//
QseB-Phosphorylated	
RbsR	melA//fadE//speG//galE//ahpF//
RcdA	pagP//
RclR	
RcnR	citX//
RcsAB	entB//trpC//dgcZ//
RcsB-BglJ	malP//fbaA//
RcsB-Pasp56	ttdB//glmU//dmsA//psd//
RelB	melA//
RelB-RelE	yiaK//
RhaR-alpha-L-rhamnopyranose	
RhaS	bglB//
RhaS-alpha-L-rhamnopyranose	ycjG//rsmH//citC//phnP//
Rob	glxR//lacZ//ulaD//betA//lysC//udp//malZ//argD//nrdD//tynA//nadA//moaC//oxc//ynfG//cdd//yeaG//tauD//lsrF//fadA//
RstA-Phosphorylated	dadX//rbsD//thrS//
RtcR	hypB//nrfA//
RutR	lysU//frc//alaS//uvrA//uxaC//recB//sodB//alaC//amn//fabA//nirB//
SdiA	
SgrR	ydcS//oxc//hemL//
SlyA	edd//aceA//melA//entE//relA//entE//rimK//betB//hycG//
SoxR	allE//nagB//napB//hycE//ugpQ//pyrC//
SoxS	glgX//serA//glpX//ycjG//phnP//tehB//moaD//mhpF//gltD//fucI//sgbU//purL//hypB//malY//gcvT//tam//aceA//icd//eda//gcvH//ldtC//slt//paaB//pflB//leuB//entC//narI//hcaE//
SrlR	pgpC//garK//fumB//
StpA	sdhC//poxB//yeaG//
SutR	sdhB//narI//
TdcA	adiA//betB//luxS//fabB//serA//
TdcR	sbcC//lpxD//frdD//narG//metK//
TorR-Phosphorylated	phnO//cysG//araB//rffC//
TorR-TorI	nagB//
TreR	kbaZ//leuA//
TrpR-tryptophan	folE//purD//dapB//alsE//glyA//alaA//asnB//pheS//rffM//
TyrR	aceE//
TyrR-phenylalanine	argC//wecB//
TyrR-tyrosine	epd//cysE//atoD//dmsB//tynA//ynfE//fau//icd//
UhpA-Phosphorylated	fdhF//
UidR	rutE//srlD//
UlaR	sdhB//pyrC//sufS//recF//ruvB//
UvrY-Phosphorylated	aldA//galE//
UxuR	wrbA//mhpB//moaD//ynfF//garR//
XapR-xanthosine	aroA//bioB//
XylR-xylose	hyaC//acnB//galK//
YdeO	glsA//uvrC//uxaB//
YefM	mtlD//
YefM-YoeB	uvrC//
YeiL	
YhaJ	
YiaJ	hycB//rhaB//carB//pgm//ubiA//nanM//
YjjQ	xylA//cysM//
YpdB-Phosphorylated	
YqhC	ilvD//leuA//
YqjI	cysG//
ZntR-Zn2	phnJ//
ZntR-Zn2+	glpK//
ZraR-Phosphorylated	
Zur-Zn2	tdh//
Zur-Zn2+	gatY//
