# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	phoA//aroA//
CsgD	fadD//fes//glcD//epd//dsdA//
CsiR	ruvA//nrdE//purD//idnO//
CspA	chbG//
CueR-Cu	pagP//asnB//phnL//metE//gltB//
CusR-Pasp	uxuA//cysN//nanE//phnG//
CynR	
CynR-cyanate	xylA//cueO//nadA//
CysB	fucA//tauD//
CysB-O-acetyl-L-serine	dhaM//fadI//hyi//pflB//polA//gadB//fucA//aceE//bioA//accC//paaF//gatZ//mdh//pdeL//kbaY//
CytR	dhaK//pyrD//rffT//hcaD//ubiX//rffH//murI//paaA//dhaL//cynT//
Dan-L-tartrate	talA//folE//
DcuR-Phosphorylated	astA//malP//dgcC//fadD//
DeoR	phnP//gadB//eno//ubiC//gudD//fadJ//
DhaR	gpmA//
DicA	
DinJ-YafQ	argF//
DnaA-ATP	waaY//gltB//thrS//polB//entF//galK//
DpiA-Pasp	carB//astE//glcB//fadB//gabT//
DsdC-D-serine	argE//nagB//
EbgR	
EnvR	tynA//cynS//
EnvY	accA//grxA//
EvgA-Phosphorylated	moaA//dgcC//malP//leuB//leuB//entC//
ExuR	fucI//yfdE//ribA//wecE//amn//polB//
ExuR-alpha-D-galacturonate	
FabR	napH//entC//malP//
FadR	phr//ttdB//lldD//entA//nadB//glnA//argA//folE//rffM//araA//ccp//dmsC//fadB//hmp//glmS//nrfA//relA//atoA//sucA//
FadR-acyl-CoA	
FeaR	sgbU//ynfG//
FhlA-formate	speA//phnL//dapB//ynfE//ulaE//glmU//torC//kbaZ//
FlhDC	cysE//argC//tam//dsdA//nanM//cysH//rbsK//ldtB//rtcA//dinB//purE//glpQ//tynA//sufS//
FliZ	tynA//mhpE//trpE//nrdD//dmsA//
FucR-L-fuculose-1-P	mngB//sucD//tadA//fau//fucK//xapA//
Fur-Fe2	murD//purC//lpxC//ynfE//mnmG//alaA//mltF//pdeR//chbF//hypF//ndh//garL//rffC//allE//hypF//glcF//murC//ppiA//purK//wzc//cyoE//entH//deoA//kbaZ//katG//prs//pykF//rbsD//fabG//folA//idnD//allD//phr//mraY//cadA//rutC//glcB//entC//yqhD//entC//rpiB//entB//aroG//rutB//sdhC//lpxD//fabG//ldtC//purN//torA//aroL//pagP//fabZ//torC//purF//ftsI//narI//ada//allC//fadE//fabD//chbF//
GadE	speB//alkA//galM//kbl//fabG//hycF//rhaD//tnaA//cysD//tauD//
GadE-RcsB	katE//nrfD//talA//patD//napA//
GadW	speA//napA//pgaC//gltD//
GadX	rfe//waaZ//murI//nadA//deoC//rffC//fruK//fruK//mdh//ascB//hycC//asnB//idnD//citF//
GalR	dgcZ//ppc//entH//nanA//wzc//gdhA//
GalR-beta-D-galactose	serA//mhpA//araD//aldA//hypF//
GalS	umuC//fucK//puuD//dhaL//purL//bioF//
GalS-beta-D-galactose	allB//tdh//dadX//caiA//wecC//
GatR	alaS//purF//mhpD//
GcvA	slt//rnpB//mdh//
GlcC-glycolate	moeA//mngB//rbsD//
GlpR	nrfC//hypB//glmS//phnJ//fadH//iscS//ilvG_1//
GlrR-Pasp56	
GntR	nrfD//carB//glpA//nagB//gdhA//yedX//lsrG//entB//ubiA//
GutM	napA//aceA//dhaL//
HU	hcaB//argC//guaA//ubiA//pdeL//trpD//ynfH//
HcaR	
HcaR-HCA	ilvD//cysN//
HdfR	
HigA	frc//
HigB-HigA	leuA//
HipAB	wecC//dmsA//
HipB	fadI//putA//gltD//
HprR-Phosphorylated	uvrC//gcvT//allC//rhaB//
HyfR	bioC//
HypT-Met-oxidized	polB//metK//aroH//ydcS//murQ//lldD//lpxD//
IclR-pyruvate	fucU//nanE//dhaK//
IdnR-5-ketogluconate	allB//appA//ascB//uxaC//ttdA//
IlvY	
IlvY-S-2-acetolactate	moaD//
IscR	xylB//tynA//edd//cysI//fumC//cysH//
IscR-2Fe-2S	hcaE//glgA//
KdgR	nanK//epd//
KdpE-Phosphorylated	katG//
LacI	pdeH//glcF//glgP//
LeuO	allC//waaZ//glyA//metF//mhpC//xylA//
LexA	ynfF//nrfD//pflB//bglB//nanM//gudD//astC//ada//murQ//melA//gcvT//gapA//mhpB//nanE//hcp//rsmH//cadA//napA//srkA//cysM//speB//paaG//tdcE//
LldR	glpC//ilvD//
LldR-S-lactate	hycF//gabD//
LrhA	
Lrp	cysD//cadA//nagB//galE//puuB//fucK//argC//pepD//ribA//nfsB//dmsC//fdhF//rutE//sdhA//nadB//gor//nrdE//folA//ung//dgkA//dadX//wecB//treC//fabZ//pncB//tauD//ubiC//allC//nagB//ilvE//argH//
Lrp-leucine	pck//trpB//leuB//aceF//dacC//aroG//trpC//ldtD//cyoE//yiaK//gudD//fadJ//glmU//carB//phoA//trpB//polA//
LsrR	prpD//ttdB//phnL//pgaD//allC//
LysR	nanK//
MalI	argB//leuB//
MalT-maltotriose-ATP	ulaD//tauD//hemL//rpiB//frdD//idnK//
MarA	mtlD//tdcG//pheT//argA//fes//metC//tdh//wrbA//pepD//tdcE//speG//fadJ//metE//poxB//alsE//phnG//sucB//garL//gabD//lsrK//polA//aroA//ascB//sbcD//
MarR	
MatA	ascB//
MazE	glpA//
MazE-MazF	glxR//
McbR	
MelR	dkgA//sdhC//
MelR-melibiose	rffT//deoB//
MetJ-adenosylmethionine	dmsA//mhpB//phnG//hyi//yfdE//dadA//ilvG_1//cysC//yeaG//tnaA//
MetR	aroH//aroH//
MetR-L-homocysteine	prpD//paaK//
MhpR-3HPP	rffH//ascB//ulaD//alkB//moaE//ydcS//
Mlc	nrfC//paaZ//uvrB//sdhD//
MlrA	leuA//
MngR	glgB//ilvH//
MntR-Mn2+	eda//prpC//
ModE-MoO42-	phr//garR//entA//waaZ//glpC//allD//recD//truB//yedX//serC//nrdB//fabB//rhaB//glpK//metB//ruvB//dadA//
MprA	idnK//caiB//nirD//
MqsA	ldtD//lsrG//
MraZ	dmsA//nadB//paaZ//glpB//leuA//ccp//caiD//pheS//ycjG//sgbU//
MurR	aroA//citG//paaK//
Nac	uxuA//argB//cdd//aroL//rimK//appA//polB//uvrA//nrdD//galM//torC//
NadR	fadH//trpB//purH//hypB//
NagC	kbaZ//prpE//ssuD//fabI//leuC//deoD//carA//purL//sdhC//sgbU//nadB//gnd//aroH//purH//slt//alkB//deoB//zwf//speB//
NanR	pheS//mpaA//lsrK//rutC//gatD//gudD//
NarL-Phosphorylated	glpK//ulaF//hyaC//tnaA//fadB//glnA//hypF//nirD//glcE//frc//nrfA//hycD//speG//caiB//fabA//trpB//napB//napH//araA//ahpC//glsA//ilvC//hyaA//uvrC//nrfD//bglB//wecE//mhpD//murE//murF//ldtC//poxB//glgB//kbaY//phnM//aspA//phnN//murE//bioA//moaC//purC//
NarP-Phosphorylated	xylA//gnd//torA//murG//ilvE//accC//hycC//mraY//purB//fdhF//tdcE//deoB//arsC//nadA//deoA//
NemR	nrfD//rfe//
NhaR-Na+	alkA//udp//astE//ssuD//galK//
NikR-Ni2+	purM//
NimR	ilvG_1//
NorR	alaS//
NrdR-Zn2+	nemA//rsmH//phnM//mhpC//
NsrR	allD//nfsB//purH//fadA//grxA//araB//cynS//paaK//ascB//tam//aspA//sgbU//ndh//ssuE//entC//metA//mpaA//allD//allD//uvrA//gcvT//mltF//metL//pnp//puuC//aceB//sgbH//gntK//rutB//rbsD//truB//ygeA//nirB//purF//guaA//caiA//lhgO//ung//hcaD//fadH//
NtrC-Phosphorylated	tnaA//allD//murG//hmp//allE//poxB//phr//uvrA//accC//ilvI//bioB//phnL//sucD//ttdA//glk//leuA//wecB//slt//rtcB//paaZ//tdcD//
OmpR-Phosphorylated	glcB//udp//fadM//cysG//chbF//sodB//phnI//murQ//
OxyR	fucK//deoD//allB//mtlD//udp//dapB//dsdA//purK//glxR//adiA//ada//pdeH//deoD//metC//bioD//gdhA//aceE//
PaaX	hcaB//ung//yiaK//hycB//tpiA//galE//sodB//glxK//leuD//
PdeL	amn//
PdhR	metF//aspC//ddlB//mhpB//aroH//mhpC//ascB//metL//argG//cysD//dgkA//paaA//ilvE//betB//mtlD//argH//ssuD//ulaG//lacZ//patD//paaZ//appA//phnL//ung//cysI//
PepA	rutC//ynfG//
PgrR	alaS//glmS//
PhoB-Phosphorylated	fucA//nagA//polB//puuA//fumB//grxA//pgaD//ribA//malZ//atoA//gor//murQ//accA//glgB//mtlD//murQ//galM//fucA//mraY//pnp//
PhoP-Phosphorylated	hycC//phnL//napA//murC//betB//tdcB//araD//uvrC//cysE//mazG//pdeR//sgbH//leuC//ilvI//fadH//hyi//pfkA//psd//hcaB//dhaL//argD//rutE//tktB//glgP//chbG//nrdA//aroA//rbsK//patA//ilvI//aroG//ada//
PrpR-2S3S-2-methylcitrate	hycE//uvrA//purM//glnA//
PspF	ruvA//
PurR-hypoxanthine	nirD//bioB//pgaB//hycE//mhpF//trpB//hcaF//chbG//rutE//fucO//paaA//pnp//purC//gloA//araD//lyxK//trpB//argB//srkA//galK//ynfG//nadA//xylB//alkA//glgB//hcaD//
PutA	lacZ//gor//
PuuR	glpC//nadB//gatY//garD//glsA//lacZ//
QseB-Phosphorylated	
RbsR	moeB//fabD//lysA//ssuD//rbsK//
RcdA	chbF//
RclR	
RcnR	astB//
RcsAB	fadM//bioB//nfsB//
RcsB-BglJ	dgcN//gadA//
RcsB-Pasp56	chbG//pfkA//hyi//glk//
RelB	srkA//
RelB-RelE	malS//
RhaR-alpha-L-rhamnopyranose	
RhaS	katG//
RhaS-alpha-L-rhamnopyranose	folA//phoA//fes//alsE//
Rob	fabI//ndh//aroF//ugpQ//pgk//xylA//metF//fucI//hycG//gabT//sdhA//wecE//eda//cysJ//acnA//phnH//mdh//dmsB//napG//
RstA-Phosphorylated	dgcZ//purN//wzb//
RtcR	pfkA//cysN//
RutR	paaH//dgkA//paaA//prpC//purM//ftsI//pfkA//gpmA//deoB//lpxA//gadB//
SdiA	
SgrR	ftsI//treC//carA//
SlyA	uvrA//murF//ddlB//ppiA//glpC//glpB//pspE//rffG//wecB//
SoxR	sucB//bioC//narH//trpD//rbsD//accA//
SoxS	katG//rutC//pck//gnd//ybjG//rbsD//yeaE//purD//bioA//lacA//rutE//bioB//aldA//gltD//uidA//ruvB//accD//aldA//moaD//nfsA//rffG//fabH//luxS//nanA//ulaE//paaE//fadD//gcvP//
SrlR	ppsA//murE//dapD//
StpA	ulaF//argG//nrdE//
SutR	fucO//entC//
TdcA	sdhD//hycD//purH//chbF//phnN//
TdcR	lsrF//gadB//nirD//lacZ//aceA//
TorR-Phosphorylated	hcaF//sucD//caiB//yedX//
TorR-TorI	ttdB//
TreR	ftsI//mtlD//
TrpR-tryptophan	torA//murQ//trpD//purL//glgX//ygeA//wecB//garL//ubiA//
TyrR	katE//
TyrR-phenylalanine	prpB//gcvH//
TyrR-tyrosine	moaE//fadJ//pncB//ilvD//pgpC//lacA//ilvG_1//mazG//
UhpA-Phosphorylated	lysU//
UidR	wzb//galT//
UlaR	aroA//putA//speG//lysC//cynT//
UvrY-Phosphorylated	allB//glgP//
UxuR	puuC//nrdD//recB//kbl//alaA//
XapR-xanthosine	gnd//pepD//
XylR-xylose	lysC//garL//fabA//
YdeO	sucD//torC//ilvD//
YefM	lsrF//
YefM-YoeB	fabI//
YeiL	
YhaJ	
YiaJ	nrdE//wecE//argE//fucO//leuA//idnK//
YjjQ	metL//hyi//
YpdB-Phosphorylated	
YqhC	pgaB//dhaK//
YqjI	narH//
ZntR-Zn2	nrdD//
ZntR-Zn2+	argG//
ZraR-Phosphorylated	
Zur-Zn2	gatY//
Zur-Zn2+	fucU//
