# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	ynfG//lacZ//
FhlA-formate	ppc//rffT//purM//putA//cysJ//paaG//glpB//hmp//
FlhDC	hcaE//moeB//paaY//purN//thrS//sdaA//phnJ//narI//trpB//mhpD//ilvI//cysI//cysM//treC//
FliZ	ybjG//malZ//ulaD//poxB//hcaF//
FucR-L-fuculose-1-P	fabA//mdh//mpaA//fucK//avtA//paaY//
Fur-Fe2	dkgB//nanA//waaY//sbcC//phnP//srlD//glpB//dsdA//aroH//fadM//murD//ppc//rbsK//pfkA//srkA//xylA//araA//argC//pck//fucO//deoD//aroG//astB//hycB//xylA//glpC//sgbH//mhpF//metC//ilvI//uxuA//nrdB//codA//lysC//napG//yfdE//cynT//cadA//avtA//ilvM//puuC//phr//ulaE//bioC//ung//hmp//ilvA//sdhA//malS//malQ//frdC//tdh//argC//atoD//yqhD//dkgB//fbaB//mhpC//hemH//fumB//ugpQ//fadJ//
GadE	udp//kbl//moaA//eno//deoC//nrfC//phnL//accD//nrfC//hcaB//
GadE-RcsB	fadD//mtlD//ychF//pgaC//mhpC//
GadW	mhpB//pflB//bioF//fau//
GadX	rhaD//tdh//phnN//cysM//sodB//lhgO//murI//metL//metE//nirD//aceE//kbaZ//nfsB//argE//
GalR	fau//uvrC//astA//prpC//lpxA//mraY//
GalR-beta-D-galactose	glpA//tehB//paaY//ilvE//fucK//
GalS	ppiA//ulaF//garK//entC//arsC//ahpF//
GalS-beta-D-galactose	trpC//recF//allE//pykF//uxaA//
GatR	trpE//asnA//glgP//
GcvA	metA//eno//rffG//
GlcC-glycolate	prpC//galK//rnpB//
GlpR	pck//bacA//sucA//glpB//rsmH//napG//paaK//
GlrR-Pasp56	
GntR	paaK//cyoE//paaI//ybjG//ampC//phnL//ygeA//phnI//mhpF//
GutM	tdh//tyrA//dkgB//
HU	hcaC//sdhC//wzb//lpd//ppsA//speA//trpB//
HcaR	
HcaR-HCA	lysC//glxR//
HdfR	
HigA	nanA//
HigB-HigA	mngB//
HipAB	fdhF//dgkA//
HipB	accD//pgaD//ulaF//
HprR-Phosphorylated	rhaB//aroG//ldtC//ruvB//
HyfR	cysG//
HypT-Met-oxidized	tnaA//purM//rutA//yqjH//tktB//metE//paaB//
IclR-pyruvate	chbF//dhaK//cdd//
IdnR-5-ketogluconate	ppsA//chbF//nadA//pdeH//caiB//
IlvY	
IlvY-S-2-acetolactate	fabZ//
IscR	ilvE//hycB//ulaD//glcF//cysM//mnmG//
IscR-2Fe-2S	paaH//prpC//
KdgR	aroA//araD//
KdpE-Phosphorylated	nanM//
LacI	sodA//phnO//uxaB//
LeuO	aspA//citF//gadB//relA//entD//galE//
LexA	argH//citX//ttdA//ldtC//rutA//ulaF//pfkA//trpD//nfsB//sgbH//atoA//purC//mraY//ftsI//ldtB//dgcC//puuB//glcF//mpaA//ada//feaB//accC//serA//
LldR	aceF//citF//
LldR-S-lactate	ribA//alaS//
LrhA	
Lrp	guaA//asnB//carA//ubiA//allB//cueO//nfsB//fadM//recF//fadB//pdeL//galT//nrdA//alsE//caiC//moaA//umuC//bglB//hycD//codA//aroH//alkB//mltF//gabT//kbaY//cdd//xapA//gutQ//ydcS//nadB//lsrF//
Lrp-leucine	hemL//frc//bioB//glpA//pyrD//dgkA//sdhA//frc//pgaC//ychF//fucU//fadE//rbsD//pgk//rutA//polB//nfsA//
LsrR	asnA//yedX//ampC//ahpF//icd//
LysR	dmsA//
MalI	sucC//rtcB//
MalT-maltotriose-ATP	betB//lyxK//recB//phnM//ulaF//kbaY//
MarA	argB//nadB//sufS//fabG//entF//lsrF//lacZ//ybjG//uvrA//paaA//rsmH//dkgB//accA//srlD//xylA//folA//sufS//lpxA//mhpC//rhaB//ppc//idnK//lysC//ruvA//
MarR	
MatA	dadX//
MazE	sdhD//
MazE-MazF	aroH//
McbR	
MelR	tdcE//asnB//
MelR-melibiose	dapB//ulaG//
MetJ-adenosylmethionine	sbcD//tyrB//uxaB//adhE//paaB//alaC//astC//araD//hycC//phnH//
MetR	nfsB//glpA//
MetR-L-homocysteine	dhaL//fadM//
MhpR-3HPP	ugpQ//bioC//ilvD//purF//recF//fau//
Mlc	ulaD//fruK//tdcE//cynS//
MlrA	cyoE//
MngR	mngB//trpE//
MntR-Mn2+	prpE//gpmA//
ModE-MoO42-	aceA//puuE//citD//gudD//metF//nanM//tpiA//polA//waaH//carB//aroF//dhaK//sodB//oxc//purH//garR//hcaD//
MprA	hycF//yiaK//cysE//
MqsA	cysC//paaI//
MraZ	cdd//truB//ilvI//citD//prpC//rutD//sgbU//atoD//uxaC//fumB//
MurR	tpiA//hyaB//accC//
Nac	amn//purN//cysE//pgaD//glgX//gatY//trpA//trpC//fabD//ulaF//glpQ//
NadR	metK//ilvM//rhaD//hypB//
NagC	yqjH//astC//tyrB//ugpQ//accC//pncB//fadE//glgX//ruvA//nfsB//argB//nirB//thrS//purD//pdeH//pnp//gabT//caiB//napA//
NanR	gltB//luxS//fabB//tdcG//nrfA//sufS//
NarL-Phosphorylated	gcl//cynT//rutB//ulaF//relA//tktB//uxaB//xylA//dgcC//pgi//entH//rhaB//napH//putA//argC//tauD//gpmA//ubiA//dkgB//ddlB//pykF//mpl//pheT//oxc//uxuA//metF//dkgA//metC//leuC//aroL//tauD//aspA//ttdA//epd//leuC//acnB//ssuD//tdcG//fadE//ubiA//narG//
NarP-Phosphorylated	psd//fadA//pgk//rffT//atoD//dapB//argC//ugpQ//hemH//phnO//purL//fabG//malP//moaA//carB//
NemR	mhpD//galE//
NhaR-Na+	glsA//ulaF//fau//bioF//glpC//
NikR-Ni2+	mpaA//
NimR	pyrC//
NorR	cyoE//
NrdR-Zn2+	aldA//purA//dadA//folE//
NsrR	ahpC//srkA//entB//purH//ulaG//ada//ascB//amn//ubiX//metA//metC//adhE//entH//folE//pgaB//srkA//metC//dacC//murC//sdaA//accD//mhpE//mnmG//paaE//fucO//leuD//uidA//astC//bglB//paaJ//sdaA//sdhB//ldtC//nadB//gabD//fadH//gatD//tam//deoD//alaA//
NtrC-Phosphorylated	adiA//hcaD//nanE//nanM//nemA//sbcD//aroF//hycD//murI//hyi//metF//narH//garR//tauD//purN//sgbE//murF//glpQ//sbcD//cysN//cysE//
OmpR-Phosphorylated	edd//pfkA//ilvD//rpiB//bacA//pncB//amn//betA//
OxyR	lpxC//aroG//tynA//moeA//trpB//argI//wrbA//trpB//gloA//nanA//metH//fumB//putA//nagB//puuB//puuE//thrS//
PaaX	trpB//caiA//lysA//katE//pdeL//sucA//umuD//serA//purA//
PdeL	glpD//
PdhR	sdaA//hyi//nanE//lysC//rutE//sdaA//phnH//glcE//phnN//astD//rtcB//gatZ//dhaL//caiD//sgbU//ynfE//fucA//gntK//ugpQ//ascB//lacA//kbaY//pgaB//mdh//hycC//
PepA	wecE//puuB//
PgrR	moeA//frdC//
PhoB-Phosphorylated	kbaZ//cysN//murC//lsrK//purK//tdcD//purC//chbG//hcaB//phnH//puuC//mtlD//iscS//cysC//nadA//serC//phnJ//prs//citF//edd//
PhoP-Phosphorylated	ogt//puuC//puuD//cysD//fabZ//glxR//citC//aldA//malQ//ulaF//hycG//hcaF//rsmH//ahpC//argG//aroA//cysI//entC//napG//gatZ//fabZ//allB//argC//torA//entH//pgaC//carA//ulaG//patA//pyrC//araD//idnK//
PrpR-2S3S-2-methylcitrate	glyA//lacZ//bioC//rbsD//
PspF	citF//
PurR-hypoxanthine	fbaA//sgbH//glk//eno//gltD//polA//ydcS//pck//tyrB//lysA//aroG//glxK//grxA//ndh//psd//zwf//rhaB//citF//galM//frdA//sufS//dkgA//hycF//chbG//hmp//epd//
PutA	patA//gcvP//
PuuR	patD//treC//nfsA//wecB//uvrB//adiA//
QseB-Phosphorylated	
RbsR	citF//dhaM//torA//rutD//serA//
RcdA	chbG//
RclR	
RcnR	paaY//
RcsAB	lsrF//ttdA//purL//
RcsB-BglJ	galT//rutD//
RcsB-Pasp56	lpxC//fucO//lpxC//murQ//
RelB	aspC//
RelB-RelE	nfsA//
RhaR-alpha-L-rhamnopyranose	
RhaS	speA//
RhaS-alpha-L-rhamnopyranose	prpC//rnpB//hycD//hcp//
Rob	sbcC//deoA//fes//fucA//sdhB//cysK//frdC//alaS//ynfG//ilvH//rbsD//astB//ynfH//ppc//fadH//ynfE//glgA//rffH//nrfA//
RstA-Phosphorylated	ilvC//polA//purH//
RtcR	caiD//ubiX//
RutR	purE//wecE//dmsB//moaC//ubiC//pgk//atoD//entB//alkB//glxK//frdD//
SdiA	
SgrR	ppc//fau//nadA//
SlyA	nagA//mhpD//rffG//feaB//moeB//gabT//citG//deoA//gor//
SoxR	rnpB//ilvD//leuC//nadB//ada//hypB//
SoxS	tynA//sdhC//galT//pgi//fadA//napG//edd//tdh//metK//leuB//moeB//wecC//waaY//metL//pspE//cysG//ttdA//tyrA//wecB//ppc//cadA//waaH//nadB//ulaG//uidA//citD//rbsK//cynT//
SrlR	nfsA//paaG//poxB//
StpA	glgB//recB//relA//
SutR	phnI//pdeL//
TdcA	pyrC//tauD//aroF//nanK//glgC//
TdcR	dsdA//ftsI//yiaK//hcaD//idnO//
TorR-Phosphorylated	aroL//chbF//fumC//frdC//
TorR-TorI	paaZ//
TreR	galE//leuD//
TrpR-tryptophan	nrdF//mpaA//rfe//ycjG//frc//metL//gpmA//cysK//trpA//
TyrR	argG//
TyrR-phenylalanine	ugpQ//phnG//
TyrR-tyrosine	prpE//sucA//edd//pheS//cysM//fabB//rutE//carA//
UhpA-Phosphorylated	metC//
UidR	ppc//hcaB//
UlaR	dinB//nemA//glcD//fadB//epd//
UvrY-Phosphorylated	pck//fucK//
UxuR	alkB//malP//relA//aspC//nrdB//
XapR-xanthosine	wzc//rsmH//
XylR-xylose	malS//fadM//cysJ//
YdeO	cdd//accD//nrdF//
YefM	metE//
YefM-YoeB	malY//
YeiL	
YhaJ	
YiaJ	tdcB//paaY//hyaA//glsA//moaC//purC//
YjjQ	waaZ//frdA//
YpdB-Phosphorylated	
YqhC	entH//gcvT//
YqjI	yqhD//
ZntR-Zn2	deoA//
ZntR-Zn2+	cysE//
ZraR-Phosphorylated	
Zur-Zn2	pflB//
Zur-Zn2+	purN//
