# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gadA//argD//
FadR	alaA//ung//aroL//idnO//fabG//pyrD//murQ//phnL//cysM//sbcD//ftnA//grxA//mdh//rutC//mtlD//gatD//entA//rutB//tam//
FadR-acyl-CoA	
FeaR	recB//yedX//
FhlA-formate	cysK//hcp//nrdB//lacZ//glpC//lpxC//nfsA//tyrA//
FlhDC	gltD//dapB//mpl//katG//garR//kbaY//garR//accD//glyA//citD//metB//sdaA//ynfF//mhpD//
FliZ	allD//acnA//deoD//allE//pnp//
FucR-L-fuculose-1-P	ssuD//hcaE//iscS//rffC//pnp//cyoE//
Fur-Fe2	gudD//paaA//gcl//araB//fbaA//sufS//metA//melA//lldD//rhaB//hycE//uxaB//wecE//mnmG//alkB//fucO//uxaA//moaE//pdeR//yiaK//glgP//cdd//gdhA//fes//sodA//cdd//glgP//entB//cysK//rimK//metH//ruvA//cueO//sucA//bioC//truB//ada//appA//rffC//cynS//hemH//luxS//gutQ//hcaC//glpC//nrfC//garL//frdB//rhaD//astE//garD//yqjH//murI//citC//citF//mhpB//malP//waaH//bioF//ahpF//trpD//hcaD//
GadE	nrfD//paaG//pfkA//gatZ//sodA//astD//kbaY//melA//glpQ//waaZ//
GadE-RcsB	fau//tktB//cysD//lysU//rffH//
GadW	tehB//nadB//leuD//aroG//
GadX	nanM//phnJ//betA//gatY//srkA//mraY//ppsA//galE//uxuA//paaY//entD//deoB//uxuA//prpE//
GalR	sdhD//hcaC//pflB//citX//rffG//murI//
GalR-beta-D-galactose	murC//ldtD//sdhA//argG//purK//
GalS	recF//asnA//fabB//lldD//puuB//murI//
GalS-beta-D-galactose	lysU//phnI//malS//phnG//argF//
GatR	treC//bioB//citG//
GcvA	hyaB//mpaA//puuB//
GlcC-glycolate	yqhD//argB//glcB//
GlpR	argA//dmsA//avtA//paaZ//hyaC//metA//dapB//
GlrR-Pasp56	
GntR	dhaL//gabD//ulaG//dgcC//rutA//ychF//caiC//dinB//gatY//
GutM	entD//ruvA//ahpF//
HU	aroG//gpmA//deoB//pdeL//rnpB//puuE//umpH//
HcaR	
HcaR-HCA	paaY//fruK//
HdfR	
HigA	nrdD//
HigB-HigA	rbsD//
HipAB	phnL//mhpB//
HipB	rutE//leuC//cysK//
HprR-Phosphorylated	polB//glmS//pgaD//mngB//
HyfR	rpiB//
HypT-Met-oxidized	speB//argG//hycF//chbG//ssuE//paaI//astA//
IclR-pyruvate	puuB//ynfG//udp//
IdnR-5-ketogluconate	puuA//ascB//pheT//pgi//purL//
IlvY	
IlvY-S-2-acetolactate	ygeA//
IscR	frdC//tam//gcl//lhgO//metB//aspC//
IscR-2Fe-2S	gadA//icd//
KdgR	narG//metK//
KdpE-Phosphorylated	leuA//
LacI	ygeA//galT//aldA//
LeuO	luxS//murC//betB//truB//ycjG//lpxA//
LexA	argF//grxA//rtcA//glyA//nagB//pagP//pck//paaZ//dsdA//frc//folE//truB//citD//argF//deoD//purK//accC//trpE//rutB//cyoE//fau//citX//gcvH//
LldR	bglB//serA//
LldR-S-lactate	patA//ynfH//
LrhA	
Lrp	wecE//ttdB//treC//astE//aroG//aroL//glpB//ascB//cyoE//pdeL//hycB//bioB//leuB//lysU//umuC//poxB//kbaZ//glgP//gapA//ppiA//xylB//caiA//nrdB//slt//fadA//astE//aceE//fadD//rpiB//torA//hemH//
Lrp-leucine	ttdB//lacZ//mhpA//fau//pheT//ilvH//tpiA//fadH//gcvP//pgaC//nanA//leuB//fadH//paaA//narG//gcvH//pspE//
LsrR	mhpD//pgpC//fumB//argB//rbsD//
LysR	gltB//
MalI	serA//murI//
MalT-maltotriose-ATP	argC//accD//rhaD//sdaA//gpmA//glpA//
MarA	astE//deoB//wrbA//fabD//sdhC//recD//pyrC//lsrG//allA//galE//fadD//psd//poxB//ynfF//aroA//ygeA//fadM//recF//malZ//lldD//ftsI//deoC//kbaY//recD//
MarR	
MatA	gpmA//
MazE	mhpB//
MazE-MazF	astA//
McbR	
MelR	ldtD//thrS//
MelR-melibiose	melA//mhpF//
MetJ-adenosylmethionine	hyaC//dgcC//fabA//tadA//mnmG//gcvP//murG//entB//nrfA//ldtD//
MetR	malP//kbl//
MetR-L-homocysteine	lacA//rffC//
MhpR-3HPP	dgcN//prs//ycjG//rutC//ulaD//gltD//
Mlc	dinB//nrdB//fau//gudD//
MlrA	dapB//
MngR	hcaC//adhE//
MntR-Mn2+	uvrA//rutD//
ModE-MoO42-	hycE//melA//torA//umuC//trpA//ttdA//betA//mtlD//dhaL//garK//deoC//araA//fumB//aspC//gutQ//sbcC//caiD//
MprA	sdhB//moaD//acnB//
MqsA	ftnA//guaB//
MraZ	chbG//umuC//trpE//mhpB//aceA//pheS//phnL//wecB//rutE//phnL//
MurR	purK//cysH//murI//
Nac	aceE//fadD//nrdF//trpE//patD//tynA//psd//phoA//entC//paaJ//ruvB//
NadR	argF//accD//citC//argF//
NagC	glpB//lysU//caiA//gcvP//pyrD//caiA//pdeR//frdA//ybjG//paaE//ulaG//chbG//ftsI//ssuD//ftsI//mhpF//hycF//pnp//hcaD//
NanR	lpxA//idnO//rutE//deoC//trpC//ychF//
NarL-Phosphorylated	paaK//metC//napB//entF//fes//melA//fruK//dgcZ//pagP//cysH//bioD//chbG//alaC//hcaC//cysD//hcaB//ulaE//phnJ//metE//galE//deoD//allE//mhpC//ascB//argC//trpE//hypB//tdcD//ubiA//dmsA//rpiB//aroA//idnO//malP//napB//pagP//sucC//kbl//ubiA//relA//citE//
NarP-Phosphorylated	ulaE//uvrB//paaC//argG//sucA//gabD//yqjH//pflB//uvrA//uvrA//rutD//xylB//moaC//hycD//talA//
NemR	metL//cysD//
NhaR-Na+	hyaA//glxK//mdh//glpA//ruvB//
NikR-Ni2+	ilvA//
NimR	allB//
NorR	appA//
NrdR-Zn2+	ilvM//katG//talA//cysG//
NsrR	pspE//paaF//entH//fruK//gabD//glyA//murQ//rsmH//tauD//entC//sucC//accA//torA//pgpC//entE//pdeR//chbF//luxS//nirB//pgk//folA//fadA//dmsB//acnB//tktB//purA//murE//relA//rhaB//glpD//entE//aroH//allA//fabB//hcaC//pdeL//moaD//ribA//aroG//glyA//
NtrC-Phosphorylated	glcD//uvrA//citX//astD//napA//garD//ynfE//nrdA//pgk//glpK//uxuB//rpiB//gatD//polA//metE//iscS//glgP//gcvT//lsrK//pyrD//dhaL//
OmpR-Phosphorylated	recD//garL//aceF//hcaE//fruK//hycC//glpB//fbaB//
OxyR	alaS//lacZ//astB//hcaD//ddlB//pheS//carA//tdcD//entH//alaA//garK//accC//fadD//alaA//pgaD//lpd//hycE//
PaaX	puuE//relA//paaJ//nrfD//malY//glmS//metL//hemH//napG//
PdeL	yedX//
PdhR	pnp//fucK//argD//puuE//slt//lpxC//metC//astA//dadX//entA//napB//garL//hemL//phnN//nrdD//hemH//putA//bioC//serA//galK//fadA//dinB//serA//adhE//aspA//
PepA	ulaD//uxuB//
PgrR	kbl//gntK//
PhoB-Phosphorylated	uvrB//glpK//alaS//dhaK//rffG//phr//umpH//hyi//hcp//glpK//dhaK//cyoE//fucO//ppsA//tam//metF//dapB//aspA//phoA//leuA//
PhoP-Phosphorylated	ttdA//tdh//araB//lpxD//asnB//glyA//trpB//slt//nadB//ribA//entB//astB//hcaB//gltB//pdeR//psd//ahpF//purK//phoA//phoA//rffT//mraY//purD//pgk//cyoE//murQ//serA//cysG//purF//ppiA//caiD//caiA//
PrpR-2S3S-2-methylcitrate	pspE//katG//nanM//asnB//
PspF	umpH//
PurR-hypoxanthine	tadA//glk//purF//kbaY//puuC//aceA//polA//rhaD//gabD//paaI//gatY//pdeH//deoB//napG//dapD//betB//rffH//truB//puuE//rffM//torA//ubiA//patA//paaK//hycB//murC//
PutA	gor//allB//
PuuR	cysH//nrfC//glxK//cynS//rimK//hyaB//
QseB-Phosphorylated	
RbsR	metB//narG//hycD//sufS//wzc//
RcdA	purL//
RclR	
RcnR	tynA//
RcsAB	glcE//xylA//nrdD//
RcsB-BglJ	nfsA//tauD//
RcsB-Pasp56	hyi//speB//wecE//metL//
RelB	hcaE//
RelB-RelE	idnO//
RhaR-alpha-L-rhamnopyranose	
RhaS	nirB//
RhaS-alpha-L-rhamnopyranose	argC//alkB//astD//carA//
Rob	nrfC//gcvH//glcF//torA//umuC//metC//lysA//paaG//purH//napG//acnA//paaE//nrdD//gnd//hcaC//metC//fbaA//rsmH//mhpD//
RstA-Phosphorylated	uxaB//sgbH//allE//
RtcR	aceB//paaJ//
RutR	citG//accD//nrdA//nfsA//napA//lldD//sucD//ndh//chbG//napG//phnO//
SdiA	
SgrR	allD//prpC//fucA//
SlyA	uxuA//lacZ//pfkA//ynfF//ssuD//sbcC//glmS//gutQ//rtcB//
SoxR	aceF//leuA//nrdB//sufS//tdcB//trpA//
SoxS	glcF//tam//fumB//gcl//allD//phnN//lldD//ulaD//garR//dapB//lpd//galK//moeB//dhaK//napB//srkA//wzb//paaK//ilvM//mpl//mdh//purC//adhE//rsmH//ilvD//ndh//ldtD//moaC//
SrlR	caiD//idnO//tehB//
StpA	guaB//pflB//pnp//
SutR	pgaB//cdd//
TdcA	mdh//allB//phnL//argH//prpD//
TdcR	rutB//hypB//tnaA//ruvB//katG//
TorR-Phosphorylated	ldtC//mtlD//katG//atoD//
TorR-TorI	pheT//
TreR	ruvB//astE//
TrpR-tryptophan	umuC//paaJ//caiA//uidA//mpaA//gcvP//mdh//yqhD//phnH//
TyrR	cyoE//
TyrR-phenylalanine	fadA//hyaC//
TyrR-tyrosine	pfkA//cysJ//garR//nanA//murF//malY//fbaA//dgcZ//
UhpA-Phosphorylated	rtcA//
UidR	alaA//ogt//
UlaR	citD//pfkA//ccp//narI//ynfH//
UvrY-Phosphorylated	argD//pyrC//
UxuR	argG//bioD//ddlB//sdhA//torA//
XapR-xanthosine	cysK//galK//
XylR-xylose	araA//uxaA//citE//
YdeO	astE//cysM//leuB//
YefM	arsC//
YefM-YoeB	ppsA//
YeiL	
YhaJ	
YiaJ	glgX//glpX//wecB//ubiX//pepD//lsrK//
YjjQ	rpiB//chbF//
YpdB-Phosphorylated	
YqhC	fabD//hycG//
YqjI	pgaB//
ZntR-Zn2	nirB//
ZntR-Zn2+	ynfH//
ZraR-Phosphorylated	
Zur-Zn2	phr//
Zur-Zn2+	gadB//
